year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,1,1,.0339623,1,race-ethnicity,All
2023,1,1,.0285714,1,race-ethnicity,Majority Non-White
2023,1,1,.034212,1,race-ethnicity,Majority White
2023,1,3,.0383917,1,race-ethnicity,All
2023,1,3,NA,3,race-ethnicity,Majority Non-White
2023,1,3,.0382349,1,race-ethnicity,Majority White
2023,1,5,.0440587,1,race-ethnicity,All
2023,1,5,.0432277,1,race-ethnicity,Majority Non-White
2023,1,5,.0545455,1,race-ethnicity,Majority White
2023,1,7,.0709571,1,race-ethnicity,All
2023,1,7,.0666667,1,race-ethnicity,Majority Non-White
2023,1,7,.0717054,1,race-ethnicity,Majority White
2023,1,9,.0552735,1,race-ethnicity,All
2023,1,9,NA,3,race-ethnicity,Majority Non-White
2023,1,9,.0553047,1,race-ethnicity,Majority White
2023,1,11,.0403226,1,race-ethnicity,All
2023,1,11,.0404858,1,race-ethnicity,Majority Non-White
2023,1,11,NA,3,race-ethnicity,Majority White
2023,1,13,.0709779,1,race-ethnicity,All
2023,1,13,.0788288,1,race-ethnicity,Majority Non-White
2023,1,13,.0526316,1,race-ethnicity,Majority White
2023,1,15,.1076271,1,race-ethnicity,All
2023,1,15,.1888112,1,race-ethnicity,Majority Non-White
2023,1,15,.0919811,1,race-ethnicity,Majority White
2023,1,17,.0406091,1,race-ethnicity,All
2023,1,17,.0412926,1,race-ethnicity,Majority Non-White
2023,1,17,.04,1,race-ethnicity,Majority White
2023,1,19,.08625,1,race-ethnicity,All
2023,1,19,NA,3,race-ethnicity,Majority Non-White
2023,1,19,.08625,1,race-ethnicity,Majority White
2023,1,21,.0685401,1,race-ethnicity,All
2023,1,21,NA,3,race-ethnicity,Majority Non-White
2023,1,21,.0685401,1,race-ethnicity,Majority White
2023,1,23,.0583333,1,race-ethnicity,All
2023,1,23,.1204819,1,race-ethnicity,Majority Non-White
2023,1,23,.0397112,1,race-ethnicity,Majority White
2023,1,25,.0458333,1,race-ethnicity,All
2023,1,25,.0402477,1,race-ethnicity,Majority Non-White
2023,1,25,.0503778,1,race-ethnicity,Majority White
2023,1,27,.0578358,1,race-ethnicity,All
2023,1,27,NA,3,race-ethnicity,Majority Non-White
2023,1,27,.0542636,1,race-ethnicity,Majority White
2023,1,29,.0804829,1,race-ethnicity,All
2023,1,29,NA,3,race-ethnicity,Majority Non-White
2023,1,29,.0804829,1,race-ethnicity,Majority White
2023,1,31,.0819277,1,race-ethnicity,All
2023,1,31,NA,3,race-ethnicity,Majority Non-White
2023,1,31,.0819277,1,race-ethnicity,Majority White
2023,1,33,.0621153,1,race-ethnicity,All
2023,1,33,NA,3,race-ethnicity,Majority Non-White
2023,1,33,.0621153,1,race-ethnicity,Majority White
2023,1,35,.0652921,1,race-ethnicity,All
2023,1,35,.0580357,1,race-ethnicity,Majority Non-White
2023,1,35,.0895522,1,race-ethnicity,Majority White
2023,1,37,.0723684,1,race-ethnicity,All
2023,1,37,NA,3,race-ethnicity,Majority Non-White
2023,1,37,.0833333,1,race-ethnicity,Majority White
2023,1,39,.1005868,1,race-ethnicity,All
2023,1,39,NA,3,race-ethnicity,Majority Non-White
2023,1,39,.1006711,1,race-ethnicity,Majority White
2023,1,41,.0678295,1,race-ethnicity,All
2023,1,41,NA,3,race-ethnicity,Majority Non-White
2023,1,41,.0678295,1,race-ethnicity,Majority White
2023,1,43,.0760573,1,race-ethnicity,All
2023,1,43,NA,3,race-ethnicity,Majority Non-White
2023,1,43,.0760833,1,race-ethnicity,Majority White
2023,1,45,.0676038,1,race-ethnicity,All
2023,1,45,NA,3,race-ethnicity,Majority Non-White
2023,1,45,.0676038,1,race-ethnicity,Majority White
2023,1,47,.0623202,1,race-ethnicity,All
2023,1,47,.0620079,1,race-ethnicity,Majority Non-White
2023,1,47,NA,3,race-ethnicity,Majority White
2023,1,49,.090301,1,race-ethnicity,All
2023,1,49,NA,3,race-ethnicity,Majority Non-White
2023,1,49,.090301,1,race-ethnicity,Majority White
2023,1,51,.0415603,1,race-ethnicity,All
2023,1,51,NA,3,race-ethnicity,Majority Non-White
2023,1,51,.0415603,1,race-ethnicity,Majority White
2023,1,53,.0616438,1,race-ethnicity,All
2023,1,53,.0581655,1,race-ethnicity,Majority Non-White
2023,1,53,.0638003,1,race-ethnicity,Majority White
2023,1,55,.0821701,1,race-ethnicity,All
2023,1,55,NA,3,race-ethnicity,Majority Non-White
2023,1,55,.0823529,1,race-ethnicity,Majority White
2023,1,57,.0358491,1,race-ethnicity,All
2023,1,57,NA,3,race-ethnicity,Majority Non-White
2023,1,57,.0342205,1,race-ethnicity,Majority White
2023,1,59,.0850112,1,race-ethnicity,All
2023,1,59,NA,3,race-ethnicity,Majority Non-White
2023,1,59,.0850112,1,race-ethnicity,Majority White
2023,1,61,.0787402,1,race-ethnicity,All
2023,1,61,NA,3,race-ethnicity,Majority Non-White
2023,1,61,.0788288,1,race-ethnicity,Majority White
2023,1,63,.0478261,1,race-ethnicity,All
2023,1,63,.0478261,1,race-ethnicity,Majority Non-White
2023,1,63,NA,3,race-ethnicity,Majority White
2023,1,65,.0537428,1,race-ethnicity,All
2023,1,65,.0568862,1,race-ethnicity,Majority Non-White
2023,1,65,.0481283,1,race-ethnicity,Majority White
2023,1,67,.0251799,1,race-ethnicity,All
2023,1,67,NA,3,race-ethnicity,Majority Non-White
2023,1,67,.0260223,1,race-ethnicity,Majority White
2023,1,69,.044553,1,race-ethnicity,All
2023,1,69,NA,3,race-ethnicity,Majority Non-White
