year,state,county,share_medical_debt_coll,share_debt_coll_quality,subgroup_type,subgroup
2023,Alabama,"Autauga County, Alabama",.0339623,1,race-ethnicity,All
2023,Alabama,"Autauga County, Alabama",.0285714,1,race-ethnicity,Majority Non-White
2023,Alabama,"Autauga County, Alabama",.034212,1,race-ethnicity,Majority White
2023,Alabama,"Baldwin County, Alabama",.0383917,1,race-ethnicity,All
2023,Alabama,"Baldwin County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Baldwin County, Alabama",.0382349,1,race-ethnicity,Majority White
2023,Alabama,"Barbour County, Alabama",.0440587,1,race-ethnicity,All
2023,Alabama,"Barbour County, Alabama",.0432277,1,race-ethnicity,Majority Non-White
2023,Alabama,"Barbour County, Alabama",.0545455,1,race-ethnicity,Majority White
2023,Alabama,"Bibb County, Alabama",.0709571,1,race-ethnicity,All
2023,Alabama,"Bibb County, Alabama",.0666667,1,race-ethnicity,Majority Non-White
2023,Alabama,"Bibb County, Alabama",.0717054,1,race-ethnicity,Majority White
2023,Alabama,"Blount County, Alabama",.0552735,1,race-ethnicity,All
2023,Alabama,"Blount County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Blount County, Alabama",.0553047,1,race-ethnicity,Majority White
2023,Alabama,"Bullock County, Alabama",.0403226,1,race-ethnicity,All
2023,Alabama,"Bullock County, Alabama",.0404858,1,race-ethnicity,Majority Non-White
2023,Alabama,"Bullock County, Alabama",NA,3,race-ethnicity,Majority White
2023,Alabama,"Butler County, Alabama",.0709779,1,race-ethnicity,All
2023,Alabama,"Butler County, Alabama",.0788288,1,race-ethnicity,Majority Non-White
2023,Alabama,"Butler County, Alabama",.0526316,1,race-ethnicity,Majority White
2023,Alabama,"Calhoun County, Alabama",.1076271,1,race-ethnicity,All
2023,Alabama,"Calhoun County, Alabama",.1888112,1,race-ethnicity,Majority Non-White
2023,Alabama,"Calhoun County, Alabama",.0919811,1,race-ethnicity,Majority White
2023,Alabama,"Chambers County, Alabama",.0406091,1,race-ethnicity,All
2023,Alabama,"Chambers County, Alabama",.0412926,1,race-ethnicity,Majority Non-White
2023,Alabama,"Chambers County, Alabama",.04,1,race-ethnicity,Majority White
2023,Alabama,"Cherokee County, Alabama",.08625,1,race-ethnicity,All
2023,Alabama,"Cherokee County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Cherokee County, Alabama",.08625,1,race-ethnicity,Majority White
2023,Alabama,"Chilton County, Alabama",.0685401,1,race-ethnicity,All
2023,Alabama,"Chilton County, Alabama",NA,3,race-ethnicity,Majority Non-White
2023,Alabama,"Chilton County, Alabama",.0685401,1,race-ethnicity,Majority White
2023,Alabama,"Choctaw County, Alabama",.0583333,1,race-ethnicity,All
2023,Alabama,"Choctaw County, Alabama",.1204819,1,race-ethnicity,Majority Non-White
2023,Alabama,"Choctaw County, Alabama",.0397112,1,race-ethnicity,Majority White
2023,Alabama,"Clarke County, Alabama",.0458333,1,race-ethnicity,All
2023,Alabama,"Clarke County, Alabama",.0402477,1,race-ethnicity,Majority Non-White
2023,Alabama,"Clarke County, Alabama",.0503778,1,race-ethnicity,Majority White
2023,Alabama,"Clay County, Alabama",.0578358,1,race-ethnicity,All
