year,state,county,subgroup_type,subgroup,pctl_20,pctl_20_quality,pctl_50,pctl_50_quality,pctl_80,pctl_80_quality
2018,01,001,race-ethnicity,"Black, Non-Hispanic",12430.546377,3,36268.8726,3,81370.821675,3
2018,01,001,race-ethnicity,Hispanic,20509.946486999997,3,38396.376299999996,3,77371.35073048505,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,23195.683348,3,47719.679424999995,3,86456.08834,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",27834.6185,3,63600.754533,3,114978.25643399998,3
2018,01,001,all,All,20160.6303,3,53694.141,3,102322.797,3
2018,01,003,race-ethnicity,"Black, Non-Hispanic",12652.282516,1,31074.849159,1,67274.9597888,1
2018,01,003,race-ethnicity,Hispanic,13601.430412,1,37290.627942,1,83377.8831,1
2018,01,003,race-ethnicity,Other Races and Ethnicities,32216.4846,1,44540.853072,1,105759.246321,1
2018,01,003,race-ethnicity,"White, Non-Hispanic",25585.104078,1,59133.033575,1,117050.182695,1
2018,01,003,all,All,25327.425,1,55315.0962,1,112960.3155,1
2018,01,005,race-ethnicity,"Black, Non-Hispanic",9551.057296,3,25910.47195,3,59430.02472,3
2018,01,005,race-ethnicity,Hispanic,12416.674864,3,41334.3576,3,85708.0062,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,15399.0744,3,31094.25352,3,61833.60336339208,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",20820.38151,3,47965.735125,3,92424.677312,3
2018,01,005,all,All,12157.164,3,34040.0592,3,75982.275,3
2018,01,007,race-ethnicity,"Black, Non-Hispanic",9117.873,3,21984.2049,3,49236.5142,3
2018,01,007,race-ethnicity,Hispanic,21841.477075,3,44412.3893692632,3,77516.0289097488,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,35551.880848,3,71680.15464299999,3,434112.0645,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",20227.672675815007,3,50834.17328,3,99283.506,3
2018,01,007,all,All,10130.97,3,28164.096599999997,3,73246.9131,3
2018,01,009,race-ethnicity,"Black, Non-Hispanic",25895.539101,2,48180.52965,2,83626.570544,2
2018,01,009,race-ethnicity,Hispanic,16060.17655,2,34182.232956,2,63825.11099999999,2
2018,01,009,race-ethnicity,Other Races and Ethnicities,24860.081564999997,2,52928.59763999999,2,98696.59500799999,2
2018,01,009,race-ethnicity,"White, Non-Hispanic",22270.0577,2,53533.24955,2,97368.399999,2
2018,01,009,all,All,22592.0631,2,52468.29363,2,95940.28590000002,2
2018,01,011,race-ethnicity,"Black, Non-Hispanic",9551.057296,3,25964.128628265193,3,59660.70056618491,3
2018,01,011,race-ethnicity,Hispanic,12416.674864,3,41334.3576,3,85708.0062,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,15399.0744,3,31704.630184969592,3,64104.763736,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",20882.260088323317,3,47965.735125,3,92483.22720097599,3
2018,01,011,all,All,12157.164,3,34040.0592,3,75982.275,3
2018,01,013,race-ethnicity,"Black, Non-Hispanic",10266.357845969504,3,29184.843072000003,3,58244.61115,3
2018,01,013,race-ethnicity,Hispanic,26358.50208,3,68986.347147,3,102025.02104593924,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,15388.426416,3,38497.686,3,94882.897437,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",21413.904875,3,51115.38997425078,3,101427.838432,3
2018,01,013,all,All,16918.7199,3,47615.559,3,97257.312,3
2018,01,015,race-ethnicity,"Black, Non-Hispanic",12098.272912,1,29379.813,1,67452.539825,1
2018,01,015,race-ethnicity,Hispanic,25588.784375,1,42468.926811,1,101639.431912,1
2018,01,015,race-ethnicity,Other Races and Ethnicities,15905.6229,1,35650.88343,1,63260.404992,1
2018,01,015,race-ethnicity,"White, Non-Hispanic",21752.697768000002,1,53062.986944,1,99757.934848,1
2018,01,015,all,All,19451.4624,1,47311.6299,1,95433.7374,1
2018,01,017,race-ethnicity,"Black, Non-Hispanic",12735.076816,3,27967.465362,3,60785.82000000001,3
2018,01,017,race-ethnicity,Hispanic,26531.493472,3,37788.518099999994,3,63260.404991999996,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,12674.615733203995,3,52084.238895999995,3,70664.37345,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",19505.896092,3,50615.92404648958,3,94374.7856145264,3
2018,01,017,all,All,15804.3132,3,43697.40635249934,3,84593.5995,3
2018,01,019,race-ethnicity,"Black, Non-Hispanic",13474.1901,3,30798.1488,3,62206.467944000004,3
2018,01,019,race-ethnicity,Hispanic,9700.049676,3,19888.065252,3,37473.073,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,9523.111799999999,3,25236.246270000003,3,71392.49076190696,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",19845.05248,3,44955.440562,3,84687.910384,3
2018,01,019,all,All,15500.3841,3,38497.686,3,80034.663,3
2018,01,021,race-ethnicity,"Black, Non-Hispanic",12735.076816,3,27967.465362,3,60785.81999999999,3
2018,01,021,race-ethnicity,Hispanic,26531.493472,3,37788.518099999994,3,63260.404991999996,3
2018,01,021,race-ethnicity,Other Races and Ethnicities,13315.142818527005,3,52084.238895999995,3,70664.37345,3
2018,01,021,race-ethnicity,"White, Non-Hispanic",19505.896092,3,50609.130064,3,94477.89805359344,3
2018,01,021,all,All,15804.3132,3,43760.09172937549,3,84593.5995,3
2018,01,023,race-ethnicity,"Black, Non-Hispanic",9528.607825,3,23556.679980153018,3,53491.98895304001,3
2018,01,023,race-ethnicity,Hispanic,0,3,15417.809825,3,85063.241058,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,16780.681455,3,35726.36860007474,3,88564.970024,3
2018,01,023,race-ethnicity,"White, Non-Hispanic",17302.662334350003,3,44540.853072,3,90165.633,3
2018,01,023,all,All,13778.1192,3,37484.589,3,81047.76,3
2018,01,025,race-ethnicity,"Black, Non-Hispanic",9528.607825,3,23554.79115,3,53397.97702500804,3
2018,01,025,race-ethnicity,Hispanic,0,3,15417.809825,3,85063.241058,3
2018,01,025,race-ethnicity,Other Races and Ethnicities,16716.920768220065,3,35458.395,3,88564.970024,3
2018,01,025,race-ethnicity,"White, Non-Hispanic",17323.816312575,3,44540.853072,3,90140.74975275411,3
