state,county,state_name,county_name,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
01,001,Alabama,Autauga County,30.6:47.0,2,2.5:1.3,2,3.9:2.0,2,63.1:49.7,2
01,003,Alabama,Baldwin County,3.2:8.8,1,2.4:3.6,1,2.7:3.1,1,91.8:84.6,1
01,005,Alabama,Barbour County,14.5:31.5,3,1.0:1.8,3,3.2:3.3,3,81.3:63.5,3
01,007,Alabama,Bibb County,24.0:39.2,3,0.3:0.8,3,2.0:3.0,3,73.7:57.1,3
01,009,Alabama,Blount County,5.9:5.9,2,5.4:3.8,2,2.1:2.1,2,86.5:88.3,2
01,011,Alabama,Bullock County,23.0:41.1,3,NA:1.0,NA,3.2:3.3,3,73.8:54.5,3
01,013,Alabama,Butler County,14.5:31.5,3,1.0:1.8,3,3.2:3.3,3,81.3:63.5,3
01,015,Alabama,Calhoun County,17.0:22.0,1,0.6:2.3,1,4.5:4.4,1,77.9:71.3,1
01,017,Alabama,Chambers County,23.0:41.1,3,NA:1.0,NA,3.2:3.3,3,73.8:54.5,3
01,019,Alabama,Cherokee County,5.8:14.4,3,0.9:3.3,3,5.2:3.1,3,88.0:79.2,3
01,021,Alabama,Chilton County,13.9:13.2,3,4.6:5.6,3,2.0:3.8,3,79.4:77.4,3
01,023,Alabama,Choctaw County,25.8:37.2,3,0.0:0.2,3,2.9:3.8,3,71.3:58.8,3
01,025,Alabama,Clarke County,25.8:37.2,3,0.0:0.2,3,2.9:3.8,3,71.3:58.8,3
01,027,Alabama,Clay County,13.6:23.1,3,2.1:2.5,3,5.3:5.3,3,79.0:69.2,3
01,029,Alabama,Cleburne County,13.6:23.1,3,2.1:2.5,3,5.3:5.3,3,79.0:69.2,3
01,031,Alabama,Coffee County,13.2:17.7,2,5.1:7.2,2,7.5:6.1,2,74.2:68.9,2
01,033,Alabama,Colbert County,4.6:10.5,3,0.9:3.7,3,3.3:4.9,3,91.1:80.9,3
01,035,Alabama,Conecuh County,25.8:37.2,3,0.0:0.2,3,2.9:3.8,3,71.3:58.8,3
01,037,Alabama,Coosa County,23.0:41.1,3,NA:1.0,NA,3.2:3.3,3,73.8:54.5,3
01,039,Alabama,Covington County,14.5:31.5,3,1.0:1.8,3,3.2:3.3,3,81.3:63.5,3
01,041,Alabama,Crenshaw County,14.5:31.5,3,1.0:1.8,3,3.2:3.3,3,81.3:63.5,3
01,043,Alabama,Cullman County,0.1:1.1,2,1.3:2.2,2,6.6:5.0,2,92.0:91.7,2
01,045,Alabama,Dale County,13.2:17.7,2,5.1:7.2,2,7.5:6.1,2,74.2:68.9,2
01,047,Alabama,Dallas County,30.6:47.0,3,2.5:1.3,3,3.9:2.0,3,63.1:49.7,3
01,049,Alabama,DeKalb County,1.1:1.8,2,3.6:6.6,2,4.7:6.1,2,90.7:85.5,2
01,051,Alabama,Elmore County,9.5:19.2,1,4.0:2.4,1,4.6:3.1,1,81.9:75.4,1
01,053,Alabama,Escambia County,25.8:37.2,3,0.0:0.2,3,2.9:3.8,3,71.3:58.8,3
01,055,Alabama,Etowah County,5.8:14.4,1,0.9:3.3,1,5.2:3.1,1,88.0:79.2,1
01,057,Alabama,Fayette County,24.0:39.2,3,0.3:0.8,3,2.0:3.0,3,73.7:57.1,3
01,059,Alabama,Franklin County,4.6:10.5,3,0.9:3.7,3,3.3:4.9,3,91.1:80.9,3
01,061,Alabama,Geneva County,12.6:23.7,3,1.9:2.8,3,3.2:3.8,3,82.4:69.6,3
01,063,Alabama,Greene County,24.0:39.2,3,0.3:0.8,3,2.0:3.0,3,73.7:57.1,3
01,065,Alabama,Hale County,24.0:39.2,3,0.3:0.8,3,2.0:3.0,3,73.7:57.1,3
01,067,Alabama,Henry County,12.6:23.7,3,1.9:2.8,3,3.2:3.8,3,82.4:69.6,3
01,069,Alabama,Houston County,12.6:23.7,2,1.9:2.8,2,3.2:3.8,2,82.4:69.6,2
01,071,Alabama,Jackson County,1.1:1.8,2,3.6:6.6,2,4.7:6.1,2,90.7:85.5,2
01,073,Alabama,Jefferson County,18.3:42.5,1,1.5:2.7,1,2.9:4.2,1,77.2:50.6,1
01,075,Alabama,Lamar County,24.0:39.2,3,0.3:0.8,3,2.0:3.0,3,73.7:57.1,3
01,077,Alabama,Lauderdale County,4.6:10.5,2,0.9:3.7,2,3.3:4.9,2,91.1:80.9,2
01,079,Alabama,Lawrence County,12.5:11.3,3,3.7:4.8,3,5.6:6.1,3,78.2:77.9,3
01,081,Alabama,Lee County,13.2:24.3,1,2.4:3.5,1,3.9:7.5,1,80.5:64.7,1
01,083,Alabama,Limestone County,9.0:15.7,1,1.2:3.5,1,4.9:4.2,1,84.9:76.5,1
01,085,Alabama,Lowndes County,30.6:47.0,3,2.5:1.3,3,3.9:2.0,3,63.1:49.7,3
01,087,Alabama,Macon County,23.0:41.1,3,NA:1.0,NA,3.2:3.3,3,73.8:54.5,3
01,089,Alabama,Madison County,15.9:24.4,1,3.5:4.4,1,7.6:6.0,1,73.0:65.2,1
01,091,Alabama,Marengo County,24.0:39.2,3,0.3:0.8,3,2.0:3.0,3,73.7:57.1,3
01,093,Alabama,Marion County,0.1:1.1,3,1.3:2.2,3,6.6:5.0,3,92.0:91.7,3
01,095,Alabama,Marshall County,0.6:0.9,1,4.2:9.4,1,6.1:5.1,1,89.1:84.6,1
01,097,Alabama,Mobile County,20.7:36.7,1,2.5:2.7,1,4.6:5.3,1,72.2:55.3,1
01,099,Alabama,Monroe County,25.8:37.2,3,0.0:0.2,3,2.9:3.8,3,71.3:58.8,3
01,101,Alabama,Montgomery County,40.0:58.8,1,2.3:2.7,1,5.1:4.4,1,52.6:34.1,1
01,103,Alabama,Morgan County,12.5:11.3,1,3.7:4.8,1,5.6:6.1,1,78.2:77.9,1
01,105,Alabama,Perry County,30.6:47.0,3,2.5:1.3,3,3.9:2.0,3,63.1:49.7,3
01,107,Alabama,Pickens County,24.0:39.2,3,0.3:0.8,3,2.0:3.0,3,73.7:57.1,3
01,109,Alabama,Pike County,14.5:31.5,3,1.0:1.8,3,3.2:3.3,3,81.3:63.5,3
01,111,Alabama,Randolph County,13.6:23.1,3,2.1:2.5,3,5.3:5.3,3,79.0:69.2,3
01,113,Alabama,Russell County,22.1:34.1,2,5.8:4.4,2,2.7:4.6,2,69.5:56.9,2
01,115,Alabama,St. Clair County,5.9:5.9,2,5.4:3.8,2,2.1:2.1,2,86.5:88.3,2
01,117,Alabama,Shelby County,9.0:13.4,1,2.3:4.1,1,3.3:4.2,1,85.4:78.3,1
01,119,Alabama,Sumter County,24.0:39.2,3,0.3:0.8,3,2.0:3.0,3,73.7:57.1,3
01,121,Alabama,Talladega County,13.6:23.1,2,2.1:2.5,2,5.3:5.3,2,79.0:69.2,2
01,123,Alabama,Tallapoosa County,23.0:41.1,2,NA:1.0,NA,3.2:3.3,2,73.8:54.5,2
01,125,Alabama,Tuscaloosa County,18.3:28.9,1,1.4:1.9,1,2.9:4.1,1,77.5:65.1,1
01,127,Alabama,Walker County,14.4:16.7,2,0.7:2.0,2,2.8:4.4,2,82.2:76.8,2
01,129,Alabama,Washington County,25.8:37.2,3,0.0:0.2,3,2.9:3.8,3,71.3:58.8,3
01,131,Alabama,Wilcox County,25.8:37.2,3,0.0:0.2,3,2.9:3.8,3,71.3:58.8,3
01,133,Alabama,Winston County,0.1:1.1,3,1.3:2.2,3,6.6:5.0,3,92.0:91.7,3
02,013,Alaska,Aleutians East Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,016,Alaska,Aleutians West Census Area,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,020,Alaska,Anchorage Municipality,3.3:5.5,1,4.4:7.8,1,13.9:23.6,1,78.4:63.1,1
02,050,Alaska,Bethel Census Area,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,060,Alaska,Bristol Bay Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,063,Alaska,Chugach Census Area,0.7:4.2,3,2.5:6.1,3,14.7:21.8,3,82.0:67.8,3
02,066,Alaska,Copper River Census Area,0.7:4.2,3,2.5:6.1,3,14.7:21.8,3,82.0:67.8,3
02,068,Alaska,Denali Borough,0.7:4.2,3,2.5:6.1,3,14.7:21.8,3,82.0:67.8,3
02,070,Alaska,Dillingham Census Area,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,090,Alaska,Fairbanks North Star Borough,0.7:4.2,2,2.5:6.1,2,14.7:21.8,2,82.0:67.8,2
02,100,Alaska,Haines Borough,0.7:4.2,3,2.5:6.1,3,14.7:21.8,3,82.0:67.8,3
02,105,Alaska,Hoonah-Angoon Census Area,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,110,Alaska,Juneau City and Borough,0.7:4.2,3,2.5:6.1,3,14.7:21.8,3,82.0:67.8,3
02,122,Alaska,Kenai Peninsula Borough,0.7:1.5,2,3.3:3.0,2,12.9:14.2,2,83.1:81.2,2
02,130,Alaska,Ketchikan Gateway Borough,0.7:4.2,3,2.5:6.1,3,14.7:21.8,3,82.0:67.8,3
02,150,Alaska,Kodiak Island Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,158,Alaska,Kusilvak Census Area,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,164,Alaska,Lake and Peninsula Borough,0.6:0.3,3,5.5:4.3,3,53.7:65.6,3,40.2:29.9,3
02,170,Alaska,Matanuska-Susitna Borough,0.7:1.5,2,3.3:3.0,2,12.9:14.2,2,83.1:81.2,2
