year,state,place,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2014,01,03076,0.119:0.246,2,0.040:0.030,2,0.026:0.027,2,0.815:0.697,2
2014,01,07000,0.384:0.643,3,0.013:0.030,3,0.014:0.020,3,0.588:0.307,3
2014,01,35896,0.052:0.166,3,0.023:0.040,3,0.030:0.040,3,0.894:0.754,3
2014,01,37000,0.058:0.230,3,0.021:0.043,3,0.053:0.049,3,0.868:0.678,3
2014,01,50000,0.320:0.473,3,0.009:0.023,3,0.015:0.028,3,0.656:0.476,3
2014,01,51000,0.328:0.554,3,0.027:0.019,3,0.038:0.024,3,0.607:0.403,3
2014,01,77256,0.223:0.407,2,0.040:0.023,2,0.015:0.029,2,0.722:0.541,2
2014,02,03000,0.010:0.063,2,0.032:0.074,2,0.109:0.189,2,0.850:0.674,2
2014,04,04720,0.063:0.086,2,0.298:0.386,2,0.043:0.059,2,0.596:0.469,2
2014,04,07940,0.022:0.031,2,0.132:0.209,2,0.050:0.058,2,0.796:0.702,2
2014,04,12000,0.027:0.060,3,0.116:0.178,3,0.103:0.108,3,0.754:0.654,3
2014,04,23620,0.007:0.013,3,0.077:0.115,3,0.112:0.242,3,0.804:0.631,3
2014,04,27400,0.021:0.023,1,0.100:0.126,1,0.098:0.080,1,0.781:0.770,1
2014,04,27820,0.022:0.063,1,0.158:0.256,1,0.082:0.076,1,0.738:0.605,1
2014,04,28380,0.040:0.066,2,0.184:0.217,2,0.031:0.064,2,0.745:0.653,2
2014,04,46000,0.017:0.034,2,0.130:0.207,2,0.024:0.036,2,0.829:0.724,2
2014,04,54050,0.031:0.046,2,0.088:0.150,2,0.079:0.062,2,0.802:0.742,2
2014,04,55000,0.021:0.071,2,0.128:0.301,2,0.055:0.062,2,0.796:0.566,2
2014,04,65000,0.004:0.008,3,0.016:0.058,3,0.056:0.061,3,0.924:0.873,3
2014,04,71510,0.025:0.051,1,0.096:0.129,1,0.029:0.028,1,0.851:0.792,1
2014,04,73000,0.028:0.054,3,0.097:0.157,3,0.069:0.121,3,0.806:0.668,3
2014,04,77000,0.017:0.034,2,0.187:0.307,2,0.040:0.062,2,0.756:0.597,2
2014,04,85540,0.021:0.022,2,0.408:0.520,2,0.010:0.029,2,0.562:0.430,2
2014,05,23290,0.031:0.052,2,0.044:0.106,2,0.041:0.066,2,0.884:0.776,2
2014,05,24550,0.015:0.054,2,0.030:0.060,2,0.107:0.069,2,0.849:0.817,2
2014,05,35710,0.016:0.052,2,0.008:0.021,2,0.005:0.041,2,0.971:0.886,2
2014,05,41000,0.147:0.393,1,0.022:0.045,1,0.046:0.034,1,0.785:0.527,1
2014,05,66080,0.028:0.049,3,0.045:0.107,3,0.041:0.066,3,0.886:0.779,3
2014,06,00562,0.033:0.101,2,0.071:0.175,2,0.315:0.286,2,0.581:0.438,2
2014,06,00884,0.008:0.015,2,0.216:0.289,2,0.490:0.462,2,0.285:0.234,2
2014,06,02000,0.010:0.024,3,0.221:0.394,3,0.238:0.202,3,0.531:0.379,3
2014,06,02252,0.092:0.178,1,0.153:0.253,1,0.175:0.137,1,0.580:0.432,1
2014,06,02364,0.042:0.064,2,0.248:0.313,2,0.085:0.051,2,0.625:0.573,2
2014,06,03526,0.030:0.059,2,0.308:0.433,2,0.097:0.068,2,0.564:0.440,2
2014,06,04982,0.054:0.142,2,0.508:0.544,2,0.156:0.135,2,0.282:0.179,2
2014,06,06000,0.023:0.078,1,0.028:0.071,1,0.126:0.216,1,0.822:0.636,1
2014,06,08786,0.016:0.037,3,0.134:0.222,3,0.235:0.255,3,0.615:0.486,3
2014,06,08954,NA:0.005,NA,0.161:0.214,1,0.124:0.146,1,0.715:0.635,1
2014,06,11194,0.001:0.010,1,0.095:0.119,1,0.096:0.092,1,0.807:0.779,1
2014,06,11530,0.250:0.241,1,0.319:0.344,1,0.308:0.298,1,0.123:0.117,1
2014,06,13014,0.004:0.013,1,0.050:0.116,1,0.042:0.064,1,0.904:0.807,1
2014,06,13210,0.042:0.049,2,0.301:0.393,2,0.287:0.232,2,0.370:0.325,2
2014,06,13214,0.042:0.047,2,0.292:0.376,2,0.294:0.244,2,0.373:0.332,2
2014,06,13392,0.012:0.043,1,0.411:0.496,1,0.247:0.178,1,0.331:0.283,1
2014,06,13588,0.011:0.020,1,0.073:0.126,1,0.047:0.049,1,0.868:0.805,1
2014,06,14218,0.015:0.027,1,0.172:0.243,1,0.143:0.114,1,0.670:0.615,1
2014,06,15044,0.427:0.408,2,0.544:0.559,2,0.026:0.023,2,0.003:0.010,2
2014,06,16000,0.022:0.051,3,0.088:0.163,3,0.157:0.170,3,0.733:0.616,3
2014,06,16350,0.076:0.064,2,0.275:0.347,2,0.150:0.126,2,0.500:0.462,2
2014,06,16532,0.002:0.021,2,0.079:0.209,2,0.217:0.180,2,0.703:0.590,2
2014,06,17918,0.017:0.025,2,0.154:0.208,2,0.447:0.436,2,0.382:0.332,2
2014,06,19766,0.010:0.041,1,0.498:0.630,1,0.123:0.103,1,0.370:0.226,1
2014,06,21712,0.010:0.054,2,0.158:0.217,2,0.064:0.079,2,0.768:0.650,2
2014,06,22020,0.088:0.108,1,0.101:0.125,1,0.327:0.320,1,0.484:0.447,1
2014,06,22230,0.006:0.004,1,0.298:0.613,1,0.505:0.300,1,0.191:0.083,1
2014,06,22804,0.023:0.028,1,0.166:0.358,1,0.127:0.087,1,0.683:0.526,1
2014,06,23182,0.136:0.153,1,0.151:0.213,1,0.194:0.199,1,0.519:0.435,1
2014,06,24638,0.032:0.022,2,0.074:0.078,2,0.155:0.120,2,0.738:0.780,2
2014,06,24680,0.085:0.094,1,0.515:0.614,1,0.124:0.076,1,0.275:0.216,1
2014,06,26000,0.006:0.036,2,0.074:0.118,2,0.611:0.564,2,0.309:0.282,2
2014,06,27000,0.041:0.071,3,0.230:0.399,3,0.123:0.125,3,0.605:0.406,3
2014,06,28000,0.012:0.030,3,0.160:0.298,3,0.272:0.236,3,0.555:0.436,3
2014,06,29000,0.001:0.011,3,0.220:0.317,3,0.468:0.421,3,0.311:0.250,3
