year,state,place,subgroup_type,subgroup,ratio_black_nh_house_value_households,ratio_black_nh_house_value_households_quality,ratio_hispanic_house_value_households,ratio_hispanic_house_value_households_quality,ratio_other_nh_house_value_households,ratio_other_nh_house_value_households_quality,ratio_white_nh_house_value_households,ratio_white_nh_house_value_households_quality
2014,01,03076,age,All,0.119:0.246,2,0.040:0.030,2,0.026:0.027,2,0.815:0.697,2
2014,01,03076,age,Age 45 and Over,0.098:0.236,2,NA,NA,0.030:0.017,2,0.872:0.747,2
2014,01,03076,age,Under Age 45,0.161:0.257,2,0.121:0.060,2,0.018:0.036,2,0.701:0.647,2
2014,01,07000,age,All,0.384:0.643,3,0.013:0.030,3,0.014:0.020,3,0.588:0.307,3
2014,01,07000,age,Age 45 and Over,0.430:0.681,3,0.012:0.010,3,0.014:0.014,3,0.544:0.294,3
2014,01,07000,age,Under Age 45,0.240:0.585,3,0.016:0.060,3,0.015:0.028,3,0.730:0.327,3
2014,01,35896,age,All,0.052:0.166,3,0.023:0.040,3,0.030:0.040,3,0.894:0.754,3
2014,01,35896,age,Age 45 and Over,0.047:0.116,3,0.020:0.027,3,0.029:0.031,3,0.903:0.827,3
2014,01,35896,age,Under Age 45,0.067:0.237,3,0.031:0.060,3,0.033:0.054,3,0.868:0.649,3
2014,01,37000,age,All,0.058:0.230,3,0.021:0.043,3,0.053:0.049,3,0.868:0.678,3
2014,01,37000,age,Age 45 and Over,0.053:0.168,3,0.020:0.023,3,0.046:0.048,3,0.881:0.762,3
2014,01,37000,age,Under Age 45,0.075:0.325,3,0.023:0.074,3,0.076:0.052,3,0.825:0.550,3
2014,01,50000,age,All,0.320:0.473,3,0.009:0.023,3,0.015:0.028,3,0.656:0.476,3
2014,01,50000,age,Age 45 and Over,0.347:0.474,3,0.009:0.016,3,0.013:0.027,3,0.631:0.482,3
2014,01,50000,age,Under Age 45,0.230:0.472,3,0.009:0.034,3,0.019:0.029,3,0.742:0.465,3
2014,01,51000,age,All,0.328:0.554,3,0.027:0.019,3,0.038:0.024,3,0.607:0.403,3
2014,01,51000,age,Age 45 and Over,0.307:0.476,3,0.028:0.015,3,0.046:0.026,3,0.618:0.482,3
2014,01,51000,age,Under Age 45,0.389:0.660,3,0.022:0.024,3,0.013:0.020,3,0.576:0.296,3
