year,state,county,pctl_income_20,pctl_20_quality,pctl_income_50,pctl_50_quality,pctl_income_80,pctl_80_quality
2018,01,001,19938.106223425693,3,53684.26676023392,3,102092.5476818181,3
2018,01,003,25147.841273959482,1,55222.00596622642,1,112502.77262232559,1
2018,01,005,12076.116240000001,3,34010.18582692308,3,75401.31102666666,3
2018,01,007,10101.820049344537,3,28024.537319387746,3,72978.0717497561,3
2018,01,009,22537.26137626943,2,52301.008063893474,2,95930.06907432205,2
2018,01,011,12076.116240000001,3,34010.18582692308,3,75401.31102666666,3
2018,01,013,16824.16418,3,47482.446578640775,3,96640.18638461539,3
2018,01,015,19298.031525394737,1,47163.46446375,1,94652.50383711343,1
2018,01,017,15773.684686046512,3,42852.77261781377,3,84441.63494999998,3
2018,01,019,15394.04384937931,3,38362.4710496994,3,78881.23950644636,3
2018,01,021,15773.684686046512,3,42852.77261781377,3,84441.63495000002,3
2018,01,023,13648.96287657754,3,37405.16501916377,3,79639.70944873097,3
2018,01,025,13648.96287657754,3,37405.16501916377,3,79639.70944873098,3
2018,01,027,15394.04384937931,3,38362.4710496994,3,78881.2395064463,3
2018,01,029,15394.043849379312,3,38362.4710496994,3,78881.2395064463,3
2018,01,031,16824.16418,2,47482.446578640775,2,96640.18638461539,2
2018,01,033,18965.492432812498,3,48473.0443008,3,89643.57791326531,3
2018,01,035,13648.962876577541,3,37405.16501916377,3,79639.70944873098,3
2018,01,037,15773.684686046516,3,42852.77261781377,3,84441.63495000002,3
2018,01,039,16824.16418,3,47482.446578640775,3,96640.1863846154,3
2018,01,041,16824.16418,3,47482.446578640775,3,96640.1863846154,3
2018,01,043,19326.560030136985,1,44209.166569745954,1,87126.34200000002,1
2018,01,045,17190.622062580645,3,45365.66755408333,3,94741.03232625005,3
2018,01,047,10101.820049344537,3,28024.537319387746,3,72978.07174975611,3
2018,01,049,14616.658690353981,2,35417.43237720472,2,75908.15600892964,2
2018,01,051,19938.106223425693,2,53684.26676023393,2,102092.54768181824,2
2018,01,053,13648.96287657754,3,37405.16501916377,3,79639.70944873097,3
2018,01,055,22286.832027951805,1,45213.13658389262,1,88287.85448407644,1
2018,01,057,15159.699513153639,3,40879.79697236844,3,87959.89437402354,3
2018,01,059,18965.4924328125,3,48473.0443008,3,89643.57791326536,3
2018,01,061,17190.622062580645,3,45365.66755408334,3,94741.03232625005,3
2018,01,063,10101.820049344537,3,28024.537319387764,3,72978.0717497561,3
2018,01,065,10101.820049344537,3,28024.537319387746,3,72978.07174975608,3
2018,01,067,17190.622062580645,3,45365.66755408334,3,94741.03232625026,3
2018,01,069,17190.622062580645,2,45365.66755408333,2,94741.03232625026,2
2018,01,071,14616.658690353981,2,35417.43237720472,2,75908.15600892964,2
2018,01,073,20959.502764086687,1,55022.648865999996,1,108600.7255462555,1
2018,01,075,15159.699513153639,3,40879.79697236839,3,87959.89437402353,3
2018,01,077,18965.4924328125,2,48473.0443008,2,89643.57791326533,2
2018,01,079,22030.95607348624,3,47544.68569055794,3,99392.69534333334,3
2018,01,081,14275.92612017143,1,47157.5006128205,1,109341.870715,1
2018,01,083,30349.778147524754,2,73001.62249483696,2,118611.14543333334,2
2018,01,085,19938.106223425693,3,53684.26676023392,3,102092.5476818181,3
2018,01,087,12076.116240000001,3,34010.18582692308,3,75401.31102666668,3
2018,01,089,24260.182842995204,1,60735.99638735569,1,120472.37431703821,1
2018,01,091,10101.820049344537,3,28024.53731938777,3,72978.0717497561,3
2018,01,093,16186.881978340542,3,43289.93090062045,3,88053.45107191312,3
2018,01,095,20677.062673170738,1,55487.77153044304,1,111924.70523333334,1
2018,01,097,16993.945263448277,1,45488.196399860724,1,90845.6723606635,1
2018,01,099,13648.962876577541,3,37405.16501916377,3,79639.70944873098,3
2018,01,101,18897.26818172089,1,50577.99219116444,1,102344.05489228154,1
2018,01,103,22030.956073486235,1,47544.68569055794,1,99392.69534333334,1
2018,01,105,10101.820049344537,3,28024.53731938777,3,72978.07174975611,3
2018,01,107,29552.924720388346,3,63687.79867933884,3,108510.48175384615,3
2018,01,109,12076.116240000001,3,34010.18582692308,3,75401.31102666668,3
2018,01,111,15394.04384937931,3,38362.4710496994,3,78881.2395064463,3
2018,01,113,12076.116240000001,2,34010.18582692309,2,75401.31102666668,2
2018,01,115,22537.26137626943,2,52301.008063893445,2,95930.06907432205,2
2018,01,117,32356.257643728815,1,70900.46047598684,1,136718.56581333335,1
2018,01,119,10101.820049344537,3,28024.53731938774,3,72978.0717497561,3
2018,01,121,15394.04384937931,2,38362.4710496994,2,78881.2395064463,2
2018,01,123,15773.684686046512,3,42852.77261781377,3,84441.63494999999,3
2018,01,125,19130.78602293781,1,52493.39374802574,1,102709.49670343126,1
2018,01,127,15159.699513153639,2,40879.79697236844,2,87959.89437402354,2
2018,01,129,13648.962876577541,3,37405.16501916377,3,79639.70944873098,3
2018,01,131,13648.96287657754,3,37405.16501916377,3,79639.70944873098,3
2018,01,133,19326.56003013699,3,44209.166569745954,3,87126.34200000002,3
2018,02,013,NA,3,NA,3,NA,3
2018,02,016,25166.36855384616,3,63660.38405922078,3,113730.26922000002,3
2018,02,020,40901.488881818186,1,81231.1781030686,1,155840.184906383,1
2018,02,050,25166.36855384616,3,63660.38405922078,3,113730.26922000002,3
2018,02,060,NA,3,NA,3,NA,3
2018,02,063,NA,3,NA,3,NA,3
2018,02,066,NA,3,NA,3,NA,3
2018,02,068,NA,3,NA,3,NA,3
2018,02,070,25166.368553846165,3,63660.38405922078,3,113730.26922000005,3
2018,02,090,34109.538224942466,2,74516.0142520958,2,142105.90487836956,2
2018,02,100,NA,3,NA,3,NA,3
2018,02,105,NA,3,NA,3,NA,3
2018,02,110,34109.53822494247,3,74516.0142520958,3,142105.90487836956,3
2018,02,122,22348.919819999985,2,65511.36958278146,2,130154.85922838711,2
2018,02,130,34109.53822494247,3,74516.0142520958,3,142105.90487836956,3
2018,02,150,25166.36855384616,3,63660.38405922078,3,113730.26922000003,3
2018,02,158,25166.368553846154,3,63660.38405922078,3,113730.26921999996,3
2018,02,164,NA,3,NA,3,NA,3
2018,02,170,22348.919820000025,2,65511.36958278146,2,130154.85922838711,2
2018,02,180,25166.36855384617,3,63660.38405922078,3,113730.26922000003,3
2018,02,185,25166.368553846154,3,63660.38405922078,3,113730.26922000002,3
2018,02,188,25166.368553846154,3,63660.38405922078,3,113730.26921999999,3
2018,02,195,NA,3,NA,3,NA,3
2018,02,198,25166.36855384616,3,63660.38405922078,3,113730.26922000002,3
2018,02,220,25166.368553846154,3,63660.38405922078,3,113730.26922000002,3
2018,02,230,NA,3,NA,3,NA,3
2018,02,240,NA,3,NA,3,NA,3
2018,02,275,NA,3,NA,3,NA,3
2018,02,282,NA,3,NA,3,NA,3
2018,02,290,25166.36855384616,3,63660.38405922078,3,113730.26922000002,3
2018,04,001,11074.657586159168,2,35448.42602583025,2,78052.44840465116,2
2018,04,003,19010.21032855124,2,45011.63388279884,2,90912.9444374785,2
2018,04,005,24999.181572000005,1,63325.22556103847,1,120466.44327272728,1
2018,04,007,18094.555656190478,2,48063.86958862275,2,85924.25635963638,2
2018,04,009,18094.555656190478,3,48063.86958862275,3,85924.25635963638,3
2018,04,011,18094.555656190478,3,48063.86958862275,3,85924.25635963636,3
2018,04,012,18717.558585987266,3,42460.94931546392,3,79122.87570000002,3
2018,04,013,30176.713206560747,1,65415.84597698863,1,126601.20406845848,1
2018,04,015,18717.55858598726,1,42460.94931546391,1,79122.8757,1
2018,04,017,11074.65758615917,2,35448.42602583025,2,78052.44840465116,2
2018,04,019,24035.986485861027,1,53518.03699052533,1,109013.86850057145,1
2018,04,021,27430.41642741361,1,60714.912933881715,1,101264.9541037943,1
2018,04,023,19010.21032855124,3,45011.63388279884,3,90912.94443747852,3
2018,04,025,21216.458773125,1,47986.77588582089,1,93764.59744515902,1
2018,04,027,21571.918468695654,1,43029.65043701299,1,82951.64069653585,1
2018,05,001,15817.631361821363,3,39282.95508309859,3,81424.47369984024,3
2018,05,003,16160.169942287324,3,38473.09914298246,3,85141.57241066667,3
2018,05,005,17122.690096,3,39608.638960227276,3,81002.2275505618,3
2018,05,007,33473.25345234783,1,68242.21392000002,1,132134.01313121745,1
2018,05,009,17122.690096,3,39608.638960227276,3,81002.2275505618,3
2018,05,011,16160.169942287324,3,38473.09914298246,3,85141.57241066667,3
2018,05,013,NA,3,NA,3,NA,3
2018,05,015,17122.690096,3,39608.63896022727,3,81002.2275505618,3
2018,05,017,16160.169942287324,3,38473.09914298246,3,85141.57241066667,3
2018,05,019,18643.879362857144,3,42479.6142462406,3,84005.893716,3
2018,05,021,17501.00357817073,3,42551.58371317647,3,84207.15265611763,3
2018,05,023,17480.190636077168,3,40403.659156,3,75064.40911799997,3
2018,05,025,16160.169942287324,3,38473.09914298246,3,85141.57241066667,3
2018,05,027,14341.371444175824,3,42494.814163636365,3,85771.68658285715,3
2018,05,029,20225.777790058706,3,41321.07914417476,3,70749.06209956679,3
2018,05,031,18185.17974611829,2,42541.23534599279,2,84374.48337151538,2
2018,05,033,19883.84826524272,3,46807.33272666661,3,95231.29267189656,3
2018,05,035,18934.54732604651,2,40513.21582105263,2,89677.6924040817,2
2018,05,037,11297.070623846155,3,36455.69455525424,3,73853.69544477879,3
2018,05,039,14341.371444175826,3,42494.814163636365,3,85771.68658285715,3
2018,05,041,16160.169942287324,3,38473.09914298246,3,85141.57241066667,3
2018,05,043,16160.169942287324,3,38473.09914298246,3,85141.57241066667,3
2018,05,045,21367.19130488889,2,50585.284006,2,109551.99852893616,2
2018,05,047,15826.680276623378,3,40028.765403149606,3,80869.74137538462,3
2018,05,049,17480.190636077168,3,40403.659156,3,75064.40911800003,3
2018,05,051,18643.879362857144,2,42479.6142462406,2,84005.893716,2
2018,05,053,15489.127466666667,3,39840.90100204082,3,80937.00055039655,3
2018,05,055,17501.00357817073,3,42551.58371317647,3,84207.15265611772,3
2018,05,057,16880.78137139466,3,36728.8734,3,78564.11373923077,3
2018,05,059,18643.879362857147,3,42479.614246240606,3,84005.893716,3
2018,05,061,15826.680276623378,3,40028.765403149606,3,80869.74137538462,3
2018,05,063,17480.190636077168,3,40403.659156,3,75064.40911800003,3
2018,05,065,17480.190636077168,3,40403.659156,3,75064.40911800007,3
2018,05,067,17164.27077522353,3,39678.45209316109,3,81603.7911716529,3
2018,05,069,15489.127466666667,2,39840.90100204082,2,80937.00055039655,2
2018,05,071,20225.777790058706,3,41321.07914417476,3,70749.06209956679,3
2018,05,073,16880.78137139466,3,36728.87340000001,3,78564.11373923077,3
2018,05,075,17501.00357817073,3,42551.58371317647,3,84207.15265611767,3
2018,05,077,11297.070623846155,3,36455.69455525424,3,73853.69544477876,3
2018,05,079,16160.169942287324,3,38473.09914298246,3,85141.57241066669,3
2018,05,081,16880.78137139466,3,36728.8734,3,78564.11373923077,3
2018,05,083,15826.680276623376,3,40028.7654031496,3,80869.74137538462,3
2018,05,085,21367.19130488889,2,50585.284006,2,109551.99852893618,2
2018,05,087,17122.690096,3,39608.63896022727,3,81002.22755056179,3
2018,05,089,17122.690096,3,39608.63896022727,3,81002.2275505618,3
2018,05,091,16880.78137139466,2,36728.87340000001,2,78564.11373923077,2
2018,05,093,18934.54732604651,2,40513.21582105263,2,89677.69240408165,2
2018,05,095,11297.070623846155,3,36455.69455525424,3,73853.69544477876,3
2018,05,097,18643.879362857144,3,42479.614246240606,3,84005.89371600002,3
2018,05,099,16880.781371394656,3,36728.8734,3,78564.11373923077,3
2018,05,101,17122.690096,3,39608.63896022727,3,81002.2275505618,3
2018,05,103,14341.371444175824,3,42494.814163636365,3,85771.68658285715,3
2018,05,105,20225.777790058706,3,41321.07914417476,3,70749.06209956679,3
2018,05,107,11297.070623846155,3,36455.69455525424,3,73853.69544477877,3
2018,05,109,16880.781371394656,3,36728.87339999999,3,78564.11373923076,3
2018,05,111,11297.070623846155,3,36455.69455525424,3,73853.6954447788,3
2018,05,113,15826.680276623381,3,40028.765403149606,3,80869.74137538462,3
2018,05,115,20225.777790058706,2,41321.07914417476,2,70749.06209956679,2
2018,05,117,17164.27077522353,3,39678.4520931611,3,81603.7911716529,3
2018,05,119,21652.984207346944,1,50405.10376374633,1,112540.34754066421,1
2018,05,121,17501.00357817073,3,42551.58371317647,3,84207.15265611767,3
2018,05,123,11297.070623846155,3,36455.69455525424,3,73853.69544477876,3
2018,05,125,30700.57454145252,1,62718.874437096776,1,110952.53602782353,1
2018,05,127,15826.680276623378,3,40028.765403149606,3,80869.74137538462,3
2018,05,129,17122.690096,3,39608.63896022727,3,81002.2275505618,3
2018,05,131,19883.84826524272,2,46807.33272666657,2,95231.29267189656,2
2018,05,133,15826.680276623381,3,40028.765403149606,3,80869.74137538462,3
2018,05,135,17480.190636077168,3,40403.659156,3,75064.40911800003,3
2018,05,137,17480.190636077168,3,40403.659156,3,75064.40911799997,3
2018,05,139,14341.371444175824,2,42494.814163636365,2,85771.68658285716,2
2018,05,141,17480.190636077168,3,40403.659156,3,75064.40911800003,3
2018,05,143,20598.382445581396,1,47547.02596764706,1,102285.28828964286,1
2018,05,145,17164.27077522353,2,39678.4520931611,2,81603.79117165289,2
2018,05,147,17164.27077522353,3,39678.4520931611,3,81603.79117165292,3
2018,05,149,20225.77779005871,3,41321.07914417476,3,70749.06209956679,3
2018,06,001,38994.27597204255,1,102160.16827105264,1,204374.79913129416,1
2018,06,003,NA,3,NA,3,NA,3
