year,state,place,pctl_income_20,pctl_20_quality,pctl_income_50,pctl_50_quality,pctl_income_80,pctl_80_quality
2018,01,03076,14275.926120171429,2,47157.5006128205,2,109341.870715,2
2018,01,07000,13299.11180735252,3,39419.263023543106,3,82020.91620972575,3
2018,01,35896,33416.95179676452,3,76042.31374263311,3,151338.91037245834,3
2018,01,37000,22905.4647090379,3,56485.28885868975,3,119600.85723919606,3
2018,01,50000,15089.935597550415,3,40441.07266281663,3,81013.73129002741,3
2018,01,51000,18841.9808394714,3,50557.67451534903,3,102344.44107518646,3
2018,01,77256,14056.371543147037,2,47480.4156329767,2,95237.57122702105,2
2018,02,03000,40901.488881818186,2,81231.1781030686,2,155840.184906383,2
2018,04,04720,32341.822622060434,2,62625.096978902584,2,107334.43279360476,2
2018,04,07940,34843.842254417345,2,71627.68493509648,2,126592.04158917615,2
2018,04,12000,34674.9623825514,3,80966.29286293995,3,151864.99338258032,3
2018,04,23620,24999.181572,3,63325.22556103847,3,120466.44327272727,3
2018,04,27400,51603.01754710316,1,99070.3185718342,1,161947.92689820056,1
2018,04,27820,25829.44216555132,1,55629.831571004244,1,103402.70557662581,1
2018,04,28380,46583.67406588267,2,89972.05639886118,2,154321.77668538704,2
2018,04,46000,26256.327257397235,2,55638.3078263483,2,105412.2501047568,2
2018,04,54050,34754.852721890864,2,69370.09919722778,2,123910.93708331783,2
2018,04,55000,25621.1308520535,2,57724.60862778128,2,116430.01222272546,2
2018,04,65000,36534.9908436731,3,86852.48924418296,3,180101.03419060278,3
2018,04,71510,36180.14788065754,1,68879.37756863341,1,113350.05154898141,1
2018,04,73000,25301.605090942605,3,59578.72647703071,3,119070.20890738425,3
2018,04,77000,20182.05955522876,2,45148.715953688006,2,89752.30731074145,2
2018,04,85540,21571.918468695654,2,43029.650437012984,2,82951.64069653585,2
2018,05,23290,20598.382445581403,2,47547.02596764706,2,102285.28828964286,2
2018,05,24550,19883.84826524272,2,46807.332726666726,2,95231.29267189655,2
2018,05,35710,17502.034604919223,2,42551.55748247424,2,84209.05527625751,2
2018,05,41000,18370.639301591622,1,49931.23307087673,1,116427.65164168042,1
2018,05,66080,21839.678286507587,3,49538.745033193736,3,104299.69761262383,3
2018,06,00562,36701.50384850174,2,93857.68081704546,2,176047.18712086955,2
2018,06,00884,25260.93732753769,2,65836.99572033898,2,136461.79762129876,2
2018,06,02000,32255.304036343252,3,76868.26521864442,3,144533.1582607394,3
2018,06,02252,28326.48788186981,1,79040.90214888487,1,137946.16299567927,1
2018,06,02364,21007.88085648209,2,60023.62306314808,2,102175.55944303918,2
2018,06,03526,23920.50799639817,2,55566.30070264157,2,118354.30174150264,2
2018,06,04982,26603.123632970095,2,60499.198191983996,2,102091.58670061933,2
2018,06,06000,25987.2368923077,1,85274.43234328124,1,202599.5950962406,1
2018,06,08786,33617.32307512711,3,83047.65987388084,3,157723.2523680279,3
2018,06,08954,26104.1327,1,75429.15671854837,1,150204.77597231837,1
2018,06,11194,41604.10165151425,1,101233.80449018271,1,198797.21611892353,1
2018,06,11530,36305.49872134025,1,86960.21444673718,1,155269.03393867164,1
2018,06,13014,20101.46235353612,1,54577.2336450867,1,120511.0419650087,1
2018,06,13210,40454.75212095896,2,91071.87330400749,2,158588.96777876065,2
2018,06,13214,40469.83040972405,2,91153.16171433797,2,163341.37603575,2
2018,06,13392,31384.962789994057,1,85956.99385348191,1,143191.70392676385,1
2018,06,13588,23989.865640663273,1,62907.16319559857,1,116553.25469353094,1
2018,06,14218,31529.44022433721,1,73947.83790779731,1,138909.71307330605,1
2018,06,15044,17997.431947897057,2,49533.05862186569,2,91275.48697099925,2
2018,06,16000,41513.15591170249,3,101766.34306139499,3,187643.96702717987,3
2018,06,16350,38212.967556857046,2,90527.34873874478,2,169830.04781998319,2
2018,06,16532,35271.83493815421,2,83627.14205820583,2,168155.00751869584,2
2018,06,17918,42519.80364224194,2,92640.27236698152,2,185056.36730420994,2
2018,06,19766,37679.05579413202,1,72994.01000621574,1,128852.05673198392,1
2018,06,21712,27268.82512531897,2,60778.116147479086,2,128684.07705724923,2
2018,06,22020,39262.1044598936,1,89475.5779158566,1,158956.02703464407,1
2018,06,22230,22458.411633459782,1,51716.22548728541,1,95697.77386200303,1
2018,06,22804,25808.061665846926,1,66226.69888224415,1,133432.2684066223,1
2018,06,23182,40633.65737641791,1,82412.06395999998,1,154581.45342265625,1
2018,06,24638,45918.723514630874,2,98419.88232786888,2,176981.57932340426,2
2018,06,24680,30663.76511722715,1,67771.26568391516,1,132258.5101965801,1
2018,06,26000,55417.26313813387,2,136329.07413116808,2,248476.0827436976,2
2018,06,27000,20231.766315937482,3,51789.62919732427,3,105343.7298360518,3
2018,06,28000,34368.43270252848,3,75941.0895364197,3,162888.08405553165,3
2018,06,29000,27304.3867561696,3,72062.17510373531,3,130506.11287111323,3
2018,06,30000,21348.819423911933,2,70869.22596811212,2,148002.95273540428,2
2018,06,32548,31242.57459748158,2,63595.04681960952,2,109178.2148120452,2
2018,06,33000,38852.51994847184,1,85535.06088208764,1,166569.42990740924,1
2018,06,33182,21999.010570625902,2,52525.908596101086,2,117656.11330881072,2
2018,06,33434,20995.88678210831,2,60014.295963408826,2,102123.36316636078,2
