year,state,county,share_medical_debt_coll,share_medical_debt_coll_quality
2023,1,1001,.0339623,1
2023,1,1003,.0383917,1
2023,1,1005,.0440587,1
2023,1,1007,.0709571,1
2023,1,1009,.0552735,1
2023,1,1011,.0403226,1
2023,1,1013,.0709779,1
2023,1,1015,.1076271,1
2023,1,1017,.0406091,1
2023,1,1019,.08625,1
2023,1,1021,.0685401,1
2023,1,1023,.0583333,1
2023,1,1025,.0458333,1
2023,1,1027,.0578358,1
2023,1,1029,.0804829,1
2023,1,1031,.0819277,1
2023,1,1033,.0621153,1
2023,1,1035,.0652921,1
2023,1,1037,.0723684,1
2023,1,1039,.1005868,1
2023,1,1041,.0678295,1
2023,1,1043,.0760573,1
2023,1,1045,.0676038,1
2023,1,1047,.0623202,1
2023,1,1049,.090301,1
2023,1,1051,.0415603,1
2023,1,1053,.0616438,1
2023,1,1055,.0821701,1
2023,1,1057,.0358491,1
2023,1,1059,.0850112,1
2023,1,1061,.0787402,1
2023,1,1063,.0478261,1
2023,1,1065,.0537428,1
2023,1,1067,.0251799,1
2023,1,1069,.044553,1
2023,1,1071,.1002401,1
2023,1,1073,.0739003,1
2023,1,1075,.0461165,1
2023,1,1077,.0471986,1
2023,1,1079,.0796209,1
2023,1,1081,.0241851,1
2023,1,1083,.0661786,1
2023,1,1085,.0779221,1
2023,1,1087,.0418848,1
2023,1,1089,.0586176,1
2023,1,1091,.041806,1
2023,1,1093,.0406593,1
2023,1,1095,.0831117,1
2023,1,1097,.0798892,1
2023,1,1099,.1086956,1
2023,1,1101,.0586875,1
2023,1,1103,.0877014,1
2023,1,1105,.0675105,1
2023,1,1107,.0598911,1
2023,1,1109,.131019,1
2023,1,1111,.0790569,1
2023,1,1113,.1095968,1
2023,1,1115,.05625,1
2023,1,1117,.0547021,1
2023,1,1119,.0537313,1
2023,1,1121,.1145038,1
2023,1,1123,.0392593,1
2023,1,1125,.0362982,1
2023,1,1127,.0991401,1
2023,1,1129,.0761523,1
2023,1,1131,.0422535,1
2023,1,1133,.0696721,1
2023,2,2013,NA,NA
2023,2,2016,.0740741,1
2023,2,2020,.037421,1
2023,2,2050,.0215827,1
2023,2,2060,NA,NA
2023,2,2063,.010929,1
2023,2,2066,.0135135,1
2023,2,2068,.08,1
2023,2,2070,.0210526,1
2023,2,2090,.0488936,1
2023,2,2100,.027027,1
2023,2,2105,.037037,1
2023,2,2110,.022869,1
2023,2,2122,.0346562,1
2023,2,2130,.0283224,1
2023,2,2150,.0147059,1
2023,2,2158,.0254237,1
2023,2,2164,NA,NA
2023,2,2170,.0314361,1
2023,2,2180,.0182927,1
2023,2,2185,.0197368,1
2023,2,2188,.0542636,1
2023,2,2195,0,1
2023,2,2198,.0273973,1
2023,2,2220,.0393013,1
2023,2,2230,NA,NA
2023,2,2240,.0410959,1
2023,2,2275,.0166667,1
2023,2,2282,NA,NA
2023,2,2290,.0315789,1
2023,4,4001,.0651934,1
2023,4,4003,.0624082,1
2023,4,4005,.0655257,1
2023,4,4007,.0689445,1
2023,4,4009,.084,1
2023,4,4011,.1013825,1
2023,4,4012,.0365854,1
2023,4,4013,.055147,1
2023,4,4015,.044341,1
2023,4,4017,.068,1
2023,4,4019,.0398417,1
2023,4,4021,.0588462,1
2023,4,4023,.0505457,1
2023,4,4025,.0607091,1
2023,4,4027,.0514295,1
2023,5,5001,.036036,1
2023,5,5003,.1362916,1
2023,5,5005,.1066056,1
2023,5,5007,.0573726,1
2023,5,5009,.0637611,1
2023,5,5011,.1446541,1
2023,5,5013,.1923077,1
2023,5,5015,.0598389,1
2023,5,5017,.1941748,1
2023,5,5019,.0504886,1
2023,5,5021,.1512415,1
2023,5,5023,.0357895,1
2023,5,5025,.1032864,1
2023,5,5027,.1169591,1
2023,5,5029,.0486322,1
2023,5,5031,.1359807,1
2023,5,5033,.0484375,1
2023,5,5035,.1525424,1
2023,5,5037,.1058601,1
2023,5,5039,.1606218,1
2023,5,5041,.1034483,1
2023,5,5043,.1516755,1
2023,5,5045,.0512284,1
2023,5,5047,.0646465,1
2023,5,5049,.0833333,1
2023,5,5051,.0504615,1
2023,5,5053,.0551601,1
2023,5,5055,.1160261,1
2023,5,5057,.1093502,1
2023,5,5059,.04,1
2023,5,5061,.1264368,1
2023,5,5063,.0620748,1
2023,5,5065,.0860534,1
2023,5,5067,.0951374,1
2023,5,5069,.1059908,1
2023,5,5071,.0727003,1
2023,5,5073,.102439,1
2023,5,5075,.1026549,1
2023,5,5077,.1128205,1
2023,5,5079,.1025641,1
2023,5,5081,.1305556,1
2023,5,5083,.0682853,1
2023,5,5085,.0452946,1
2023,5,5087,.0595534,1
2023,5,5089,.1175439,1
2023,5,5091,.1156463,1
2023,5,5093,.1436077,1
2023,5,5095,.0628019,1
2023,5,5097,.0588235,1
2023,5,5099,.0846561,1
2023,5,5101,.0301724,1
2023,5,5103,.0632911,1
2023,5,5105,.0384615,1
2023,5,5107,.1150628,1
2023,5,5109,.0510949,1
2023,5,5111,.172028,1
2023,5,5113,.0559322,1
2023,5,5115,.055332,1
2023,5,5117,.0420561,1
2023,5,5119,.0406132,1
2023,5,5121,.0998152,1
2023,5,5123,.0998308,1
2023,5,5125,.0356961,1
2023,5,5127,.1254613,1
2023,5,5129,.035,1
2023,5,5131,.0546777,1
2023,5,5133,.1208054,1
2023,5,5135,.0765217,1
2023,5,5137,.0534591,1
2023,5,5139,.0885874,1
2023,5,5141,.0381679,1
2023,5,5143,.0683463,1
2023,5,5145,.0334021,1
2023,5,5147,.0582011,1
2023,5,5149,.0463576,1
2023,6,6001,.0231784,1
2023,6,6003,NA,NA
2023,6,6005,.0313695,1
