year,state,county,subgroup_type,subgroup,share_debt_coll,share_debt_coll_quality
2023,01,001,race-ethnicity,All,.2609164,1
2023,01,001,race-ethnicity,Majority Non-White,.4285714,1
2023,01,001,race-ethnicity,Majority White,.2540662,1
2023,01,003,race-ethnicity,All,.1992218,1
2023,01,003,race-ethnicity,Majority Non-White,NA,NA
2023,01,003,race-ethnicity,Majority White,.1995548,1
2023,01,005,race-ethnicity,All,.3244326,1
2023,01,005,race-ethnicity,Majority Non-White,.332853,1
2023,01,005,race-ethnicity,Majority White,.2181818,1
2023,01,007,race-ethnicity,All,.330033,1
2023,01,007,race-ethnicity,Majority Non-White,.4111111,1
2023,01,007,race-ethnicity,Majority White,.3158915,1
2023,01,009,race-ethnicity,All,.2526791,1
2023,01,009,race-ethnicity,Majority Non-White,NA,NA
2023,01,009,race-ethnicity,Majority White,.2528217,1
2023,01,011,race-ethnicity,All,.4395161,1
2023,01,011,race-ethnicity,Majority Non-White,.4412955,1
2023,01,011,race-ethnicity,Majority White,NA,NA
2023,01,013,race-ethnicity,All,.373817,1
2023,01,013,race-ethnicity,Majority Non-White,.3716216,1
2023,01,013,race-ethnicity,Majority White,.3789474,1
2023,01,015,race-ethnicity,All,.3460452,1
2023,01,015,race-ethnicity,Majority Non-White,.4895105,1
2023,01,015,race-ethnicity,Majority White,.3183962,1
2023,01,017,race-ethnicity,All,.3468697,1
2023,01,017,race-ethnicity,Majority Non-White,.3572711,1
2023,01,017,race-ethnicity,Majority White,.3376,1
2023,01,019,race-ethnicity,All,.32,1
2023,01,019,race-ethnicity,Majority Non-White,NA,NA
2023,01,019,race-ethnicity,Majority White,.32,1
2023,01,021,race-ethnicity,All,.3002056,1
2023,01,021,race-ethnicity,Majority Non-White,NA,NA
2023,01,021,race-ethnicity,Majority White,.3002056,1
2023,01,023,race-ethnicity,All,.3888889,1
2023,01,023,race-ethnicity,Majority Non-White,.4457831,1
2023,01,023,race-ethnicity,Majority White,.3718412,1
2023,01,025,race-ethnicity,All,.3638889,1
2023,01,025,race-ethnicity,Majority Non-White,.3869969,1
2023,01,025,race-ethnicity,Majority White,.3450882,1
2023,01,027,race-ethnicity,All,.3320895,1
2023,01,027,race-ethnicity,Majority Non-White,NA,NA
2023,01,027,race-ethnicity,Majority White,.3372093,1
2023,01,029,race-ethnicity,All,.2696177,1
2023,01,029,race-ethnicity,Majority Non-White,NA,NA
2023,01,029,race-ethnicity,Majority White,.2696177,1
2023,01,031,race-ethnicity,All,.2795181,1
2023,01,031,race-ethnicity,Majority Non-White,NA,NA
2023,01,031,race-ethnicity,Majority White,.2795181,1
2023,01,033,race-ethnicity,All,.2965865,1
2023,01,033,race-ethnicity,Majority Non-White,NA,NA
2023,01,033,race-ethnicity,Majority White,.2965865,1
2023,01,035,race-ethnicity,All,.3883162,1
2023,01,035,race-ethnicity,Majority Non-White,.3973214,1
2023,01,035,race-ethnicity,Majority White,.358209,1
2023,01,037,race-ethnicity,All,.3092105,1
2023,01,037,race-ethnicity,Majority Non-White,NA,NA
2023,01,037,race-ethnicity,Majority White,.3518519,1
2023,01,039,race-ethnicity,All,.3436714,1
2023,01,039,race-ethnicity,Majority Non-White,NA,NA
2023,01,039,race-ethnicity,Majority White,.3431208,1
2023,01,041,race-ethnicity,All,.3352713,1
2023,01,041,race-ethnicity,Majority Non-White,NA,NA
2023,01,041,race-ethnicity,Majority White,.3352713,1
2023,01,043,race-ethnicity,All,.265689,1
2023,01,043,race-ethnicity,Majority Non-White,NA,NA
2023,01,043,race-ethnicity,Majority White,.2657796,1
2023,01,045,race-ethnicity,All,.3052209,1
2023,01,045,race-ethnicity,Majority Non-White,NA,NA
2023,01,045,race-ethnicity,Majority White,.3052209,1
2023,01,047,race-ethnicity,All,.4017258,1
2023,01,047,race-ethnicity,Majority Non-White,.4015748,1
2023,01,047,race-ethnicity,Majority White,NA,NA
2023,01,049,race-ethnicity,All,.2904921,1
2023,01,049,race-ethnicity,Majority Non-White,NA,NA
2023,01,049,race-ethnicity,Majority White,.2904921,1
2023,01,051,race-ethnicity,All,.2446227,1
2023,01,051,race-ethnicity,Majority Non-White,NA,NA
2023,01,051,race-ethnicity,Majority White,.2446227,1
2023,01,053,race-ethnicity,All,.375,1
2023,01,053,race-ethnicity,Majority Non-White,.3668904,1
2023,01,053,race-ethnicity,Majority White,.3800277,1
2023,01,055,race-ethnicity,All,.3083756,1
2023,01,055,race-ethnicity,Majority Non-White,NA,NA
2023,01,055,race-ethnicity,Majority White,.309062,1
2023,01,057,race-ethnicity,All,.3018868,1
2023,01,057,race-ethnicity,Majority Non-White,NA,NA
2023,01,057,race-ethnicity,Majority White,.2984791,1
2023,01,059,race-ethnicity,All,.303132,1
2023,01,059,race-ethnicity,Majority Non-White,NA,NA
2023,01,059,race-ethnicity,Majority White,.303132,1
2023,01,061,race-ethnicity,All,.3115861,1
2023,01,061,race-ethnicity,Majority Non-White,NA,NA
2023,01,061,race-ethnicity,Majority White,.3119369,1
2023,01,063,race-ethnicity,All,.4478261,1
2023,01,063,race-ethnicity,Majority Non-White,.4478261,1
2023,01,063,race-ethnicity,Majority White,NA,NA
2023,01,065,race-ethnicity,All,.3646833,1
2023,01,065,race-ethnicity,Majority Non-White,.4161677,1
2023,01,065,race-ethnicity,Majority White,.2727273,1
2023,01,067,race-ethnicity,All,.2374101,1
2023,01,067,race-ethnicity,Majority Non-White,NA,NA
2023,01,067,race-ethnicity,Majority White,.2379182,1
2023,01,069,race-ethnicity,All,.3018109,1
2023,01,069,race-ethnicity,Majority Non-White,NA,NA
2023,01,069,race-ethnicity,Majority White,.3018109,1
2023,01,071,race-ethnicity,All,.2737095,1
2023,01,071,race-ethnicity,Majority Non-White,NA,NA
2023,01,071,race-ethnicity,Majority White,.2737095,1
2023,01,073,race-ethnicity,All,.3164223,1
2023,01,073,race-ethnicity,Majority Non-White,.4619618,1
2023,01,073,race-ethnicity,Majority White,.1958717,1
2023,01,075,race-ethnicity,All,.2669903,1
2023,01,075,race-ethnicity,Majority Non-White,NA,NA
2023,01,075,race-ethnicity,Majority White,.2669903,1
2023,01,077,race-ethnicity,All,.2455008,1
2023,01,077,race-ethnicity,Majority Non-White,NA,NA
2023,01,077,race-ethnicity,Majority White,.2455008,1
2023,01,079,race-ethnicity,All,.2947867,1
2023,01,079,race-ethnicity,Majority Non-White,.4285714,1
2023,01,079,race-ethnicity,Majority White,.2872873,1
2023,01,081,race-ethnicity,All,.2418507,1
2023,01,081,race-ethnicity,Majority Non-White,NA,NA
2023,01,081,race-ethnicity,Majority White,.2419899,1
2023,01,083,race-ethnicity,All,.2213763,1
2023,01,083,race-ethnicity,Majority Non-White,.3114754,1
2023,01,083,race-ethnicity,Majority White,.219403,1
2023,01,085,race-ethnicity,All,.4025974,1
2023,01,085,race-ethnicity,Majority Non-White,.4575472,1
2023,01,085,race-ethnicity,Majority White,.28125,1
2023,01,087,race-ethnicity,All,.4450262,1
2023,01,087,race-ethnicity,Majority Non-White,.4758621,1
2023,01,087,race-ethnicity,Majority White,.3478261,1
2023,01,089,race-ethnicity,All,.2260034,1
2023,01,089,race-ethnicity,Majority Non-White,.4529598,1
2023,01,089,race-ethnicity,Majority White,.184679,1
2023,01,091,race-ethnicity,All,.3361204,1
2023,01,091,race-ethnicity,Majority Non-White,.3271462,1
2023,01,091,race-ethnicity,Majority White,.3575757,1
2023,01,093,race-ethnicity,All,.2835165,1
2023,01,093,race-ethnicity,Majority Non-White,NA,NA
2023,01,093,race-ethnicity,Majority White,.2835165,1
2023,01,095,race-ethnicity,All,.2905585,1
2023,01,095,race-ethnicity,Majority Non-White,NA,NA
2023,01,095,race-ethnicity,Majority White,.2905585,1
2023,01,097,race-ethnicity,All,.3422612,1
2023,01,097,race-ethnicity,Majority Non-White,.4521796,1
2023,01,097,race-ethnicity,Majority White,.281828,1
2023,01,099,race-ethnicity,All,.3695652,1
2023,01,099,race-ethnicity,Majority Non-White,.3895782,1
2023,01,099,race-ethnicity,Majority White,.3360996,1
2023,01,101,race-ethnicity,All,.3832032,1
2023,01,101,race-ethnicity,Majority Non-White,.4184254,1
2023,01,101,race-ethnicity,Majority White,.2525527,1
2023,01,103,race-ethnicity,All,.2930197,1
2023,01,103,race-ethnicity,Majority Non-White,.3919308,1
2023,01,103,race-ethnicity,Majority White,.2571429,1
2023,01,105,race-ethnicity,All,.4599156,1
2023,01,105,race-ethnicity,Majority Non-White,.4599156,1
2023,01,105,race-ethnicity,Majority White,NA,NA
2023,01,107,race-ethnicity,All,.353902,1
2023,01,107,race-ethnicity,Majority Non-White,.4763949,1
2023,01,107,race-ethnicity,Majority White,.2641509,1
2023,01,109,race-ethnicity,All,.3695409,1
2023,01,109,race-ethnicity,Majority Non-White,NA,NA
2023,01,109,race-ethnicity,Majority White,.3695409,1
2023,01,111,race-ethnicity,All,.3287101,1
2023,01,111,race-ethnicity,Majority Non-White,NA,NA
2023,01,111,race-ethnicity,Majority White,.3287101,1
2023,01,113,race-ethnicity,All,.4190801,1
2023,01,113,race-ethnicity,Majority Non-White,.4417629,1
2023,01,113,race-ethnicity,Majority White,.3920596,1
2023,01,115,race-ethnicity,All,.2697917,1
2023,01,115,race-ethnicity,Majority Non-White,NA,NA
2023,01,115,race-ethnicity,Majority White,.2694986,1
2023,01,117,race-ethnicity,All,.198995,1
2023,01,117,race-ethnicity,Majority Non-White,NA,NA
2023,01,117,race-ethnicity,Majority White,.1990781,1
2023,01,119,race-ethnicity,All,.4059702,1
2023,01,119,race-ethnicity,Majority Non-White,.4090909,1
2023,01,119,race-ethnicity,Majority White,NA,NA
