year,state,county,r_black_nh_hv_hh,black_nh_wealth_quality,r_hispanic_hv_hh,hispanic_wealth_quality,r_other_nh_hv_hh,other_nh_wealth_quality,r_white_nh_hv_hh,white_nh_wealth_quality
2014,01,001,19.0%:27.2%,3,1.4%:2.3%,3,1.5%:1.9%,3,78.1%:68.7%,3
2014,01,003,3.9%:8.2%,3,1.3%:3.3%,3,1.1%:1.7%,3,93.7%:86.8%,1
2014,01,005,31.7%:50.8%,3,4.3%:1.5%,3,0.8%:0.9%,3,63.1%:46.7%,3
2014,01,007,39.7%:58.2%,3,0.3%:0.5%,3,0.3%:0.6%,3,59.7%:40.8%,3
2014,01,009,2.0%:7.3%,3,0.8%:3.4%,3,0.6%:0.9%,3,96.5%:88.5%,2
2014,01,011,31.7%:50.8%,3,4.3%:1.5%,3,0.8%:0.9%,3,63.1%:46.7%,3
2014,01,013,9.3%:20.3%,3,2.3%:2.7%,3,2.1%:2.3%,3,86.3%:74.8%,3
2014,01,015,8.9%:24.4%,1,0.5%:2.0%,3,2.8%:1.3%,3,87.8%:72.3%,1
2014,01,017,9.9%:25.5%,3,1.0%:2.4%,3,3.7%:1.5%,3,85.5%:70.6%,3
2014,01,019,16.6%:20.6%,3,0.0%:1.9%,3,0.6%:0.8%,3,82.8%:76.7%,3
2014,01,021,9.9%:25.5%,3,1.0%:2.4%,3,3.7%:1.5%,3,85.5%:70.6%,3
2014,01,023,23.7%:37.9%,3,0.2%:1.1%,3,3.7%:2.4%,3,72.4%:58.5%,3
2014,01,025,23.7%:37.9%,3,0.2%:1.1%,3,3.7%:2.4%,3,72.4%:58.5%,3
2014,01,027,16.6%:20.6%,3,0.0%:1.9%,3,0.6%:0.8%,3,82.8%:76.7%,3
2014,01,029,16.6%:20.6%,3,0.0%:1.9%,3,0.6%:0.8%,3,82.8%:76.7%,3
2014,01,031,9.3%:20.3%,2,2.3%:2.7%,3,2.1%:2.3%,3,86.3%:74.8%,2
2014,01,033,5.6%:10.4%,3,1.1%:2.1%,3,0.4%:1.5%,3,92.8%:86.0%,3
2014,01,035,23.7%:37.9%,3,0.2%:1.1%,3,3.7%:2.4%,3,72.4%:58.5%,3
2014,01,037,9.9%:25.5%,3,1.0%:2.4%,3,3.7%:1.5%,3,85.5%:70.6%,3
2014,01,039,9.3%:20.3%,3,2.3%:2.7%,3,2.1%:2.3%,3,86.3%:74.8%,3
2014,01,041,9.3%:20.3%,3,2.3%:2.7%,3,2.1%:2.3%,3,86.3%:74.8%,3
2014,01,043,0.2%:1.3%,3,0.8%:2.0%,3,0.3%:0.9%,3,98.7%:95.8%,1
2014,01,045,10.0%:21.4%,3,1.0%:2.9%,3,1.4%:1.9%,3,87.7%:73.7%,3
2014,01,047,39.7%:58.2%,3,0.3%:0.5%,3,0.3%:0.6%,3,59.7%:40.8%,3
2014,01,049,0.3%:3.0%,3,1.6%:6.6%,3,2.1%:2.5%,3,96.1%:87.8%,2
2014,01,051,19.0%:27.2%,2,1.4%:2.3%,3,1.5%:1.9%,3,78.1%:68.7%,2
2014,01,053,23.7%:37.9%,3,0.2%:1.1%,3,3.7%:2.4%,3,72.4%:58.5%,3
2014,01,055,6.1%:14.4%,1,1.2%:1.9%,3,5.5%:2.2%,3,87.1%:81.6%,1
2014,01,057,10.6%:7.9%,3,0.6%:0.5%,3,3.3%:4.6%,3,85.6%:87.0%,3
2014,01,059,5.6%:10.4%,3,1.1%:2.1%,3,0.4%:1.5%,3,92.8%:86.0%,3
2014,01,061,10.0%:21.4%,3,1.0%:2.9%,3,1.4%:1.9%,3,87.7%:73.7%,3
2014,01,063,39.7%:58.2%,3,0.3%:0.5%,3,0.3%:0.6%,3,59.7%:40.8%,3
2014,01,065,39.7%:58.2%,3,0.3%:0.5%,3,0.3%:0.6%,3,59.7%:40.8%,3
2014,01,067,10.0%:21.4%,3,1.0%:2.9%,3,1.4%:1.9%,3,87.7%:73.7%,3
2014,01,069,10.0%:21.4%,2,1.0%:2.9%,3,1.4%:1.9%,3,87.7%:73.7%,2
2014,01,071,0.3%:3.0%,3,1.6%:6.6%,3,2.1%:2.5%,3,96.1%:87.8%,2
2014,01,073,18.9%:41.0%,1,2.3%:3.0%,3,1.8%:2.5%,3,77.0%:53.5%,1
2014,01,075,10.6%:7.9%,3,0.6%:0.5%,3,3.3%:4.6%,3,85.6%:87.0%,3
2014,01,077,5.6%:10.4%,2,1.1%:2.1%,3,0.4%:1.5%,3,92.8%:86.0%,2
2014,01,079,5.6%:11.6%,3,2.8%:5.4%,3,5.8%:3.2%,3,85.8%:79.7%,3
2014,01,081,11.9%:24.6%,1,4.0%:3.0%,3,2.6%:2.7%,3,81.5%:69.7%,1
2014,01,083,10.6%:14.3%,2,2.9%:3.7%,3,3.8%:3.6%,3,82.8%:78.5%,2
2014,01,085,19.0%:27.2%,3,1.4%:2.3%,3,1.5%:1.9%,3,78.1%:68.7%,3
2014,01,087,31.7%:50.8%,3,4.3%:1.5%,3,0.8%:0.9%,3,63.1%:46.7%,3
2014,01,089,8.5%:23.0%,1,2.6%:4.2%,1,4.7%:4.4%,1,84.2%:68.4%,1
2014,01,091,39.7%:58.2%,3,0.3%:0.5%,3,0.3%:0.6%,3,59.7%:40.8%,3
2014,01,093,9.1%:8.6%,3,0.7%:1.0%,3,2.4%:3.8%,3,87.7%:86.7%,3
2014,01,095,0.7%:2.2%,3,1.2%:5.9%,3,1.5%:2.1%,3,96.6%:89.8%,1
2014,01,097,22.6%:33.8%,1,0.9%:2.1%,3,2.5%:4.2%,3,74.1%:59.9%,1
2014,01,099,23.7%:37.9%,3,0.2%:1.1%,3,3.7%:2.4%,3,72.4%:58.5%,3
2014,01,101,31.4%:53.3%,1,2.6%:1.9%,3,3.5%:2.3%,3,62.6%:42.4%,1
2014,01,103,5.6%:11.6%,1,2.8%:5.4%,3,5.8%:3.2%,3,85.8%:79.7%,1
2014,01,105,39.7%:58.2%,3,0.3%:0.5%,3,0.3%:0.6%,3,59.7%:40.8%,3
2014,01,107,11.2%:20.0%,3,1.6%:1.2%,3,1.6%:1.7%,3,85.5%:77.1%,3
2014,01,109,31.7%:50.8%,3,4.3%:1.5%,3,0.8%:0.9%,3,63.1%:46.7%,3
2014,01,111,16.6%:20.6%,3,0.0%:1.9%,3,0.6%:0.8%,3,82.8%:76.7%,3
2014,01,113,31.7%:50.8%,2,4.3%:1.5%,3,0.8%:0.9%,3,63.1%:46.7%,2
2014,01,115,2.0%:7.3%,3,0.8%:3.4%,3,0.6%:0.9%,3,96.5%:88.5%,2
2014,01,117,4.9%:9.7%,1,1.9%:3.9%,3,5.1%:4.3%,3,88.1%:82.2%,1
2014,01,119,39.7%:58.2%,3,0.3%:0.5%,3,0.3%:0.6%,3,59.7%:40.8%,3
2014,01,121,16.6%:20.6%,2,0.0%:1.9%,3,0.6%:0.8%,3,82.8%:76.7%,2
2014,01,123,9.9%:25.5%,3,1.0%:2.4%,3,3.7%:1.5%,3,85.5%:70.6%,3
2014,01,125,17.0%:32.7%,1,2.8%:1.9%,3,1.6%:2.4%,3,78.6%:63.0%,1
2014,01,127,10.6%:7.9%,3,0.6%:0.5%,3,3.3%:4.6%,3,85.6%:87.0%,2
2014,01,129,23.7%:37.9%,3,0.2%:1.1%,3,3.7%:2.4%,3,72.4%:58.5%,3
2014,01,131,23.7%:37.9%,3,0.2%:1.1%,3,3.7%:2.4%,3,72.4%:58.5%,3
2014,01,133,0.2%:1.3%,3,0.8%:2.0%,3,0.3%:0.9%,3,98.7%:95.8%,3
2014,02,013,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,016,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,020,1.0%:6.3%,3,3.2%:7.4%,3,10.9%:18.9%,1,85.0%:67.4%,1
2014,02,050,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,060,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,068,1.4%:4.1%,3,3.1%:4.2%,3,9.8%:13.5%,3,85.7%:78.2%,3
2014,02,070,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,090,1.4%:4.1%,3,3.1%:4.2%,3,9.8%:13.5%,2,85.7%:78.2%,2
2014,02,100,1.4%:4.1%,3,3.1%:4.2%,3,9.8%:13.5%,3,85.7%:78.2%,3
2014,02,105,0.2%:0.3%,3,2.4%:3.6%,3,41.4%:56.1%,3,55.9%:40.0%,3
2014,02,110,1.4%:4.1%,3,3.1%:4.2%,3,9.8%:13.5%,3,85.7%:78.2%,3
2014,02,122,0.4%:0.4%,3,2.5%:3.4%,3,8.5%:9.9%,2,88.6%:86.3%,2
2014,02,130,1.4%:4.1%,3,3.1%:4.2%,3,9.8%:13.5%,3,85.7%:78.2%,3
