state,county,puma12,afact,afact2,afact_product,afact_sum
1,33,100,0.292,1,0.292,0.292
1,59,100,0.17,1,0.17,0.17
1,77,100,0.497,1,0.497,0.497
1,93,100,0.042,0.255,0.01071,0.15077
1,83,200,0.482,1,0.482,0.482
1,89,200,0.518,0.266,0.137788,0.812052
1,89,301,1,0.355,0.355,0.812052
1,89,302,1,0.303,0.303,0.812052
1,49,400,0.572,1,0.572,0.572
1,71,400,0.428,1,0.428,0.428
1,89,500,0.214,0.076,0.016264,0.812052
1,95,500,0.786,1,0.786,0.786
1,79,600,0.223,1,0.223,0.223
1,103,600,0.777,1,0.777,0.777
1,43,700,0.767,1,0.767,0.767
1,133,700,0.233,1,0.233,0.233
1,9,800,0.407,1,0.407,0.407
1,115,800,0.593,1,0.593,0.593
1,55,900,1,1,1,1
1,19,1000,0.162,1,0.162,0.162
1,27,1000,0.087,1,0.087,0.087
1,29,1000,0.094,1,0.094,0.094
1,111,1000,0.143,1,0.143,0.143
1,121,1000,0.514,1,0.514,0.514
1,15,1100,1,1,1,1
1,117,1200,1,1,1,1
1,73,1301,1,0.153,0.153,0.999
1,73,1302,1,0.155,0.155,0.999
1,73,1303,1,0.258,0.258,0.999
1,73,1304,1,0.265,0.265,0.999
1,73,1305,1,0.168,0.168,0.999
1,57,1400,0.142,1,0.142,0.142
1,75,1400,0.12,1,0.12,0.12
1,93,1400,0.188,0.745,0.14006,0.15077
1,127,1400,0.55,1,0.55,0.55
1,107,1500,0.19,1,0.19,0.19
1,125,1500,0.81,0.432,0.34992,0.91792
1,125,1600,1,0.568,0.568,0.91792
1,7,1700,0.167,1,0.167,0.167
1,47,1700,0.32,1,0.32,0.32
1,63,1700,0.066,1,0.066,0.066
1,65,1700,0.115,1,0.115,0.115
1,91,1700,0.154,1,0.154,0.154
1,105,1700,0.077,1,0.077,0.077
1,119,1700,0.101,1,0.101,0.101
1,17,1800,0.261,1,0.261,0.261
1,21,1800,0.333,1,0.333,0.333
1,37,1800,0.088,1,0.088,0.088
1,123,1800,0.318,1,0.318,0.318
1,81,1900,1,1,1,1
1,101,2000,1,0.857,0.857,0.883312
1,1,2100,0.307,1,0.307,0.307
1,51,2100,0.446,1,0.446,0.446
1,85,2100,0.063,1,0.063,0.063
1,101,2100,0.184,0.143,0.026312,0.883312
1,23,2200,0.097,1,0.097,0.097
1,25,2200,0.18,1,0.18,0.18
1,35,2200,0.092,1,0.092,0.092
1,53,2200,0.267,1,0.267,0.267
1,99,2200,0.161,1,0.161,0.161
1,129,2200,0.122,1,0.122,0.122
1,131,2200,0.081,1,0.081,0.081
1,13,2300,0.171,1,0.171,0.171
1,31,2300,0.408,1,0.408,0.408
1,39,2300,0.308,1,0.308,0.308
1,41,2300,0.113,1,0.113,0.113
1,5,2400,0.188,1,0.188,0.188
1,11,2400,0.075,1,0.075,0.075
1,87,2400,0.147,1,0.147,0.147
1,109,2400,0.226,1,0.226,0.226
1,113,2400,0.363,1,0.363,0.363
1,45,2500,0.257,1,0.257,0.257
1,61,2500,0.137,1,0.137,0.137
1,67,2500,0.088,1,0.088,0.088
1,69,2500,0.518,1,0.518,0.518
1,3,2600,1,1,1,1
1,97,2701,1,0.268,0.268,1
1,97,2702,1,0.26,0.26,1
1,97,2703,1,0.472,0.472,1
2,20,101,1,0.454,0.454,1
2,20,102,1,0.546,0.546,1
2,122,200,0.384,1,0.384,0.384
2,170,200,0.616,1,0.616,0.616
2,68,300,0.011,1,0.011,0.011
2,90,300,0.594,1,0.594,0.594
2,100,300,0.015,1,0.015,0.015
2,110,300,0.19,1,0.19,0.19
2,130,300,0.082,1,0.082,0.082
2,230,300,0.006,1,0.006,0.006
2,240,300,0.043,1,0.043,0.043
2,261,300,0.059,1,0.059,0.059
2,13,400,0.029,1,0.029,0.029
2,16,400,0.051,1,0.051,0.051
2,50,400,0.155,1,0.155,0.155
2,60,400,0.009,1,0.009,0.009
2,70,400,0.044,1,0.044,0.044
2,105,400,0.02,1,0.02,0.02
2,150,400,0.124,1,0.124,0.124
2,164,400,0.015,1,0.015,0.015
2,180,400,0.087,1,0.087,0.087
2,185,400,0.086,1,0.086,0.086
2,188,400,0.069,1,0.069,0.069
2,195,400,0.035,1,0.035,0.035
2,198,400,0.051,1,0.051,0.051
2,220,400,0.081,1,0.081,0.081
2,270,400,0.068,1,0.068,0.068
2,275,400,0.022,1,0.022,0.022
2,282,400,0.006,1,0.006,0.006
2,290,400,0.051,1,0.051,0.051
4,13,100,1,0.029,0.029,0.997
4,13,101,1,0.038,0.038,0.997
4,13,102,1,0.034,0.034,0.997
4,13,103,1,0.028,0.028,0.997
4,13,104,1,0.026,0.026,0.997
4,13,105,1,0.035,0.035,0.997
4,13,106,1,0.03,0.03,0.997
4,13,107,1,0.026,0.026,0.997
4,13,108,1,0.026,0.026,0.997
4,13,109,1,0.027,0.027,0.997
4,13,110,1,0.031,0.031,0.997
4,13,111,1,0.027,0.027,0.997
4,13,112,1,0.028,0.028,0.997
4,13,113,1,0.027,0.027,0.997
4,13,114,1,0.027,0.027,0.997
4,13,115,1,0.027,0.027,0.997
4,13,116,1,0.026,0.026,0.997
4,13,117,1,0.026,0.026,0.997
4,13,118,1,0.028,0.028,0.997
4,13,119,1,0.028,0.028,0.997
4,13,120,1,0.026,0.026,0.997
4,13,121,1,0.032,0.032,0.997
4,13,122,1,0.027,0.027,0.997
4,13,123,1,0.028,0.028,0.997
4,13,124,1,0.026,0.026,0.997
4,13,125,1,0.027,0.027,0.997
4,13,126,1,0.032,0.032,0.997
4,13,127,1,0.03,0.03,0.997
4,13,128,1,0.027,0.027,0.997
4,13,129,1,0.028,0.028,0.997
4,13,130,1,0.03,0.03,0.997
4,13,131,1,0.027,0.027,0.997
4,13,132,1,0.027,0.027,0.997
4,13,133,1,0.027,0.027,0.997
4,13,134,1,0.029,0.029,0.997
4,19,201,1,0.103,0.103,1.001
4,19,202,1,0.118,0.118,1.001
4,19,203,1,0.112,0.112,1.001
4,19,204,1,0.107,0.107,1.001
4,19,205,1,0.125,0.125,1.001
4,19,206,1,0.104,0.104,1.001
4,19,207,1,0.104,0.104,1.001
4,19,208,1,0.11,0.11,1.001
4,19,209,1,0.118,0.118,1.001
4,1,300,0.4,1,0.4,0.4
4,17,300,0.6,1,0.6,0.6
4,5,400,1,1,1,1
4,25,500,1,1,1,1
4,12,600,0.093,1,0.093,0.093
4,15,600,0.907,1,0.907,0.907
4,27,700,1,1,1,1
4,7,800,0.487,1,0.487,0.487
4,9,800,0.338,1,0.338,0.338
4,11,800,0.077,1,0.077,0.077
4,21,800,0.099,0.029,0.002871,0.974871
4,21,803,1,0.329,0.329,0.974871
4,21,805,1,0.304,0.304,0.974871
4,21,807,1,0.339,0.339,0.974871
4,3,900,0.735,1,0.735,0.735
4,23,900,0.265,1,0.265,0.265
5,7,100,1,1,1,1
5,143,200,1,1,1,1
5,5,300,0.268,1,0.268,0.268
5,9,300,0.238,1,0.238,0.238
5,15,300,0.177,1,0.177,0.177
5,87,300,0.102,1,0.102,0.102
5,89,300,0.108,1,0.108,0.108
5,101,300,0.054,1,0.054,0.054
5,129,300,0.053,1,0.053,0.053
5,23,400,0.192,1,0.192,0.192
5,49,400,0.09,1,0.09,0.09
5,63,400,0.27,1,0.27,0.27
5,65,400,0.101,1,0.101,0.101
5,135,400,0.127,1,0.127,0.127
5,137,400,0.091,1,0.091,0.091
5,141,400,0.128,1,0.128,0.128
5,21,500,0.089,1,0.089,0.089
5,31,500,0.481,0.899,0.432419,0.44161
5,55,500,0.233,1,0.233,0.233
5,75,500,0.097,1,0.097,0.097
5,121,500,0.1,1,0.1,0.1
5,31,600,0.091,0.101,0.009191,0.44161
5,35,600,0.475,1,0.475,0.475
5,93,600,0.434,1,0.434,0.434
5,37,700,0.161,1,0.161,0.161
5,77,700,0.094,1,0.094,0.094
5,95,700,0.073,1,0.073,0.073
5,107,700,0.196,1,0.196,0.196
5,111,700,0.221,1,0.221,0.221
5,123,700,0.254,1,0.254,0.254
5,67,800,0.162,1,0.162,0.162
5,117,800,0.078,1,0.078,0.078
5,145,800,0.694,1,0.694,0.694
5,147,800,0.065,1,0.065,0.065
5,119,900,1,0.517,0.517,1
5,119,1000,1,0.483,0.483,1
5,45,1100,0.624,1,0.624,0.624
5,85,1100,0.376,1,0.376,0.376
5,125,1200,1,1,1,1
5,29,1300,0.151,1,0.151,0.151
5,71,1300,0.181,1,0.181,0.181
5,105,1300,0.074,1,0.074,0.074
5,115,1300,0.437,1,0.437,0.437
5,149,1300,0.157,1,0.157,0.157
5,33,1400,0.33,1,0.33,0.33
5,131,1400,0.67,1,0.67,0.67
5,47,1500,0.176,1,0.176,0.176
5,61,1500,0.134,1,0.134,0.134
5,83,1500,0.217,1,0.217,0.217
5,113,1500,0.2,1,0.2,0.2
5,127,1500,0.109,1,0.109,0.109
5,133,1500,0.165,1,0.165,0.165
5,19,1600,0.142,1,0.142,0.142
5,51,1600,0.595,1,0.595,0.595
5,59,1600,0.204,1,0.204,0.204
5,97,1600,0.059,1,0.059,0.059
5,1,1700,0.107,0.602,0.064414,0.092672
5,53,1700,0.167,1,0.167,0.167
5,69,1700,0.726,1,0.726,0.726
5,1,1800,0.071,0.398,0.028258,0.092672
5,3,1800,0.204,1,0.204,0.204
5,11,1800,0.107,1,0.107,0.107
5,17,1800,0.11,1,0.11,0.11
5,25,1800,0.081,1,0.081,0.081
5,41,1800,0.121,1,0.121,0.121
5,43,1800,0.173,1,0.173,0.173
5,79,1800,0.132,1,0.132,0.132
5,13,1900,0.051,1,0.051,0.051
5,27,1900,0.232,1,0.232,0.232
5,39,1900,0.077,1,0.077,0.077
5,103,1900,0.247,1,0.247,0.247
5,139,1900,0.394,1,0.394,0.394
5,57,2000,0.211,1,0.211,0.211
5,73,2000,0.071,1,0.071,0.071
5,81,2000,0.123,1,0.123,0.123
5,91,2000,0.406,1,0.406,0.406
5,99,2000,0.084,1,0.084,0.084
5,109,2000,0.105,1,0.105,0.105
6,1,101,1,0.087,0.087,1.001
6,1,102,1,0.105,0.105,1.001
6,1,103,1,0.083,0.083,1.001
6,1,104,1,0.083,0.083,1.001
6,1,105,1,0.108,0.108,1.001
6,1,106,1,0.089,0.089,1.001
6,1,107,1,0.096,0.096,1.001
6,1,108,1,0.09,0.09,1.001
6,1,109,1,0.126,0.126,1.001
6,1,110,1,0.134,0.134,1.001
6,3,300,0.006,1,0.006,0.006
6,5,300,0.199,1,0.199,0.199
6,9,300,0.238,1,0.238,0.238
6,27,300,0.097,1,0.097,0.097
6,43,300,0.095,1,0.095,0.095
6,51,300,0.074,1,0.074,0.074
6,109,300,0.29,1,0.29,0.29
6,7,701,1,0.506,0.506,1
6,7,702,1,0.494,0.494,1
6,11,1100,0.169,1,0.169,0.169
6,21,1100,0.222,1,0.222,0.222
6,103,1100,0.501,1,0.501,0.501
6,105,1100,0.109,1,0.109,0.109
6,13,1301,1,0.109,0.109,1
6,13,1302,1,0.113,0.113,1
6,13,1303,1,0.124,0.124,1
6,13,1304,1,0.112,0.112,1
6,13,1305,1,0.119,0.119,1
6,13,1306,1,0.107,0.107,1
6,13,1307,1,0.115,0.115,1
6,13,1308,1,0.102,0.102,1
6,13,1309,1,0.099,0.099,1
6,15,1500,0.207,1,0.207,0.207
6,35,1500,0.253,1,0.253,0.253
6,49,1500,0.07,1,0.07,0.07
6,63,1500,0.145,1,0.145,0.145
6,93,1500,0.325,1,0.325,0.325
6,17,1700,1,1,1,1
6,19,1901,1,0.156,0.156,1
6,19,1902,1,0.187,0.187,1
6,19,1903,1,0.109,0.109,1
6,19,1904,1,0.183,0.183,1
6,19,1905,1,0.116,0.116,1
6,19,1906,1,0.11,0.11,1
6,19,1907,1,0.139,0.139,1
6,23,2300,1,1,1,1
6,25,2500,1,1,1,1
6,29,2901,1,0.226,0.226,1
6,29,2902,1,0.239,0.239,1
6,29,2903,1,0.185,0.185,1
6,29,2904,1,0.128,0.128,1
6,29,2905,1,0.222,0.222,1
6,31,3100,1,1,1,1
6,33,3300,0.424,1,0.424,0.424
6,45,3300,0.576,1,0.576,0.576
6,37,3701,1,0.014,0.014,0.996
6,37,3702,1,0.019,0.019,0.996
6,37,3703,1,0.017,0.017,0.996
6,37,3704,1,0.017,0.017,0.996
6,37,3705,1,0.017,0.017,0.996
6,37,3706,1,0.014,0.014,0.996
6,37,3707,1,0.015,0.015,0.996
6,37,3708,1,0.014,0.014,0.996
6,37,3709,1,0.011,0.011,0.996
