year,state,county,pctl_20,pctl_50,pctl_80
2018,01,001,20160.63,53694.14,102322.8
2018,01,003,25327.42,55315.10,112960.3
2018,01,005,12157.16,34040.06,75982.27
2018,01,007,10130.97,28164.10,73246.91
2018,01,009,22592.06,52468.29,95940.29
2018,01,011,12157.16,34040.06,75982.27
2018,01,013,16918.72,47615.56,97257.31
2018,01,015,19451.46,47311.63,95433.74
2018,01,017,15804.31,42854.00,84593.60
2018,01,019,15500.38,38497.69,80034.66
2018,01,021,15804.31,42854.00,84593.60
2018,01,023,13778.12,37484.59,81047.76
2018,01,025,13778.12,37484.59,81047.76
2018,01,027,15500.38,38497.69,80034.66
2018,01,029,15500.38,38497.69,80034.66
2018,01,031,16918.72,47615.56,97257.31
2018,01,033,19046.22,48628.66,90165.63
2018,01,035,13778.12,37484.59,81047.76
2018,01,037,15804.31,42854.00,84593.60
2018,01,039,16918.72,47615.56,97257.31
2018,01,041,16918.72,47615.56,97257.31
2018,01,043,19451.46,44373.65,87126.34
2018,01,045,17222.65,45386.75,95069.02
2018,01,047,10130.97,28164.10,73246.91
2018,01,049,14689.91,35458.39,75982.27
2018,01,051,20160.63,53694.14,102322.8
2018,01,053,13778.12,37484.59,81047.76
2018,01,055,22288.13,45386.75,89152.54
2018,01,057,15196.45,41131.74,88139.44
2018,01,059,19046.22,48628.66,90165.63
2018,01,061,17222.65,45386.75,95069.02
2018,01,063,10130.97,28164.10,73246.91
2018,01,065,10130.97,28164.10,73246.91
2018,01,067,17222.65,45386.75,95069.02
2018,01,069,17222.65,45386.75,95069.02
2018,01,071,14689.91,35458.39,75982.27
2018,01,073,20971.11,55112.48,108604.0
2018,01,075,15196.45,41131.74,88139.44
2018,01,077,19046.22,48628.66,90165.63
2018,01,079,22085.51,47615.56,99688.74
2018,01,081,14446.76,47109.01,109414.5
2018,01,083,30392.91,73550.84,118633.7
2018,01,085,20160.63,53694.14,102322.8
2018,01,087,12157.16,34040.06,75982.27
2018,01,089,24314.33,60785.82,120558.5
2018,01,091,10130.97,28164.10,73246.91
2018,01,093,16209.55,43563.17,88139.44
2018,01,095,20869.80,55720.33,112048.5
2018,01,097,17020.03,45589.36,91178.73
2018,01,099,13778.12,37484.59,81047.76
2018,01,101,18944.91,50654.85,102353.2
2018,01,103,22085.51,47615.56,99688.74
2018,01,105,10130.97,28164.10,73246.91
2018,01,107,30392.91,63825.11,109414.5
2018,01,109,12157.16,34040.06,75982.27
2018,01,111,15500.38,38497.69,80034.66
2018,01,113,12157.16,34040.06,75982.27
2018,01,115,22592.06,52468.29,95940.29
2018,01,117,32419.10,70916.79,136768.1
2018,01,119,10130.97,28164.10,73246.91
