year,state,county,subgroup_type,subgroup,pctl_20,pctl_50,pctl_80,pctl_quality
2018,01,001,all,All,20160.63,53694.14,102322.8,2
2018,01,001,race-ethnicity,"Black, Non-Hispanic",12433.579944,36268.8726,81083.42055,2
2018,01,001,race-ethnicity,Hispanic,20515.002432,38396.3763,79149.060164,3
2018,01,001,race-ethnicity,Other Races and Ethnicities,23216.842696,47551.27245,86535.687792,3
2018,01,001,race-ethnicity,"White, Non-Hispanic",27845.639525,63591.277904,115007.58092,2
2018,01,003,all,All,25327.42,55315.1,112960.3,1
2018,01,003,race-ethnicity,"Black, Non-Hispanic",12663.365984,31082.938671,67269.6408,1
2018,01,003,race-ethnicity,Hispanic,13613.521468,37299.728643,83377.8831,3
2018,01,003,race-ethnicity,Other Races and Ethnicities,32216.4846,44551.976151,105785.53724,3
2018,01,003,race-ethnicity,"White, Non-Hispanic",25592.182401,58962.2454,117079.50718,1
2018,01,005,all,All,12157.16,34040.06,75982.27,2
2018,01,005,race-ethnicity,"Black, Non-Hispanic",9539.042128,25902.617424,59351.926128,2
2018,01,005,race-ethnicity,Hispanic,12400.65464,41334.3576,85708.0062,3
2018,01,005,race-ethnicity,Other Races and Ethnicities,15399.0744,31053.201696,61365.468032,3
2018,01,005,race-ethnicity,"White, Non-Hispanic",20825.437455,47693.208112,92302.523104,2
2018,01,007,all,All,10130.97,28164.1,73246.91,2
2018,01,007,race-ethnicity,"Black, Non-Hispanic",9117.873,21984.2049,49236.5142,2
2018,01,007,race-ethnicity,Hispanic,21764.836775,44275.90805,75117.186054,3
2018,01,007,race-ethnicity,Other Races and Ethnicities,33876.116148,71698.356045,434112.0645,3
2018,01,007,race-ethnicity,"White, Non-Hispanic",20164.4663,50767.088592,99283.506,2
2018,01,009,all,All,22592.06,52468.29,95940.29,2
2018,01,009,race-ethnicity,"Black, Non-Hispanic",25902.617424,48010.105825,83516.431504,3
2018,01,009,race-ethnicity,Hispanic,16003.70475,34191.333657,63825.111,3
2018,01,009,race-ethnicity,Other Races and Ethnicities,24866.148699,52976.961864,98565.429424,3
2018,01,009,race-ethnicity,"White, Non-Hispanic",22191.40055,53344.674075,97393.679724,2
2018,01,011,all,All,12157.16,34040.06,75982.27,2
2018,01,011,race-ethnicity,"Black, Non-Hispanic",9539.042128,25902.617424,59351.926128,2
2018,01,011,race-ethnicity,Hispanic,12400.65464,41334.3576,85708.0062,3
2018,01,011,race-ethnicity,Other Races and Ethnicities,15399.0744,31053.201696,61365.468032,3
2018,01,011,race-ethnicity,"White, Non-Hispanic",20825.437455,47693.208112,92302.523104,2
2018,01,013,all,All,16918.72,47615.56,97257.31,2
2018,01,013,race-ethnicity,"Black, Non-Hispanic",10174.844768,29145.793776,58042.10674,2
2018,01,013,race-ethnicity,Hispanic,26382.684192,69004.548549,101755.46268,3
2018,01,013,race-ethnicity,Other Races and Ethnicities,15367.399872,38497.686,94907.165973,3
2018,01,013,race-ethnicity,"White, Non-Hispanic",21338.273,50989.3692,101354.7799,2
2018,01,015,all,All,19451.46,47311.63,95433.74,1
2018,01,015,race-ethnicity,"Black, Non-Hispanic",12055.720875,29379.813,67214.551525,1
2018,01,015,race-ethnicity,Hispanic,25499.03455,42480.04989,101733.1376,3
2018,01,015,race-ethnicity,Other Races and Ethnicities,15905.6229,35650.88343,63318.845096,3
2018,01,015,race-ethnicity,"White, Non-Hispanic",21757.753713,52992.898464,99625.768,1
2018,01,017,all,All,15804.31,42854,84593.6,2
2018,01,017,race-ethnicity,"Black, Non-Hispanic",12718.055328,27974.543685,60785.82,2
2018,01,017,race-ethnicity,Hispanic,26496.449232,37788.5181,63318.845096,3
2018,01,017,race-ethnicity,Other Races and Ethnicities,10881.914175,52132.60312,70415.292475,3
2018,01,017,race-ethnicity,"White, Non-Hispanic",19501.618928,50654.85,94218.021,2
2018,01,019,all,All,15500.38,38497.69,80034.66,2
2018,01,019,race-ethnicity,"Black, Non-Hispanic",13474.1901,30798.1488,62263.90046,2
2018,01,019,race-ethnicity,Hispanic,9709.117968,19893.121197,37340.969325,3
2018,01,019,race-ethnicity,Other Races and Ethnicities,9523.1118,25236.24627,69903.693,3
2018,01,019,race-ethnicity,"White, Non-Hispanic",19819.019616,44809.364875,84575.768816,2
2018,01,021,all,All,15804.31,42854,84593.6,2
2018,01,021,race-ethnicity,"Black, Non-Hispanic",12718.055328,27974.543685,60785.82,2
2018,01,021,race-ethnicity,Hispanic,26496.449232,37788.5181,63318.845096,3
2018,01,021,race-ethnicity,Other Races and Ethnicities,10881.914175,52132.60312,70415.292475,3
2018,01,021,race-ethnicity,"White, Non-Hispanic",19501.618928,50654.85,94218.021,2
2018,01,023,all,All,13778.12,37484.59,81047.76,2
2018,01,023,race-ethnicity,"Black, Non-Hispanic",9495.3298,23472.1003,53130.887975,2
2018,01,023,race-ethnicity,Hispanic,0,15363.354875,85084.476027,3
2018,01,023,race-ethnicity,Other Races and Ethnicities,16462.980332,35458.395,88646.584652,2
2018,01,023,race-ethnicity,"White, Non-Hispanic",17199.313701,44513.193648,90140.421027,2
2018,01,025,all,All,13778.12,37484.59,81047.76,2
2018,01,025,race-ethnicity,"Black, Non-Hispanic",9495.3298,23472.1003,53130.887975,2
2018,01,025,race-ethnicity,Hispanic,0,15363.354875,85084.476027,3
2018,01,025,race-ethnicity,Other Races and Ethnicities,16462.980332,35458.395,88646.584652,2
2018,01,025,race-ethnicity,"White, Non-Hispanic",17199.313701,44513.193648,90140.421027,2
2018,01,027,all,All,15500.38,38497.69,80034.66,2
2018,01,027,race-ethnicity,"Black, Non-Hispanic",13474.1901,30798.1488,62263.90046,2
2018,01,027,race-ethnicity,Hispanic,9709.117968,19893.121197,37340.969325,3
2018,01,027,race-ethnicity,Other Races and Ethnicities,9523.1118,25236.24627,69903.693,3
2018,01,027,race-ethnicity,"White, Non-Hispanic",19819.019616,44809.364875,84575.768816,2
2018,01,029,all,All,15500.38,38497.69,80034.66,2
2018,01,029,race-ethnicity,"Black, Non-Hispanic",13474.1901,30798.1488,62263.90046,2
2018,01,029,race-ethnicity,Hispanic,9709.117968,19893.121197,37340.969325,3
2018,01,029,race-ethnicity,Other Races and Ethnicities,9523.1118,25236.24627,69903.693,3
2018,01,029,race-ethnicity,"White, Non-Hispanic",19819.019616,44809.364875,84575.768816,2
2018,01,031,all,All,16918.72,47615.56,97257.31,2
2018,01,031,race-ethnicity,"Black, Non-Hispanic",10174.844768,29145.793776,58042.10674,2
2018,01,031,race-ethnicity,Hispanic,26382.684192,69004.548549,101755.46268,3
2018,01,031,race-ethnicity,Other Races and Ethnicities,15367.399872,38497.686,94907.165973,3
2018,01,031,race-ethnicity,"White, Non-Hispanic",21338.273,50989.3692,101354.7799,2
2018,01,033,all,All,19046.22,48628.66,90165.63,2
2018,01,033,race-ethnicity,"Black, Non-Hispanic",12930.323296,29785.0518,62165.877342,2
2018,01,033,race-ethnicity,Hispanic,13870.885875,26939.086149,88646.584652,3
2018,01,033,race-ethnicity,Other Races and Ethnicities,18417.231024,35848.672428,79021.566,3
2018,01,033,race-ethnicity,"White, Non-Hispanic",20057.57325,46739.00352,90165.633,2
