year,state,county,share_debt_coll,county_name,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality,subgroup,subgroup_type
2018,01,001,.3600439,Autauga County,0.3912320,0.3288559,1,All,race-ethnicity
2018,01,001,.3527357,Autauga County,0.3847083,0.3207631,1,Majority white,race-ethnicity
2018,01,001,,Autauga County,,,3,Majority non-white,race-ethnicity
2018,01,003,.2832043,Baldwin County,0.2984458,0.2679628,1,All,race-ethnicity
2018,01,003,.2842748,Baldwin County,0.2997259,0.2688237,1,Majority white,race-ethnicity
2018,01,003,,Baldwin County,,,3,Majority non-white,race-ethnicity
2018,01,005,,Barbour County,,,3,Majority white,race-ethnicity
2018,01,005,,Barbour County,,,3,Majority non-white,race-ethnicity
2018,01,005,.4209115,Barbour County,0.4710825,0.3707406,1,All,race-ethnicity
2018,01,007,.4337748,Bibb County,0.4897634,0.3777862,1,All,race-ethnicity
2018,01,007,.417004,Bibb County,0.4786198,0.3553883,1,Majority white,race-ethnicity
2018,01,007,,Bibb County,,,3,Majority non-white,race-ethnicity
2018,01,009,.3421965,Blount County,0.3738328,0.3105603,1,All,race-ethnicity
2018,01,009,,Blount County,,,3,Majority non-white,race-ethnicity
2018,01,009,.3414352,Blount County,0.3730728,0.3097976,1,Majority white,race-ethnicity
2018,01,011,.4657534,Bullock County,0.5469469,0.3845600,1,All,race-ethnicity
2018,01,011,.4689655,Bullock County,0.5504748,0.3874563,1,Majority non-white,race-ethnicity
2018,01,011,,Bullock County,,,3,Majority white,race-ethnicity
2018,01,013,,Butler County,,,3,Majority non-white,race-ethnicity
2018,01,013,.4231975,Butler County,0.4775009,0.3688940,1,All,race-ethnicity
2018,01,013,,Butler County,,,3,Majority white,race-ethnicity
2018,01,015,.4521073,Calhoun County,0.4749356,0.4292789,1,All,race-ethnicity
2018,01,015,.4159357,Calhoun County,0.4420642,0.3898071,1,Majority white,race-ethnicity
2018,01,015,,Calhoun County,,,3,Majority non-white,race-ethnicity
2018,01,017,.4423381,Chambers County,0.4810603,0.4036159,1,All,race-ethnicity
2018,01,017,,Chambers County,,,3,Majority non-white,race-ethnicity
