year,state,county,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality,subgroup,subgroup_type
2018,01,001,0.3600439,0.391232,0.3288559,1,All,all
2018,01,001,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,001,0.3527357,0.3847083,0.3207631,1,Majority White,race-ethnicity
2018,01,003,0.2832043,0.2984458,0.2679628,1,All,all
2018,01,003,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,003,0.2842748,0.2997259,0.2688237,1,Majority White,race-ethnicity
2018,01,005,0.4209115,0.4710825,0.3707406,1,All,all
2018,01,005,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,005,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,007,0.4337748,0.4897634,0.3777862,1,All,all
2018,01,007,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,007,0.417004,0.4786198,0.3553883,1,Majority White,race-ethnicity
2018,01,009,0.3421965,0.3738328,0.3105603,1,All,all
2018,01,009,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,009,0.3414352,0.3730728,0.3097976,1,Majority White,race-ethnicity
2018,01,011,0.4657534,0.5469469,0.38456,1,All,all
2018,01,011,0.4689655,0.5504748,0.3874563,1,Majority Non-White,race-ethnicity
2018,01,011,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,013,0.4231975,0.4775009,0.368894,1,All,all
2018,01,013,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,013,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,015,0.4521073,0.4749356,0.4292789,1,All,all
2018,01,015,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,015,0.4159357,0.4420642,0.3898071,1,Majority White,race-ethnicity
2018,01,017,0.4423381,0.4810603,0.4036159,1,All,all
2018,01,017,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,017,0.4599303,0.5176925,0.4021681,1,Majority White,race-ethnicity
2018,01,019,0.3994845,0.4482837,0.3506854,1,All,all
2018,01,019,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,019,0.4005168,0.4494002,0.3516334,1,Majority White,race-ethnicity
2018,01,021,0.4165478,0.4530687,0.3800268,1,All,all
2018,01,021,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,021,0.4165478,0.4530687,0.3800268,1,Majority White,race-ethnicity
2018,01,023,0.4060914,0.4748456,0.3373371,1,All,all
2018,01,023,0.5294118,0.6489305,0.4098931,1,Majority Non-White,race-ethnicity
2018,01,023,0.2142857,0.3227293,0.1058422,1,Majority White,race-ethnicity
2018,01,025,0.4462366,0.4968206,0.3956525,1,All,all
2018,01,025,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,025,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,027,0.3908046,0.4501145,0.3314946,1,All,all
2018,01,027,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,027,0.3621622,0.4316092,0.2927151,1,Majority White,race-ethnicity
2018,01,029,0.3442623,0.40400199999999997,0.2845227,1,All,all
2018,01,029,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,029,0.3429752,0.4029087,0.2830417,1,Majority White,race-ethnicity
2018,01,031,0.3,0.3317755,0.2682245,1,All,all
2018,01,031,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,031,0.2957198,0.3279545,0.2634851,1,Majority White,race-ethnicity
2018,01,033,0.3774835,0.4090666,0.3459003,1,All,all
2018,01,033,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,033,0.3782267,0.4100873,0.3463661,1,Majority White,race-ethnicity
2018,01,035,0.4303797,0.5078304,0.3529291,1,All,all
2018,01,035,0.4358974,0.5261373,0.3456576,1,Majority Non-White,race-ethnicity
2018,01,035,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,037,0.4823529,0.5892131,0.3754928,1,All,all
2018,01,037,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,037,0.4615385,0.5836755,0.3394014,1,Majority White,race-ethnicity
2018,01,039,0.4412238,0.4803087,0.4021389,1,All,all
2018,01,039,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,039,0.4401295,0.47929890000000003,0.40096,1,Majority White,race-ethnicity
2018,01,041,0.4,0.4614705,0.3385295,1,All,all
2018,01,041,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,041,0.4059829,0.4690396,0.3429262,1,Majority White,race-ethnicity
2018,01,043,0.3585175,0.3836207,0.3334142,1,All,all
2018,01,043,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,043,0.3618564,0.3872287,0.3364842,1,Majority White,race-ethnicity
2018,01,045,0.3580902,0.3923348,0.3238456,1,All,all
2018,01,045,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,045,0.3561644,0.3909264,0.3214024,1,Majority White,race-ethnicity
2018,01,047,0.5616224,0.600065,0.5231799,1,All,all
2018,01,047,0.5681445,0.6075179,0.5287711,1,Majority Non-White,race-ethnicity
2018,01,047,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,049,0.3880743,0.4179513,0.3581972,1,All,all
2018,01,049,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,049,0.3880743,0.4179513,0.3581972,1,Majority White,race-ethnicity
2018,01,051,0.3207843,0.3464163,0.2951523,1,All,all
2018,01,051,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,051,0.3106633,0.3369565,0.2843701,1,Majority White,race-ethnicity
2018,01,053,0.4471154,0.486158,0.4080728,1,All,all
2018,01,053,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,053,0.4217507,0.4716676,0.3718338,1,Majority White,race-ethnicity
2018,01,055,0.3997509,0.423716,0.3757859,1,All,all
2018,01,055,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,055,0.4001256,0.4241997,0.3760516,1,Majority White,race-ethnicity
2018,01,057,0.4172662,0.475337,0.3591954,1,All,all
2018,01,057,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,057,0.4172662,0.475337,0.3591954,1,Majority White,race-ethnicity
2018,01,059,0.4401709,0.4851941,0.3951478,1,All,all
2018,01,059,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,059,0.474359,0.5298566,0.4188614,1,Majority White,race-ethnicity
2018,01,061,0.3549696,0.3972519,0.3126872,1,All,all
2018,01,061,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,061,0.355691,0.3980357,0.3133464,1,Majority White,race-ethnicity
2018,01,063,0.5254237,0.6159075,0.4349399,1,All,all
2018,01,063,0.5254237,0.6159075,0.4349399,1,Majority Non-White,race-ethnicity
2018,01,063,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,065,0.4855967,0.5485674,0.4226261,1,All,all
2018,01,065,0.557971,0.6411334,0.4748086,1,Majority Non-White,race-ethnicity
2018,01,065,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,067,0.3295455,0.3863549,0.272736,1,All,all
2018,01,067,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,067,0.3254902,0.3831141,0.2678663,1,Majority White,race-ethnicity
2018,01,069,0.3526946,0.3756182,0.329771,1,All,all
2018,01,069,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,069,0.3378723,0.3649287,0.310816,1,Majority White,race-ethnicity
2018,01,071,0.3522316,0.3847677,0.3196955,1,All,all
2018,01,071,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,071,0.3522316,0.3847677,0.3196955,1,Majority White,race-ethnicity
2018,01,073,0.4041579,0.4135511,0.3947648,1,All,all
2018,01,073,0.586866,0.6019751,0.5717568,1,Majority Non-White,race-ethnicity
2018,01,073,0.2557778,0.2676963,0.2438594,1,Majority White,race-ethnicity
2018,01,075,0.3425926,0.4060297,0.2791555,1,All,all
2018,01,075,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,075,0.3425926,0.4060297,0.2791555,1,Majority White,race-ethnicity
2018,01,077,0.3512195,0.3759265,0.3265125,1,All,all
2018,01,077,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,077,0.3501754,0.374952,0.3253988,1,Majority White,race-ethnicity
2018,01,079,0.4497258,0.4914533,0.4079982,1,All,all
2018,01,079,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,079,0.4433781,0.4860775,0.4006787,1,Majority White,race-ethnicity
2018,01,081,0.3467153,0.3666437,0.3267869,1,All,all
2018,01,081,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,081,0.3223315,0.3466151,0.2980478,1,Majority White,race-ethnicity
2018,01,083,0.3368569,0.3614575,0.3122564,1,All,all
2018,01,083,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,083,0.3522936,0.3806652,0.323922,1,Majority White,race-ethnicity
2018,01,085,0.5225806,0.6014707,0.4436905,1,All,all
2018,01,085,0.5727273,0.6655959,0.4798586,1,Majority Non-White,race-ethnicity
2018,01,085,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,087,0.5204082,0.5776126,0.4632036,1,All,all
2018,01,087,0.5822222,0.6468098,0.5176346,1,Majority Non-White,race-ethnicity
2018,01,087,0.3559322,0.4791551,0.2327093,1,Majority White,race-ethnicity
2018,01,089,0.335575,0.3475762,0.3235738,1,All,all
2018,01,089,0.6086351,0.6443595,0.5729106,1,Majority Non-White,race-ethnicity
2018,01,089,0.266573,0.2798387,0.2533073,1,Majority White,race-ethnicity
2018,01,091,0.444795,0.4995872,0.3900027,1,All,all
2018,01,091,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,091,0.4509804,0.5889056,0.3130551,1,Majority White,race-ethnicity
2018,01,093,0.4065934,0.4517774,0.3614094,1,All,all
2018,01,093,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,093,0.4065934,0.4517774,0.3614094,1,Majority White,race-ethnicity
2018,01,095,0.3618785,0.3866387,0.3371182,1,All,all
2018,01,095,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,095,0.362379,0.3871638,0.3375942,1,Majority White,race-ethnicity
2018,01,097,0.4357154,0.4476619,0.4237688,1,All,all
2018,01,097,0.6107513,0.63508,0.5864226,1,Majority Non-White,race-ethnicity
2018,01,097,0.3512667,0.3663891,0.3361442,1,Majority White,race-ethnicity
2018,01,099,0.4263323,0.4806882,0.3719764,1,All,all
2018,01,099,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,099,0.3739837,0.4598446,0.2881229,1,Majority White,race-ethnicity
2018,01,101,0.4803552,0.4964214,0.4642891,1,All,all
2018,01,101,0.6301154,0.6517951,0.6084358,1,Majority Non-White,race-ethnicity
2018,01,101,0.3076923,0.3435627,0.271822,1,Majority White,race-ethnicity
2018,01,103,0.3933842,0.414989,0.3717794,1,All,all
2018,01,103,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,103,0.3402878,0.3652053,0.3153702,1,Majority White,race-ethnicity
2018,01,105,0.5378152,0.6277731,0.4478572,1,All,all
2018,01,105,0.5378152,0.6277731,0.4478572,1,Majority Non-White,race-ethnicity
2018,01,105,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,107,0.4919614,0.5476145,0.4363084,1,All,all
2018,01,107,0.6,0.7080309,0.4919691,1,Majority Non-White,race-ethnicity
2018,01,107,0.4285714,0.5006672,0.3564757,1,Majority White,race-ethnicity
2018,01,109,0.3982684,0.4429568,0.35358,1,All,all
2018,01,109,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,109,0.3013699,0.376057,0.2266828,1,Majority White,race-ethnicity
2018,01,111,0.388724,0.4408466,0.3366015,1,All,all
2018,01,111,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,111,0.388724,0.4408466,0.3366015,1,Majority White,race-ethnicity
2018,01,113,0.5163599,0.5476961,0.4850237,1,All,all
2018,01,113,0.5883978,0.6391643,0.5376313,1,Majority Non-White,race-ethnicity
2018,01,113,0.4831461,0.5567655,0.4095266,1,Majority White,race-ethnicity
2018,01,115,0.3518931,0.3774062,0.32638,1,All,all
2018,01,115,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,115,0.3518931,0.3774062,0.32638,1,Majority White,race-ethnicity
2018,01,117,0.2556732,0.2705483,0.2407981,1,All,all
2018,01,117,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,117,0.2545066,0.2694318,0.2395813,1,Majority White,race-ethnicity
2018,01,119,0.467033,0.5397173,0.3943487,1,All,all
2018,01,119,0.467033,0.5397173,0.3943487,1,Majority Non-White,race-ethnicity
2018,01,119,NA,NA,NA,NA,Majority White,race-ethnicity
2018,01,121,0.5281523,0.5557169,0.5005877,1,All,all
2018,01,121,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,121,0.4993742,0.5340658,0.4646826,1,Majority White,race-ethnicity
2018,01,123,0.4077381,0.4449209,0.3705553,1,All,all
2018,01,123,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,123,0.410084,0.4496384,0.3705297,1,Majority White,race-ethnicity
2018,01,125,0.4068787,0.4242252,0.3895321,1,All,all
2018,01,125,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,125,0.3094462,0.3325794,0.2863131,1,Majority White,race-ethnicity
2018,01,127,0.4135922,0.4436831,0.3835014,1,All,all
2018,01,127,NA,NA,NA,NA,Majority Non-White,race-ethnicity
2018,01,127,0.4127617,0.4432462,0.3822772,1,Majority White,race-ethnicity
2018,01,129,0.4099617,0.4697452,0.3501782,1,All,all
2018,01,129,0.4920635,0.6165079,0.367619,1,Majority Non-White,race-ethnicity
2018,01,129,0.3894737,0.4589947,0.3199526,1,Majority White,race-ethnicity
