year,state,place,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,03076,all,All,44,44,44,.0046833423,1,1
2021,01,03076,race-ethnicity,"Black, Non-Hispanic",28,28,28,.6363636255,1,1
2021,01,03076,race-ethnicity,Hispanic,1,0,2,.0227272734,3,3
2021,01,03076,race-ethnicity,Other Races and Ethnicities,1,0,2,.0227272734,3,3
2021,01,03076,race-ethnicity,"White, Non-Hispanic",12,12,12,.2727272809,1,1
2021,01,07000,all,All,387,387,387,.006711293,1,1
2021,01,07000,race-ethnicity,"Black, Non-Hispanic",294,294,294,.7596899271,1,1
2021,01,07000,race-ethnicity,Hispanic,43,43,43,.1111111119,1,1
2021,01,07000,race-ethnicity,Other Races and Ethnicities,4,2,6,.0103359176,3,3
2021,01,07000,race-ethnicity,"White, Non-Hispanic",41,41,41,.1059431508,1,1
2021,01,35896,all,All,22,22,22,.0016169337,1,1
2021,01,35896,race-ethnicity,"Black, Non-Hispanic",8,8,8,.3636363745,3,3
2021,01,35896,race-ethnicity,Hispanic,1,0,2,.0454545468,3,3
2021,01,35896,race-ethnicity,Other Races and Ethnicities,3,3,3,.1363636404,3,3
2021,01,35896,race-ethnicity,"White, Non-Hispanic",8,8,8,.3636363745,3,3
2021,01,37000,all,All,388,388,388,.0088560209,1,1
2021,01,37000,race-ethnicity,"Black, Non-Hispanic",180,180,180,.4639175236,1,1
2021,01,37000,race-ethnicity,Hispanic,47,47,47,.1211340204,1,1
2021,01,37000,race-ethnicity,Other Races and Ethnicities,26,26,26,.0670103058,1,1
2021,01,37000,race-ethnicity,"White, Non-Hispanic",116,116,116,.2989690602,1,1
2021,01,50000,all,All,2336,2335,2337,.0440198258,1,1
2021,01,50000,race-ethnicity,"Black, Non-Hispanic",1353,1352,1354,.5791952014,1,1
2021,01,50000,race-ethnicity,Hispanic,175,175,175,.0749143809,1,1
2021,01,50000,race-ethnicity,Other Races and Ethnicities,126,125,127,.0539383553,1,1
2021,01,50000,race-ethnicity,"White, Non-Hispanic",683,683,683,.2923801243,1,1
2021,01,51000,all,All,266,266,266,.0097094467,1,1
2021,01,51000,race-ethnicity,"Black, Non-Hispanic",239,239,239,.8984962702,1,1
2021,01,51000,race-ethnicity,Hispanic,6,6,6,.0225563906,1,1
2021,01,51000,race-ethnicity,Other Races and Ethnicities,11,11,11,.0413533822,1,1
2021,01,51000,race-ethnicity,"White, Non-Hispanic",10,10,10,.0375939831,1,1
2021,01,77256,all,All,295,295,295,.0098088114,1,1
2021,01,77256,race-ethnicity,"Black, Non-Hispanic",219,219,219,.7423728704,1,1
2021,01,77256,race-ethnicity,Hispanic,29,29,29,.0983050838,1,1
2021,01,77256,race-ethnicity,Other Races and Ethnicities,9,9,9,.0305084754,1,1
2021,01,77256,race-ethnicity,"White, Non-Hispanic",37,37,37,.1254237294,1,1
2021,02,03000,all,All,1690,1690,1690,.0386798494,1,1
