year,state,place,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,03076,44,44,44,.0046833423,1,1
2021,01,07000,387,387,387,.006711293,1,1
2021,01,35896,22,22,22,.0016169337,3,3
2021,01,37000,388,388,388,.0088560209,1,1
2021,01,50000,2336,2335,2337,.0440198258,1,1
2021,01,51000,266,266,266,.0097094467,1,1
2021,01,77256,295,295,295,.0098088114,1,1
2021,02,03000,1690,1690,1690,.0386798494,1,1
2021,04,04720,467,467,467,.022557117,1,1
2021,04,07940,38,38,38,.0024765381,1,1
2021,04,12000,527,523,531,.0107834917,1,1
2021,04,23620,189,187,191,.0199283008,1,1
2021,04,27400,471,471,471,.0092459908,1,1
2021,04,27820,1427,1426,1428,.0160020627,1,1
2021,04,28380,,,,,,
2021,04,46000,1465,1464,1466,.0180725865,1,1
2021,04,54050,NA,NA,NA,NA,NA,NA
2021,04,55000,4680,4670,4690,.0236313511,1,1
2021,04,65000,285,283,287,.0106697613,1,1
2021,04,71510,139,138,140,.0048676287,1,1
2021,04,73000,689,687,691,.0152572021,1,1
2021,04,77000,2252,2249,2255,.0230699889,1,1
2021,04,85540,302,301,303,.0109396512,1,1
2021,05,23290,228,227,229,.0193236712,1,1
2021,05,24550,227,227,227,.0155309252,1,1
2021,05,35710,308,308,308,.0204978045,1,1
2021,05,41000,381,380,382,.0082555087,1,1
2021,05,66080,587,587,587,.0257016513,1,1
2021,06,00562,83,82,84,.0083274804,1,1
2021,06,00884,294,294,294,.0192635302,1,1
2021,06,02000,5430,5429,5431,.1048505455,1,1
2021,06,02252,380,380,380,.0240750127,1,1
2021,06,02364,843,843,843,.0571060814,1,1
2021,06,03526,3197,3197,3197,.0254321564,1,1
2021,06,04982,99,99,99,.0097287735,1,1
2021,06,06000,222,222,222,.0174927115,1,1
2021,06,08786,631,631,631,.0779782534,1,1
2021,06,08954,98,98,98,.0068383226,1,1
2021,06,11194,93,93,93,.008433844,1,1
2021,06,11530,NA,NA,NA,NA,NA,NA
2021,06,13014,784,782,786,.0530303046,1,1
2021,06,13210,1805,1805,1805,.0695997551,1,1
2021,06,13214,NA,NA,NA,NA,NA,NA
2021,06,13392,1633,1631,1635,.024831593,1,1
2021,06,13588,,,,,,
2021,06,14218,92,92,92,.0021546171,1,1
2021,06,15044,680,679,681,.0359693207,1,1
2021,06,16000,623,623,623,.0193869621,1,1
2021,06,16350,1076,1076,1076,.0605889969,1,1
2021,06,16532,1481,1481,1481,.0722016394,1,1
2021,06,17918,95,94,96,.0100571672,1,1
2021,06,19766,334,334,334,.0140987756,1,1
2021,06,21712,1002,1001,1003,.0262654331,1,1
2021,06,22020,870,870,870,.0138005428,1,1
2021,06,22230,1768,1768,1768,.0853199512,1,1
2021,06,22804,1426,1426,1426,.0544378683,1,1
2021,06,23182,401,401,401,.0152384574,1,1
2021,06,24638,,,,,,
2021,06,24680,1399,1399,1399,.0378333069,1,1
2021,06,26000,222,221,223,.0065419185,1,1
2021,06,27000,1321,1319,1323,.0132355448,1,1
2021,06,28000,466,466,466,.0185568649,1,1
2021,06,29000,666,666,666,.0172717851,1,1
2021,06,30000,1341,1341,1341,.0553834699,1,1
2021,06,32548,41,41,41,.0056125941,1,1
2021,06,33000,398,396,400,.0209429599,1,1
2021,06,33182,564,564,564,.0251594763,1,1
2021,06,33434,2275,2274,2276,.0866237655,1,1
2021,06,36000,1308,1306,1310,.0477319993,1,1
2021,06,36448,,,,,,
2021,06,36546,265,264,266,.0262922905,1,1
2021,06,36770,119,119,119,.0031356222,1,1
2021,06,37692,193,193,193,.0103663122,1,1
2021,06,39496,NA,NA,NA,NA,NA,NA
2021,06,39892,,,,,,
2021,06,40130,1487,1486,1488,.033798527,1,1
2021,06,41992,183,183,183,.0140704289,1,1
2021,06,43000,6363,6361,6365,.0940354094,1,1
2021,06,44000,8893,8858,8928,.0181564651,1,1
2021,06,45484,969,969,969,.0401175804,1,1
2021,06,46842,149,149,149,.0118867168,1,1
2021,06,46898,203,203,203,.0124532236,1,1
2021,06,47766,515,515,515,.051131852,1,1
2021,06,48256,1455,1454,1456,.057600949,1,1
2021,06,48354,811,808,814,.0166910198,1,1
2021,06,49270,1824,1824,1824,.0560230985,1,1
2021,06,49670,308,308,308,.0339918323,1,1
2021,06,50076,402,401,403,.0175776128,1,1
2021,06,50258,329,329,329,.0198133085,1,1
2021,06,51182,19,19,19,.0299212597,3,3
2021,06,52526,4857,4857,4857,.3117058277,1,1
2021,06,53000,1659,1651,1667,.0370097719,1,1
2021,06,53322,486,486,486,.0244049411,1,1
2021,06,53896,3261,3261,3261,.0721747577,1,1
2021,06,53980,277,276,278,.0105167245,1,1
2021,06,54652,3296,3296,3296,.0816164836,1,1
2021,06,55156,240,240,240,.010817633,1,1
2021,06,56000,821,821,821,.0556572452,1,1
2021,06,56700,1689,1689,1689,.0470119976,1,1
2021,06,57456,319,319,319,.0295561943,1,1
2021,06,57792,30,30,30,.0021300768,1,1
2021,06,58072,4000,4000,4000,.1769363433,1,1
2021,06,59444,821,821,821,.0403558798,1,1
2021,06,59451,186,186,186,.0276538804,1,1
2021,06,59920,432,427,437,.0238397438,1,1
2021,06,60102,311,310,312,.017576579,1,1
2021,06,60466,2221,2221,2221,.0897809044,1,1
2021,06,60620,782,780,784,.0258888956,1,1
2021,06,62000,1723,1723,1723,.0413794778,1,1
2021,06,62938,516,516,516,.0180912986,1,1
2021,06,64000,2143,2139,2147,.0306795891,1,1
2021,06,64224,4298,4297,4299,.1139267385,1,1
2021,06,65000,4553,4553,4553,.0867700875,1,1
2021,06,65042,644,644,644,.0405439436,1,1
2021,06,66000,9879,9870,9888,.0655058324,1,1
2021,06,67000,2981,2980,2982,.0552661344,1,1
2021,06,68000,2476,2472,2480,.019911861,1,1
2021,06,68084,151,151,151,.0173324142,1,1
2021,06,68196,559,557,561,.026391577,1,1
2021,06,68252,32,32,32,.0035191905,1,1
2021,06,68378,,,,,,
2021,06,69000,6162,6159,6165,.1243190914,1,1
2021,06,69070,1539,1539,1539,.1011235937,1,1
2021,06,69084,70,70,70,.0049900198,1,1
2021,06,69088,1002,1002,1002,.0310697667,1,1
2021,06,69196,4418,4416,4420,.1654805541,1,1
2021,06,70000,57,57,57,.0062438385,1,1
2021,06,70098,333,331,335,.0133413458,1,1
2021,06,72016,580,579,581,.0157109182,1,1
2021,06,73080,23,23,23,.0133256083,3,3
2021,06,75000,2651,2646,2656,.0500160381,1,1
2021,06,77000,68,67,69,.0022268067,1,1
2021,06,78120,748,748,748,.0213135779,1,1
2021,06,78582,655,654,656,.0336639769,1,1
2021,06,80000,189,189,189,.0086163664,1,1
2021,06,80238,1091,1089,1093,.0529406071,1,1
2021,06,80854,606,606,606,.0273712743,1,1
2021,06,81344,498,498,498,.0487757102,1,1
2021,06,81554,165,165,165,.0132434387,1,1
2021,06,81666,99,96,102,.007641837,2,2
2021,06,82590,473,473,473,.0172357243,1,1
2021,06,82954,741,741,741,.0230869893,1,1
2021,06,82996,854,853,855,.0385901481,1,1
2021,06,84200,1033,1033,1033,.1104576588,1,1
2021,06,84550,532,532,532,.0648543239,1,1
2021,06,85292,1692,1692,1692,.0545560084,1,1
2021,08,03455,,,,,,
2021,08,04000,807,807,807,.020987751,1,1
2021,08,07850,1432,1432,1432,.0493656918,1,1
2021,08,12815,,,,,,
2021,08,16000,615,615,615,.0081213852,1,1
2021,08,20000,2073,2073,2073,.0176385008,1,1
2021,08,27425,1342,1342,1342,.0448724367,1,1
2021,08,32155,760,760,760,.03434873,1,1
2021,08,43000,,,,,,
2021,08,45970,539,539,539,.0166440215,1,1
2021,08,46465,805,805,805,.0526832454,1,1
2021,08,62000,565,565,565,.0222660098,1,1
2021,08,77290,1196,1196,1196,.0331503972,1,1
2021,08,83835,552,552,552,.0663461536,1,1
2021,09,08000,234,234,234,.0122609381,1,1
2021,09,18430,60,60,60,.0050739958,1,1
2021,09,37000,481,481,481,.0128208548,1,1
2021,09,52000,503,503,503,.0248579197,1,1
2021,09,55990,58,58,58,.00498239,1,1
2021,09,73000,103,103,103,.0064528254,1,1
2021,09,80000,551,551,551,.0290458612,1,1
2021,11,50000,6064,6060,6068,.0679097399,1,1
2021,12,07300,25,25,25,.0091945566,3,3
2021,12,07875,60,60,60,.0349650346,1,1
2021,12,10275,,,,,,
2021,12,12875,,,,,,
2021,12,14400,,,,,,
2021,12,16475,,,,,,
2021,12,16725,,,,,,
2021,12,17200,,,,,,
2021,12,17935,,,,,,
2021,12,24000,4200,4200,4200,.01640388,1,1
2021,12,24125,1512,1512,1512,.0155453198,1,1
2021,12,25175,898,897,899,.0298646446,1,1
2021,12,30000,,,,,,
2021,12,32000,,,,,,
2021,12,32275,,,,,,
2021,12,35000,3248,3248,3248,.0251884479,1,1
2021,12,36950,2943,2943,2943,.0406340174,1,1
2021,12,38250,,,,,,
2021,12,39425,4673,4673,4673,.0489596203,1,1
2021,12,43975,,,,,,
2021,12,45000,8494,8494,8494,.0257725865,1,1
2021,12,45025,,,,,,
2021,12,45060,,,,,,
2021,12,45975,,,,,,
2021,12,49675,,,,,,
2021,12,53000,5812,5812,5812,.026935216,1,1
2021,12,54000,,,,,,
2021,12,54200,,,,,,
2021,12,55775,,,,,,
2021,12,57425,,,,,,
2021,12,58050,,,,,,
2021,12,58715,2352,2352,2352,.0539301112,1,1
2021,12,63000,,,,,,
2021,12,69700,,,,,,
2021,12,70600,632,630,634,.0177020896,1,1
2021,12,71000,4518,4518,4518,.0201562345,1,1
2021,12,76600,4431,4431,4431,.0235762969,1,1
2021,13,03440,690,690,690,.0470668487,1,1
2021,13,04000,2644,2644,2644,.0171223562,1,1
2021,13,04204,490,490,490,.0166270789,1,1
2021,13,19000,912,912,912,.0303141102,1,1
2021,13,42425,,,,,,
2021,13,49008,587,586,588,.0249606669,1,1
2021,13,67284,,,,,,
2021,13,68516,,,,,,
2021,13,69000,841,841,841,.0234098826,1,1
2021,13,72122,,,,,,
2021,13,80508,,,,,,
2021,15,71550,,,,,,
2021,16,08830,1030,1029,1031,.0377856866,1,1
2021,16,52120,624,623,625,.0142167136,1,1
2021,16,56260,973,972,974,.0591777153,1,1
2021,17,02154,232,232,232,.0133195547,1,1
2021,17,03012,707,707,707,.0141672008,1,1
2021,17,06613,159,159,159,.0313857086,1,1
2021,17,12385,212,212,212,.0206285883,1,1
2021,17,14000,17468,17467,17469,.0527614579,1,1
2021,17,14351,175,175,175,.0100690452,1,1
2021,17,23074,854,854,854,.0235748794,1,1
2021,17,24582,388,388,388,.037178997,1,1
2021,17,38570,510,510,510,.0294865873,1,1
2021,17,51622,164,164,164,.0100954138,1,1
2021,17,59000,405,404,406,.0268532019,1,1
2021,17,65000,1668,1668,1668,.0600734726,1,1
2021,17,68003,147,147,147,.0097661437,1,1
2021,17,72000,263,263,263,.0201224182,1,1
2021,17,79293,496,496,496,.0350480489,1,1
2021,18,05860,160,160,160,.0144861927,1,1
2021,18,10342,100,100,100,.0058854688,1,1
2021,18,22000,459,459,459,.0209187865,1,1
2021,18,23278,34,34,34,.0015738555,1,1
2021,18,25000,1096,1095,1097,.0244005602,1,1
2021,18,31000,216,215,217,.0170629583,1,1
2021,18,36003,,,,,,
2021,18,71000,344,342,346,.0195498969,1,1
2021,19,12000,364,364,364,.0169720706,1,1
2021,19,19000,384,384,384,.0266352221,1,1
2021,19,21000,1162,1162,1162,.0355580039,1,1
2021,19,73335,304,304,304,.0201044902,1,1
2021,20,36000,617,617,617,.0219518263,1,1
2021,20,38900,105,105,105,.0094212648,1,1
2021,20,52575,332,332,332,.0113291247,1,1
2021,20,53775,131,131,131,.005854487,1,1
2021,20,71000,332,332,332,.0147378705,1,1
2021,20,79000,1471,1471,1471,.0315279588,1,1
2021,21,46027,709,709,709,.0171194021,1,1
2021,21,48006,3564,3564,3564,.0377570353,1,1
2021,22,05000,1317,1314,1320,.0247249659,1,1
2021,22,40735,625,625,625,.01925328,1,1
2021,22,41155,980,980,980,.0333582945,1,1
2021,22,55000,2874,2872,2876,.0619917586,1,1
2021,22,70000,1371,1371,1371,.0394577794,1,1
