year,state,county,subgroup_type,subgroup,count_homeless,count_homeless_lb,count_homeless_ub,share_homeless,count_homeless_quality,share_homeless_quality
2021,01,001,all,All,42,42,42,.0046625221,1,1
2021,01,001,race-ethnicity,"Black, Non-Hispanic",15,15,15,.3571428657,1,1
2021,01,001,race-ethnicity,Hispanic,1,0,2,.0238095243,3,3
2021,01,001,race-ethnicity,Other Races and Ethnicities,5,5,5,.1190476194,1,1
2021,01,001,race-ethnicity,"White, Non-Hispanic",20,20,20,.4761904776,1,1
2021,01,003,all,All,232,232,232,.0067935577,1,1
2021,01,003,race-ethnicity,"Black, Non-Hispanic",58,57,59,.25,1,1
2021,01,003,race-ethnicity,Hispanic,30,30,30,.1293103397,1,1
2021,01,003,race-ethnicity,Other Races and Ethnicities,3,2,4,.0129310349,3,3
2021,01,003,race-ethnicity,"White, Non-Hispanic",113,112,114,.4870689511,1,1
2021,01,005,all,All,31,31,31,.0041239858,1,1
2021,01,005,race-ethnicity,"Black, Non-Hispanic",13,12,14,.4193548262,3,3
2021,01,005,race-ethnicity,Hispanic,5,4,6,.1612903178,3,3
2021,01,005,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,005,race-ethnicity,"White, Non-Hispanic",9,9,9,.290322572,1,1
2021,01,007,all,All,3,3,3,.0009752926,1,1
2021,01,007,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,007,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,007,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,007,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,009,all,All,38,38,38,.0049614832,1,1
2021,01,009,race-ethnicity,"Black, Non-Hispanic",1,0,2,.0263157897,3,3
2021,01,009,race-ethnicity,Hispanic,15,15,15,.3947368562,1,1
2021,01,009,race-ethnicity,Other Races and Ethnicities,2,2,2,.0526315793,1,1
2021,01,009,race-ethnicity,"White, Non-Hispanic",19,19,19,.5,1,1
2021,01,011,all,All,10,10,10,.0069300071,1,1
2021,01,011,race-ethnicity,"Black, Non-Hispanic",1,0,2,.1000000015,3,3
2021,01,011,race-ethnicity,Hispanic,0,0,0,0,3,3
2021,01,011,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,011,race-ethnicity,"White, Non-Hispanic",1,0,2,.1000000015,3,3
2021,01,013,all,All,64,64,64,.0218653921,1,1
2021,01,013,race-ethnicity,"Black, Non-Hispanic",36,36,36,.5625,1,1
2021,01,013,race-ethnicity,Hispanic,1,0,2,.015625,3,3
2021,01,013,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,013,race-ethnicity,"White, Non-Hispanic",1,0,2,.015625,3,3
2021,01,015,all,All,199,198,200,.0116722388,1,1
2021,01,015,race-ethnicity,"Black, Non-Hispanic",67,67,67,.3366834223,1,1
2021,01,015,race-ethnicity,Hispanic,11,8,14,.0552763827,3,3
2021,01,015,race-ethnicity,Other Races and Ethnicities,5,5,5,.0251256283,1,1
2021,01,015,race-ethnicity,"White, Non-Hispanic",113,110,116,.5678392053,2,2
2021,01,017,all,All,2,0,4,.0004632847,3,3
2021,01,017,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,017,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,017,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,017,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,019,all,All,288,288,288,.0739409477,1,1
2021,01,019,race-ethnicity,"Black, Non-Hispanic",6,6,6,.020833334,1,1
2021,01,019,race-ethnicity,Hispanic,20,20,20,.0694444478,1,1
2021,01,019,race-ethnicity,Other Races and Ethnicities,14,14,14,.0486111119,1,1
2021,01,019,race-ethnicity,"White, Non-Hispanic",245,245,245,.850694418,1,1
2021,01,021,all,All,4,4,4,.0005179335,1,1
2021,01,021,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,021,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,021,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,021,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,023,all,All,4,4,4,.0037488285,1,1
2021,01,023,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,023,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,023,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,023,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,025,all,All,17,16,18,.00509287,3,3
2021,01,025,race-ethnicity,"Black, Non-Hispanic",11,10,12,.6470588446,3,3
2021,01,025,race-ethnicity,Hispanic,0,0,0,0,3,3
2021,01,025,race-ethnicity,Other Races and Ethnicities,1,0,2,.0588235296,3,3
2021,01,025,race-ethnicity,"White, Non-Hispanic",2,0,4,.1176470593,3,3
2021,01,027,all,All,22,22,22,.0120481923,1,1
2021,01,027,race-ethnicity,"Black, Non-Hispanic",14,14,14,.6363636255,3,3
2021,01,027,race-ethnicity,Hispanic,0,0,0,0,3,3
2021,01,027,race-ethnicity,Other Races and Ethnicities,3,3,3,.1363636404,3,3
2021,01,027,race-ethnicity,"White, Non-Hispanic",5,5,5,.227272734,3,3
2021,01,029,all,All,59,59,59,.0234406032,1,1
2021,01,029,race-ethnicity,"Black, Non-Hispanic",7,7,7,.1186440662,1,1
2021,01,029,race-ethnicity,Hispanic,1,0,2,.0169491526,3,3
2021,01,029,race-ethnicity,Other Races and Ethnicities,1,0,2,.0169491526,3,3
2021,01,029,race-ethnicity,"White, Non-Hispanic",47,47,47,.7966101766,1,1
2021,01,031,all,All,253,253,253,.0252570622,1,1
2021,01,031,race-ethnicity,"Black, Non-Hispanic",39,39,39,.1541502029,1,1
2021,01,031,race-ethnicity,Hispanic,105,104,106,.4150197506,1,1
2021,01,031,race-ethnicity,Other Races and Ethnicities,7,6,8,.0276679844,3,3
2021,01,031,race-ethnicity,"White, Non-Hispanic",100,100,100,.3952569067,1,1
2021,01,033,all,All,56,55,57,.0108801248,1,1
2021,01,033,race-ethnicity,"Black, Non-Hispanic",3,0,6,.0535714291,3,3
2021,01,033,race-ethnicity,Hispanic,6,5,7,.1071428582,3,3
2021,01,033,race-ethnicity,Other Races and Ethnicities,2,2,2,.0357142873,1,1
2021,01,033,race-ethnicity,"White, Non-Hispanic",43,42,44,.7678571343,1,1
2021,01,035,all,All,,,,,,
2021,01,035,race-ethnicity,"Black, Non-Hispanic",,,,,,
2021,01,035,race-ethnicity,Hispanic,,,,,,
2021,01,035,race-ethnicity,Other Races and Ethnicities,,,,,,
2021,01,035,race-ethnicity,"White, Non-Hispanic",,,,,,
2021,01,037,all,All,1,0,2,.0012690355,3,3
2021,01,037,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,037,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,037,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,037,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,039,all,All,11,11,11,.0059076264,1,1
2021,01,039,race-ethnicity,"Black, Non-Hispanic",1,0,2,.0909090936,3,3
2021,01,039,race-ethnicity,Hispanic,1,0,2,.0909090936,3,3
2021,01,039,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,039,race-ethnicity,"White, Non-Hispanic",6,6,6,.5454545617,3,3
2021,01,041,all,All,7,7,7,.003111111,1,1
2021,01,041,race-ethnicity,"Black, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,041,race-ethnicity,Hispanic,NA,NA,NA,NA,NA,NA
2021,01,041,race-ethnicity,Other Races and Ethnicities,NA,NA,NA,NA,NA,NA
2021,01,041,race-ethnicity,"White, Non-Hispanic",NA,NA,NA,NA,NA,NA
2021,01,043,all,All,14,14,14,.0010829208,1,1
2021,01,043,race-ethnicity,"Black, Non-Hispanic",0,0,0,0,3,3
2021,01,043,race-ethnicity,Hispanic,1,0,2,.0714285746,3,3
2021,01,043,race-ethnicity,Other Races and Ethnicities,2,0,4,.1428571492,3,3
2021,01,043,race-ethnicity,"White, Non-Hispanic",6,5,7,.4285714328,3,3
2021,01,045,all,All,93,93,93,.0281903613,1,1
2021,01,045,race-ethnicity,"Black, Non-Hispanic",48,47,49,.5161290169,1,1
2021,01,045,race-ethnicity,Hispanic,7,6,8,.0752688199,3,3
2021,01,045,race-ethnicity,Other Races and Ethnicities,0,0,0,0,3,3
2021,01,045,race-ethnicity,"White, Non-Hispanic",34,34,34,.3655914068,1,1
2021,01,047,all,All,136,136,136,.0265262332,1,1
2021,01,047,race-ethnicity,"Black, Non-Hispanic",93,93,93,.6838235259,1,1
2021,01,047,race-ethnicity,Hispanic,3,3,3,.0220588241,1,1
2021,01,047,race-ethnicity,Other Races and Ethnicities,10,9,11,.0735294148,3,3
2021,01,047,race-ethnicity,"White, Non-Hispanic",29,28,30,.2132352889,2,2
2021,01,049,all,All,270,269,271,.0222772285,1,1
2021,01,049,race-ethnicity,"Black, Non-Hispanic",5,5,5,.0185185187,1,1
2021,01,049,race-ethnicity,Hispanic,144,144,144,.5333333611,1,1
2021,01,049,race-ethnicity,Other Races and Ethnicities,21,20,22,.0777777806,2,2
2021,01,049,race-ethnicity,"White, Non-Hispanic",99,99,99,.3666666746,1,1
2021,01,051,all,All,61,61,61,.0045078332,1,1
2021,01,051,race-ethnicity,"Black, Non-Hispanic",22,22,22,.360655725,1,1
2021,01,051,race-ethnicity,Hispanic,1,0,2,.0163934417,3,3
2021,01,051,race-ethnicity,Other Races and Ethnicities,4,3,5,.0655737668,3,3
2021,01,051,race-ethnicity,"White, Non-Hispanic",31,31,31,.5081967115,1,1
2021,01,053,all,All,17,17,17,.0031704588,1,1
2021,01,053,race-ethnicity,"Black, Non-Hispanic",9,8,10,.5294117928,3,3
2021,01,053,race-ethnicity,Hispanic,0,0,0,0,3,3
