year,state,county,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2023,01,001,tenure,All,2,2,2,0.6421965224907992,0.7962568479183404,0.9183936499715365,1.444597786313864,1.4885488855677933,1.3909368512283002,2,2,2
2022,01,001,tenure,All,2,2,2,0.7148380881862024,0.8239080072800403,0.9362503888698955,1.5545169441104325,1.3791533922417691,1.4244729420037796,2,2,2
2021,01,001,tenure,All,3,3,3,0.9395023068237901,1.0442352132041686,1.11769192521191,2.3071426536973636,2.0667144798999346,1.8609879012366346,3,3,3
2019,01,001,tenure,All,3,3,3,0.5564591874926481,0.6875779607317394,0.9991885871012093,1.8558034497877303,1.7995478478082765,1.7726990280048114,3,3,3
2018,01,001,tenure,All,3,3,3,0.4988364092310046,0.6217673129320702,0.9647065701313005,1.428290349439698,1.508023483365949,1.691498827191707,3,3,3
2017,01,001,tenure,All,3,3,3,0.6072438327018095,0.6911837795450445,1.1443817130757423,1.4910468756497457,1.490385907204619,1.9977402750435758,3,3,3
2016,01,001,tenure,All,3,3,3,0.48285201097356667,0.7278364033757795,1.016287038937076,1.3555212319186498,1.4528224006261488,1.6484996270476118,3,3,3
2015,01,001,tenure,All,3,3,3,0.6134691374349535,0.7429777799962713,1.0666254711510195,1.5731955326276914,1.523706842056926,1.8148985109283973,3,3,3
2014,01,001,tenure,All,3,3,3,0.6813786649026061,0.7426834750476925,0.9101832652288682,1.4410116924255418,1.4275572058469634,1.5652350787003708,3,3,3
2023,01,003,tenure,All,1,1,1,0.5223562378167641,0.7401366325630047,0.9229861316022425,1.9454800194931774,1.6752525087438304,1.6352316317497786,1,1,1
2022,01,003,tenure,All,1,1,1,0.36110013825794984,0.5647179137549003,0.8959741105593096,1.485877937981434,1.4830748252940174,1.6026418627371164,1,1,1
2021,01,003,tenure,All,1,1,1,0.5460911723116288,0.7494968526527641,1.0585093025910284,1.9006127533499428,1.8158694814370744,1.8529848190845795,1,1,1
2019,01,003,tenure,All,1,1,1,0.8091695969705166,0.9759353040474228,1.2336749765027077,2.1920476061671628,1.8849762493620696,1.7695922660341046,1,1,1
