year,state,county,subgroup_type,subgroup,ratio_affordable_30ami_quality,ratio_affordable_50ami_quality,ratio_affordable_80ami_quality,ratio_available_30ami,ratio_available_50ami,ratio_available_80ami,ratio_affordable_30ami,ratio_affordable_50ami,ratio_affordable_80ami,ratio_available_30ami_quality,ratio_available_50ami_quality,ratio_available_80ami_quality
2022,01,001,tenure,All,2,2,2,0.7113726752789721,0.8557165307715452,0.9322384722463966,1.4702553167432622,1.4078238623882953,1.4083594952434795,2,2,2
2022,01,001,tenure,Owner,2,2,2,0.8692612642238772,0.8440679399273447,0.9027862913562479,2.311455057163939,1.7037462119611788,1.567678258687996,2,2,2
2022,01,001,tenure,Renter,NA,NA,2,NA,NA,0.9884521553068555,NA,NA,1.1042769382587103,NA,NA,2
2022,01,003,tenure,All,1,1,1,0.37013074538347485,0.5946031544942041,0.8993274913389037,1.3886417756211529,1.414898334072338,1.5950478907682901,1,1,1
2022,01,003,tenure,Owner,1,1,1,0.48401357859003713,0.6447248810224052,0.8717839885072483,2.1555222230993922,1.856157424736645,1.882199294762962,1,1,1
2022,01,003,tenure,Renter,1,1,1,0.2197080291970803,0.52178979258914,0.9450710335104653,0.37570385818561003,0.7738677852870349,1.1181542132089795,1,1,1
2022,01,005,tenure,All,3,3,3,1.0698234172405565,1.3299908585578653,1.5782440103261535,1.8538259071253995,2.1491189025484387,2.086408022164802,3,3,3
2022,01,005,tenure,Owner,NA,NA,3,NA,NA,1.1862629318869473,NA,NA,1.9494738588909777,NA,NA,3
2022,01,005,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,007,tenure,All,3,3,3,0.8359056497004326,1.0061509117141596,1.095180218177158,1.8310872433883205,1.7822067700247863,1.5160781577746747,3,3,3
2022,01,007,tenure,Owner,NA,3,3,NA,0.8666896789782533,0.9797433153887223,NA,2.048049706593027,1.5241910855174263,NA,3,3
2022,01,007,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,009,tenure,All,2,2,2,0.6455758161665395,0.8575408672333348,0.9465835267135108,1.8330242059270678,1.8096112449066246,1.6480139991020668,2,2,2
2022,01,009,tenure,Owner,2,2,2,0.7977647245910112,0.8579029416425802,0.939919526656505,2.5074224263025027,2.1785945654905534,1.8606842940873052,2,2,2
2022,01,009,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,011,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,011,tenure,Owner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,011,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,013,tenure,All,3,3,3,1.2065488879741464,1.5264044801459595,1.799698777409593,1.9905513778589894,2.3455325241365332,2.3078627892482415,3,3,3
2022,01,013,tenure,Owner,NA,NA,3,NA,NA,1.2749941011898742,NA,NA,2.0382050281939046,NA,NA,3
2022,01,013,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,015,tenure,All,1,1,1,0.6893047675501736,0.7959081836327345,0.9870829268292683,2.2236429841646204,1.9560254491017963,1.6343024390243903,1,1,1
2022,01,015,tenure,Owner,1,1,1,0.8037244561634805,0.8620965896086061,0.9846021105727749,3.2241265655899802,2.544632639047837,1.9371474082431805,1,1,1
2022,01,015,tenure,Renter,1,1,1,0.5683678801602509,0.7166163970386619,0.9906232240954727,1.1661731405678453,1.2508911434055388,1.2021216139420345,1,1,1
2022,01,017,tenure,All,3,3,3,0.8268681285289946,0.9666147115582208,1.1023362816127324,1.6386231374054847,1.8202559613367335,1.8249788050738098,3,3,3
2022,01,017,tenure,Owner,NA,3,3,NA,0.9933912326247692,1.1121360326139642,NA,2.2668046481663873,2.1623709690429305,NA,3,3
2022,01,017,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,019,tenure,All,3,3,3,0.6515378931854254,0.7277149192079325,0.990520131909444,1.5776641426719378,1.6283678445696022,1.7850424981764235,3,3,3
2022,01,019,tenure,Owner,NA,NA,3,NA,NA,1.0722481102216068,NA,NA,2.120170989755555,NA,NA,3
2022,01,019,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,021,tenure,All,3,3,3,0.7277238846102637,0.7754901695615237,0.9933740749653025,2.08293663955384,2.035524599207261,2.062280190383046,3,3,3
2022,01,021,tenure,Owner,NA,NA,3,NA,NA,0.969666405461677,NA,NA,2.352231785287331,NA,NA,3
2022,01,021,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,023,tenure,All,NA,NA,3,NA,NA,1.4912256859405677,NA,NA,2.124988795364317,NA,NA,3
2022,01,023,tenure,Owner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,023,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,025,tenure,All,3,3,3,0.8877598572291305,0.8931688485855915,1.197137073649728,1.8245215380989512,1.797844701307525,1.8309001830734775,3,3,3
2022,01,025,tenure,Owner,NA,NA,3,NA,NA,1.1330386226151699,NA,NA,2.151084225221033,NA,NA,3
2022,01,025,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,027,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,027,tenure,Owner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,027,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,029,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,029,tenure,Owner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,029,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,031,tenure,All,2,2,2,0.8279015587293114,0.9876811549647774,1.1184030971712757,1.735702292461692,1.77167141931472,1.7469627717153173,2,2,2
2022,01,031,tenure,Owner,2,2,2,0.850132523935716,0.8637969164364779,1.0467806240685253,2.4914576867086,2.0264076739555095,1.8375089980396389,2,2,2
2022,01,031,tenure,Renter,2,2,2,0.8052983460525504,1.1341379863792451,1.2208982864831122,0.9672921155229552,1.4705204000705996,1.6173867852051924,2,2,2
2022,01,033,tenure,All,3,3,3,0.63131284318417,0.7702725231511628,1.0488688727590723,1.5942593598607047,1.7970501077881962,1.761992225623489,3,3,3
2022,01,033,tenure,Owner,3,3,3,0.6632309896645715,0.7398345037271211,0.9787303849064964,2.240606386341816,2.2674792913719086,2.019663941376712,3,3,3
2022,01,033,tenure,Renter,NA,3,3,NA,0.8054288156539579,1.140225761408336,NA,1.2536985266778609,1.426369275017385,NA,3,3
2022,01,035,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,035,tenure,Owner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,035,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,037,tenure,All,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,037,tenure,Owner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,037,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,039,tenure,All,3,3,3,0.9311407311794924,1.1885003956188507,1.3537680720806577,1.715143221064335,1.9638368677736995,1.8511440888741504,3,3,3
2022,01,039,tenure,Owner,3,3,3,1.0362950258886103,1.0566832104456558,1.1029945468439801,2.4408870209242917,2.3598065179018755,1.8474365455232669,3,3,3
2022,01,039,tenure,Renter,3,3,3,0.8253298376897994,1.3352760290843904,1.723779155273326,0.9848677708774358,1.522933080044286,1.8566144914214264,3,3,3
2022,01,041,tenure,All,NA,NA,3,NA,NA,2.187935215046689,NA,NA,2.679068171707586,NA,NA,3
2022,01,041,tenure,Owner,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,041,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022,01,043,tenure,All,2,2,2,0.6749068185923849,0.7822119144103762,0.8961475047693721,1.8026349279797107,1.839370129783965,1.7809809711056315,2,2,2
2022,01,043,tenure,Owner,2,2,2,0.7367797012093906,0.8657686225486928,0.9378274464777149,2.651766658762153,2.592270611244527,2.27714398082359,2,2,2
2022,01,043,tenure,Renter,2,2,2,0.5979171620577396,0.671167153031398,0.8313969732758777,0.7460434529990202,0.8387843459650465,1.0101829020618065,2,2,2
2022,01,045,tenure,All,2,2,2,0.8561858461453784,0.9325177320988248,1.081996028991529,1.763986579877759,1.7453034930393867,1.768055415000588,2,2,2
2022,01,045,tenure,Owner,2,2,2,0.8623462104202898,0.8442746014714406,0.9692435669278032,2.503671373193174,2.2000734910457775,1.8759358611790702,2,2,2
2022,01,045,tenure,Renter,NA,2,2,NA,1.0317835993764026,1.23519696450689,NA,1.2337266944492686,1.6214742674508598,NA,2,2
