year,state,place,subgroup_type,subgroup,share_affordable_30ami_quality,share_affordable_50ami_quality,share_affordable_80ami_quality,share_available_30ami,share_available_50ami,share_available_80ami,share_affordable_30ami,share_affordable_50ami,share_affordable_80ami,share_available_30ami_quality,share_available_50ami_quality,share_available_80ami_quality
2023,01,03076,tenure,All,2,2,2,0.485008734664114,0.7628871439441152,0.9550950657715293,0.9652631875903226,1.27316377533381,1.401658446907266,2,2,2
2022,01,03076,tenure,All,2,2,2,0.36085840416596676,0.6840986203541175,1.023109975789877,0.9696904041659669,1.229573273101176,1.5270048459608712,2,2,2
2021,01,03076,tenure,All,2,2,2,0.32252250426942697,0.7233759987632625,1.1899518905869486,1.0980445797740515,1.4482881963876657,1.66299726779931,2,2,2
2019,01,03076,tenure,All,2,2,2,0.44529417874173105,0.794928438825073,1.112881707700141,1.0909335580889756,1.5455131134708289,1.815240481264194,2,2,2
2018,01,03076,tenure,All,2,2,2,0.44212565890865757,0.7018303375371163,1.0819767444691417,1.0310658524003022,1.2552587939489783,1.660044323902619,2,2,2
2017,01,03076,tenure,All,2,2,2,0.7605180671756405,0.7975578899761249,1.146732652260505,1.5008526657978813,1.666790902516224,1.881511666090932,2,2,2
2016,01,03076,tenure,All,2,2,2,0.42539403752489807,0.6845017093280231,1.0747781584648906,1.120552887751827,1.4254652412040636,1.6671128821011347,2,2,2
2015,01,03076,tenure,All,2,2,2,0.47151487860707725,0.6306689147783692,0.9514186754449964,0.9758205529726318,1.1880843484454842,1.5295334402818888,2,2,2
2014,01,03076,tenure,All,2,2,2,0.44900701981409696,0.6721609267413775,1.1568636802279673,0.9979822029112043,1.2018085411219184,1.667705946690448,2,2,2
2023,01,07000,tenure,All,2,2,2,0.5266389765569901,0.7710981966662238,1.001782071612481,1.0146899222142158,1.2460920426043776,1.360747184365751,2,2,2
2022,01,07000,tenure,All,2,2,2,0.515198418542907,0.7388403932126555,1.0218193561437572,1.0458354552566314,1.1667907157237298,1.3586602517829045,2,2,2
2021,01,07000,tenure,All,3,3,3,0.4825433894018592,0.6853784596711029,0.9781124960840545,1.0815066198861618,1.240706655312507,1.3783214964284576,3,3,3
2019,01,07000,tenure,All,3,3,3,0.51939884533771985,0.823700458458207,1.1525654050668153,1.0025504770560458,1.3582682180492514,1.5534292779144494,3,3,3
2018,01,07000,tenure,All,3,3,3,0.5078896983513158,0.7734497298199942,1.06842638916357,1.000663437918478,1.2881119914321681,1.4974669602021067,3,3,3
2017,01,07000,tenure,All,3,3,3,0.642116012264453,0.7811862346973648,1.12180621595065,1.130264974886591,1.2389597756689263,1.4930385502221892,3,3,3
2016,01,07000,tenure,All,3,3,3,0.575700183890643,0.6814580922006263,1.0507737670907926,1.0567538496007123,1.1816373578896702,1.4945350150939576,3,3,3
2015,01,07000,tenure,All,3,3,3,0.4900132644468953,0.6705026971826411,1.0511499648368339,0.9005709334662523,1.1040598143575526,1.4188502887637113,3,3,3
2014,01,07000,tenure,All,3,3,3,0.5425779452825661,0.6968012711030802,1.1306611672270486,0.9576012152677953,1.1016694422057811,1.4525610172816188,3,3,3
2023,01,35896,tenure,All,3,3,3,0.46339951933997087,0.5488341961015957,1.0367412805914882,1.7247067002066936,1.5982149879816767,1.8723860798726553,3,3,3
2022,01,35896,tenure,All,3,3,3,0.35163737520101,0.48069853394379,0.9260184940576067,1.6198941562673173,1.4445942206308178,1.7933897209445062,3,3,3
2021,01,35896,tenure,All,3,3,3,0.42737193588053257,0.5859610157714404,0.9154805767438728,1.5978648245072402,1.6096067875388105,1.7855389273412314,3,3,3
2019,01,35896,tenure,All,3,3,3,0.5759839980397379,0.8474522017378262,1.3316179067102747,1.7067136431826802,1.7397934983947154,2.3363396068410793,3,3,3
2018,01,35896,tenure,All,3,3,3,0.6390646491356883,0.741300886949618,1.459263255808146,1.6696397418868596,1.6752452772035482,2.3651140671470605,3,3,3
2017,01,35896,tenure,All,3,3,3,0.9753639686161402,0.9923469982886547,1.4655616438811028,1.9280298318914757,1.864605411326907,2.3386816300446776,3,3,3
2016,01,35896,tenure,All,3,3,3,0.6325853861813279,0.6708772253317843,1.4217128833471222,1.7701315266625437,1.6486711879042264,2.338789035978961,3,3,3
2015,01,35896,tenure,All,3,3,3,0.37590426850586406,0.591227142269121,1.1016998814147914,1.3626363241479411,1.5426247895203604,1.9819417001523048,3,3,3
2014,01,35896,tenure,All,3,3,3,0.5966382595319569,0.6998798891508268,1.2185378658502746,1.3058779794624875,1.3647998834370703,1.9009613981700337,3,3,3
2023,01,37000,tenure,All,2,2,2,0.48790317764583074,0.7982546883531592,1.038040984672507,1.5828006467874973,1.7509910421258204,1.8984545083008322,2,2,2
2022,01,37000,tenure,All,2,2,2,0.4715947334666902,0.847742406298012,1.085826472077654,1.4215233988619427,1.7272966152859246,1.8903853061039262,2,2,2
2021,01,37000,tenure,All,3,3,3,0.5306450320168107,0.817002616253285,1.000223947731422,1.7303305529224802,1.9610760718657565,1.8610467170936906,3,3,3
2019,01,37000,tenure,All,3,3,3,0.4968162117388663,0.9089353262330114,1.0640949373703228,1.449521658430549,1.781704249896523,1.698051179286221,3,3,3
2018,01,37000,tenure,All,3,3,3,0.4374739955746058,0.8549350827022058,1.024708321074243,1.403847119201609,1.7775406542308019,1.69858582062629,3,3,3
2017,01,37000,tenure,All,3,3,3,0.542666403753921,0.8461969635333427,1.0699279858793653,1.4784461894273113,1.6883054480193767,1.764782274392592,3,3,3
2016,01,37000,tenure,All,3,3,3,0.56850619493793,1.0119524042494743,1.1302606139119091,1.3052510820902226,1.8138364797904543,1.796565333711085,3,3,3
2015,01,37000,tenure,All,3,3,3,0.4743665568200142,0.9331687682808547,1.1289998085275343,1.2573567592817838,1.6305038325214105,1.7595569742149975,3,3,3
2014,01,37000,tenure,All,3,3,3,0.5648727306197531,0.9279194674264005,1.1292325311229778,1.3540829634671747,1.7309737347527125,1.690388169520617,3,3,3
2023,01,50000,tenure,All,2,2,2,0.5442375322579531,0.6049126674234698,0.8585254403230507,1.2028079228531596,1.1677477143635926,1.3037476120919886,2,2,2
2022,01,50000,tenure,All,2,2,2,0.4388680705612452,0.50917488637043,0.8591708540112044,1.0411309938252644,1.0620088860404582,1.383480114219094,2,2,2
2021,01,50000,tenure,All,3,3,3,0.5204564376303789,0.5297656320062338,0.874828950939167,1.2599505412105358,1.239559654905523,1.3888656931813523,3,3,3
2019,01,50000,tenure,All,3,3,3,0.4759335146246234,0.5724748452369697,1.0064785921555417,1.1944272556485733,1.1709144250173384,1.6191383060133704,3,3,3
2018,01,50000,tenure,All,3,3,3,0.5051971841573676,0.5702553964655798,0.9969085436916822,0.9828936791424924,1.0163231409898805,1.5209302456681075,3,3,3
2017,01,50000,tenure,All,3,3,3,0.4516866083346881,0.4783381051468094,0.9396699467579784,0.8633191702353923,0.9121197714646262,1.4480286670185807,3,3,3
2016,01,50000,tenure,All,3,3,3,0.48926670434139385,0.5200855134144267,0.9504066920454933,0.938707127381078,0.953465694518229,1.4881300211191155,3,3,3
2015,01,50000,tenure,All,3,3,3,0.5773566601696315,0.6064369500740721,1.10440887293045,1.049819209473176,1.089370732216719,1.633992184207439,3,3,3
2014,01,50000,tenure,All,3,3,3,0.45305743951688077,0.5292236042220478,1.0017043866741542,0.9561868420071452,0.998717352765444,1.5653251593712554,3,3,3
2023,01,51000,tenure,All,1,1,1,0.38994542957347067,0.530427577835776,0.9138161505582587,1.1130028070175504,1.3425185575452454,1.6873551386988352,1,1,1
2022,01,51000,tenure,All,1,1,1,0.33448614911979624,0.5808350272942508,0.9759710073529446,1.0258357714774329,1.250412231944758,1.5344808361971194,1,1,1
2021,01,51000,tenure,All,3,3,3,0.47362080789713407,0.6630924591704564,1.0062327864939196,1.0503254268066275,1.192482471014491,1.5604372545552285,3,3,3
2019,01,51000,tenure,All,3,3,3,0.4718443276604505,0.6833916421424617,1.0082827217758148,1.2410777747491524,1.4357834263261284,1.6590054508294805,3,3,3
2018,01,51000,tenure,All,3,3,3,0.4733753097190158,0.5815380355703067,1.0414986316209955,1.0616280829587441,1.212605466682268,1.6834991509922106,3,3,3
2017,01,51000,tenure,All,3,3,3,0.41511185587642346,0.5818023941377767,1.053442488412524,0.9930795317082773,1.1406935522745256,1.5893476932164647,3,3,3
2016,01,51000,tenure,All,3,3,3,0.41262333952066244,0.5732548848029769,1.0200033700213091,0.9460511651968122,1.1283238715760884,1.5891244391483699,3,3,3
2015,01,51000,tenure,All,3,3,3,0.4067150833694043,0.5522712530935036,1.020350066764667,0.8726902590705079,1.0502110272650649,1.5554435696381015,3,3,3
2014,01,51000,tenure,All,3,3,3,0.4062542679313197,0.5527710543074658,1.0312148529166263,0.9360605962662002,1.0088010335521904,1.5955697057770233,3,3,3
2023,01,77256,tenure,All,2,2,2,0.3632334471078822,0.4936561228786888,0.8280504050906609,0.7734823506342254,0.9525733234674807,1.340269111164668,2,2,2
2022,01,77256,tenure,All,2,2,2,0.3874658717457587,0.5610172210953728,0.9870675317315706,0.8637270501120189,1.0893594707662009,1.4497805972258284,2,2,2
2021,01,77256,tenure,All,2,2,2,0.35536238813402604,0.48155871694168517,0.9247777522153326,0.8058727877815897,0.8592091347908659,1.4053052311432679,2,2,2
2019,01,77256,tenure,All,2,2,2,0.35964634920426036,0.5811962395853083,0.9983944566720532,0.8965774518783571,1.138470715756599,1.5308324086910807,2,2,2
2018,01,77256,tenure,All,2,2,2,0.4158866701904534,0.5712928260547178,0.9792082307327441,0.8677787066957661,0.9974174618953051,1.731785973540665,2,2,2
2017,01,77256,tenure,All,2,2,2,0.4571173949977618,0.5240762488490797,0.9890817671852135,0.8915169353248974,1.0055921509883436,1.6637126492659924,2,2,2
2016,01,77256,tenure,All,2,2,2,0.2221149627690131,0.26255830824502774,0.7743552410572379,0.709422113375163,0.8107854641042326,1.3545882231250743,2,2,2
2015,01,77256,tenure,All,2,2,2,0.46595701804020184,0.5079619408652246,0.8680163211046474,0.9135388095749111,0.9653986241429817,1.4372529450606728,2,2,2
2014,01,77256,tenure,All,2,2,2,0.33938765482478694,0.40643937072837977,0.8788515499706193,0.8009580658795213,0.8317214153972348,1.3891725751254311,2,2,2
2023,02,03000,tenure,All,1,1,1,0.28539914518130427,0.6559821799373278,0.9438912627366061,1.2964290638356541,1.6652697549741382,1.6573538794686877,1,1,1
2022,02,03000,tenure,All,1,1,1,0.1410999023755288,0.638778367226643,0.9517381812074901,0.9426618939147413,1.5766651930445035,1.759782517423797,1,1,1
2021,02,03000,tenure,All,2,2,2,0.3414232825997532,0.6076385265574454,0.8641574822187745,1.0427807486631016,1.3801871369438936,1.6237029276057302,2,2,2
2019,02,03000,tenure,All,2,2,2,0.34122127022983817,0.5446698970321018,0.8895590916252166,1.2431660546715626,1.46521047849788,1.718327294006437,2,2,2
2018,02,03000,tenure,All,2,2,2,0.24357292759706192,0.6176013392323328,0.8944168178925785,0.9400577124868835,1.4954362469608196,1.64368032806203,2,2,2
2017,02,03000,tenure,All,2,2,2,0.2805980066445183,0.5991925201869953,0.8072648414204392,1.1258471760797342,1.310582235444114,1.482221921026475,2,2,2
2016,02,03000,tenure,All,2,2,2,0.28527446121498834,0.499950386981544,0.7798622063584295,1.1564166103476758,1.581166898194086,1.6431476716194904,2,2,2
