year,state,place,subgroup_type,subgroup,share_affordable_30_ami,share_affordable_50_ami,share_affordable_80_ami,share_affordable_30_ami_quality,share_affordable_50_ami_quality,share_affordable_80_ami_quality,share_affordable_available_30_ami,share_affordable_available_50_ami,share_affordable_available_80_ami,share_affordable_available_30_ami_quality,share_affordable_available_50_ami_quality,share_affordable_available_80_ami_quality
2023,01,03076,tenure,All,1.0539713876731016,1.301134523445325,1.3454221993039819,2,2,2,0.5598496381463506,0.8064571474797588,0.9554839821812988,2,2,2
2022,01,03076,tenure,All,1.0105683808442583,1.3609894934563171,1.5072756135082792,2,2,2,0.4123705139814411,0.7634370459038693,1.019799514081893,2,2,2
2021,01,03076,tenure,All,1.0155375281545365,1.5543658475964315,1.6446877270398477,2,2,2,0.3829781751673202,0.8516917676387931,1.1906699042914461,2,2,2
2019,01,03076,tenure,All,1.14467760222894,1.674606941507971,1.7597818104511436,2,2,2,0.5826840852111121,0.929344519012119,1.1099803782612692,2,2,2
2018,01,03076,tenure,All,1.1034637014126065,1.282656355544566,1.748082125816307,2,2,2,0.4951058123153656,0.7780888060977005,1.1999743644308034,2,2,2
2017,01,03076,tenure,All,1.7677794513929967,1.7081668142705724,1.8557559802255639,2,2,2,0.8486049028117413,0.9154449585565908,1.1563990079676176,2,2,2
2016,01,03076,tenure,All,1.2216247765041117,1.4714660562266628,1.7327515873708894,2,2,2,0.5277043114165986,0.7599764781890422,1.1349542305426954,2,2,2
2015,01,03076,tenure,All,1.045777425784381,1.1784273351421017,1.449321625411455,2,2,2,0.5360048803506171,0.6435867667549733,0.9375874940521856,2,2,2
2014,01,03076,tenure,All,1.203497340799063,1.3150847550532434,1.5899581679123542,2,2,2,0.5538333374126405,0.7411683629433639,1.1291504953243636,2,2,2
2023,01,03076,tenure,Owner,NA,2.3502809067765837,1.7228971386975753,NA,2,2,NA,0.8848765787583605,0.8994087666045522,NA,2,2
2022,01,03076,tenure,Owner,NA,2.0274540081132817,1.7334865495255156,NA,2,2,NA,0.8475935653798837,0.9533931737896741,NA,2,2
2021,01,03076,tenure,Owner,NA,NA,1.8361646368590814,NA,NA,2,NA,NA,0.9902749972194417,NA,NA,2
2019,01,03076,tenure,Owner,NA,NA,1.8958522555252804,NA,NA,2,NA,NA,0.9465940054495913,NA,NA,2
2018,01,03076,tenure,Owner,NA,NA,2.413341290872506,NA,NA,2,NA,NA,1.1912074625334272,NA,NA,2
2017,01,03076,tenure,Owner,NA,NA,2.1740690354230288,NA,NA,2,NA,NA,0.9827158279936548,NA,NA,2
2016,01,03076,tenure,Owner,NA,NA,2.097194886195913,NA,NA,2,NA,NA,1.083348982954343,NA,NA,2
2015,01,03076,tenure,Owner,NA,NA,2.0637519610793547,NA,NA,2,NA,NA,1.0319136896765067,NA,NA,2
2014,01,03076,tenure,Owner,NA,NA,1.8758421283626698,NA,NA,2,NA,NA,0.9887502994495927,NA,NA,2
2023,01,03076,tenure,Renter,0.5466194123713077,0.9132204214019098,1.1145342562894085,2,2,2,0.4728157873876071,0.7774621437791273,0.9897831894330784,2,2,2
2022,01,03076,tenure,Renter,0.5280375035752836,0.9807277522544575,1.3058918761792788,2,2,2,0.29636281122643393,0.7154202289156326,1.0789175975213667,2,2,2
2021,01,03076,tenure,Renter,NA,1.1600804970290137,1.4841216040694718,NA,2,2,NA,0.9143849355157577,1.3587143610457215,NA,2,2
2019,01,03076,tenure,Renter,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2018,01,03076,tenure,Renter,NA,0.8766202106503215,1.3692591060206267,NA,2,2,NA,0.7110699714158717,1.2049665605935367,NA,2,2
2017,01,03076,tenure,Renter,NA,1.1701451879552287,1.5725212403255349,NA,2,2,NA,0.931430150569463,1.3109421833156052,NA,2,2
2016,01,03076,tenure,Renter,NA,0.9008536853726536,1.473081507114759,NA,2,2,NA,0.6798010537937063,1.171723568396096,NA,2,2
2015,01,03076,tenure,Renter,NA,0.7585821893461988,1.0648739457274066,NA,2,2,NA,0.5202705962053518,0.8785678055112955,NA,2,2
2014,01,03076,tenure,Renter,0.6756068486925048,0.9573019313447807,1.4045053237954621,2,2,2,0.5101758594017086,0.7544033806201431,1.2202280625951238,2,2,2
2023,01,07000,tenure,All,1.0362875103273985,1.293337743905478,1.3704649924263788,2,2,2,0.568946561375526,0.797621617275187,1.0266634681556288,2,2,2
2022,01,07000,tenure,All,0.9984506815368072,1.257853830144917,1.3225290232579114,2,2,2,0.5166936294032638,0.8216076651910386,1.0379719349219625,2,2,2
2021,01,07000,tenure,All,1.0211584300353984,1.2626823757672803,1.3881401663801114,3,3,3,0.4900710721479399,0.7418707022989066,1.0005862354969195,3,3,3
2019,01,07000,tenure,All,1.01706069973014,1.3492455433108685,1.5208093308702042,3,3,3,0.5307237069867734,0.8544208255022386,1.1655878952748875,3,3,3
2018,01,07000,tenure,All,1.0729533904307746,1.3507196673726098,1.4822787820620749,3,3,3,0.5946848194802505,0.8274192626108944,1.0768356185688324,3,3,3
2017,01,07000,tenure,All,1.1404258967940644,1.2877916738708255,1.4763571635149222,3,3,3,0.6819986041247358,0.8340771520815031,1.1336713366406859,3,3,3
2016,01,07000,tenure,All,1.100787700290999,1.284314424782246,1.4799949502557754,3,3,3,0.5976725849742474,0.7943724376379242,1.0835510902928347,3,3,3
2015,01,07000,tenure,All,0.9709786049316841,1.159516833360919,1.3975420608571798,3,3,3,0.5573318645693461,0.7089059004295776,1.0576889758197894,3,3,3
2014,01,07000,tenure,All,1.0279341410249305,1.1490562200049754,1.415850567049711,3,3,3,0.5997850525169448,0.7873142305933384,1.1134207254513417,3,3,3
2023,01,07000,tenure,Owner,1.912950314751685,1.9588993549095397,1.675624172433542,2,2,2,0.7553043707008268,0.9448917433156857,1.0702040010616043,2,2,2
2022,01,07000,tenure,Owner,2.191197018288286,2.071298874279468,1.6364537487872444,2,2,2,0.8584358626562294,1.0507490238435868,1.0705430367797746,2,2,2
2021,01,07000,tenure,Owner,2.1071140220849687,2.022664591010168,1.6856235996698141,3,3,3,0.7520558122764184,0.8765939830390649,1.0037388447422169,3,3,3
2019,01,07000,tenure,Owner,1.7334567016585687,1.803936045617891,1.682101183719333,3,3,3,0.5946020644083433,0.8308431842550017,1.0413164468883276,3,3,3
2018,01,07000,tenure,Owner,1.8116676953629074,1.7677523876442038,1.7309672135741319,3,3,3,0.7578354792049335,0.909955251162477,1.086090156574191,3,3,3
2017,01,07000,tenure,Owner,1.7084942971899455,1.7463987978364484,1.6744687621744236,3,3,3,0.8616977559483198,0.896215042780263,1.072190185515902,3,3,3
2016,01,07000,tenure,Owner,1.9297160878562178,1.7851429314131537,1.711463383532471,3,3,3,0.7845935226661451,0.8496192192244294,1.0827601232061352,3,3,3
2015,01,07000,tenure,Owner,1.5160645096210428,1.6315779953942453,1.6217111083337301,3,3,3,0.6417520470933653,0.765923708769874,1.0270443925310249,3,3,3
2014,01,07000,tenure,Owner,1.9704474281688342,1.6809536938220375,1.7014869246093058,3,3,3,0.9045712155656553,0.919933761558385,1.1736511401613563,3,3,3
2023,01,07000,tenure,Renter,0.555772323845817,0.9216092830620254,1.1629155330666803,2,2,2,0.4668003803714707,0.715368529993502,0.9970500248875734,2,2,2
2022,01,07000,tenure,Renter,0.4345301399226044,0.865794177961414,1.1282022596723469,2,2,2,0.3551207456052448,0.7111674061692953,1.017809659396287,2,2,2
2021,01,07000,tenure,Renter,0.48655218794888283,0.8420368596900596,1.171596355659439,3,3,3,0.3610983236953448,0.6673021889601461,0.9982913916727084,3,3,3
2019,01,07000,tenure,Renter,0.6754637204684755,1.1169120782077386,1.419473255198266,3,3,3,0.5002647794150571,0.8664683062878173,1.2436648760715636,3,3,3
2018,01,07000,tenure,Renter,0.6375882555200278,1.0647403288249153,1.3006106103631705,3,3,3,0.49853112581604064,0.7708203765642799,1.070075131202656,3,3,3
2017,01,07000,tenure,Renter,0.8030702327508984,1.0331641581270696,1.3444917268513783,3,3,3,0.5752816548116044,0.7995769973404087,1.1745939221657318,3,3,3
2016,01,07000,tenure,Renter,0.6340058516519806,0.9795832563431383,1.3125176594191563,3,3,3,0.49241463729864315,0.7607573057465541,1.0841233887395216,3,3,3
2015,01,07000,tenure,Renter,0.6941941997979413,0.9123541107717709,1.2525122912716289,3,3,3,0.5144648782830122,0.679052402876947,1.0775149816999259,3,3,3
2014,01,07000,tenure,Renter,0.6275447300596166,0.8943321690605169,1.231205461492091,3,3,3,0.4703087321742915,0.7238031484305582,1.0744857265004832,3,3,3
2023,01,35896,tenure,All,1.5863483046357492,1.486152175430045,1.7856921528315102,3,3,3,0.45667417529155246,0.5529220095831491,1.0797609300488378,3,3,3
2022,01,35896,tenure,All,1.3575785311466426,1.48333842979255,1.7486262267275254,3,3,3,0.33626397395747243,0.5126326985529751,0.9658485732152096,3,3,3
2021,01,35896,tenure,All,1.4578945970038701,1.5944986053195855,1.7977343289787924,3,3,3,0.4430940997979852,0.6290855732400017,0.9865991264104287,3,3,3
2019,01,35896,tenure,All,1.5175491699726442,1.8213679024705978,2.3244355773987393,3,3,3,0.5501556863100172,0.901611640154258,1.3666748005680205,3,3,3
2018,01,35896,tenure,All,1.4885013671275726,1.9125048518009462,2.247083620639965,3,3,3,0.5506131534541887,0.9706954975802331,1.4168036686102814,3,3,3
2017,01,35896,tenure,All,1.6536647620069773,1.8231332408096907,2.352351485621011,3,3,3,0.8384443446031565,0.9659541263858047,1.4612382221839506,3,3,3
2016,01,35896,tenure,All,1.5991332369278952,1.7525820471551232,2.2876618923146417,3,3,3,0.6092870455051668,0.7750303510730884,1.45263488316816,3,3,3
2015,01,35896,tenure,All,1.3901170800483282,1.556812076081216,2.000364212709471,3,3,3,0.40516288203919176,0.6829712195873615,1.0920658420456102,3,3,3
2014,01,35896,tenure,All,1.264809252133082,1.353455039552998,1.8892025604171145,3,3,3,0.5794834985534346,0.7790557489516472,1.1994240171440034,3,3,3
2023,01,35896,tenure,Owner,NA,2.533959015421547,2.1270207792597526,NA,3,3,NA,0.8129581486644878,0.9527661210685608,NA,3,3
2022,01,35896,tenure,Owner,NA,3.179052427565828,2.3629153205597784,NA,3,3,NA,0.9059206570170188,0.9994148414154794,NA,3,3
2021,01,35896,tenure,Owner,NA,2.564712144251186,2.221975938775301,NA,3,3,NA,0.7145825676583384,0.873911674716472,NA,3,3
2019,01,35896,tenure,Owner,NA,2.4917164110641377,2.383938483129582,NA,3,3,NA,0.7700819098514774,1.0806514776283704,NA,3,3
2018,01,35896,tenure,Owner,NA,2.5599411879434926,2.3494702714224895,NA,3,3,NA,0.8918484025774746,1.0996107954138268,NA,3,3
2017,01,35896,tenure,Owner,NA,2.617146333535882,2.2725366550935022,NA,3,3,NA,0.9235905054754177,1.0478102906852722,NA,3,3
2016,01,35896,tenure,Owner,NA,2.6577224171726153,2.2785464906513346,NA,3,3,NA,0.9127936542952134,1.0554908640665635,NA,3,3
2015,01,35896,tenure,Owner,NA,2.267621339110772,2.189423121948998,NA,3,3,NA,0.6934467459034528,0.9171571826324398,NA,3,3
2014,01,35896,tenure,Owner,NA,2.022055360505638,2.1264041298365015,NA,3,3,NA,0.8669039068027301,1.1646843787103427,NA,3,3
2023,01,35896,tenure,Renter,NA,NA,1.442896880716724,NA,NA,3,NA,NA,1.2073014195679947,NA,NA,3
2022,01,35896,tenure,Renter,NA,0.38484066944530304,1.1770324479268262,NA,3,3,NA,0.25785745808694915,0.9346152821256085,NA,3,3
2021,01,35896,tenure,Renter,NA,0.8014101922134947,1.3954454535827268,NA,3,3,NA,0.559197169391043,1.093455472337823,NA,3,3
2019,01,35896,tenure,Renter,NA,NA,2.261588838086654,NA,NA,3,NA,NA,1.6687715300164268,NA,NA,3
2018,01,35896,tenure,Renter,NA,NA,2.1386523022646795,NA,NA,3,NA,NA,1.7527228646878097,NA,NA,3
2017,01,35896,tenure,Renter,NA,NA,2.437597592772234,NA,NA,3,NA,NA,1.9027992894056398,NA,NA,3
2016,01,35896,tenure,Renter,NA,NA,2.296966277102295,NA,NA,3,NA,NA,1.8580126060951916,NA,NA,3
2015,01,35896,tenure,Renter,NA,NA,1.8111513755271806,NA,NA,3,NA,NA,1.2671169085541316,NA,NA,3
2014,01,35896,tenure,Renter,NA,0.8222987881979127,1.6670218469169131,NA,3,3,NA,0.709266523983662,1.2319637582292866,NA,3,3
2023,01,37000,tenure,All,1.6245714802002689,1.810579310385236,1.8441720873925054,2,2,2,0.5479008322840939,0.848527859856026,1.0475284818439368,2,2,2
2022,01,37000,tenure,All,1.3796074657815807,1.802361493839487,1.8245975521778375,2,2,2,0.44663009213189314,0.9078170656728407,1.0949520496550111,2,2,2
2021,01,37000,tenure,All,1.7265417639153566,1.8484543635818684,1.8339340471748353,3,3,3,0.5640415386101942,0.8694179970301655,1.0065179880691046,3,3,3
2019,01,37000,tenure,All,1.5022188214458496,1.7485923319430043,1.6632190425012305,3,3,3,0.5381068455341085,0.9307372956271831,1.0567596764270455,3,3,3
2018,01,37000,tenure,All,1.4592037845245074,1.7319922398506291,1.6421243921956319,3,3,3,0.5129555319232941,0.8763246280956706,1.0217837119479267,3,3,3
2017,01,37000,tenure,All,1.481722758066621,1.7319161413780777,1.7495093577905423,3,3,3,0.5956160982892106,0.902194173667609,1.0538621138003572,3,3,3
2016,01,37000,tenure,All,1.458415354078427,1.8505443359884197,1.7479800859063854,3,3,3,0.7368763111377616,1.0152139683319654,1.1279317566468587,3,3,3
2015,01,37000,tenure,All,1.3570311691891863,1.7294072000226335,1.7359822558193714,3,3,3,0.6150820881716531,0.9646169010278531,1.1191558953893403,3,3,3
2014,01,37000,tenure,All,1.4638370675635342,1.7205064262545775,1.6567235846838888,3,3,3,0.6779596876243901,0.9755976224880326,1.1171088075182414,3,3,3
2023,01,37000,tenure,Owner,3.31155503080431,2.5846941642657644,2.2318286721780525,2,2,2,0.7243083307031543,0.8905753842361755,1.0226742954289147,2,2,2
2022,01,37000,tenure,Owner,2.4457806669139788,2.455350250334662,2.288713324819941,2,2,2,0.6886056713054295,0.9557374817892176,1.0366539111888433,2,2,2
2021,01,37000,tenure,Owner,3.627563500939236,2.8682730209627025,2.4409006032435037,3,3,3,0.7604959891952986,0.9159467462974361,0.9948503340692648,3,3,3
2019,01,37000,tenure,Owner,3.9645318241403906,2.673500184505018,2.134132639263225,3,3,3,0.669688160933164,0.8816064531913119,1.0218471817023307,3,3,3
2018,01,37000,tenure,Owner,3.585021993341384,2.577476986445643,2.2104266481624233,3,3,3,0.776765942160726,0.8619676725323294,1.0261417882717343,3,3,3
