year,state,place,subgroup_type,subgroup,share_affordable_80_ami,share_affordable_50_ami,share_affordable_30_ami,share_affordable_80_ami_quality,share_affordable_50_ami_quality,share_affordable_30_ami_quality
2022,01,03076,tenure,All,1.5338485761151968,1.3998572295334433,1.0732139613272789,2,2,2
2022,01,03076,tenure,Owner,1.7334865495255156,2.0274540081132817,NA,2,2,NA
2022,01,03076,tenure,Renter,1.3561213543194555,0.9716183207226514,0.5280375035752836,2,2,2
2022,01,07000,tenure,All,1.3946052183706048,1.319134827286785,1.0954686038378236,2,2,2
2022,01,07000,tenure,Owner,1.6364537487872444,2.071298874279468,2.191197018288286,2,2,2
2022,01,07000,tenure,Renter,1.244895309045864,0.8694272660401373,0.45531151338259823,2,2,2
2022,01,35896,tenure,All,1.7747439885664482,1.5474725805355087,1.4617285936171387,3,3,3
2022,01,35896,tenure,Owner,2.3629153205597784,3.179052427565828,NA,3,3,NA
2022,01,35896,tenure,Renter,1.2274526926410243,0.38484066944530304,NA,3,3,NA
2022,01,37000,tenure,All,1.8250266476567194,1.8161072470643826,1.4454326235046615,2,2,2
2022,01,37000,tenure,Owner,2.288713324819941,2.455350250334662,2.4457806669139788,2,2,2
2022,01,37000,tenure,Renter,1.4340600233526917,1.2054098047823099,0.4340511635823379,2,2,2
2022,01,50000,tenure,All,1.5221636089442618,1.1443827906102981,1.1334868862432161,2,2,2
2022,01,50000,tenure,Owner,1.939236034599168,2.1100101391891886,2.0391237854238367,2,2,2
2022,01,50000,tenure,Renter,1.2360325852427325,0.5088462905504401,0.47001895542002103,2,2,2
2022,01,51000,tenure,All,1.6046262018060748,1.4700346977990029,1.2191725804336235,1,1,1
2022,01,51000,tenure,Owner,1.9641165272623928,2.2603179663935276,2.3123700099443205,1,1,1
2022,01,51000,tenure,Renter,1.302881516254473,0.7314183075665379,0.27177169023560305,1,1,1
2022,01,77256,tenure,All,1.4524467380167367,1.3549785645854897,0.9636244302830733,2,2,2
2022,01,77256,tenure,Owner,2.0137387299031624,2.528460844189414,NA,2,2,NA
2022,01,77256,tenure,Renter,1.2453872547299258,0.890673644846558,0.37067759053473,2,2,2
2022,02,03000,tenure,All,1.6381788982837684,1.6146091442924544,0.9443338796534769,1,1,1
2022,02,03000,tenure,Owner,1.8891374695377732,2.2761758875473057,2.6572164948453607,1,1,1
2022,02,03000,tenure,Renter,1.4024838661263694,1.1592876980885476,0.2206308336015449,1,1,1
2022,04,04720,tenure,All,1.277825779073166,1.1334970908750275,NA,2,2,NA
2022,04,04720,tenure,Owner,1.8094224617240315,2.2412947913971784,NA,2,2,NA
