SCHOOL_YEAR_TEXT,STNAM,FIPST,LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
2015-2016,ALABAMA,01,0100005,Albertville City,Yes,106,Y,.,.,S,S,6,56,30,.,12APR17
2015-2016,ALABAMA,01,0100006,Marshall County,Yes,260,Y,6,.,.,254,41,30,10,.,12APR17
2015-2016,ALABAMA,01,0100007,Hoover City,Yes,44,,13,.,.,31,11,.,.,4,12APR17
2015-2016,ALABAMA,01,0100008,Madison City,Yes,104,Y,38,.,7,59,20,6,.,.,12APR17
2015-2016,ALABAMA,01,0100011,Leeds City,Yes,133,Y,.,.,S,S,20,6,.,.,12APR17
2015-2016,ALABAMA,01,0100012,Boaz City,Yes,64,Y,.,6,.,58,10,16,8,3,12APR17
2015-2016,ALABAMA,01,0100013,Trussville City,No,4,,S,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100030,Alexander City,No,14,,.,.,.,14,S,S,.,.,12APR17
2015-2016,ALABAMA,01,0100060,Andalusia City,No,4,,S,.,.,S,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0100090,Anniston City,Yes,182,,.,.,.,182,14,.,.,.,12APR17
2015-2016,ALABAMA,01,0100100,Arab City,No,23,,.,.,.,23,4,3,.,.,12APR17
2015-2016,ALABAMA,01,0100120,Athens City,No,91,,S,.,S,73,18,32,.,.,12APR17
2015-2016,ALABAMA,01,0100180,Attalla City,Yes,156,,.,.,20,136,17,.,.,.,12APR17
2015-2016,ALABAMA,01,0100185,Saraland City,No,29,,5,.,.,24,7,.,.,.,12APR17
2015-2016,ALABAMA,01,0100188,Chickasaw City,No,36,,.,.,.,36,6,.,.,.,12APR17
2015-2016,ALABAMA,01,0100189,Satsuma City,No,8,,.,.,.,8,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100190,Alabaster City,No,54,,.,.,4,50,10,4,.,.,12APR17
2015-2016,ALABAMA,01,0100194,Pelham City,No,8,,.,.,S,S,.,S,.,.,12APR17
2015-2016,ALABAMA,01,0100210,Auburn City,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100240,Autauga County,Yes,18,,3,.,.,15,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0100270,Baldwin County,Yes,431,Y,30,6,73,322,102,7,3,5,12APR17
2015-2016,ALABAMA,01,0100330,Bessemer City,Yes,244,Y,27,.,19,198,36,3,.,.,12APR17
2015-2016,ALABAMA,01,0100360,Bibb County,No,29,Y,.,.,.,29,6,.,.,.,12APR17
2015-2016,ALABAMA,01,0100390,Birmingham City,Yes,97,Y,S,S,11,83,8,3,.,.,12APR17
2015-2016,ALABAMA,01,0100420,Blount County,Yes,72,Y,.,S,S,67,16,4,S,.,12APR17
2015-2016,ALABAMA,01,0100480,Bullock County,No,5,,.,.,.,5,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100510,Butler County,Yes,178,,.,.,.,178,28,.,.,.,12APR17
2015-2016,ALABAMA,01,0100540,Calhoun County,Yes,135,Y,S,.,S,130,21,S,.,.,12APR17
2015-2016,ALABAMA,01,0100600,Chambers County,No,3,,.,.,.,3,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100630,Cherokee County,Yes,472,Y,3,364,10,95,95,.,.,S,12APR17
2015-2016,ALABAMA,01,0100660,Chilton County,No,12,,3,.,.,9,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0100690,Choctaw County,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100720,Clarke County,Yes,15,,.,.,.,15,S,S,.,.,12APR17
2015-2016,ALABAMA,01,0100750,Clay County,No,13,,.,.,.,13,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0100780,Cleburne County,No,37,,.,.,4,33,6,S,.,.,12APR17
2015-2016,ALABAMA,01,0100810,Coffee County,Yes,62,,.,6,7,49,10,.,.,.,12APR17
2015-2016,ALABAMA,01,0100840,Colbert County,Yes,292,Y,5,3,7,277,60,8,S,.,12APR17
2015-2016,ALABAMA,01,0100960,Crenshaw County,No,7,,.,.,.,7,3,.,.,.,12APR17
2015-2016,ALABAMA,01,0100990,Cullman City,No,11,,.,.,.,11,S,S,.,.,12APR17
2015-2016,ALABAMA,01,0101020,Cullman County,No,20,,.,.,.,20,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101110,Dallas County,Yes,174,Y,S,S,.,90,44,.,.,.,12APR17
2015-2016,ALABAMA,01,0101140,Dekalb County,Yes,300,Y,6,22,8,264,35,98,16,.,12APR17
2015-2016,ALABAMA,01,0101170,Decatur City,Yes,78,Y,21,.,13,44,17,4,.,.,12APR17
2015-2016,ALABAMA,01,0101230,Dothan City,Yes,336,Y,34,.,12,290,60,16,.,3,12APR17
2015-2016,ALABAMA,01,0101260,Elba City,Yes,62,,.,.,.,62,13,.,.,.,12APR17
2015-2016,ALABAMA,01,0101290,Elmore County,No,136,,6,S,S,127,24,6,.,.,12APR17
2015-2016,ALABAMA,01,0101320,Enterprise City,Yes,150,,S,.,S,137,16,40,3,.,12APR17
2015-2016,ALABAMA,01,0101380,Etowah County,No,30,,3,.,6,21,8,.,.,.,12APR17
2015-2016,ALABAMA,01,0101440,Fairfield City,Yes,453,Y,S,S,.,449,56,11,.,.,12APR17
2015-2016,ALABAMA,01,0101470,Fayette County,No,21,Y,.,.,S,S,4,.,.,.,12APR17
2015-2016,ALABAMA,01,0101530,Florence City,Yes,136,,S,S,7,125,14,7,.,.,12APR17
2015-2016,ALABAMA,01,0101620,Gadsden City,Yes,67,Y,9,.,5,53,8,7,.,.,12APR17
2015-2016,ALABAMA,01,0101640,Geneva City,No,12,,.,.,.,12,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101660,Geneva County,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101690,Guntersville City,Yes,183,Y,S,27,S,154,19,27,.,.,12APR17
2015-2016,ALABAMA,01,0101710,Hale County,No,S,,.,.,.,S,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101730,Hartselle City,No,14,Y,.,S,S,12,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101740,Henry County,No,6,,.,.,.,6,S,.,.,.,12APR17
2015-2016,ALABAMA,01,0101760,Homewood City,No,11,,.,.,.,11,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101770,Houston County,No,S,,S,.,.,.,.,.,.,.,12APR17
2015-2016,ALABAMA,01,0101800,Huntsville City,Yes,289,Y,76,S,S,139,45,S,.,S,12APR17
2015-2016,ALABAMA,01,0101830,Jackson County,No,6,,.,.,.,6,S,.,.,.,12APR17
