SCHOOL_YEAR_TEXT,STNAM,FIPST,LEAID,ST_LEAID,LEANM,SUBGRANT_STATUS,TOTAL,PREK_FLAG,HOTELS_MOTELS,UNSHELTERED,SHELTERED,DOUBLED_UP,CDW,LEP,MIG,UHY,DATE_CUR
2016-2017,ALABAMA,01,0100005,AL-101,Albertville City,Yes,61,,S,.,S,53,4,19,17,.,13APR18
2016-2017,ALABAMA,01,0100006,AL-048,Marshall County,Yes,261,Y,3,.,.,258,45,35,19,4,13APR18
2016-2017,ALABAMA,01,0100007,AL-158,Hoover City,Yes,62,Y,22,.,7,33,9,3,.,4,13APR18
2016-2017,ALABAMA,01,0100008,AL-169,Madison City,Yes,86,Y,24,.,7,55,19,3,.,6,13APR18
2016-2017,ALABAMA,01,0100011,AL-167,Leeds City,Yes,135,Y,.,.,4,131,22,6,.,S,13APR18
2016-2017,ALABAMA,01,0100012,AL-115,Boaz City,Yes,53,Y,.,5,.,48,3,18,7,S,13APR18
2016-2017,ALABAMA,01,0100013,AL-205,Trussville City,No,4,,S,.,S,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100030,AL-102,Alexander City,No,13,Y,S,.,.,S,4,.,.,4,13APR18
2016-2017,ALABAMA,01,0100060,AL-104,Andalusia City,No,5,,S,.,.,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100090,AL-105,Anniston City,Yes,153,,.,.,S,S,16,S,.,S,13APR18
2016-2017,ALABAMA,01,0100100,AL-106,Arab City,No,21,Y,S,.,S,19,4,S,.,.,13APR18
2016-2017,ALABAMA,01,0100120,AL-107,Athens City,No,72,,S,.,S,60,21,31,.,15,13APR18
2016-2017,ALABAMA,01,0100180,AL-109,Attalla City,Yes,173,,.,S,S,147,25,5,.,4,13APR18
2016-2017,ALABAMA,01,0100185,AL-187,Saraland City,No,14,,S,.,S,8,S,.,.,S,13APR18
2016-2017,ALABAMA,01,0100188,AL-121,Chickasaw City,No,50,,3,.,4,43,6,S,.,S,13APR18
2016-2017,ALABAMA,01,0100189,AL-196,Satsuma City,No,16,,S,.,S,13,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100190,AL-103,Alabaster City,No,40,Y,5,.,11,24,S,7,.,3,13APR18
2016-2017,ALABAMA,01,0100194,AL-177,Pelham City,No,17,,S,.,S,12,S,4,.,S,13APR18
2016-2017,ALABAMA,01,0100210,AL-110,Auburn City,No,24,,6,.,.,18,8,S,.,.,13APR18
2016-2017,ALABAMA,01,0100240,AL-001,Autauga County,No,49,,7,S,S,40,13,.,.,7,13APR18
2016-2017,ALABAMA,01,0100270,AL-002,Baldwin County,Yes,383,Y,16,6,58,303,82,12,6,12,13APR18
2016-2017,ALABAMA,01,0100300,AL-003,Barbour County,No,7,,3,.,.,4,S,.,.,S,13APR18
2016-2017,ALABAMA,01,0100330,AL-113,Bessemer City,Yes,281,Y,32,S,S,229,34,7,.,.,13APR18
2016-2017,ALABAMA,01,0100360,AL-004,Bibb County,Yes,40,,S,.,S,38,5,3,.,.,13APR18
2016-2017,ALABAMA,01,0100390,AL-114,Birmingham City,Yes,191,Y,13,10,23,145,31,4,.,.,13APR18
2016-2017,ALABAMA,01,0100420,AL-005,Blount County,Yes,140,,.,S,.,S,26,14,8,11,13APR18
2016-2017,ALABAMA,01,0100480,AL-006,Bullock County,No,9,,.,.,.,9,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0100510,AL-007,Butler County,Yes,168,,.,.,3,165,23,.,.,.,13APR18
2016-2017,ALABAMA,01,0100540,AL-008,Calhoun County,Yes,134,,S,.,S,120,22,3,.,65,13APR18
2016-2017,ALABAMA,01,0100600,AL-009,Chambers County,No,20,Y,.,.,S,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100630,AL-010,Cherokee County,Yes,444,Y,S,284,S,147,103,S,.,28,13APR18
2016-2017,ALABAMA,01,0100660,AL-011,Chilton County,No,8,,.,.,.,8,S,S,.,.,13APR18
2016-2017,ALABAMA,01,0100690,AL-012,Choctaw County,No,5,,.,.,.,5,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100720,AL-013,Clarke County,Yes,14,,.,.,.,14,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100750,AL-014,Clay County,No,7,,S,.,.,S,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100780,AL-015,Cleburne County,No,32,Y,S,.,S,25,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0100810,AL-016,Coffee County,Yes,69,Y,.,6,.,63,14,.,.,S,13APR18
2016-2017,ALABAMA,01,0100840,AL-017,Colbert County,Yes,310,Y,S,S,10,291,65,S,S,.,13APR18
2016-2017,ALABAMA,01,0100870,AL-018,Conecuh County,No,S,,.,.,S,S,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0100960,AL-021,Crenshaw County,No,6,,.,.,.,6,.,.,.,.,13APR18
2016-2017,ALABAMA,01,0100990,AL-125,Cullman City,No,13,,S,.,S,10,S,4,.,.,13APR18
2016-2017,ALABAMA,01,0101020,AL-022,Cullman County,No,21,,.,.,.,21,S,.,.,.,13APR18
2016-2017,ALABAMA,01,0101050,AL-023,Dale County,No,4,,S,.,S,S,.,.,.,.,13APR18
