year,state,county,share_burdened_80_ami,share_burdened_80_ami_ub,share_burdened_80_ami_lb,share_burdened_50_ami,share_burdened_50_ami_ub,share_burdened_50_ami_lb,share_burdened_30_ami,share_burdened_30_ami_ub,share_burdened_30_ami_lb,rent_quality
2014,01,001,0.2112546125,0.2251235682,0.1973856569,0.3068946188,0.3262077965,0.2875814412,0.3843453843,0.4071411963,0.3615495724,2
2014,01,003,0.3977801647,0.4058978964,0.389662433,0.55375357,0.5635936825,0.5439134574,0.6508811893,0.6611113981,0.6406509806,1
2014,01,005,0.3367148136,0.3542247266,0.3192049006,0.5041239187,0.5267909947,0.4814568428,0.5041239187,0.5267909947,0.4814568428,2
2014,01,007,0.3338708439,0.3536911695,0.3140505183,0.3863858527,0.4084010188,0.3643706866,0.4436734694,0.4677437644,0.4196031744,2
2014,01,009,0.2529269277,0.2663436041,0.2395102514,0.3250745881,0.3414645991,0.3086845772,0.3634517766,0.3812481204,0.3456554329,2
2014,01,011,0.3367148136,0.3644373065,0.3089923207,0.5041239187,0.5400114672,0.4682363702,0.5041239187,0.5400114672,0.4682363702,2
2014,01,013,0.2745076705,0.2965709613,0.2524443798,0.3602213162,0.3876776446,0.3327649879,0.3602213162,0.3876776446,0.3327649879,2
2014,01,015,0.3986020096,0.407572143,0.3896318762,0.4580781203,0.4678636947,0.4482925459,0.4902982592,0.5006155367,0.4799809817,1
2014,01,017,0.2749813417,0.2905806872,0.2593819963,0.4067713445,0.4276445893,0.3858980996,0.4067713445,0.4276445893,0.3858980996,2
2014,01,019,0.239313548,0.2577480707,0.2208790252,0.3781094527,0.4044446324,0.3517742731,0.3924606248,0.4194781197,0.3654431299,2
2014,01,021,0.2551947052,0.2681850217,0.2422043888,0.3813686026,0.3990610376,0.3636761677,0.4067713445,0.4252507546,0.3882919343,2
2014,01,023,0.247605225,0.2743240743,0.2208863756,0.318402389,0.3511044714,0.2857003065,0.318402389,0.3511044714,0.2857003065,2
2014,01,025,0.246294514,0.2658217265,0.2267673015,0.3140648012,0.3378192789,0.2903103235,0.3140648012,0.3378192789,0.2903103235,2
2014,01,027,0.2440199069,0.2695904581,0.2184493557,0.3924606248,0.4293280629,0.3555931868,0.3924606248,0.4293280629,0.3555931868,2
2014,01,029,0.2440199069,0.2686199455,0.2194198682,0.3924606248,0.4279287848,0.3569924648,0.3924606248,0.4279287848,0.3569924648,2
2014,01,031,0.239373814,0.2521273215,0.2266203066,0.3091911765,0.3248902273,0.2934921257,0.3563814463,0.3740196967,0.3387431958,2
2014,01,033,0.2722774777,0.2837496077,0.2608053476,0.3793879705,0.3941498986,0.3646260423,0.4024326543,0.4177977786,0.38706753,2
2014,01,035,0.247605225,0.2750405244,0.2201699255,0.318402389,0.3519813583,0.2848234196,0.318402389,0.3519813583,0.2848234196,2
2014,01,037,0.2648350771,0.2908891347,0.2387810194,0.4047851563,0.4406169813,0.3689533312,0.4067713445,0.4427188605,0.3708238284,2
2014,01,039,0.2745076705,0.2909473364,0.2580680047,0.3602213162,0.3806794097,0.3397632228,0.3602213162,0.3806794097,0.3397632228,2
2014,01,041,0.256402439,0.2820679169,0.2307369612,0.3312932411,0.3629486267,0.2996378555,0.3563814463,0.3898969974,0.3228658951,2
2014,01,043,0.2070445464,0.2180761265,0.1960129663,0.2526638974,0.2657331486,0.2395946462,0.2724440117,0.28634866,0.2585393634,1
2014,01,045,0.3248601119,0.3380779462,0.3116422776,0.4188351921,0.4346617957,0.4030085884,0.4795747062,0.4968444361,0.4623049763,2
2014,01,047,0.3764828124,0.3921036991,0.3608619256,0.4455374526,0.4629698308,0.4281050744,0.4455374526,0.4629698308,0.4281050744,2
2014,01,049,0.2735876671,0.2849995465,0.2621757877,0.3573312236,0.3715918295,0.3430706177,0.3573312236,0.3715918295,0.3430706177,2
2014,01,051,0.2112546125,0.2227611728,0.1997480523,0.3068946188,0.3229180491,0.2908711886,0.3843453843,0.4032582277,0.365432541,2
2014,01,053,0.247605225,0.2637097525,0.2315006974,0.318402389,0.3381132522,0.2986915257,0.318402389,0.3381132522,0.2986915257,2
2014,01,055,0.2815200663,0.2911111311,0.2719290015,0.4149363113,0.4276928591,0.4021797635,0.4149363113,0.4276928591,0.4021797635,1
2014,01,057,0.2249175238,0.2463095753,0.2035254723,0.2855383099,0.3116123928,0.2594642271,0.2855383099,0.3116123928,0.2594642271,2
2014,01,059,0.2807684298,0.296181851,0.2653550087,0.397069651,0.4170276349,0.3771116671,0.4024326543,0.4225700378,0.3822952707,2
2014,01,061,0.3407490218,0.3595133628,0.3219846808,0.4513018322,0.4739970856,0.4286065788,0.4795747062,0.5032280108,0.4559214016,2
2014,01,063,0.3477287268,0.3802220427,0.3152354109,0.4167545289,0.453579749,0.3799293088,0.4436734694,0.4819619102,0.4053850286,2
2014,01,065,0.3477287268,0.3723447039,0.3231127497,0.4167545289,0.4446522289,0.3888568289,0.4436734694,0.4726796622,0.4146672766,2
2014,01,067,0.3417998318,0.3652660495,0.3183336141,0.4571686204,0.4857004103,0.4286368304,0.4795747062,0.5090875305,0.450061882,2
2014,01,069,0.3407490218,0.3503990531,0.3310989905,0.4513018322,0.4629734334,0.439630231,0.4795747062,0.4917390092,0.4674104033,2
2014,01,071,0.2702650602,0.2833273002,0.2572028203,0.346414419,0.3625318839,0.3302969541,0.3524515542,0.368773995,0.3361291133,2
2014,01,073,0.3711860765,0.374656159,0.367715994,0.4674925275,0.471557389,0.463427666,0.587723419,0.5922866092,0.5831602288,1
2014,01,075,0.2249175238,0.2481880383,0.2016470093,0.2855383099,0.3139019908,0.2571746291,0.2855383099,0.3139019908,0.2571746291,2
2014,01,077,0.2722774777,0.2810708871,0.2634840683,0.3793879705,0.3907030163,0.3680729246,0.4024326543,0.4142100511,0.3906552574,2
2014,01,079,0.2988446727,0.3164206369,0.2812687084,0.3989189189,0.4225452685,0.3752925693,0.4303834378,0.455197183,0.4055696927,2
2014,01,081,0.52195316,0.5288569922,0.5150493277,0.6643250427,0.6716881914,0.6569618941,0.7406575301,0.7480913527,0.7332237076,1
2014,01,083,0.3207324812,0.3332788198,0.3081861425,0.4633922724,0.4795035836,0.4472809612,0.5727179837,0.5909429714,0.5544929959,2
2014,01,085,0.2112546125,0.2418702053,0.1806390198,0.3068946188,0.3495282818,0.2642609558,0.3843453843,0.4346669308,0.3340238379,2
2014,01,087,0.3367148136,0.3565165942,0.3169130329,0.5041239187,0.5297578819,0.4784899555,0.5041239187,0.5297578819,0.4784899555,2
2014,01,089,0.344778869,0.3494815858,0.3400761523,0.451675267,0.4573424098,0.4460081243,0.5995007465,0.6059511314,0.5930503615,1
2014,01,091,0.3764828124,0.3990003197,0.3539653051,0.440616133,0.4655773816,0.4156548843,0.4436734694,0.4687391377,0.4186078011,2
2014,01,093,0.2448169224,0.2610200753,0.2286137694,0.3173710945,0.3373417205,0.2974004685,0.3173710945,0.3373417205,0.2974004685,2
2014,01,095,0.2252243916,0.2341079693,0.2163408139,0.3527536232,0.3654708029,0.3400364435,0.3527536232,0.3654708029,0.3400364435,1
2014,01,097,0.3982166217,0.4031741975,0.3932590459,0.4940770833,0.4998025867,0.4883515799,0.5265385998,0.5327231052,0.5203540943,1
2014,01,099,0.247605225,0.268344362,0.2268660879,0.318402389,0.3437857039,0.293019074,0.318402389,0.3437857039,0.293019074,2
2014,01,101,0.4252924303,0.4315456563,0.4190392043,0.5426560507,0.5498724263,0.5354396751,0.6422871692,0.6499339663,0.6346403721,1
2014,01,103,0.2988446727,0.3082605563,0.289428789,0.3989189189,0.4115761453,0.3862616925,0.4303834378,0.4436767817,0.4170900939,1
