year,state,county,subgroup_type,subgroup,pctl_income_20,pctl_income_20_lb,pctl_income_20_ub,pctl_income_20_quality,pctl_income_50,pctl_income_50_lb,pctl_income_50_ub,pctl_income_50_quality,pctl_income_80,pctl_income_80_lb,pctl_income_80_ub,pctl_income_80_quality
2014,01,001,all,All,16978.4644,15883.177112,18402.237112000003,3,44099.576378000005,42008.748006,46794.058560000005,3,88636.512613,85438.45420800001,91776.75925,3
2014,01,003,all,All,19160.074999999997,18151.65,20496.092573,1,45177.439999999995,43033.425339,47698.502499999995,1,91325.743421,86643.57251200001,96282.503696,1
2014,01,005,all,All,16941.539999999997,15592.263181,18454.1775,3,42922.762498,40984.070673,45379.12499999999,3,86476.923121,81734.83816300001,91211.633986,3
2014,01,007,all,All,12815.969656,11803.403304,13916.265,3,34790.6625,32526.644986000003,36886.36889,3,75833.56,71637.02828,81124.978264,3
2014,01,009,all,All,20492.539111,18765.605232,21783.144141,2,46488.392499999994,44252.83083200001,49181.489337,2,89657.89166400001,86275.22101000001,92785.492536,2
2014,01,011,all,All,16941.539999999997,15592.263181,18454.1775,3,42922.762498,40984.070673,45379.12499999999,3,86476.923121,81734.83816300001,91211.633986,3
2014,01,013,all,All,17745.266264,16568.422749999998,19314.937653,3,44572.384999999995,42353.85,47100.376256,3,87629.02878400001,84653.326186,91211.633986,3
2014,01,015,all,All,14282.306566,13311.21,15317.975749999998,1,37500.97378,35380.701512,39344.78845,1,76188.565288,73394.56917100001,80051.756466,1
2014,01,017,all,All,15061.850001,13911.256944,15832.2725,3,36488.67684,35041.546671000004,38627.413562,3,76000.903231,72977.35368,79943.823344,3
2014,01,019,all,All,15126.374999999998,14164.694907,16680.537984000002,3,37323.107822000005,35294.875,39059.57132,3,75579.860992,71198.71184,78190.0218,3
2014,01,021,all,All,15061.850001,13911.256944,15832.2725,3,36488.67684,35041.546671000004,38627.413562,3,76000.903231,72977.35368,79943.823344,3
2014,01,023,all,All,13949.8469,12876.625102,15220.788869000002,3,36476.296447,34403.609592,38573.744088,3,76894.810312,73389.286416,80637.169117,3
2014,01,025,all,All,13949.8469,12876.625102,15220.788869000002,3,36476.296447,34403.609592,38573.744088,3,76894.810312,73389.286416,80637.169117,3
2014,01,027,all,All,15126.374999999998,14164.694907,16680.537984000002,3,37323.107822000005,35294.875,39059.57132,3,75579.860992,71198.71184,78190.0218,3
2014,01,029,all,All,15126.374999999998,14164.694907,16680.537984000002,3,37323.107822000005,35294.875,39059.57132,3,75579.860992,71198.71184,78190.0218,3
2014,01,031,all,All,17745.266264,16568.422749999998,19314.937653,2,44572.384999999995,42353.85,47100.376256,2,87629.02878400001,84653.326186,91211.633986,2
2014,01,033,all,All,16393.829779,15559.679597,17514.968966,3,40336.99999999999,38556.73236,42847.929905000005,3,80673.99999999999,77648.72499999999,84343.16692,3
2014,01,035,all,All,13949.8469,12876.625102,15220.788869000002,3,36476.296447,34403.609592,38573.744088,3,76894.810312,73389.286416,80637.169117,3
2014,01,037,all,All,15061.850001,13911.256944,15832.2725,3,36488.67684,35041.546671000004,38627.413562,3,76000.903231,72977.35368,79943.823344,3
