year,state,county,share_debt_coll,share_debt_coll_quality
2023,01,001,0.2609164,1
2023,01,003,0.1992218,1
2023,01,005,0.3244326,1
2023,01,007,0.330033,1
2023,01,009,0.2526791,1
2023,01,011,0.4395161,1
2023,01,013,0.373817,1
2023,01,015,0.3460452,1
2023,01,017,0.3468697,1
2023,01,019,0.32,1
2023,01,021,0.3002056,1
2023,01,023,0.3888889,1
2023,01,025,0.3638889,1
2023,01,027,0.3320895,1
2023,01,029,0.2696177,1
2023,01,031,0.2795181,1
2023,01,033,0.2965865,1
2023,01,035,0.3883162,1
2023,01,037,0.3092105,1
2023,01,039,0.3436714,1
2023,01,041,0.3352713,1
2023,01,043,0.265689,1
2023,01,045,0.3052209,1
2023,01,047,0.4017258,1
2023,01,049,0.2904921,1
2023,01,051,0.2446227,1
2023,01,053,0.375,1
2023,01,055,0.3083756,1
2023,01,057,0.3018868,1
2023,01,059,0.303132,1
2023,01,061,0.3115861,1
2023,01,063,0.4478261,1
2023,01,065,0.3646833,1
2023,01,067,0.2374101,1
2023,01,069,0.3018109,1
2023,01,071,0.2737095,1
2023,01,073,0.3164223,1
2023,01,075,0.2669903,1
2023,01,077,0.2455008,1
2023,01,079,0.2947867,1
2023,01,081,0.2418507,1
2023,01,083,0.2213763,1
2023,01,085,0.4025974,1
2023,01,087,0.4450262,1
2023,01,089,0.2260034,1
2023,01,091,0.3361204,1
2023,01,093,0.2835165,1
2023,01,095,0.2905585,1
2023,01,097,0.3422612,1
2023,01,099,0.3695652,1
2023,01,101,0.3832032,1
2023,01,103,0.2930197,1
2023,01,105,0.4599156,1
2023,01,107,0.353902,1
2023,01,109,0.3695409,1
2023,01,111,0.3287101,1
2023,01,113,0.4190801,1
2023,01,115,0.2697917,1
2023,01,117,0.198995,1
2023,01,119,0.4059702,1
2023,01,121,0.3925271,1
2023,01,123,0.2829629,1
2023,01,125,0.2956181,1
2023,01,127,0.3338391,1
2023,01,129,0.2885772,1
2023,01,131,0.4225352,1
2023,01,133,0.2827869,1
2023,02,013,NA,NA
2023,02,016,0.2592593,1
2023,02,020,0.1927065,1
2023,02,050,0.2482014,1
2023,02,060,NA,NA
2023,02,063,0.0928962,1
2023,02,066,0.1081081,1
2023,02,068,0.1,1
2023,02,070,0.1263158,1
2023,02,090,0.165596,1
2023,02,100,0.0540541,1
2023,02,105,0.2037037,1
2023,02,110,0.1340956,1
2023,02,122,0.1593069,1
2023,02,130,0.1437909,1
2023,02,150,0.1147059,1
2023,02,158,0.2372881,1
2023,02,164,NA,NA
2023,02,170,0.1578425,1
2023,02,180,0.1829268,1
2023,02,185,0.1776316,1
2023,02,188,0.30232560000000003,1
2023,02,195,0.1222222,1
2023,02,198,0.1780822,1
2023,02,220,0.1441048,1
2023,02,230,NA,NA
2023,02,240,0.1369863,1
2023,02,275,0.1,1
2023,02,282,NA,NA
2023,02,290,0.1578947,1
2023,04,001,0.4281768,1
2023,04,003,0.2170827,1
2023,04,005,0.2354523,1
2023,04,007,0.2434411,1
2023,04,009,0.304,1
2023,04,011,0.3041475,1
2023,04,012,0.2299652,1
2023,04,013,0.222341,1
2023,04,015,0.2438757,1
2023,04,017,0.3193333,1
2023,04,019,0.2211385,1
2023,04,021,0.2313462,1
2023,04,023,0.2303274,1
2023,04,025,0.1841914,1
2023,04,027,0.2311132,1
2023,05,001,0.3387387,1
2023,05,003,0.3676704,1
2023,05,005,0.2210595,1
2023,05,007,0.202434,1
2023,05,009,0.2671509,1
2023,05,011,0.3553459,1
2023,05,013,0.3846154,1
2023,05,015,0.2520138,1
2023,05,017,0.4724919,1
2023,05,019,0.3224756,1
2023,05,021,0.3024831,1
2023,05,023,0.22,1
2023,05,025,0.2676056,1
2023,05,027,0.3581871,1
2023,05,029,0.2841945,1
2023,05,031,0.333935,1
2023,05,033,0.2927083,1
2023,05,035,0.4833898,1
2023,05,037,0.3553875,1
2023,05,039,0.4611399,1
2023,05,041,0.4263323,1
2023,05,043,0.3862434,1
2023,05,045,0.2530057,1
2023,05,047,0.2909091,1
2023,05,049,0.2385058,1
2023,05,051,0.2738461,1
2023,05,053,0.2384342,1
2023,05,055,0.3313996,1
2023,05,057,0.3724247,1
2023,05,059,0.3133333,1
2023,05,061,0.3195402,1
2023,05,063,0.2755102,1
2023,05,065,0.2611276,1
2023,05,067,0.3636364,1
2023,05,069,0.4336918,1
2023,05,071,0.3160237,1
2023,05,073,0.4146341,1
2023,05,075,0.3256637,1
2023,05,077,0.4564103,1
2023,05,079,0.3119658,1
2023,05,081,0.3861111,1
2023,05,083,0.2943854,1
2023,05,085,0.2691293,1
2023,05,087,0.2630273,1
2023,05,089,0.2561404,1
2023,05,091,0.4104308,1
2023,05,093,0.4316988,1
2023,05,095,0.32850240000000003,1
2023,05,097,0.2579186,1
2023,05,099,0.4497355,1
2023,05,101,0.1982759,1
2023,05,103,0.3628692,1
2023,05,105,0.2587413,1
2023,05,107,0.4811715,1
2023,05,109,0.2591241,1
2023,05,111,0.3944056,1
2023,05,113,0.2644068,1
2023,05,115,0.2540241,1
2023,05,117,0.2990654,1
2023,05,119,0.3152741,1
2023,05,121,0.3197782,1
2023,05,123,0.4416244,1
2023,05,125,0.2358491,1
2023,05,127,0.3210332,1
2023,05,129,0.18,1
2023,05,131,0.3022323,1
2023,05,133,0.3534676,1
2023,05,135,0.2765217,1
2023,05,137,0.1949686,1
2023,05,139,0.3407821,1
2023,05,141,0.259542,1
2023,05,143,0.2397933,1
2023,05,145,0.2651546,1
2023,05,147,0.3174603,1
2023,05,149,0.2764901,1
2023,06,001,0.1254713,1
2023,06,003,NA,NA
2023,06,005,0.1553175,1
2023,06,007,0.2005632,1
2023,06,009,0.1648276,1
2023,06,011,0.1744023,1
2023,06,013,0.1516543,1
2023,06,015,0.2481203,1
2023,06,017,0.1345962,1
2023,06,019,0.2365405,1
2023,06,021,0.2104651,1
2023,06,023,0.1738382,1
2023,06,025,0.2524837,1
2023,06,027,0.1560799,1
2023,06,029,0.2677657,1
2023,06,031,0.2472133,1
2023,06,033,0.2736842,1
2023,06,035,0.2545202,1
2023,06,037,0.1915233,1
2023,06,039,0.2259875,1
2023,06,041,0.0760024,1
2023,06,043,0.1781513,1
2023,06,045,0.1860955,1
2023,06,047,0.244963,1
2023,06,049,0.2797203,1
2023,06,051,0.1246753,1
2023,06,053,0.1825243,1
2023,06,055,0.1345932,1
2023,06,057,0.12789,1
2023,06,059,0.1435678,1
2023,06,061,0.1060047,1
2023,06,063,0.187017,1
2023,06,065,0.2290392,1
2023,06,067,0.1903808,1
2023,06,069,0.1969918,1
2023,06,071,0.2579098,1
2023,06,073,0.1579494,1
2023,06,075,0.0905453,1
2023,06,077,0.2142827,1
2023,06,079,0.1239069,1
2023,06,081,0.0960488,1
2023,06,083,0.1389851,1
2023,06,085,0.0929445,1
2023,06,087,0.1108316,1
2023,06,089,0.1924007,1
2023,06,091,0.1428571,1
2023,06,093,0.1886269,1
2023,06,095,0.1976744,1
2023,06,097,0.1280324,1
2023,06,099,0.2226223,1
2023,06,101,0.2019608,1
2023,06,103,0.2325123,1
2023,06,105,0.1890244,1
2023,06,107,0.2333686,1
2023,06,109,0.1829268,1
2023,06,111,0.1450895,1
2023,06,113,0.1425163,1
2023,06,115,0.24,1
2023,08,001,0.202526,1
2023,08,003,0.199187,1
2023,08,005,0.1656619,1
2023,08,007,0.1057269,1
2023,08,009,0.1574074,1
2023,08,011,0.2786885,1
2023,08,013,0.0856487,1
2023,08,014,0.0750252,1
2023,08,015,0.094703,1
2023,08,017,0.08,1
2023,08,019,0.1540984,1
2023,08,021,0.1875,1
2023,08,023,0.25,1
2023,08,025,0.1574074,1
2023,08,027,0.0977011,1
2023,08,029,0.1435794,1
2023,08,031,0.1652287,1
2023,08,033,0.0481928,1
2023,08,035,0.0796532,1
2023,08,037,0.078481,1
2023,08,039,0.1078108,1
2023,08,041,0.1725941,1
2023,08,043,0.18429,1
2023,08,045,0.148343,1
2023,08,047,0.0875,1
2023,08,049,0.0868597,1
2023,08,051,0.0775681,1
2023,08,053,NA,NA
2023,08,055,0.1544715,1
2023,08,057,NA,NA
2023,08,059,0.1173197,1
2023,08,061,0.2156863,1
2023,08,063,0.1408451,1
2023,08,065,0.1526718,1
2023,08,067,0.1241292,1
2023,08,069,0.1185228,1
2023,08,071,0.2246696,1
2023,08,073,0.2251656,1
2023,08,075,0.2087114,1
2023,08,077,0.1537525,1
2023,08,079,NA,NA
2023,08,081,0.1826923,1
2023,08,083,0.1772784,1
2023,08,085,0.1236641,1
2023,08,087,0.2247596,1
2023,08,089,0.2314647,1
2023,08,091,0.0604396,1
2023,08,093,0.130719,1
2023,08,095,0.1847134,1
2023,08,097,0.084127,1
2023,08,099,0.202381,1
2023,08,101,0.2360758,1
2023,08,103,0.15,1
2023,08,105,0.1643454,1
2023,08,107,0.0709914,1
2023,08,109,0.1752577,1
2023,08,111,NA,NA
2023,08,113,0.0789474,1
2023,08,115,0.1358025,1
2023,08,117,0.0806452,1
2023,08,119,0.1183879,1
2023,08,121,0.1804511,1
2023,08,123,0.1647679,1
2023,08,125,0.1438849,1
2023,09,001,0.1628354,1
2023,09,003,0.2038766,1
2023,09,005,0.1635,1
2023,09,007,0.1416142,1
2023,09,009,0.2159941,1
2023,09,011,0.1797501,1
2023,09,013,0.1325023,1
2023,09,015,0.2115488,1
2023,10,001,0.2822458,1
2023,10,003,0.2588255,1
2023,10,005,0.1884574,1
2023,11,001,0.2048033,1
2023,12,001,0.2284062,1
2023,12,003,0.327907,1
2023,12,005,0.2705469,1
2023,12,007,0.3612824,1
2023,12,009,0.2406791,1
2023,12,011,0.2390619,1
2023,12,013,0.3271277,1
2023,12,015,0.174412,1
2023,12,017,0.2512212,1
2023,12,019,0.2674305,1
2023,12,021,0.1504347,1
2023,12,023,0.3541667,1
2023,12,027,0.2658228,1
2023,12,029,0.348643,1
2023,12,031,0.3150148,1
2023,12,033,0.2930884,1
2023,12,035,0.2040027,1
2023,12,037,0.2949853,1
2023,12,039,0.3945578,1
2023,12,041,0.2747253,1
2023,12,043,0.2979798,1
2023,12,045,0.2401747,1
2023,12,047,0.3644252,1
2023,12,049,0.3622589,1
2023,12,051,0.3701518,1
2023,12,053,0.2563694,1
2023,12,055,0.2503528,1
2023,12,057,0.2693874,1
2023,12,059,0.2910053,1
2023,12,061,0.1869989,1
2023,12,063,0.3403805,1
2023,12,065,0.2683363,1
2023,12,067,0.2894737,1
2023,12,069,0.2312303,1
2023,12,071,0.1955518,1
2023,12,073,0.2510078,1
2023,12,075,0.3120713,1
2023,12,077,0.2987013,1
2023,12,079,0.3530656,1
2023,12,081,0.2135305,1
2023,12,083,0.2647446,1
2023,12,085,0.1552632,1
2023,12,086,0.2319959,1
2023,12,087,0.2333218,1
2023,12,089,0.195107,1
2023,12,091,0.2111554,1
2023,12,093,0.3064894,1
2023,12,095,0.2787101,1
2023,12,097,0.2991743,1
2023,12,099,0.2058614,1
2023,12,101,0.2530849,1
2023,12,103,0.2374023,1
2023,12,105,0.3103353,1
2023,12,107,0.3572879,1
2023,12,109,0.1397882,1
2023,12,111,0.2584854,1
2023,12,113,0.2190384,1
2023,12,115,0.1641553,1
2023,12,117,0.2355516,1
2023,12,119,0.1249517,1
2023,12,121,0.3061975,1
2023,12,123,0.3498498,1
2023,12,125,0.3727034,1
2023,12,127,0.2476001,1
2023,12,129,0.2520548,1
2023,12,131,0.220617,1
2023,12,133,0.3005698,1
2023,13,001,0.321608,1
2023,13,003,0.4019608,1
2023,13,005,0.3026316,1
2023,13,007,0.5066667,1
2023,13,009,0.3699915,1
2023,13,011,0.2711572,1
2023,13,013,0.2844738,1
2023,13,015,0.2933674,1
2023,13,017,0.3904762,1
2023,13,019,0.3829432,1
2023,13,021,0.4364934,1
2023,13,023,0.3371105,1
2023,13,025,0.3497758,1
2023,13,027,0.4383562,1
2023,13,029,0.2392241,1
2023,13,031,0.3650722,1
2023,13,033,0.4039216,1
2023,13,035,0.3329208,1
2023,13,037,0.4160584,1
2023,13,039,0.2842391,1
2023,13,043,0.3928571,1
2023,13,045,0.3381873,1
2023,13,047,0.2575532,1
2023,13,049,0.3811075,1
2023,13,051,0.3223529,1
2023,13,053,0.2657807,1
2023,13,055,0.3653088,1
2023,13,057,0.1743119,1
2023,13,059,0.2696944,1
2023,13,061,0.3866667,1
2023,13,063,0.4407859,1
2023,13,065,0.3908629,1
2023,13,067,0.2238671,1
2023,13,069,0.3728814,1
2023,13,071,0.3359498,1
2023,13,073,0.2162673,1
2023,13,075,0.4038835,1
2023,13,077,0.2343123,1
2023,13,079,0.3883495,1
2023,13,081,0.4305994,1
2023,13,083,0.2860262,1
2023,13,085,0.2283151,1
2023,13,087,0.3859649,1
2023,13,089,0.3028921,1
2023,13,091,0.3375796,1
2023,13,093,0.4038461,1
2023,13,095,0.4667192,1
2023,13,097,0.3664544,1
2023,13,099,0.448052,1
2023,13,101,0.3730159,1
2023,13,103,0.2676252,1
2023,13,105,0.3156997,1
2023,13,107,0.3598436,1
2023,13,109,0.394822,1
2023,13,111,0.2149321,1
2023,13,113,0.1758102,1
2023,13,115,0.3259927,1
2023,13,117,0.1166999,1
2023,13,119,0.3043478,1
2023,13,121,0.2712178,1
2023,13,123,0.2446184,1
2023,13,125,0.278481,1
2023,13,127,0.2972148,1
2023,13,129,0.3075245,1
2023,13,131,0.343949,1
2023,13,133,0.2169657,1
2023,13,135,0.2311575,1
2023,13,137,0.2325414,1
2023,13,139,0.2481087,1
2023,13,141,0.4565217,1
2023,13,143,0.3462783,1
2023,13,145,0.2387792,1
2023,13,147,0.2951807,1
2023,13,149,0.3286119,1
2023,13,151,0.3325916,1
2023,13,153,0.3157149,1
2023,13,155,0.3097015,1
2023,13,157,0.2221846,1
2023,13,159,0.3130081,1
2023,13,161,0.3062099,1
2023,13,163,0.4314159,1
2023,13,165,0.3977695,1
2023,13,167,0.3238636,1
2023,13,169,0.3242925,1
2023,13,171,0.3135313,1
2023,13,173,0.3969849,1
2023,13,175,0.3428398,1
2023,13,177,0.2544554,1
2023,13,179,0.400767,1
2023,13,181,0.2769231,1
2023,13,183,0.3514151,1
2023,13,185,0.3541783,1
2023,13,187,0.2360319,1
2023,13,189,0.4121916,1
2023,13,191,0.3268765,1
2023,13,193,0.461126,1
2023,13,195,0.2615063,1
2023,13,197,0.3670886,1
2023,13,199,0.4307692,1
2023,13,201,0.3244681,1
2023,13,205,0.4403226,1
2023,13,207,0.2866379,1
2023,13,209,0.3175966,1
2023,13,211,0.2467532,1
2023,13,213,0.340981,1
2023,13,215,0.4009146,1
2023,13,217,0.3781877,1
2023,13,219,0.1223551,1
2023,13,221,0.2836879,1
2023,13,223,0.3028463,1
2023,13,225,0.393736,1
2023,13,227,0.2383929,1
2023,13,229,0.3371336,1
2023,13,231,0.2275335,1
2023,13,233,0.3742733,1
2023,13,235,0.3436123,1
2023,13,237,0.303155,1
2023,13,239,0.3589744,1
2023,13,241,0.213894,1
2023,13,243,0.4064171,1
2023,13,245,0.435869,1
2023,13,247,0.3621151,1
2023,13,249,0.25,1
2023,13,251,0.4159836,1
2023,13,253,0.3414634,1
2023,13,255,0.384149,1
2023,13,257,0.3046512,1
2023,13,259,0.4357143,1
2023,13,261,0.4437939,1
2023,13,263,0.4496644,1
2023,13,265,0.4259259,1
2023,13,267,0.3655063,1
2023,13,269,0.4347826,1
2023,13,271,0.3838862,1
2023,13,273,0.4020979,1
2023,13,275,0.3539704,1
2023,13,277,0.3448276,1
2023,13,279,0.3696682,1
2023,13,281,0.1918736,1
2023,13,283,0.3714286,1
2023,13,285,0.3806793,1
2023,13,287,0.4264151,1
2023,13,289,0.3225806,1
2023,13,291,0.182659,1
2023,13,293,0.4013605,1
2023,13,295,0.3158133,1
2023,13,297,0.25,1
2023,13,299,0.3666667,1
2023,13,301,0.4702703,1
2023,13,303,0.4071763,1
2023,13,305,0.3878968,1
2023,13,307,NA,NA
2023,13,309,0.3538462,1
2023,13,311,0.2451193,1
2023,13,313,0.2751134,1
2023,13,315,0.4047619,1
2023,13,317,0.313099,1
2023,13,319,0.437276,1
2023,13,321,0.340604,1
2023,15,001,0.1592822,1
2023,15,003,0.1280545,1
2023,15,005,NA,NA
2023,15,007,0.1264271,1
2023,15,009,0.1608119,1
2023,16,001,0.1282943,1
2023,16,003,0.130137,1
2023,16,005,0.2195748,1
2023,16,007,0.1212121,1
2023,16,009,0.1604938,1
2023,16,011,0.1606628,1
2023,16,013,0.1022444,1
2023,16,015,0.1194539,1
2023,16,017,0.1216775,1
2023,16,019,0.1486093,1
2023,16,021,0.1038647,1
2023,16,023,0.0769231,1
2023,16,025,NA,NA
2023,16,027,0.1982256,1
2023,16,029,0.1134454,1
2023,16,031,0.1702432,1
2023,16,033,NA,NA
2023,16,035,0.1854839,1
2023,16,037,0.0738255,1
2023,16,039,0.1770833,1
2023,16,041,0.0935252,1
2023,16,043,0.1088608,1
2023,16,045,0.1784615,1
2023,16,047,0.1770833,1
2023,16,049,0.1348089,1
2023,16,051,0.1382857,1
2023,16,053,0.202514,1
2023,16,055,0.1477194,1
2023,16,057,0.1130137,1
2023,16,059,0.1235521,1
2023,16,061,0.15,1
2023,16,063,0.2119565,1
2023,16,065,0.0851852,1
2023,16,067,0.1685714,1
2023,16,069,0.1667875,1
2023,16,071,0.1233766,1
2023,16,073,0.2165242,1
2023,16,075,0.1894484,1
2023,16,077,0.1557377,1
2023,16,079,0.2222222,1
2023,16,081,0.1073298,1
2023,16,083,0.1837667,1
2023,16,085,0.1073298,1
2023,16,087,0.2147239,1
2023,17,001,0.2171336,1
2023,17,003,0.368421,1
2023,17,005,0.2191781,1
2023,17,007,0.2118227,1
2023,17,009,0.1641791,1
2023,17,011,0.1920223,1
2023,17,013,0.1572327,1
2023,17,015,0.1469979,1
2023,17,017,0.2013889,1
2023,17,019,0.2102828,1
2023,17,021,0.1985816,1
2023,17,023,0.1950208,1
2023,17,025,0.1966759,1
2023,17,027,0.1373832,1
2023,17,029,0.28965,1
2023,17,031,0.2192444,1
2023,17,033,0.1744387,1
2023,17,035,0.1878788,1
2023,17,037,0.2027901,1
2023,17,039,0.217484,1
2023,17,041,0.196944,1
2023,17,043,0.1376416,1
2023,17,045,0.2548638,1
2023,17,047,0.16875,1
2023,17,049,0.1652021,1
2023,17,051,0.2373541,1
2023,17,053,0.2160194,1
2023,17,055,0.2949039,1
2023,17,057,0.2421569,1
2023,17,059,0.2556818,1
2023,17,061,0.1904762,1
2023,17,063,0.2096463,1
2023,17,065,0.1683168,1
2023,17,067,0.1907308,1
2023,17,069,0.2605042,1
2023,17,071,0.2406417,1
2023,17,073,0.1748999,1
2023,17,075,0.2224745,1
2023,17,077,0.2621565,1
2023,17,079,0.1533333,1
2023,17,081,0.2939585,1
2023,17,083,0.16006600000000001,1
2023,17,085,0.1299213,1
2023,17,087,0.1823056,1
2023,17,089,0.1786371,1
2023,17,091,0.2442772,1
2023,17,093,0.1751443,1
2023,17,095,0.2338275,1
2023,17,097,0.1582996,1
2023,17,099,0.2145369,1
2023,17,101,0.2631579,1
2023,17,103,0.1917255,1
2023,17,105,0.199637,1
2023,17,107,0.2285012,1
2023,17,109,0.1897233,1
2023,17,111,0.1508256,1
2023,17,113,0.1788198,1
2023,17,115,0.2815005,1
2023,17,117,0.2068502,1
2023,17,119,0.2213639,1
2023,17,121,0.3054636,1
2023,17,123,0.1797101,1
2023,17,125,0.1847291,1
2023,17,127,0.2893519,1
2023,17,129,0.1253482,1
2023,17,131,0.1906694,1
2023,17,133,0.0942507,1
2023,17,135,0.2259215,1
2023,17,137,0.237998,1
2023,17,139,0.2219451,1
2023,17,141,0.1785497,1
2023,17,143,0.2405972,1
2023,17,145,0.2075134,1
2023,17,147,0.1403846,1
2023,17,149,0.2087683,1
2023,17,151,0.225,1
2023,17,153,0.2974684,1
2023,17,155,0.2116402,1
2023,17,157,0.2237443,1
2023,17,159,0.2281059,1
2023,17,161,0.2262295,1
2023,17,163,0.2869914,1
2023,17,165,0.2804568,1
2023,17,167,0.2120857,1
2023,17,169,0.1915888,1
2023,17,171,0.1631206,1
2023,17,173,0.2405892,1
2023,17,175,0.1893939,1
2023,17,177,0.2102313,1
2023,17,179,0.1809785,1
2023,17,181,0.209776,1
2023,17,183,0.3315043,1
2023,17,185,0.2618384,1
2023,17,187,0.2255245,1
2023,17,189,0.1273585,1
2023,17,191,0.2188235,1
2023,17,193,0.2451613,1
2023,17,195,0.2179487,1
2023,17,197,0.1878693,1
2023,17,199,0.2552108,1
2023,17,201,0.2574458,1
2023,17,203,0.1287813,1
2023,18,001,0.1475237,1
2023,18,003,0.213181,1
2023,18,005,0.1840092,1
2023,18,007,0.2,1
2023,18,009,0.2252747,1
2023,18,011,0.160833,1
2023,18,013,0.1486486,1
2023,18,015,0.2082019,1
2023,18,017,0.2914838,1
2023,18,019,0.2615578,1
2023,18,021,0.23236010000000001,1
2023,18,023,0.2706237,1
2023,18,025,0.2560647,1
2023,18,027,0.1682578,1
2023,18,029,0.1962447,1
2023,18,031,0.2282209,1
2023,18,033,0.2097242,1
2023,18,035,0.2554902,1
2023,18,037,0.1327893,1
2023,18,039,0.2310842,1
2023,18,041,0.2911565,1
2023,18,043,0.2172839,1
2023,18,045,0.2127273,1
2023,18,047,0.1972028,1
2023,18,049,0.2237443,1
2023,18,051,0.2226345,1
2023,18,053,0.2988786,1
2023,18,055,0.2212766,1
2023,18,057,0.1150836,1
2023,18,059,0.1668397,1
2023,18,061,0.2001488,1
2023,18,063,0.1724954,1
2023,18,065,0.245828,1
2023,18,067,0.2782772,1
2023,18,069,0.1958159,1
2023,18,071,0.2473271,1
2023,18,073,0.1925996,1
2023,18,075,0.2209493,1
2023,18,077,0.2750243,1
2023,18,079,0.237819,1
2023,18,081,0.1879743,1
2023,18,083,0.26642,1
2023,18,085,0.1958266,1
2023,18,087,0.128125,1
2023,18,089,0.2604858,1
2023,18,091,0.2392065,1
2023,18,093,0.2345679,1
2023,18,095,0.2594502,1
2023,18,097,0.3065223,1
2023,18,099,0.1803636,1
2023,18,101,0.1607629,1
2023,18,103,0.2533609,1
2023,18,105,0.1709763,1
2023,18,107,0.2054561,1
2023,18,109,0.2139968,1
2023,18,111,0.2241015,1
2023,18,113,0.2221429,1
2023,18,115,0.2424242,1
2023,18,117,0.2231405,1
2023,18,119,0.2193878,1
2023,18,121,0.166302,1
2023,18,123,0.1886447,1
2023,18,125,0.2010309,1
2023,18,127,0.1635453,1
2023,18,129,0.146283,1
2023,18,131,0.2271663,1
2023,18,133,0.2218247,1
2023,18,135,0.233244,1
2023,18,137,0.2034079,1
2023,18,139,0.2800789,1
2023,18,141,0.2283327,1
2023,18,143,0.3157895,1
2023,18,145,0.2360515,1
2023,18,147,0.1848341,1
2023,18,149,0.2403983,1
2023,18,151,0.2191781,1
2023,18,153,0.2272727,1
2023,18,155,0.2519084,1
2023,18,157,0.2012263,1
2023,18,159,0.2107356,1
2023,18,161,0.1983806,1
2023,18,163,0.2485437,1
2023,18,165,0.180198,1
2023,18,167,0.2914197,1
2023,18,169,0.1937437,1
2023,18,171,0.2025317,1
2023,18,173,0.154644,1
2023,18,175,0.2401903,1
2023,18,177,0.2690981,1
2023,18,179,0.150838,1
2023,18,181,0.2237017,1
2023,18,183,0.1549953,1
2023,19,001,0.1617021,1
2023,19,003,0.1351351,1
2023,19,005,0.1288515,1
2023,19,007,0.2405405,1
2023,19,009,0.1533333,1
2023,19,011,0.1486658,1
2023,19,013,0.2256649,1
2023,19,015,0.1411339,1
2023,19,017,0.1034031,1
2023,19,019,0.1308244,1
2023,19,021,0.1845878,1
2023,19,023,0.1103448,1
2023,19,025,0.1382637,1
2023,19,027,0.1192369,1
2023,19,029,0.1738095,1
2023,19,031,0.1545139,1
2023,19,033,0.1723636,1
2023,19,035,0.1538462,1
2023,19,037,0.1274238,1
2023,19,039,0.2153846,1
2023,19,041,0.1685393,1
2023,19,043,0.12137680000000001,1
2023,19,045,0.2308219,1
2023,19,047,0.2064516,1
2023,19,049,0.1350588,1
2023,19,051,0.1304348,1
2023,19,053,0.1570681,1
2023,19,055,0.1098266,1
2023,19,057,0.2231337,1
2023,19,059,0.1107595,1
2023,19,061,0.1419061,1
2023,19,063,0.1481481,1
2023,19,065,0.1779026,1
2023,19,067,0.1930586,1
2023,19,069,0.1558935,1
2023,19,071,0.1971831,1
2023,19,073,0.1627907,1
2023,19,075,0.1182796,1
2023,19,077,0.1183801,1
2023,19,079,0.1843818,1
2023,19,081,0.1227545,1
2023,19,083,0.1758893,1
2023,19,085,0.1538462,1
2023,19,087,0.1986183,1
2023,19,089,0.1134021,1
2023,19,091,0.1493506,1
2023,19,093,0.1136364,1
2023,19,095,0.1277891,1
2023,19,097,0.1513261,1
2023,19,099,0.2018349,1
2023,19,101,0.185654,1
2023,19,103,0.1346604,1
2023,19,105,0.1448819,1
2023,19,107,0.1737705,1
2023,19,109,0.1285403,1
2023,19,111,0.2494908,1
2023,19,113,0.1929772,1
2023,19,115,0.1764706,1
2023,19,117,0.1834061,1
2023,19,119,0.0797721,1
2023,19,121,0.140264,1
2023,19,123,0.171386,1
2023,19,125,0.172381,1
2023,19,127,0.2077922,1
2023,19,129,0.125,1
2023,19,131,0.1180328,1
2023,19,133,0.1821561,1
2023,19,135,0.2297872,1
2023,19,137,0.2111437,1
2023,19,139,0.2199529,1
2023,19,141,0.1445498,1
2023,19,143,0.1584699,1
