year,state,county,subgroup_type,subgroup,share_debt_coll,share_debt_coll_quality
2022,01,001,race-ethnicity,All,0.2997214,1
2022,01,001,race-ethnicity,Majority Non-White,NA,NA
2022,01,001,race-ethnicity,Majority White,0.2913247,1
2022,01,003,race-ethnicity,All,0.2353732,1
2022,01,003,race-ethnicity,Majority Non-White,NA,NA
2022,01,003,race-ethnicity,Majority White,0.2361967,1
2022,01,005,race-ethnicity,All,0.3507853,1
2022,01,005,race-ethnicity,Majority Non-White,0.3717949,1
2022,01,005,race-ethnicity,Majority White,0.2727273,1
2022,01,007,race-ethnicity,All,0.4174603,1
2022,01,007,race-ethnicity,Majority Non-White,NA,NA
2022,01,007,race-ethnicity,Majority White,0.398524,1
2022,01,009,race-ethnicity,All,0.3016412,1
2022,01,009,race-ethnicity,Majority Non-White,NA,NA
2022,01,009,race-ethnicity,Majority White,0.3012457,1
2022,01,011,race-ethnicity,All,0.4880952,1
2022,01,011,race-ethnicity,Majority Non-White,0.4978355,1
2022,01,011,race-ethnicity,Majority White,NA,NA
2022,01,013,race-ethnicity,All,0.3719807,1
2022,01,013,race-ethnicity,Majority Non-White,NA,NA
2022,01,013,race-ethnicity,Majority White,0.3442623,1
2022,01,015,race-ethnicity,All,0.3943465,1
2022,01,015,race-ethnicity,Majority Non-White,NA,NA
2022,01,015,race-ethnicity,Majority White,0.3524715,1
2022,01,017,race-ethnicity,All,0.3955409,1
2022,01,017,race-ethnicity,Majority Non-White,NA,NA
2022,01,017,race-ethnicity,Majority White,0.3821138,1
2022,01,019,race-ethnicity,All,0.3804756,1
2022,01,019,race-ethnicity,Majority Non-White,NA,NA
2022,01,019,race-ethnicity,Majority White,0.3804756,1
2022,01,021,race-ethnicity,All,0.3847185,1
2022,01,021,race-ethnicity,Majority Non-White,NA,NA
2022,01,021,race-ethnicity,Majority White,0.3859649,1
2022,01,023,race-ethnicity,All,0.3966942,1
2022,01,023,race-ethnicity,Majority Non-White,0.5092593,1
2022,01,023,race-ethnicity,Majority White,0.3534884,1
2022,01,025,race-ethnicity,All,0.3974719,1
2022,01,025,race-ethnicity,Majority Non-White,NA,NA
2022,01,025,race-ethnicity,Majority White,0.3191489,1
2022,01,027,race-ethnicity,All,0.3877551,1
2022,01,027,race-ethnicity,Majority Non-White,NA,NA
2022,01,027,race-ethnicity,Majority White,0.3823529,1
2022,01,029,race-ethnicity,All,0.3333333,1
2022,01,029,race-ethnicity,Majority Non-White,NA,NA
2022,01,029,race-ethnicity,Majority White,0.3326087,1
2022,01,031,race-ethnicity,All,0.3017677,1
2022,01,031,race-ethnicity,Majority Non-White,NA,NA
2022,01,031,race-ethnicity,Majority White,0.3026144,1
2022,01,033,race-ethnicity,All,0.3515931,1
2022,01,033,race-ethnicity,Majority Non-White,NA,NA
2022,01,033,race-ethnicity,Majority White,0.3529412,1
2022,01,035,race-ethnicity,All,0.4172185,1
2022,01,035,race-ethnicity,Majority Non-White,0.4329004,1
2022,01,035,race-ethnicity,Majority White,0.3714286,1
2022,01,037,race-ethnicity,All,0.3566879,1
2022,01,037,race-ethnicity,Majority Non-White,NA,NA
2022,01,037,race-ethnicity,Majority White,0.3944954,1
2022,01,039,race-ethnicity,All,0.3733906,1
2022,01,039,race-ethnicity,Majority Non-White,NA,NA
2022,01,039,race-ethnicity,Majority White,0.3737024,1
2022,01,041,race-ethnicity,All,0.3485149,1
2022,01,041,race-ethnicity,Majority Non-White,NA,NA
2022,01,041,race-ethnicity,Majority White,0.3415133,1
2022,01,043,race-ethnicity,All,0.302627,1
2022,01,043,race-ethnicity,Majority Non-White,NA,NA
2022,01,043,race-ethnicity,Majority White,0.3027945,1
2022,01,045,race-ethnicity,All,0.3150309,1
2022,01,045,race-ethnicity,Majority Non-White,NA,NA
2022,01,045,race-ethnicity,Majority White,0.3151171,1
2022,01,047,race-ethnicity,All,0.4802571,1
2022,01,047,race-ethnicity,Majority Non-White,0.4788462,1
2022,01,047,race-ethnicity,Majority White,NA,NA
2022,01,049,race-ethnicity,All,0.3506744,1
2022,01,049,race-ethnicity,Majority Non-White,NA,NA
2022,01,049,race-ethnicity,Majority White,0.3506744,1
2022,01,051,race-ethnicity,All,0.2647059,1
2022,01,051,race-ethnicity,Majority Non-White,NA,NA
2022,01,051,race-ethnicity,Majority White,0.2581661,1
2022,01,053,race-ethnicity,All,0.4027073,1
2022,01,053,race-ethnicity,Majority Non-White,NA,NA
2022,01,053,race-ethnicity,Majority White,0.3985816,1
2022,01,055,race-ethnicity,All,0.3402226,1
2022,01,055,race-ethnicity,Majority Non-White,NA,NA
