year,state,county,share_debt_coll,share_debt_coll_ub,share_debt_coll_lb,share_debt_coll_quality
2018,01,001,0.3600439,0.391232,0.3288559,1
2018,01,003,0.2832043,0.2984458,0.2679628,1
2018,01,005,0.4209115,0.4710825,0.3707406,1
2018,01,007,0.4337748,0.4897634,0.3777862,1
2018,01,009,0.3421965,0.3738328,0.3105603,1
2018,01,011,0.4657534,0.5469469,0.38456,1
2018,01,013,0.4231975,0.4775009,0.368894,1
2018,01,015,0.4521073,0.4749356,0.4292789,1
2018,01,017,0.4423381,0.4810603,0.4036159,1
2018,01,019,0.3994845,0.4482837,0.3506854,1
2018,01,021,0.4165478,0.4530687,0.3800268,1
2018,01,023,0.4060914,0.4748456,0.3373371,1
2018,01,025,0.4462366,0.4968206,0.3956525,1
2018,01,027,0.3908046,0.4501145,0.3314946,1
2018,01,029,0.3442623,0.40400199999999997,0.2845227,1
2018,01,031,0.3,0.3317755,0.2682245,1
2018,01,033,0.3774835,0.4090666,0.3459003,1
2018,01,035,0.4303797,0.5078304,0.3529291,1
2018,01,037,0.4823529,0.5892131,0.3754928,1
2018,01,039,0.4412238,0.4803087,0.4021389,1
2018,01,041,0.4,0.4614705,0.3385295,1
2018,01,043,0.3585175,0.3836207,0.3334142,1
2018,01,045,0.3580902,0.3923348,0.3238456,1
2018,01,047,0.5616224,0.600065,0.5231799,1
2018,01,049,0.3880743,0.4179513,0.3581972,1
2018,01,051,0.3207843,0.3464163,0.2951523,1
2018,01,053,0.4471154,0.486158,0.4080728,1
2018,01,055,0.3997509,0.423716,0.3757859,1
2018,01,057,0.4172662,0.475337,0.3591954,1
2018,01,059,0.4401709,0.4851941,0.3951478,1
2018,01,061,0.3549696,0.3972519,0.3126872,1
2018,01,063,0.5254237,0.6159075,0.4349399,1
2018,01,065,0.4855967,0.5485674,0.4226261,1
2018,01,067,0.3295455,0.3863549,0.272736,1
2018,01,069,0.3526946,0.3756182,0.329771,1
2018,01,071,0.3522316,0.3847677,0.3196955,1
2018,01,073,0.4041579,0.4135511,0.3947648,1
2018,01,075,0.3425926,0.4060297,0.2791555,1
2018,01,077,0.3512195,0.3759265,0.3265125,1
2018,01,079,0.4497258,0.4914533,0.4079982,1
2018,01,081,0.3467153,0.3666437,0.3267869,1
2018,01,083,0.3368569,0.3614575,0.3122564,1
2018,01,085,0.5225806,0.6014707,0.4436905,1
2018,01,087,0.5204082,0.5776126,0.4632036,1
2018,01,089,0.335575,0.3475762,0.3235738,1
2018,01,091,0.444795,0.4995872,0.3900027,1
2018,01,093,0.4065934,0.4517774,0.3614094,1
2018,01,095,0.3618785,0.3866387,0.3371182,1
2018,01,097,0.4357154,0.4476619,0.4237688,1
2018,01,099,0.4263323,0.4806882,0.3719764,1
2018,01,101,0.4803552,0.4964214,0.4642891,1
2018,01,103,0.3933842,0.414989,0.3717794,1
2018,01,105,0.5378152,0.6277731,0.4478572,1
2018,01,107,0.4919614,0.5476145,0.4363084,1
2018,01,109,0.3982684,0.4429568,0.35358,1
2018,01,111,0.388724,0.4408466,0.3366015,1
2018,01,113,0.5163599,0.5476961,0.4850237,1
2018,01,115,0.3518931,0.3774062,0.32638,1
2018,01,117,0.2556732,0.2705483,0.2407981,1
2018,01,119,0.467033,0.5397173,0.3943487,1
2018,01,121,0.5281523,0.5557169,0.5005877,1
2018,01,123,0.4077381,0.4449209,0.3705553,1
2018,01,125,0.4068787,0.4242252,0.3895321,1
2018,01,127,0.4135922,0.4436831,0.3835014,1
2018,01,129,0.4099617,0.4697452,0.3501782,1
2018,01,131,0.502463,0.5714148,0.4335113,1
2018,01,133,0.4196185,0.4701777,0.3690594,1
2018,02,013,NA,NA,NA,NA
2018,02,016,NA,NA,NA,NA
2018,02,020,0.3067729,0.3202215,0.2933243,1
2018,02,050,0.4581006,0.5312963,0.3849048,1
2018,02,060,NA,NA,NA,NA
2018,02,068,NA,NA,NA,NA
2018,02,070,0.2941177,0.420416,0.1678193,1
2018,02,090,0.2857143,0.3091537,0.2622749,1
2018,02,100,NA,NA,NA,NA
2018,02,105,NA,NA,NA,NA
2018,02,110,0.2282398,0.2644531,0.1920265,1
2018,02,122,0.2643948,0.2940428,0.2347468,1
2018,02,130,0.2988048,0.3555461,0.2420635,1
2018,02,150,0.1780822,0.2288692,0.1272952,1
2018,02,158,0.5068493,0.6223326,0.391366,1
2018,02,164,NA,NA,NA,NA
2018,02,170,0.2716928,0.294953,0.2484325,1
2018,02,180,0.3103448,0.4081237,0.2125659,1
2018,02,185,0.4,0.4941553,0.3058447,1
2018,02,188,0.4358974,0.5466571,0.3251377,1
2018,02,195,NA,NA,NA,NA
2018,02,198,0.2987013,0.4016022,0.1958003,1
2018,02,220,0.1884058,0.2538863,0.1229252,1
2018,02,230,NA,NA,NA,NA
2018,02,240,0.2090909,0.2854347,0.1327471,1
2018,02,261,0.239726,0.3092148,0.1702372,1
2018,02,275,NA,NA,NA,NA
2018,02,282,NA,NA,NA,NA
2018,02,290,0.3230769,0.4376516,0.2085022,1
2018,04,001,0.5702037,0.6019866,0.5384207,1
2018,04,003,0.3102795,0.3300186,0.2905404,1
2018,04,005,0.3351272,0.3555962,0.3146582,1
2018,04,007,0.3320707,0.3648914,0.29925,1
2018,04,009,0.4199584,0.4641122,0.3758046,1
2018,04,011,0.5322581,0.6204376,0.4440786,1
2018,04,012,0.365942,0.4228745,0.3090095,1
2018,04,013,0.3380988,0.3417071,0.3344904,1
2018,04,015,0.3662345,0.3824455,0.3500236,1
2018,04,017,0.4774362,0.5024813,0.4523912,1
2018,04,019,0.3235588,0.3308018,0.3163157,1
2018,04,021,0.3707705,0.3827035,0.3588375,1
2018,04,023,0.3182927,0.3501953,0.2863901,1
2018,04,025,0.2608584,0.2746574,0.2470594,1
2018,04,027,0.3484017,0.3651853,0.331618,1
2018,05,001,0.3456376,0.3997252,0.29155,1
2018,05,003,0.4697406,0.5223292,0.4171521,1
2018,05,005,0.3058824,0.3385564,0.2732083,1
2018,05,007,0.3022332,0.3164135,0.288053,1
2018,05,009,0.3596899,0.3967556,0.3226242,1
2018,05,011,0.4494382,0.5227219,0.3761545,1
2018,05,013,0.3571429,0.4837776,0.2305081,1
2018,05,015,0.3325635,0.3769915,0.2881356,1
2018,05,017,0.6178011,0.6868963,0.5487058,1
2018,05,019,0.3184932,0.3720228,0.2649635,1
2018,05,021,0.4504132,0.5132294,0.38759710000000003,1
2018,05,023,0.3283898,0.3708028,0.2859768,1
2018,05,025,0.3272727,0.4153608,0.2391846,1
2018,05,027,0.5155807,0.5677895,0.4633719,1
2018,05,029,0.3800623,0.4332465,0.3268781,1
2018,05,031,0.4273504,0.4522201,0.4024807,1
2018,05,033,0.433095,0.4641501,0.4020399,1
2018,05,035,0.5425667,0.5773953,0.5077382,1
2018,05,037,0.4760274,0.53341,0.4186448,1
2018,05,039,0.4183674,0.5165362,0.3201986,1
2018,05,041,0.4777778,0.550954,0.4046015,1
2018,05,043,0.4146341,0.4717319,0.3575363,1
2018,05,045,0.3213281,0.343047,0.2996091,1
2018,05,047,0.3114754,0.3697024,0.2532484,1
2018,05,049,0.3271605,0.399634,0.254687,1
2018,05,051,0.3877791,0.4109344,0.3646238,1
2018,05,053,0.3134921,0.3708846,0.2560996,1
2018,05,055,0.4408284,0.4782836,0.4033733,1
2018,05,057,0.491573,0.5435786,0.4395674,1
2018,05,059,0.3642241,0.4080572,0.3203911,1
2018,05,061,0.3907563,0.4528762,0.3286365,1
2018,05,063,0.4092409,0.4484217,0.3700601,1
2018,05,065,0.3719512,0.4461509,0.2977515,1
2018,05,067,0.4448669,0.5050423,0.3846915,1
2018,05,069,0.4920495,0.5211861,0.4629128,1
2018,05,071,0.3630573,0.4163321,0.3097825,1
2018,05,073,0.5,0.5947402,0.4052598,1
2018,05,075,0.3754941,0.4352837,0.3157045,1
2018,05,077,0.5258621,0.6171252,0.434599,1
2018,05,079,0.3851852,0.467582,0.3027883,1
2018,05,081,0.515,0.5844391,0.4455609,1
2018,05,083,0.3629032,0.4118323,0.3139741,1
2018,05,085,0.3345622,0.3626511,0.3064734,1
2018,05,087,0.3478261,0.4168331,0.2788191,1
2018,05,089,0.3542435,0.411294,0.2971931,1
2018,05,091,0.544919,0.5824035,0.5074345,1
2018,05,093,0.5212418,0.5608526,0.4816311,1
2018,05,095,0.4351145,0.5203394,0.3498896,1
2018,05,097,0.272,0.3503241,0.1936759,1
2018,05,099,0.5462963,0.6406295,0.4519631,1
2018,05,101,0.2920354,0.3762468,0.2078241,1
2018,05,103,0.4465753,0.4976473,0.3955034,1
2018,05,105,0.3450704,0.4235393,0.2666015,1
2018,05,107,0.5239853,0.5835575,0.464413,1
2018,05,109,0.28125,0.3511364,0.2113636,1
2018,05,111,0.5506849,0.6017863,0.4995836,1
