year,state,county,pc_phys_ratio,population,pc_phys_quality
2019,01,001,2235:1,58805,1
2019,01,003,1450:1,231767,1
2019,01,005,2743:1,25223,1
2019,01,007,1723:1,22293,1
2019,01,009,4448:1,59134,1
2019,01,011,3367:1,10357,2
2019,01,013,3890:1,19051,1
2019,01,015,1623:1,116441,1
2019,01,017,2217:1,34772,1
2019,01,019,2620:1,24971,1
2019,01,021,4443:1,45014,1
2019,01,023,2518:1,12665,1
2019,01,025,2147:1,23087,1
2019,01,027,2647:1,14236,1
2019,01,029,4970:1,15056,2
2019,01,031,2094:1,53465,1
2019,01,033,1625:1,57227,1
2019,01,035,2413:1,11597,1
2019,01,037,0,10387,NA
2019,01,039,2179:1,37570,1
2019,01,041,6886:1,13194,2
2019,01,043,1675:1,87866,1
2019,01,045,4098:1,49326,1
2019,01,047,1328:1,38462,1
2019,01,049,2235:1,71608,1
2019,01,051,4274:1,87977,1
2019,01,053,3053:1,36757,1
2019,01,055,1232:1,103436,1
2019,01,057,1019:1,16321,1
2019,01,059,2240:1,32113,1
2019,01,061,3284:1,26659,1
2019,01,063,2028:1,7730,2
2019,01,065,4884:1,14785,2
2019,01,067,3441:1,17146,1
2019,01,069,1176:1,107202,1
2019,01,071,1844:1,52579,1
2019,01,073,891:1,674721,1
2019,01,075,0,13972,NA
2019,01,077,1818:1,93564,1
2019,01,079,6585:1,33073,1
2019,01,081,2057:1,174241,1
2019,01,083,2748:1,103570,1
2019,01,085,9726:1,10311,2
2019,01,087,2581:1,19532,1
2019,01,089,1120:1,388153,1
2019,01,091,2695:1,19323,1
2019,01,093,3714:1,29341,1
2019,01,095,1698:1,97612,1
2019,01,097,1455:1,414809,1
2019,01,099,2304:1,19772,1
2019,01,101,972:1,228954,1
2019,01,103,1962:1,123421,1
2019,01,105,2974:1,8511,2
2019,01,107,2491:1,19123,1
2019,01,109,2365:1,33009,1
2019,01,111,4544:1,21967,1
2019,01,113,4830:1,59183,1
2019,01,115,6394:1,91103,1
2019,01,117,1196:1,223024,1
2019,01,119,1775:1,12345,1
2019,01,121,3199:1,82149,1
2019,01,123,2018:1,41311,1
2019,01,125,1396:1,227036,1
2019,01,127,2443:1,65342,1
2019,01,129,8163:1,15388,2
2019,01,131,3458:1,10600,2
2019,01,133,2954:1,23540,1
2019,02,013,0,3420,NA
2019,02,016,2817:1,5232,2
2019,02,020,850:1,291247,1
2019,02,050,919:1,18666,1
2019,02,060,0,844,1
2019,02,068,0,1619,NA
2019,02,070,378:1,4857,1
2019,02,090,1139:1,95655,1
2019,02,100,361:1,2080,1
2019,02,105,0,2365,NA
2019,02,110,799:1,32255,1
2019,02,122,1305:1,58799,1
2019,02,130,869:1,13948,1
2019,02,150,812:1,13101,1
2019,02,158,0,8368,NA
2019,02,164,0,1476,1
2019,02,170,1969:1,107081,1
2019,02,180,834:1,10046,1
2019,02,185,4916:1,11031,2
2019,02,188,1089:1,7793,1
2019,02,195,544:1,3398,1
2019,02,198,689:1,5753,1
2019,02,220,447:1,8458,1
2019,02,230,0,1240,1
2019,02,240,1379:1,6808,1
2019,02,261,767:1,NA,1
2019,02,275,834:1,2127,2
2019,02,282,0,662,1
2019,02,290,5230:1,5343,2
2019,04,001,2319:1,66021,1
2019,04,003,1679:1,125447,1
2019,04,005,1237:1,145101,1
2019,04,007,2455:1,53272,1
2019,04,009,2158:1,38533,1
2019,04,011,1900:1,9563,1
2019,04,012,3518:1,16557,1
2019,04,013,1419:1,4420568,1
2019,04,015,1861:1,213267,1
2019,04,017,1733:1,106717,1
2019,04,019,1145:1,1043433,1
2019,04,021,6340:1,425264,1
2019,04,023,2325:1,47669,1
2019,04,025,1729:1,236209,1
2019,04,027,2117:1,203881,1
2019,05,001,1943:1,17149,1
2019,05,003,2457:1,19062,1
2019,05,005,1233:1,41627,1
2019,05,007,1662:1,284333,1
2019,05,009,1291:1,37373,1
2019,05,011,1794:1,10545,1
2019,05,013,5189:1,4739,2
2019,05,015,1774:1,28260,1
2019,05,017,1445:1,10208,1
2019,05,019,2232:1,21446,1
2019,05,021,7276:1,14552,2
2019,05,023,1661:1,24711,1
2019,05,025,0,7550,NA
2019,05,027,1676:1,22801,1
2019,05,029,1489:1,20715,1
2019,05,031,849:1,111231,1
2019,05,033,2530:1,60133,1
2019,05,035,2997:1,48163,1
2019,05,037,2346:1,16833,1
2019,05,039,7009:1,6482,2
2019,05,041,1894:1,11395,1
2019,05,043,1401:1,17350,1
2019,05,045,1826:1,123498,1
2019,05,047,3543:1,17097,1
2019,05,049,1782:1,12075,1
2019,05,051,1156:1,100180,1
2019,05,053,9133:1,17958,2
2019,05,055,2060:1,45736,1
2019,05,057,3589:1,20065,1
2019,05,059,4824:1,33040,1
2019,05,061,1886:1,12785,1
2019,05,063,1576:1,37938,1
2019,05,065,3407:1,13577,1
2019,05,067,2787:1,16755,1
2019,05,069,1453:1,67260,1
2019,05,071,1898:1,25749,1
2019,05,073,3312:1,6308,2
2019,05,075,2734:1,16216,1
2019,05,077,8857:1,8600,2
2019,05,079,13024:1,12941,2
2019,05,081,6130:1,12026,2
2019,05,083,4293:1,21131,1
2019,05,085,6109:1,74015,1
2019,05,087,3315:1,16521,1
2019,05,089,5565:1,16826,2
2019,05,091,1352:1,42600,1
2019,05,093,2391:1,40685,1
2019,05,095,2234:1,6799,2
2019,05,097,4493:1,8484,2
2019,05,099,2751:1,8310,2
2019,05,101,0,7225,NA
2019,05,103,1949:1,22650,1
2019,05,105,5228:1,10019,2
2019,05,107,1617:1,16568,1
2019,05,109,3573:1,10171,2
2019,05,111,5882:1,22965,2
2019,05,113,1248:1,19221,1
2019,05,115,1490:1,63381,1
2019,05,117,8062:1,8282,2
2019,05,119,829:1,399125,1
2019,05,121,1633:1,18571,1
2019,05,123,2083:1,23090,1
2019,05,125,2111:1,123416,1
2019,05,127,5141:1,9836,2
2019,05,129,3941:1,7828,2
2019,05,131,761:1,127799,1
2019,05,133,2126:1,15839,1
2019,05,135,4361:1,17271,2
2019,05,137,2084:1,12359,1
2019,05,139,1547:1,39054,1
2019,05,141,3309:1,15796,1
2019,05,143,1246:1,245871,1
2019,05,145,1544:1,76822,1
2019,05,147,3160:1,6269,2
2019,05,149,1940:1,20263,1
2019,06,001,902:1,1682353,1
2019,06,003,0,1204,1
2019,06,005,1656:1,40474,1
2019,06,007,1612:1,211632,1
2019,06,009,2186:1,45292,1
2019,06,011,3591:1,21839,1
2019,06,013,977:1,1165927,1
2019,06,015,1738:1,27743,1
2019,06,017,1269:1,191185,1
2019,06,019,1446:1,1008654,1
2019,06,021,7098:1,28917,2
2019,06,023,1595:1,136463,1
2019,06,025,4027:1,179702,1
2019,06,027,1061:1,19016,1
2019,06,029,2023:1,909235,1
2019,06,031,2781:1,152486,1
2019,06,033,2300:1,68163,1
2019,06,035,3397:1,32730,1
2019,06,037,1354:1,10014009,1
2019,06,039,2314:1,156255,1
2019,06,041,674:1,262321,1
2019,06,043,2867:1,17131,1
2019,06,045,1098:1,91601,1
2019,06,047,2221:1,281202,1
2019,06,049,1474:1,8700,1
2019,06,051,1313:1,13195,1
2019,06,053,1528:1,439035,1
2019,06,055,1036:1,138019,1
2019,06,057,1348:1,102241,1
2019,06,059,999:1,3186989,1
2019,06,061,805:1,404739,1
2019,06,063,1254:1,19790,1
2019,06,065,2275:1,2418185,1
2019,06,067,1116:1,1585055,1
2019,06,069,3489:1,64209,1
2019,06,071,1701:1,2181654,1
2019,06,073,1223:1,3298634,1
2019,06,075,621:1,873965,1
2019,06,077,1668:1,779233,1
2019,06,079,1215:1,282424,1
2019,06,081,939:1,764442,1
2019,06,083,1317:1,448229,1
2019,06,085,947:1,1936259,1
2019,06,087,969:1,270861,1
2019,06,089,1364:1,182155,1
2019,06,091,3005:1,3236,2
2019,06,093,1361:1,44076,1
2019,06,095,1213:1,453491,1
2019,06,097,977:1,488863,1
2019,06,099,1505:1,552878,1
2019,06,101,1259:1,99633,1
2019,06,103,2034:1,65829,1
2019,06,105,3071:1,16112,1
2019,06,107,2308:1,473117,1
2019,06,109,1434:1,55620,1
2019,06,111,1253:1,843843,1
2019,06,113,808:1,216403,1
2019,06,115,4628:1,81575,1
2019,08,001,2129:1,519572,1
2019,08,003,1160:1,16376,1
2019,08,005,1244:1,655070,1
2019,08,007,1275:1,13359,1
2019,08,009,1194:1,3506,2
2019,08,011,0,5650,NA
2019,08,013,815:1,330758,1
2019,08,014,940:1,74112,1
2019,08,015,1131:1,19476,1
2019,08,017,0,1748,1
2019,08,019,0,9397,NA
2019,08,021,2735:1,7461,2
2019,08,023,0,3499,NA
2019,08,025,0,5922,NA
2019,08,027,5068:1,4704,2
2019,08,029,1355:1,31196,1
2019,08,031,721:1,715522,1
2019,08,033,2055:1,2326,2
2019,08,035,1439:1,357978,1
2019,08,037,1313:1,55731,1
2019,08,039,6682:1,26062,2
2019,08,041,1604:1,730395,1
2019,08,043,2175:1,48939,1
2019,08,045,1335:1,61685,1
2019,08,047,3122:1,5808,2
2019,08,049,1573:1,15717,1
2019,08,051,1091:1,16918,1
2019,08,053,820:1,788,2
2019,08,055,1379:1,6820,1
2019,08,057,696:1,1379,2
