year,state,county,pop_per_1_pcp
2020,01,001,2235
2020,01,003,1450
2020,01,005,2743
2020,01,007,1723
2020,01,009,4448
2020,01,011,3367
2020,01,013,3890
2020,01,015,1623
2020,01,017,2217
2020,01,019,2620
2020,01,021,4443
2020,01,023,2518
2020,01,025,2147
2020,01,027,2647
2020,01,029,4970
2020,01,031,2094
2020,01,033,1625
2020,01,035,2413
2020,01,037,NA
2020,01,039,2179
2020,01,041,6886
2020,01,043,1675
2020,01,045,4098
2020,01,047,1328
2020,01,049,2235
2020,01,051,4274
2020,01,053,3053
2020,01,055,1232
2020,01,057,1019
2020,01,059,2240
2020,01,061,3284
2020,01,063,2028
2020,01,065,4884
2020,01,067,3441
2020,01,069,1176
2020,01,071,1844
2020,01,073,891
2020,01,075,NA
2020,01,077,1818
2020,01,079,6585
2020,01,081,2057
2020,01,083,2748
2020,01,085,9726
2020,01,087,2581
2020,01,089,1120
2020,01,091,2695
2020,01,093,3714
2020,01,095,1698
2020,01,097,1455
2020,01,099,2304
2020,01,101,972
2020,01,103,1962
2020,01,105,2974
2020,01,107,2491
2020,01,109,2365
2020,01,111,4544
2020,01,113,4830
2020,01,115,6394
2020,01,117,1196
2020,01,119,1775
2020,01,121,3199
2020,01,123,2018
2020,01,125,1396
2020,01,127,2443
2020,01,129,8163
2020,01,131,3458
2020,01,133,2954
2020,02,013,NA
2020,02,016,2817
2020,02,020,850
2020,02,050,919
2020,02,060,836:0
2020,02,063,NA
2020,02,066,NA
2020,02,068,NA
2020,02,070,378
2020,02,090,1139
2020,02,100,361
2020,02,105,NA
2020,02,110,799
2020,02,122,1305
2020,02,130,869
2020,02,150,812
2020,02,158,NA
2020,02,164,1592:0
2020,02,170,1969
2020,02,180,834
2020,02,185,4916
2020,02,188,1089
2020,02,195,544
2020,02,198,689
2020,02,220,447
2020,02,230,1183:0
2020,02,240,1379
2020,02,275,834
2020,02,282,579:0
2020,02,290,5230
2020,04,001,2319
2020,04,003,1679
2020,04,005,1237
2020,04,007,2455
2020,04,009,2158
2020,04,011,1900
2020,04,012,3518
2020,04,013,1419
2020,04,015,1861
2020,04,017,1733
2020,04,019,1145
2020,04,021,6340
2020,04,023,2325
2020,04,025,1729
2020,04,027,2117
2020,05,001,1943
2020,05,003,2457
2020,05,005,1233
2020,05,007,1662
2020,05,009,1291
2020,05,011,1794
2020,05,013,5189
2020,05,015,1774
2020,05,017,1445
2020,05,019,2232
2020,05,021,7276
2020,05,023,1661
2020,05,025,NA
2020,05,027,1676
2020,05,029,1489
2020,05,031,849
2020,05,033,2530
2020,05,035,2997
2020,05,037,2346
2020,05,039,7009
2020,05,041,1894
2020,05,043,1401
2020,05,045,1826
2020,05,047,3543
2020,05,049,1782
2020,05,051,1156
2020,05,053,9133
2020,05,055,2060
2020,05,057,3589
2020,05,059,4824
2020,05,061,1886
2020,05,063,1576
2020,05,065,3407
2020,05,067,2787
2020,05,069,1453
2020,05,071,1898
2020,05,073,3312
2020,05,075,2734
2020,05,077,8857
2020,05,079,13024
2020,05,081,6130
2020,05,083,4293
2020,05,085,6109
2020,05,087,3315
2020,05,089,5565
2020,05,091,1352
2020,05,093,2391
2020,05,095,2234
2020,05,097,4493
2020,05,099,2751
2020,05,101,NA
2020,05,103,1949
2020,05,105,5228
2020,05,107,1617
2020,05,109,3573
2020,05,111,5882
2020,05,113,1248
2020,05,115,1490
2020,05,117,8062
2020,05,119,829
2020,05,121,1633
2020,05,123,2083
2020,05,125,2111
2020,05,127,5141
2020,05,129,3941
2020,05,131,761
2020,05,133,2126
2020,05,135,4361
2020,05,137,2084
2020,05,139,1547
2020,05,141,3309
2020,05,143,1246
2020,05,145,1544
2020,05,147,3160
2020,05,149,1940
2020,06,001,902
2020,06,003,1129:0
2020,06,005,1656
2020,06,007,1612
2020,06,009,2186
2020,06,011,3591
2020,06,013,977
2020,06,015,1738
2020,06,017,1269
2020,06,019,1446
2020,06,021,7098
2020,06,023,1595
2020,06,025,4027
2020,06,027,1061
2020,06,029,2023
2020,06,031,2781
2020,06,033,2300
2020,06,035,3397
2020,06,037,1354
2020,06,039,2314
2020,06,041,674
2020,06,043,2867
2020,06,045,1098
2020,06,047,2221
2020,06,049,1474
2020,06,051,1313
2020,06,053,1528
2020,06,055,1036
2020,06,057,1348
2020,06,059,999
2020,06,061,805
2020,06,063,1254
2020,06,065,2275
2020,06,067,1116
2020,06,069,3489
2020,06,071,1701
2020,06,073,1223
2020,06,075,621
2020,06,077,1668
2020,06,079,1215
2020,06,081,939
2020,06,083,1317
2020,06,085,947
2020,06,087,969
2020,06,089,1364
2020,06,091,3005
2020,06,093,1361
2020,06,095,1213
2020,06,097,977
2020,06,099,1505
2020,06,101,1259
2020,06,103,2034
2020,06,105,3071
2020,06,107,2308
2020,06,109,1434
2020,06,111,1253
2020,06,113,808
2020,06,115,4628
2020,08,001,2129
2020,08,003,1160
2020,08,005,1244
2020,08,007,1275
2020,08,009,1194
2020,08,011,NA
2020,08,013,815
2020,08,014,940
2020,08,015,1131
2020,08,017,1831:0
2020,08,019,NA
2020,08,021,2735
2020,08,023,NA
2020,08,025,NA
2020,08,027,5068
2020,08,029,1355
2020,08,031,721
2020,08,033,2055
2020,08,035,1439
2020,08,037,1313
2020,08,039,6682
2020,08,041,1604
2020,08,043,2175
2020,08,045,1335
2020,08,047,3122
2020,08,049,1573
2020,08,051,1091
2020,08,053,820
2020,08,055,1379
2020,08,057,696
2020,08,059,1166
2020,08,061,1406:0
2020,08,063,1774
2020,08,065,2032
2020,08,067,815
2020,08,069,1170
2020,08,071,1813
2020,08,073,1900
2020,08,075,1494
2020,08,077,871
2020,08,079,769
2020,08,081,6642
2020,08,083,970
2020,08,085,1258
2020,08,087,1938
2020,08,089,1662
2020,08,091,825
2020,08,093,3769
2020,08,095,853
2020,08,097,1184
2020,08,099,2434
2020,08,101,1427
2020,08,103,632
2020,08,105,1024
2020,08,107,777
2020,08,109,6824
2020,08,111,728
2020,08,113,1168
2020,08,115,2248
2020,08,117,1477
2020,08,119,2116
2020,08,121,1636
2020,08,123,1754
2020,08,125,2004
2020,09,001,1060
2020,09,003,1039
2020,09,005,1717
2020,09,007,1331
2020,09,009,1128
2020,09,011,1551
2020,09,013,1884
2020,09,015,2163
2020,10,001,2152
2020,10,003,1087
2020,10,005,1697
2020,11,001,808
2020,12,001,627
2020,12,003,3651
2020,12,005,1633
2020,12,007,4029
2020,12,009,1365
2020,12,011,1352
2020,12,013,2821
2020,12,015,1672
2020,12,017,1995
2020,12,019,1958
2020,12,021,1246
2020,12,023,2312
2020,12,027,4222
2020,12,029,5609
2020,12,031,1188
2020,12,033,1343
2020,12,035,1951
2020,12,037,4042
2020,12,039,4566
2020,12,041,2655
2020,12,043,NA
2020,12,045,1948
2020,12,047,14428
2020,12,049,8979
2020,12,051,3820
2020,12,053,1829
2020,12,055,1741
2020,12,057,1204
2020,12,059,2802
2020,12,061,1666
2020,12,063,2443
2020,12,065,2849
2020,12,067,8422
2020,12,069,1549
2020,12,071,1538
2020,12,073,1156
2020,12,075,5929
2020,12,077,NA
2020,12,079,9247
2020,12,081,1694
2020,12,083,1669
2020,12,085,1533
2020,12,086,1211
2020,12,087,1427
2020,12,089,2110
2020,12,091,1342
2020,12,093,2343
2020,12,095,1088
2020,12,097,2305
2020,12,099,1261
2020,12,101,1816
2020,12,103,1144
2020,12,105,2157
2020,12,107,2484
2020,12,109,999
2020,12,111,2855
2020,12,113,1807
2020,12,115,1318
2020,12,117,1282
2020,12,119,2498
2020,12,121,8883
2020,12,123,3081
2020,12,125,3809
2020,12,127,1491
2020,12,129,3067
2020,12,131,2058
2020,12,133,5095
2020,13,001,3064
2020,13,003,NA
2020,13,005,1595
2020,13,007,NA
2020,13,009,2245
2020,13,011,4809
2020,13,013,4162
2020,13,015,2506
2020,13,017,1856
2020,13,019,4849
2020,13,021,699
2020,13,023,2575
2020,13,025,6370
2020,13,027,5152
2020,13,029,1524
2020,13,031,1851
2020,13,033,3198
2020,13,035,4156
2020,13,037,6189
2020,13,039,3905
2020,13,043,5402
2020,13,045,2000
2020,13,047,2112
2020,13,049,3348
2020,13,051,1096
2020,13,053,1363
2020,13,055,12395
2020,13,057,2331
2020,13,059,1296
2020,13,061,2834
2020,13,063,3653
2020,13,065,6618
2020,13,067,1308
2020,13,069,1881
2020,13,071,2400
2020,13,073,998
2020,13,075,1727
2020,13,077,2092
2020,13,079,12404
2020,13,081,1491
2020,13,083,2686
2020,13,085,1450
2020,13,087,2640
2020,13,089,912
2020,13,091,2576
2020,13,093,13390
2020,13,095,1239
