year,state,county,state_name,county_name,ratio_population_pc_physician,ratio_population_pc_physician_quality,low_pop_flag
2014,01,001,Alabama,Autauga County,2408,1,0
2014,01,003,Alabama,Baldwin County,1352,1,0
2014,01,005,Alabama,Barbour County,2444,1,0
2014,01,007,Alabama,Bibb County,2501,1,0
2014,01,009,Alabama,Blount County,5247,1,0
2014,01,011,Alabama,Bullock County,3588,2,0
2014,01,013,Alabama,Butler County,2255,1,0
2014,01,015,Alabama,Calhoun County,1505,1,0
2014,01,017,Alabama,Chambers County,2434,1,0
2014,01,019,Alabama,Cherokee County,3720,1,0
2014,01,021,Alabama,Chilton County,5491,1,0
2014,01,023,Alabama,Choctaw County,2665,1,0
2014,01,025,Alabama,Clarke County,1919,1,0
2014,01,027,Alabama,Clay County,3388,1,0
2014,01,029,Alabama,Cleburne County,3770,2,0
2014,01,031,Alabama,Coffee County,1818,1,0
2014,01,033,Alabama,Colbert County,1604,1,0
2014,01,035,Alabama,Conecuh County,2534,1,0
2014,01,037,Alabama,Coosa County,0,NA,0
2014,01,039,Alabama,Covington County,1995,1,0
2014,01,041,Alabama,Crenshaw County,6988,2,0
2014,01,043,Alabama,Cullman County,1890,1,0
2014,01,045,Alabama,Dale County,4124,1,0
2014,01,047,Alabama,Dallas County,1438,1,0
2014,01,049,Alabama,DeKalb County,2369,1,0
2014,01,051,Alabama,Elmore County,3681,1,0
2014,01,053,Alabama,Escambia County,2516,1,0
2014,01,055,Alabama,Etowah County,1294,1,0
2014,01,057,Alabama,Fayette County,888,1,0
2014,01,059,Alabama,Franklin County,2107,1,0
2014,01,061,Alabama,Geneva County,3816,1,0
2014,01,063,Alabama,Greene County,2138,1,0
2014,01,065,Alabama,Hale County,7592,2,0
2014,01,067,Alabama,Henry County,3438,1,0
2014,01,069,Alabama,Houston County,1120,1,0
2014,01,071,Alabama,Jackson County,1699,1,0
2014,01,073,Alabama,Jefferson County,939,1,0
2014,01,075,Alabama,Lamar County,0,NA,0
2014,01,077,Alabama,Lauderdale County,1900,1,0
2014,01,079,Alabama,Lawrence County,4185,1,0
2014,01,081,Alabama,Lee County,2085,1,0
2014,01,083,Alabama,Limestone County,2929,1,0
2014,01,085,Alabama,Lowndes County,0,NA,0
2014,01,087,Alabama,Macon County,2775,1,0
2014,01,089,Alabama,Madison County,1137,1,0
2014,01,091,Alabama,Marengo County,2873,1,0
2014,01,093,Alabama,Marion County,3784,1,0
2014,01,095,Alabama,Marshall County,1690,1,0
2014,01,097,Alabama,Mobile County,1499,1,0
2014,01,099,Alabama,Monroe County,3658,1,0
2014,01,101,Alabama,Montgomery County,1087,1,0
2014,01,103,Alabama,Morgan County,1840,1,0
2014,01,105,Alabama,Perry County,3275,2,0
2014,01,107,Alabama,Pickens County,2909,1,0
2014,01,109,Alabama,Pike County,2087,1,0
2014,01,111,Alabama,Randolph County,3220,1,0
2014,01,113,Alabama,Russell County,4258,1,0
2014,01,115,Alabama,St. Clair County,4816,1,0
2014,01,117,Alabama,Shelby County,1223,1,0
2014,01,119,Alabama,Sumter County,2194,1,0
2014,01,121,Alabama,Talladega County,3012,1,0
2014,01,123,Alabama,Tallapoosa County,2573,1,0
2014,01,125,Alabama,Tuscaloosa County,1376,1,0
2014,01,127,Alabama,Walker County,2182,1,0
2014,01,129,Alabama,Washington County,8417,2,0
2014,01,131,Alabama,Wilcox County,2774,1,0
2014,01,133,Alabama,Winston County,2415,1,0
2014,02,013,Alaska,Aleutians East Borough,0,NA,0
2014,02,016,Alaska,Aleutians West Census Area,5750,3,0
2014,02,020,Alaska,Anchorage Municipality,965,1,0
2014,02,050,Alaska,Bethel Census Area,993,1,0
2014,02,060,Alaska,Bristol Bay Borough,0,NA,1
2014,02,068,Alaska,Denali Borough,0,NA,1
2014,02,070,Alaska,Dillingham Census Area,453,1,0
2014,02,090,Alaska,Fairbanks North Star Borough,1290,1,0
2014,02,100,Alaska,Haines Borough,321,1,0
2014,02,105,Alaska,Hoonah-Angoon Census Area,0,NA,0
2014,02,110,Alaska,Juneau City and Borough,926,1,0
2014,02,122,Alaska,Kenai Peninsula Borough,1277,1,0
2014,02,130,Alaska,Ketchikan Gateway Borough,1149,1,0
2014,02,150,Alaska,Kodiak Island Borough,823,1,0
2014,02,158,Alaska,Kusilvak Census Area,0,NA,0
2014,02,164,Alaska,Lake and Peninsula Borough,0,NA,1
2014,02,170,Alaska,Matanuska-Susitna Borough,2083,1,0
2014,02,180,Alaska,Nome Census Area,1402,1,0
2014,02,185,Alaska,North Slope Borough,4852,2,0
2014,02,188,Alaska,Northwest Arctic Borough,3858,2,0
2014,02,195,Alaska,Petersburg Borough,632,1,0
2014,02,198,Alaska,Prince of Wales-Hyder Census Area,1599,1,0
2014,02,220,Alaska,Sitka City and Borough,494,1,0
2014,02,230,Alaska,Skagway Municipality,0,NA,1
2014,02,240,Alaska,Southeast Fairbanks Census Area,1386,1,0
2014,02,261,Alaska,Valdez-Cordova Census Area,1581,1,0
2014,02,275,Alaska,Wrangell City and Borough,788,2,0
2014,02,282,Alaska,Yakutat City and Borough,0,NA,1
2014,02,290,Alaska,Yukon-Koyukuk Census Area,2774,2,0
2014,04,001,Arizona,Apache County,3420,1,0
2014,04,003,Arizona,Cochise County,2160,1,0
2014,04,005,Arizona,Coconino County,1240,1,0
2014,04,007,Arizona,Gila County,1967,1,0
2014,04,009,Arizona,Graham County,1807,1,0
2014,04,011,Arizona,Greenlee County,2336,1,0
2014,04,012,Arizona,La Paz County,2890,1,0
2014,04,013,Arizona,Maricopa County,1416,1,0
2014,04,015,Arizona,Mohave County,1994,1,0
2014,04,017,Arizona,Navajo County,1523,1,0
2014,04,019,Arizona,Pima County,1219,1,0
2014,04,021,Arizona,Pinal County,5661,1,0
2014,04,023,Arizona,Santa Cruz County,2594,1,0
2014,04,025,Arizona,Yavapai County,1609,1,0
2014,04,027,Arizona,Yuma County,2509,1,0
2014,05,001,Arkansas,Arkansas County,1859,1,0
2014,05,003,Arkansas,Ashley County,2618,1,0
2014,05,005,Arkansas,Baxter County,1135,1,0
2014,05,007,Arkansas,Benton County,1719,1,0
2014,05,009,Arkansas,Boone County,1328,1,0
2014,05,011,Arkansas,Bradley County,2230,1,0
2014,05,013,Arkansas,Calhoun County,2601,2,0
2014,05,015,Arkansas,Carroll County,1734,1,0
2014,05,017,Arkansas,Chicot County,1118,1,0
2014,05,019,Arkansas,Clark County,2258,1,0
2014,05,021,Arkansas,Clay County,5039,2,0
2014,05,023,Arkansas,Cleburne County,1508,1,0
2014,05,025,Arkansas,Cleveland County,8449,3,0
2014,05,027,Arkansas,Columbia County,1496,1,0
2014,05,029,Arkansas,Conway County,1622,1,0
2014,05,031,Arkansas,Craighead County,899,1,0
2014,05,033,Arkansas,Crawford County,2285,1,0
2014,05,035,Arkansas,Crittenden County,2359,1,0
2014,05,037,Arkansas,Cross County,1723,1,0
2014,05,039,Arkansas,Dallas County,1551,1,0
2014,05,041,Arkansas,Desha County,2044,1,0
2014,05,043,Arkansas,Drew County,1552,1,0
2014,05,045,Arkansas,Faulkner County,2013,1,0
2014,05,047,Arkansas,Franklin County,2968,1,0
2014,05,049,Arkansas,Fulton County,2425,1,0
2014,05,051,Arkansas,Garland County,1333,1,0
2014,05,053,Arkansas,Grant County,9072,2,0
2014,05,055,Arkansas,Greene County,1900,1,0
2014,05,057,Arkansas,Hempstead County,3190,1,0
2014,05,059,Arkansas,Hot Spring County,4767,1,0
2014,05,061,Arkansas,Howard County,2250,1,0
2014,05,063,Arkansas,Independence County,1155,1,0
2014,05,065,Arkansas,Izard County,13486,3,0
2014,05,067,Arkansas,Jackson County,1948,1,0
2014,05,069,Arkansas,Jefferson County,1314,1,0
2014,05,071,Arkansas,Johnson County,1625,1,0
2014,05,073,Arkansas,Lafayette County,7111,3,0
2014,05,075,Arkansas,Lawrence County,3386,1,0
2014,05,077,Arkansas,Lee County,3287,2,0
2014,05,079,Arkansas,Lincoln County,6985,2,0
2014,05,081,Arkansas,Little River County,2506,1,0
2014,05,083,Arkansas,Logan County,4392,1,0
2014,05,085,Arkansas,Lonoke County,5504,1,0
2014,05,087,Arkansas,Madison County,3935,2,0
2014,05,089,Arkansas,Marion County,8184,2,0
2014,05,091,Arkansas,Miller County,2068,1,0
2014,05,093,Arkansas,Mississippi County,2458,1,0
2014,05,095,Arkansas,Monroe County,1896,2,0
2014,05,097,Arkansas,Montgomery County,4541,2,0
2014,05,099,Arkansas,Nevada County,4362,2,0
2014,05,101,Arkansas,Newton County,7904,3,0
2014,05,103,Arkansas,Ouachita County,1773,1,0
2014,05,105,Arkansas,Perry County,10245,3,0
2014,05,107,Arkansas,Phillips County,2491,1,0
2014,05,109,Arkansas,Pike County,2756,1,0
2014,05,111,Arkansas,Poinsett County,8082,2,0
2014,05,113,Arkansas,Polk County,1556,1,0
2014,05,115,Arkansas,Pope County,1404,1,0
2014,05,117,Arkansas,Prairie County,0,NA,0
2014,05,119,Arkansas,Pulaski County,907,1,0
2014,05,121,Arkansas,Randolph County,1757,1,0
2014,05,123,Arkansas,St. Francis County,2069,1,0
2014,05,125,Arkansas,Saline County,2462,1,0
2014,05,127,Arkansas,Scott County,3564,2,0
2014,05,129,Arkansas,Searcy County,2643,2,0
2014,05,131,Arkansas,Sebastian County,840,1,0
2014,05,133,Arkansas,Sevier County,2178,1,0
2014,05,135,Arkansas,Sharp County,2415,1,0
2014,05,137,Arkansas,Stone County,1785,1,0
2014,05,139,Arkansas,Union County,1298,1,0
2014,05,141,Arkansas,Van Buren County,8426,2,0
2014,05,143,Arkansas,Washington County,1233,1,0
2014,05,145,Arkansas,White County,1917,1,0
2014,05,147,Arkansas,Woodruff County,2303,2,0
2014,05,149,Arkansas,Yell County,1996,1,0
2014,06,001,California,Alameda County,936,1,0
2014,06,003,California,Alpine County,0,NA,1
2014,06,005,California,Amador County,1750,1,0
2014,06,007,California,Butte County,1568,1,0
2014,06,009,California,Calaveras County,2028,1,0
2014,06,011,California,Colusa County,3060,1,0
2014,06,013,California,Contra Costa County,1017,1,0
2014,06,015,California,Del Norte County,1237,1,0
2014,06,017,California,El Dorado County,1366,1,0
2014,06,019,California,Fresno County,1502,1,0
2014,06,021,California,Glenn County,4659,1,0
2014,06,023,California,Humboldt County,1498,1,0
2014,06,025,California,Imperial County,4592,1,0
2014,06,027,California,Inyo County,837,1,0
2014,06,029,California,Kern County,2043,1,0
2014,06,031,California,Kings County,2504,1,0
2014,06,033,California,Lake County,1888,1,0
2014,06,035,California,Lassen County,2117,1,0
2014,06,037,California,Los Angeles County,1386,1,0
2014,06,039,California,Madera County,2415,1,0
2014,06,041,California,Marin County,697,1,0
2014,06,043,California,Mariposa County,2947,1,0
2014,06,045,California,Mendocino County,1072,1,0
2014,06,047,California,Merced County,2131,1,0
2014,06,049,California,Modoc County,1805,1,0
2014,06,051,California,Mono County,2000,1,0
2014,06,053,California,Monterey County,1672,1,0
2014,06,055,California,Napa County,1012,1,0
2014,06,057,California,Nevada County,1284,1,0
2014,06,059,California,Orange County,1056,1,0
2014,06,061,California,Placer County,833,1,0
2014,06,063,California,Plumas County,1034,1,0
2014,06,065,California,Riverside County,2414,1,0
2014,06,067,California,Sacramento County,1250,1,0
2014,06,069,California,San Benito County,2913,1,0
2014,06,071,California,San Bernardino County,1742,1,0
2014,06,073,California,San Diego County,1277,1,0
2014,06,075,California,San Francisco County,634,1,0
2014,06,077,California,San Joaquin County,1684,1,0
2014,06,079,California,San Luis Obispo County,1168,1,0
2014,06,081,California,San Mateo County,994,1,0
2014,06,083,California,Santa Barbara County,1259,1,0
2014,06,085,California,Santa Clara County,972,1,0
2014,06,087,California,Santa Cruz County,1010,1,0
2014,06,089,California,Shasta County,1257,1,0
2014,06,091,California,Sierra County,0,NA,0
2014,06,093,California,Siskiyou County,1247,1,0
2014,06,095,California,Solano County,1232,1,0
2014,06,097,California,Sonoma County,1023,1,0
2014,06,099,California,Stanislaus County,1486,1,0
2014,06,101,California,Sutter County,1198,1,0
2014,06,103,California,Tehama County,2034,1,0
2014,06,105,California,Trinity County,3292,1,0
2014,06,107,California,Tulare County,2257,1,0
2014,06,109,California,Tuolumne County,1145,1,0
2014,06,111,California,Ventura County,1337,1,0
2014,06,113,California,Yolo County,830,1,0
2014,06,115,California,Yuba County,4351,1,0
2014,08,001,Colorado,Adams County,2195,1,0
2014,08,003,Colorado,Alamosa County,809,1,0
2014,08,005,Colorado,Arapahoe County,1190,1,0
2014,08,007,Colorado,Archuleta County,1113,1,0
2014,08,009,Colorado,Baca County,911,1,0
2014,08,011,Colorado,Bent County,5630,3,0
2014,08,013,Colorado,Boulder County,799,1,0
2014,08,014,Colorado,Broomfield County,956,1,0
2014,08,015,Colorado,Chaffee County,1020,1,0
2014,08,017,Colorado,Cheyenne County,1871,3,1
2014,08,019,Colorado,Clear Creek County,0,NA,0
2014,08,021,Colorado,Conejos County,2066,1,0
2014,08,023,Colorado,Costilla County,0,NA,0
2014,08,025,Colorado,Crowley County,5360,3,0
2014,08,027,Colorado,Custer County,2180,2,0
2014,08,029,Colorado,Delta County,1494,1,0
2014,08,031,Colorado,Denver County,776,1,0
2014,08,033,Colorado,Dolores County,0,NA,1
2014,08,035,Colorado,Douglas County,1463,1,0
2014,08,037,Colorado,Eagle County,1430,1,0
2014,08,039,Colorado,Elbert County,0,NA,0
2014,08,041,Colorado,El Paso County,1723,1,0
2014,08,043,Colorado,Fremont County,1938,1,0
2014,08,045,Colorado,Garfield County,1223,1,0
2014,08,047,Colorado,Gilpin County,2926,2,0
2014,08,049,Colorado,Grand County,1818,1,0
2014,08,051,Colorado,Gunnison County,1310,1,0
2014,08,053,Colorado,Hinsdale County,0,NA,1
2014,08,055,Colorado,Huerfano County,923,1,0
2014,08,057,Colorado,Jackson County,1396,3,1
2014,08,059,Colorado,Jefferson County,1230,1,0
2014,08,061,Colorado,Kiowa County,1402,3,1
2014,08,063,Colorado,Kit Carson County,2691,2,0
2014,08,065,Colorado,Lake County,1226,1,0
2014,08,067,Colorado,La Plata County,1019,1,0
2014,08,069,Colorado,Larimer County,1158,1,0
2014,08,071,Colorado,Las Animas County,1561,1,0
2014,08,073,Colorado,Lincoln County,2755,2,0
2014,08,075,Colorado,Logan County,1502,1,0
2014,08,077,Colorado,Mesa County,938,1,0
2014,08,079,Colorado,Mineral County,698,3,1
2014,08,081,Colorado,Moffat County,2155,1,0
2014,08,083,Colorado,Montezuma County,1074,1,0
2014,08,085,Colorado,Montrose County,1460,1,0
2014,08,087,Colorado,Morgan County,2179,1,0
2014,08,089,Colorado,Otero County,1422,1,0
2014,08,091,Colorado,Ouray County,926,1,0
2014,08,093,Colorado,Park County,5448,2,0
2014,08,095,Colorado,Phillips County,1091,2,0
2014,08,097,Colorado,Pitkin County,1175,1,0
2014,08,099,Colorado,Prowers County,3008,1,0
2014,08,101,Colorado,Pueblo County,1445,1,0
2014,08,103,Colorado,Rio Blanco County,745,1,0
2014,08,105,Colorado,Rio Grande County,967,1,0
2014,08,107,Colorado,Routt County,852,1,0
2014,08,109,Colorado,Saguache County,2065,2,0
2014,08,111,Colorado,San Juan County,720,3,1
2014,08,113,Colorado,San Miguel County,1568,1,0
2014,08,115,Colorado,Sedgwick County,1174,2,0
2014,08,117,Colorado,Summit County,1225,1,0
2014,08,119,Colorado,Teller County,1376,1,0
2014,08,121,Colorado,Washington County,4780,3,0
2014,08,123,Colorado,Weld County,2072,1,0
2014,08,125,Colorado,Yuma County,1020,1,0
2014,09,001,Connecticut,Fairfield County,1108,1,0
2014,09,003,Connecticut,Hartford County,1066,1,0
2014,09,005,Connecticut,Litchfield County,1555,1,0
2014,09,007,Connecticut,Middlesex County,1352,1,0
2014,09,009,Connecticut,New Haven County,1094,1,0
2014,09,011,Connecticut,New London County,1495,1,0
2014,09,013,Connecticut,Tolland County,1846,1,0
2014,09,015,Connecticut,Windham County,1950,1,0
2014,10,001,Delaware,Kent County,2123,1,0
2014,10,003,Delaware,New Castle County,1210,1,0
2014,10,005,Delaware,Sussex County,1517,1,0
2014,11,001,District of Columbia,District of Columbia,882,1,0
2014,12,001,Florida,Alachua County,676,1,0
2014,12,003,Florida,Baker County,2084,1,0
2014,12,005,Florida,Bay County,1826,1,0
2014,12,007,Florida,Bradford County,2670,1,0
2014,12,009,Florida,Brevard County,1339,1,0
2014,12,011,Florida,Broward County,1383,1,0
2014,12,013,Florida,Calhoun County,2422,1,0
2014,12,015,Florida,Charlotte County,1518,1,0
2014,12,017,Florida,Citrus County,1764,1,0
2014,12,019,Florida,Clay County,1693,1,0
2014,12,021,Florida,Collier County,1459,1,0
2014,12,023,Florida,Columbia County,2423,1,0
2014,12,027,Florida,DeSoto County,2693,1,0
2014,12,029,Florida,Dixie County,5302,2,0
2014,12,031,Florida,Duval County,1154,1,0
2014,12,033,Florida,Escambia County,1546,1,0
2014,12,035,Florida,Flagler County,2134,1,0
2014,12,037,Florida,Franklin County,2954,2,0
2014,12,039,Florida,Gadsden County,4628,1,0
2014,12,041,Florida,Gilchrist County,2833,1,0
2014,12,043,Florida,Glades County,0,NA,0
2014,12,045,Florida,Gulf County,3189,1,0
2014,12,047,Florida,Hamilton County,4683,2,0
2014,12,049,Florida,Hardee County,5494,1,0
2014,12,051,Florida,Hendry County,2750,1,0
2014,12,053,Florida,Hernando County,1759,1,0
2014,12,055,Florida,Highlands County,1559,1,0
2014,12,057,Florida,Hillsborough County,1199,1,0
2014,12,059,Florida,Holmes County,3930,1,0
2014,12,061,Florida,Indian River County,1392,1,0
2014,12,063,Florida,Jackson County,2568,1,0
2014,12,065,Florida,Jefferson County,4683,2,0
2014,12,067,Florida,Lafayette County,8835,3,0
2014,12,069,Florida,Lake County,1416,1,0
