year,state,county,ratio_population_pc_physician,ratio_population_pc_physician_quality
2014,01,001,2408,1
2014,01,003,1352,1
2014,01,005,2444,1
2014,01,007,2501,1
2014,01,009,5247,1
2014,01,011,3588,2
2014,01,013,2255,1
2014,01,015,1505,1
2014,01,017,2434,1
2014,01,019,3720,1
2014,01,021,5491,1
2014,01,023,2665,1
2014,01,025,1919,1
2014,01,027,3388,1
2014,01,029,3770,2
2014,01,031,1818,1
2014,01,033,1604,1
2014,01,035,2534,1
2014,01,037,NA,NA
2014,01,039,1995,1
2014,01,041,6988,2
2014,01,043,1890,1
2014,01,045,4124,1
2014,01,047,1438,1
2014,01,049,2369,1
2014,01,051,3681,1
2014,01,053,2516,1
2014,01,055,1294,1
2014,01,057,888,1
2014,01,059,2107,1
2014,01,061,3816,1
2014,01,063,2138,1
2014,01,065,7592,2
2014,01,067,3438,1
2014,01,069,1120,1
2014,01,071,1699,1
2014,01,073,939,1
2014,01,075,NA,NA
2014,01,077,1900,1
2014,01,079,4185,1
2014,01,081,2085,1
2014,01,083,2929,1
2014,01,085,NA,NA
2014,01,087,2775,1
2014,01,089,1137,1
2014,01,091,2873,1
2014,01,093,3784,1
2014,01,095,1690,1
2014,01,097,1499,1
2014,01,099,3658,1
2014,01,101,1087,1
2014,01,103,1840,1
2014,01,105,3275,2
2014,01,107,2909,1
2014,01,109,2087,1
2014,01,111,3220,1
2014,01,113,4258,1
2014,01,115,4816,1
2014,01,117,1223,1
2014,01,119,2194,1
2014,01,121,3012,1
2014,01,123,2573,1
2014,01,125,1376,1
2014,01,127,2182,1
2014,01,129,8417,2
2014,01,131,2774,1
2014,01,133,2415,1
2014,02,013,NA,NA
2014,02,016,5750,3
2014,02,020,965,1
2014,02,050,993,1
2014,02,060,0,3
2014,02,068,0,3
2014,02,070,453,1
2014,02,090,1290,1
2014,02,100,321,1
2014,02,105,NA,NA
2014,02,110,926,1
2014,02,122,1277,1
2014,02,130,1149,1
2014,02,150,823,1
2014,02,158,NA,NA
2014,02,164,0,3
2014,02,170,2083,1
2014,02,180,1402,1
2014,02,185,4852,2
2014,02,188,3858,2
2014,02,195,632,1
2014,02,198,1599,1
2014,02,220,494,1
2014,02,230,0,3
2014,02,240,1386,1
2014,02,261,1581,1
2014,02,275,788,2
2014,02,282,0,3
2014,02,290,2774,2
2014,04,001,3420,1
2014,04,003,2160,1
2014,04,005,1240,1
2014,04,007,1967,1
2014,04,009,1807,1
2014,04,011,2336,1
2014,04,012,2890,1
2014,04,013,1416,1
2014,04,015,1994,1
2014,04,017,1523,1
2014,04,019,1219,1
2014,04,021,5661,1
2014,04,023,2594,1
2014,04,025,1609,1
2014,04,027,2509,1
2014,05,001,1859,1
2014,05,003,2618,1
2014,05,005,1135,1
2014,05,007,1719,1
2014,05,009,1328,1
2014,05,011,2230,1
2014,05,013,2601,2
2014,05,015,1734,1
2014,05,017,1118,1
2014,05,019,2258,1
2014,05,021,5039,2
2014,05,023,1508,1
2014,05,025,8449,3
2014,05,027,1496,1
2014,05,029,1622,1
2014,05,031,899,1
2014,05,033,2285,1
2014,05,035,2359,1
2014,05,037,1723,1
2014,05,039,1551,1
2014,05,041,2044,1
2014,05,043,1552,1
2014,05,045,2013,1
2014,05,047,2968,1
2014,05,049,2425,1
2014,05,051,1333,1
2014,05,053,9072,2
2014,05,055,1900,1
2014,05,057,3190,1
2014,05,059,4767,1
2014,05,061,2250,1
2014,05,063,1155,1
2014,05,065,13486,3
2014,05,067,1948,1
2014,05,069,1314,1
2014,05,071,1625,1
2014,05,073,7111,3
2014,05,075,3386,1
2014,05,077,3287,2
2014,05,079,6985,2
2014,05,081,2506,1
2014,05,083,4392,1
2014,05,085,5504,1
2014,05,087,3935,2
2014,05,089,8184,2
2014,05,091,2068,1
2014,05,093,2458,1
2014,05,095,1896,2
2014,05,097,4541,2
2014,05,099,4362,2
2014,05,101,7904,3
2014,05,103,1773,1
2014,05,105,10245,3
2014,05,107,2491,1
2014,05,109,2756,1
2014,05,111,8082,2
2014,05,113,1556,1
2014,05,115,1404,1
2014,05,117,NA,NA
2014,05,119,907,1
2014,05,121,1757,1
2014,05,123,2069,1
2014,05,125,2462,1
2014,05,127,3564,2
2014,05,129,2643,2
2014,05,131,840,1
2014,05,133,2178,1
2014,05,135,2415,1
2014,05,137,1785,1
2014,05,139,1298,1
2014,05,141,8426,2
2014,05,143,1233,1
2014,05,145,1917,1
2014,05,147,2303,2
2014,05,149,1996,1
2014,06,001,936,1
2014,06,003,0,3
2014,06,005,1750,1
2014,06,007,1568,1
2014,06,009,2028,1
2014,06,011,3060,1
2014,06,013,1017,1
2014,06,015,1237,1
2014,06,017,1366,1
2014,06,019,1502,1
2014,06,021,4659,1
2014,06,023,1498,1
2014,06,025,4592,1
2014,06,027,837,1
2014,06,029,2043,1
2014,06,031,2504,1
2014,06,033,1888,1
2014,06,035,2117,1
2014,06,037,1386,1
2014,06,039,2415,1
2014,06,041,697,1
2014,06,043,2947,1
2014,06,045,1072,1
2014,06,047,2131,1
2014,06,049,1805,1
2014,06,051,2000,1
2014,06,053,1672,1
2014,06,055,1012,1
2014,06,057,1284,1
2014,06,059,1056,1
2014,06,061,833,1
2014,06,063,1034,1
2014,06,065,2414,1
2014,06,067,1250,1
2014,06,069,2913,1
2014,06,071,1742,1
2014,06,073,1277,1
2014,06,075,634,1
2014,06,077,1684,1
2014,06,079,1168,1
2014,06,081,994,1
2014,06,083,1259,1
2014,06,085,972,1
2014,06,087,1010,1
2014,06,089,1257,1
2014,06,091,NA,NA
2014,06,093,1247,1
2014,06,095,1232,1
2014,06,097,1023,1
2014,06,099,1486,1
2014,06,101,1198,1
2014,06,103,2034,1
2014,06,105,3292,1
2014,06,107,2257,1
2014,06,109,1145,1
2014,06,111,1337,1
2014,06,113,830,1
2014,06,115,4351,1
2014,08,001,2195,1
2014,08,003,809,1
2014,08,005,1190,1
2014,08,007,1113,1
2014,08,009,911,1
2014,08,011,5630,3
2014,08,013,799,1
2014,08,014,956,1
2014,08,015,1020,1
2014,08,017,1871,3
2014,08,019,NA,NA
2014,08,021,2066,1
2014,08,023,NA,NA
