year,state_name,county_name,total_people,total_nonhisp,asian_other,black_nonhispanic,total_hispanic,white_nonhispanic,total_people_quality,total_nonhisp_quality,asian_other_quality,black_nonhispanic_quality,total_hispanic_quality,white_nonhispanic_quality
2020,Alabama,Autauga County,58239,56464,0.04170744689984375,0.19684403921770635,0.03047785847971291,0.730970655402737,1,1,1,1,1,1
2020,Alabama,Baldwin County,227131,216497,0.04050525907956201,0.08694982190894242,0.04681879620131114,0.8257261228101844,1,1,1,1,1,1
2020,Alabama,Barbour County,25259,24083,0.0348786571123164,0.47246525990735977,0.04655766261530544,0.4460984203650184,1,1,1,1,1,1
2020,Alabama,Bibb County,22412,21778,0.012359450294485097,0.21885597001606283,0.028288416919507408,0.7404961627699447,1,1,1,1,1,1
2020,Alabama,Blount County,58884,53272,0.03279328849942259,0.012668976292371441,0.09530602540588275,0.8592317098023232,1,1,1,1,1,1
2020,Alabama,Bullock County,10386,9498,0.020989793953398807,0.6897746967071057,0.0854997111496245,0.20373579818987098,1,1,1,1,1,1
2020,Alabama,Butler County,19181,18873,0.02679735154580053,0.4479432772013972,0.016057556957405766,0.5092018142953965,1,1,1,1,1,1
2020,Alabama,Calhoun County,116425,111775,0.036177796864934504,0.21035001073652565,0.03993987545630234,0.7135323169422375,1,1,1,1,1,1
2020,Alabama,Chambers County,34834,33888,0.02382729517138428,0.4008440029855888,0.02715737497846931,0.5481713268645576,1,1,1,1,1,1
2020,Alabama,Cherokee County,24975,24533,0.026746746746746746,0.046206206206206205,0.017697697697697697,0.9093493493493493,1,1,1,1,1,1
2020,Alabama,Chilton County,44857,41290,0.03954789664935238,0.08825824286064606,0.07951936152662907,0.7926744989633725,1,1,1,1,1,1
2020,Alabama,Choctaw County,12792,12654,0.01235146966854284,0.4123671044402752,0.010787992495309569,0.5644934333958724,1,1,1,1,1,1
2020,Alabama,Clarke County,23346,23020,0.017561894971301294,0.453268225820269,0.013963848196693223,0.5152060310117365,1,1,1,1,1,1
2020,Alabama,Clay County,14184,13741,0.031866892272983643,0.1327552171460801,0.031232374506486183,0.8041455160744501,1,1,1,1,1,1
2020,Alabama,Cleburne County,15046,14648,0.02359431078027383,0.0259869732819354,0.026452213212814036,0.9239665027249767,1,1,1,1,1,1
2020,Alabama,Coffee County,53043,48761,0.06611616989989254,0.1617367041833984,0.08072695737420583,0.6914201685425032,1,1,1,1,1,1
2020,Alabama,Colbert County,56789,55039,0.028385778936061562,0.16297170226628396,0.030815827008751694,0.7778266917889027,1,1,1,1,1,1
2020,Alabama,Conecuh County,11778,11762,0.01672609950755646,0.48089658685685177,0.001358464934623875,0.5010188487009679,1,1,1,1,1,1
2020,Alabama,Coosa County,10442,10168,0.026240183872821298,0.30683777054204175,0.026240183872821298,0.6406818617123157,1,1,1,1,1,1
2020,Alabama,Covington County,37490,36797,0.029767938116831157,0.12325953587623366,0.018484929314483863,0.8284875966924513,1,1,1,1,1,1
2020,Alabama,Crenshaw County,13300,13189,0.048195488721804514,0.241203007518797,0.008345864661654136,0.7022556390977444,1,1,1,1,1,1
2020,Alabama,Cullman County,87129,83190,0.03260682436387426,0.011224735736666323,0.04520882828908859,0.9109596116103709,1,1,1,1,1,1
2020,Alabama,Dale County,49443,46043,0.055457799890783324,0.2018283680197399,0.06876605383977509,0.6739477782497016,1,1,1,1,1,1
2020,Alabama,Dallas County,39162,39110,0.013686737143148971,0.7160002042796588,0.0013278177825443032,0.26898524079464786,1,1,1,1,1,1
2020,Alabama,DeKalb County,71554,60716,0.03661570282583783,0.015568661430527993,0.1514660256589429,0.7963496100846913,1,1,1,1,1,1
2020,Alabama,Elmore County,87146,84467,0.031820163862942646,0.20723842746655038,0.030741514240470016,0.730199894430037,1,1,1,1,1,1
2020,Alabama,Escambia County,36879,35953,0.06423709970443885,0.3111255728192196,0.025109140703381327,0.5995281867729603,1,1,1,1,1,1
2020,Alabama,Etowah County,103468,99052,0.03339196659836858,0.1531971237484053,0.042679862372907565,0.7707310472803186,1,1,1,1,1,1
2020,Alabama,Fayette County,16365,16276,0.028597616865261227,0.12746715551481821,0.005438435685915063,0.8384967919340055,1,1,1,1,1,1
2020,Alabama,Franklin County,32034,26209,0.017231691327964038,0.04286071049509896,0.18183804707498283,0.7580695511019542,1,1,1,1,1,1
2020,Alabama,Geneva County,26604,25470,0.04939106901217862,0.0926176514809803,0.04262516914749662,0.8153661103593445,1,1,1,1,1,1
2020,Alabama,Greene County,7851,7650,0.008279200101897848,0.7918736466692141,0.025601834161253344,0.17424531906763469,1,1,1,1,1,1
2020,Alabama,Hale County,14819,14808,0.026115122477899995,0.5897833861934003,7.422903029894055e-4,0.38335920102571025,1,1,1,1,1,1
2020,Alabama,Henry County,17165,16695,0.0162540052432275,0.2638508593067288,0.02738129915525779,0.6925138362947859,1,1,1,1,1,1
2020,Alabama,Houston County,106355,102657,0.04116402613887452,0.27139297635278076,0.034770344600629964,0.6526726529077147,1,1,1,1,1,1
2020,Alabama,Jackson County,52548,50898,0.0445307147750628,0.034749181700540456,0.03139986298241608,0.8893202405419807,1,1,1,1,1,1
2020,Alabama,Jefferson County,672550,645309,0.04004906698386737,0.4275815924466582,0.040504051743364806,0.4918652888261096,1,1,1,1,1,1
2020,Alabama,Lamar County,13929,13786,0.018809677650944073,0.1112068346614976,0.01026635077895039,0.859717136908608,1,1,1,1,1,1
2020,Alabama,Lauderdale County,93342,90644,0.03568597201688414,0.09723382828737331,0.0289044588716762,0.8381757408240663,1,1,1,1,1,1
2020,Alabama,Lawrence County,33089,32292,0.1093414729970685,0.10429447852760736,0.02408655444407507,0.762277494031249,1,1,1,1,1,1
2020,Alabama,Lee County,172223,165676,0.0703738757308838,0.22066739053436532,0.03801466703053599,0.6709440667042149,1,1,1,1,1,1
2020,Alabama,Limestone County,101217,94960,0.05581078277364474,0.12954345613879092,0.06181767884841479,0.7528280822391495,1,1,1,1,1,1
2020,Alabama,Lowndes County,10334,10314,0.003193342365008709,0.7465647377588542,0.0019353590090961873,0.24830656086704084,1,1,1,1,1,1
2020,Alabama,Macon County,19490,19387,0.02047203694202155,0.8095433555669574,0.005284761416110826,0.1646998460749102,1,1,1,1,1,1
2020,Alabama,Madison County,382149,362340,0.06690584039209838,0.24039052830178806,0.05183580226560844,0.6408678290405051,1,1,1,1,1,1
2020,Alabama,Marengo County,19397,18863,0.013558797752229726,0.5125019332886529,0.027530030417074806,0.44640923854204256,1,1,1,1,1,1
2020,Alabama,Marion County,29392,28621,0.025142896026129558,0.03973870440936309,0.026231627653783344,0.908886771910724,1,1,1,1,1,1
2020,Alabama,Marshall County,97179,82928,0.026363720556910445,0.02842177836775435,0.14664690931168256,0.7985675917636527,1,1,1,1,1,1
2020,Alabama,Mobile County,414620,402302,0.04983117071053012,0.35848970141334235,0.02970913125271333,0.5619699966234142,1,1,1,1,1,1
2020,Alabama,Monroe County,20115,20042,0.03564504101416853,0.4216753666418096,0.003629132488192891,0.539050459855829,1,1,1,1,1,1
2020,Alabama,Montgomery County,229072,220681,0.05593001327093665,0.5831703569183488,0.03663040441433261,0.3242692253963819,1,1,1,1,1,1
2020,Alabama,Morgan County,122608,111998,0.03823567793292444,0.12815640088738092,0.0865359519770325,0.7470719692026622,1,1,1,1,1,1
2020,Alabama,Perry County,8702,8614,0.0026430705584923006,0.6932888991036543,0.01011261778901402,0.29395541254883933,1,1,1,1,1,1
2020,Alabama,Pickens County,19240,18249,0.018191268191268192,0.39506237006237005,0.05150727650727651,0.5352390852390853,1,1,1,1,1,1
2020,Alabama,Pike County,33176,32391,0.05579334458644804,0.3641789245237521,0.023661683144441763,0.5563660477453581,1,1,1,1,1,1
2020,Alabama,Randolph County,21984,21343,0.03684497816593887,0.185589519650655,0.029157569141193596,0.7484079330422125,1,1,1,1,1,1
2020,Alabama,Russell County,58695,55326,0.055336911150864636,0.44240565635914475,0.05739841553795042,0.4448590169520402,1,1,1,1,1,1
2020,Alabama,St. Clair County,90412,88149,0.027905587753837988,0.09523072158563023,0.025029863292483297,0.8518338273680485,1,1,1,1,1,1
2020,Alabama,Shelby County,220780,207954,0.052713108071383276,0.12433644351843465,0.0580940302563638,0.7648564181538183,1,1,1,1,1,1
2020,Alabama,Sumter County,12482,12330,0.02804037814452812,0.7114244512097421,0.012177535651337926,0.24835763499439192,1,1,1,1,1,1
2020,Alabama,Talladega County,81850,79846,0.03373243738546121,0.3207574832009774,0.024483811850946852,0.6210262675626146,1,1,1,1,1,1
2020,Alabama,Tallapoosa County,41284,40268,0.01819106675709718,0.2704437554500533,0.024610018409068887,0.6867551593837806,1,1,1,1,1,1
2020,Alabama,Tuscaloosa County,223945,215103,0.033137600750184196,0.3219138627788073,0.03948290874991627,0.6054656277210922,1,1,1,1,1,1
2020,Alabama,Walker County,65194,63439,0.0375954842470166,0.05854833266865049,0.0269196551829923,0.8769365279013406,1,1,1,1,1,1
2020,Alabama,Washington County,15574,15409,0.10023115448824965,0.2380249133170669,0.010594580711442148,0.6511493514832413,1,1,1,1,1,1
2020,Alabama,Wilcox County,10686,10628,0.018809657495788883,0.7084970990080479,0.005427662361968931,0.2672655811341943,1,1,1,1,1,1
2020,Alabama,Winston County,23650,22900,0.026553911205073995,0.009175475687103593,0.03171247357293869,0.9325581395348838,1,1,1,1,1,1
2020,Alaska,Aleutians East Borough,3409,3050,0.7491933118216486,0.01760046934584922,0.10530947491933118,0.12789674391317102,1,1,1,1,1,1
2020,Alaska,Aleutians West Census Area,5251,4740,0.639497238621215,0.03466006474957151,0.09731479718148923,0.22852789944772425,1,1,1,1,1,1
2020,Alaska,Anchorage Municipality,292545,264762,0.2921089063221043,0.051602317592165305,0.09497000461467467,0.5613187714710557,1,1,1,1,1,1
2020,Alaska,Bethel Census Area,18514,18131,0.8781462676893161,0.00918224046667387,0.02068704763962407,0.09198444420438587,1,1,1,1,1,1
2020,Alaska,Bristol Bay Borough,849,740,0.4534746760895171,0.005889281507656066,0.12838633686690223,0.4122497055359246,1,1,1,1,1,1
2020,Alaska,Chugach Census Area,7015,6596,0.2105488239486814,0.016535994297933,0.059729151817533854,0.7131860299358518,1,1,1,1,1,1
2020,Alaska,Copper River Census Area,2635,2507,0.3726755218216319,0.0011385199240986717,0.04857685009487666,0.5776091081593928,1,1,1,1,1,1
2020,Alaska,Denali Borough,2187,2174,0.18564243255601282,0.01188843164151806,0.00594421582075903,0.7965249199817102,1,1,1,1,1,1
2020,Alaska,Dillingham Census Area,4899,4739,0.8097570932843438,0.013472137170851195,0.032659726474790776,0.1441110430700143,1,1,1,1,1,1
