year,state,place,index_transportation_cost,index_transportation_cost_quality
2015,01,03076,29.79,1
2015,01,07000,24.3,1
2015,01,35896,26.56,1
2015,01,37000,25.01,1
2015,01,50000,27.99,1
2015,01,51000,27.12,1
2015,01,77256,29.3,1
2015,02,03000,20.64,1
2015,04,04720,28.17,1
2015,04,07940,31.46,1
2015,04,12000,27.02,1
2015,04,23620,28.45,1
2015,04,27400,29.11,1
2015,04,27820,25.88,1
2015,04,28380,30.49,1
2015,04,46000,25.73,1
2015,04,54050,28.42,1
2015,04,55000,25.02,1
2015,04,65000,26.12,1
2015,04,71510,28.96,1
2015,04,73000,23.3,1
2015,04,77000,25.9,1
2015,04,85540,33.53,1
2015,05,23290,26.58,1
2015,05,24550,32.92,1
2015,05,35710,32.83,1
2015,05,41000,25.46,1
2015,05,66080,27.1,1
2015,06,00562,17.78,1
2015,06,00884,22.45,1
2015,06,02000,24.57,1
2015,06,02252,21.17,1
2015,06,02364,31.7,1
2015,06,03526,32.66,1
2015,06,04982,22.89,1
2015,06,06000,16.93,1
2015,06,08786,25.02,1
2015,06,08954,22.92,1
2015,06,11194,25.55,1
2015,06,11530,26.32,1
2015,06,13014,30.38,1
2015,06,13210,30.64,1
2015,06,13214,32.08,1
2015,06,13392,23.72,1
2015,06,13588,23.73,1
2015,06,14218,34.64,1
2015,06,15044,24.79,1
2015,06,16000,19.42,1
2015,06,16350,30.32,1
2015,06,16532,23.12,1
2015,06,17918,18.28,1
2015,06,19766,24.05,1
2015,06,21712,22.32,1
2015,06,22020,26.97,1
2015,06,22230,23.72,1
2015,06,22804,24.57,1
2015,06,23182,24.52,1
2015,06,24638,26.13,1
2015,06,24680,29.71,1
2015,06,26000,19.76,1
2015,06,27000,32.13,1
2015,06,28000,25.06,1
2015,06,29000,24.74,1
2015,06,30000,21.99,1
2015,06,32548,21.4,1
2015,06,33000,19,1
2015,06,33182,29.36,1
2015,06,33434,31.63,1
2015,06,36000,25.39,1
2015,06,36448,31.68,1
2015,06,36546,21.7,1
2015,06,36770,24.54,1
2015,06,37692,NA,NA
2015,06,39496,26.36,1
2015,06,39892,25.4,1
2015,06,40130,27.66,1
2015,06,41992,21.63,1
2015,06,43000,20.87,1
2015,06,44000,21.72,1
2015,06,45484,31.93,1
2015,06,46842,32.59,1
2015,06,46898,35.09,1
2015,06,47766,18.61,1
2015,06,48256,27.66,1
2015,06,48354,30.57,1
2015,06,49270,30.1,1
2015,06,49670,16.67,1
2015,06,50076,31.27,1
2015,06,50258,23.05,1
2015,06,51182,24.44,1
2015,06,52526,25.36,1
2015,06,53000,16.67,1
2015,06,53322,24.88,1
2015,06,53896,28.66,1
2015,06,53980,25.17,1
2015,06,54652,23.26,1
2015,06,55156,29.23,1
2015,06,56000,21.96,1
2015,06,56700,31.37,1
2015,06,57456,20.59,1
2015,06,57792,21.27,1
2015,06,58072,25.72,1
2015,06,59444,23.61,1
2015,06,59451,29.26,1
2015,06,59920,30.51,1
2015,06,60102,18.97,1
2015,06,60466,29.15,1
2015,06,60620,18.79,1
2015,06,62000,28.75,1
2015,06,62938,25.73,1
2015,06,64000,22.82,1
2015,06,64224,27.86,1
2015,06,65000,27.06,1
2015,06,65042,23.03,1
2015,06,66000,22.53,1
2015,06,67000,12.89,1
2015,06,68000,17.75,1
2015,06,68084,18.6,1
2015,06,68196,25.63,1
2015,06,68252,18.34,1
2015,06,68378,21.37,1
2015,06,69000,23.05,1
2015,06,69070,23.61,1
2015,06,69084,16.64,1
2015,06,69088,27.46,1
2015,06,69196,26.34,1
2015,06,70000,19.97,1
2015,06,70098,24.11,1
2015,06,72016,23.97,1
2015,06,73080,23.39,1
2015,06,75000,29.08,1
2015,06,77000,16.85,1
2015,06,78120,32.58,1
2015,06,78582,24.33,1
2015,06,80000,24.46,1
2015,06,80238,31.7,1
2015,06,80854,23.67,1
2015,06,81344,28.12,1
2015,06,81554,24.44,1
2015,06,81666,23.31,1
2015,06,82590,30.16,1
2015,06,82954,36.83,1
2015,06,82996,24.96,1
2015,06,84200,26.38,1
