year,state,county,index_transportation_cost,index_transportation_cost_quality
2015,01,001,32,1
2015,01,003,31,1
2015,01,005,42,1
2015,01,007,32,1
2015,01,009,32,1
2015,01,011,48,1
2015,01,013,45,1
2015,01,015,34,1
2015,01,017,42,1
2015,01,019,40,1
2015,01,021,32,1
2015,01,023,45,1
2015,01,025,45,1
2015,01,027,42,1
2015,01,029,40,1
2015,01,031,32,1
2015,01,033,33,1
2015,01,035,54,1
2015,01,037,43,1
2015,01,039,40,1
2015,01,041,42,1
2015,01,043,38,1
2015,01,045,32,1
2015,01,047,46,1
2015,01,049,40,1
2015,01,051,32,1
2015,01,053,43,1
2015,01,055,36,1
2015,01,057,42,1
2015,01,059,41,1
2015,01,061,37,1
2015,01,063,63,1
2015,01,065,36,1
2015,01,067,39,1
2015,01,069,34,1
2015,01,071,39,1
2015,01,073,27,1
2015,01,075,41,1
2015,01,077,33,1
2015,01,079,35,1
2015,01,081,32,1
2015,01,083,29,1
2015,01,085,34,1
2015,01,087,44,1
2015,01,089,26,1
2015,01,091,44,1
2015,01,093,44,1
2015,01,095,38,1
2015,01,097,31,1
2015,01,099,51,1
2015,01,101,28,1
2015,01,103,32,1
2015,01,105,54,1
2015,01,107,37,1
2015,01,109,42,1
2015,01,111,40,1
2015,01,113,33,1
2015,01,115,31,1
2015,01,117,29,1
2015,01,119,67,1
2015,01,121,40,1
2015,01,123,37,1
2015,01,125,32,1
2015,01,127,31,1
2015,01,129,38,1
2015,01,131,55,1
2015,01,133,44,1
2015,02,013,15,1
2015,02,016,7,1
2015,02,020,21,1
2015,02,050,25,1
2015,02,060,24,1
2015,02,068,20,1
2015,02,070,23,1
2015,02,090,22,1
2015,02,100,28,1
2015,02,105,29,1
2015,02,110,19,1
2015,02,122,25,1
2015,02,130,23,1
2015,02,150,23,1
2015,02,158,28,1
2015,02,164,28,1
2015,02,170,24,1
2015,02,180,22,1
2015,02,185,20,1
2015,02,188,19,1
2015,02,195,23,1
2015,02,198,29,1
2015,02,220,22,1
2015,02,230,24,1
2015,02,240,24,1
2015,02,261,22,1
2015,02,275,27,1
2015,02,282,20,1
2015,02,290,32,1
2015,04,001,51,1
2015,04,003,31,1
2015,04,005,32,1
2015,04,007,38,1
2015,04,009,34,1
2015,04,011,31,1
2015,04,012,40,1
2015,04,013,26,1
2015,04,015,35,1
2015,04,017,43,1
2015,04,019,29,1
2015,04,021,30,1
2015,04,023,38,1
2015,04,025,32,1
2015,04,027,35,1
2015,05,001,39,1
2015,05,003,43,1
2015,05,005,38,1
2015,05,007,30,1
2015,05,009,38,1
2015,05,011,43,1
2015,05,013,48,1
2015,05,015,41,1
2015,05,017,47,1
2015,05,019,40,1
2015,05,021,45,1
2015,05,023,35,1
2015,05,025,42,1
2015,05,027,39,1
2015,05,029,40,1
2015,05,031,34,1
2015,05,033,39,1
2015,05,035,30,1
2015,05,037,38,1
2015,05,039,42,1
2015,05,041,50,1
2015,05,043,43,1
2015,05,045,30,1
2015,05,047,38,1
2015,05,049,39,1
2015,05,051,35,1
2015,05,053,33,1
2015,05,055,35,1
2015,05,057,46,1
2015,05,059,37,1
2015,05,061,43,1
2015,05,063,41,1
2015,05,065,43,1
2015,05,067,43,1
2015,05,069,35,1
2015,05,071,43,1
2015,05,073,46,1
2015,05,075,44,1
2015,05,077,47,1
2015,05,079,40,1
2015,05,081,37,1
2015,05,083,42,1
2015,05,085,31,1
2015,05,087,34,1
2015,05,089,43,1
2015,05,091,33,1
2015,05,093,40,1
2015,05,095,50,1
2015,05,097,45,1
2015,05,099,47,1
2015,05,101,42,1
2015,05,103,44,1
2015,05,105,33,1
2015,05,107,48,1
2015,05,109,45,1
2015,05,111,36,1
2015,05,113,44,1
2015,05,115,38,1
2015,05,117,40,1
2015,05,119,27,1
2015,05,121,43,1
2015,05,123,41,1
2015,05,125,30,1
2015,05,127,42,1
2015,05,129,46,1
2015,05,131,35,1
2015,05,133,41,1
2015,05,135,45,1
2015,05,137,49,1
2015,05,139,37,1
2015,05,141,44,1
2015,05,143,28,1
2015,05,145,35,1
2015,05,147,49,1
2015,05,149,40,1
2015,06,001,19,1
2015,06,003,38,1
2015,06,005,32,1
2015,06,007,33,1
2015,06,009,34,1
2015,06,011,35,1
2015,06,013,21,1
2015,06,015,35,1
