year,state,county,subgroup_type,subgroup,index_transportation_cost,index_transportation_cost_quality
2015,01,001,race-ethnicity,All,31.83153559521475,1
2015,01,001,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,001,race-ethnicity,Majority White-NH Tracts,31.794761723632018,1
2015,01,001,race-ethnicity,Mixed Race and Ethnicity Tracts,32.17109884596086,1
2015,01,003,race-ethnicity,All,30.89401381841736,1
2015,01,003,race-ethnicity,Majority Non-White Tracts,28,1
2015,01,003,race-ethnicity,Majority White-NH Tracts,30.944193517387184,1
2015,01,003,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,005,race-ethnicity,All,42.03719366731728,1
2015,01,005,race-ethnicity,Majority Non-White Tracts,40.09120329508679,1
2015,01,005,race-ethnicity,Majority White-NH Tracts,NA,1
2015,01,005,race-ethnicity,Mixed Race and Ethnicity Tracts,43.173106646058734,1
2015,01,007,race-ethnicity,All,31.679521844314785,1
2015,01,007,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,007,race-ethnicity,Majority White-NH Tracts,32.01703940362087,1
2015,01,007,race-ethnicity,Mixed Race and Ethnicity Tracts,31,1
2015,01,009,race-ethnicity,All,31.82076287471176,1
2015,01,009,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,009,race-ethnicity,Majority White-NH Tracts,31.82076287471176,1
2015,01,009,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,011,race-ethnicity,All,48.13114308987239,1
2015,01,011,race-ethnicity,Majority Non-White Tracts,47.27405940594059,1
2015,01,011,race-ethnicity,Majority White-NH Tracts,NA,1
2015,01,011,race-ethnicity,Mixed Race and Ethnicity Tracts,50,1
2015,01,013,race-ethnicity,All,45.00186196623635,1
2015,01,013,race-ethnicity,Majority Non-White Tracts,43.03024830699774,1
2015,01,013,race-ethnicity,Majority White-NH Tracts,45.72426141450313,1
2015,01,013,race-ethnicity,Mixed Race and Ethnicity Tracts,45.83175528040787,1
2015,01,015,race-ethnicity,All,33.637352172565,1
2015,01,015,race-ethnicity,Majority Non-White Tracts,29.380138969310945,1
2015,01,015,race-ethnicity,Majority White-NH Tracts,34.58601978080727,1
2015,01,015,race-ethnicity,Mixed Race and Ethnicity Tracts,28.79230769230769,1
2015,01,017,race-ethnicity,All,41.70784071951839,1
2015,01,017,race-ethnicity,Majority Non-White Tracts,39,1
2015,01,017,race-ethnicity,Majority White-NH Tracts,42.884387006636395,1
2015,01,017,race-ethnicity,Mixed Race and Ethnicity Tracts,40.985919199894724,1
2015,01,019,race-ethnicity,All,39.688685937222914,1
2015,01,019,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,019,race-ethnicity,Majority White-NH Tracts,39.688685937222914,1
2015,01,019,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,021,race-ethnicity,All,31.624376424216297,1
2015,01,021,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,021,race-ethnicity,Majority White-NH Tracts,31.624376424216297,1
2015,01,021,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,023,race-ethnicity,All,44.91121076233184,1
2015,01,023,race-ethnicity,Majority Non-White Tracts,45,1
2015,01,023,race-ethnicity,Majority White-NH Tracts,44.32860862019092,1
2015,01,023,race-ethnicity,Mixed Race and Ethnicity Tracts,47,1
2015,01,025,race-ethnicity,All,44.74267304094783,1
2015,01,025,race-ethnicity,Majority Non-White Tracts,46,1
2015,01,025,race-ethnicity,Majority White-NH Tracts,46.49079754601227,1
2015,01,025,race-ethnicity,Mixed Race and Ethnicity Tracts,43.8580296036925,1
2015,01,027,race-ethnicity,All,41.62760656947776,1
2015,01,027,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,027,race-ethnicity,Majority White-NH Tracts,41.62760656947776,1
2015,01,027,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,029,race-ethnicity,All,40.141447368421055,1
2015,01,029,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,029,race-ethnicity,Majority White-NH Tracts,40.141447368421055,1
2015,01,029,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,031,race-ethnicity,All,32.25965553235908,1
2015,01,031,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,031,race-ethnicity,Majority White-NH Tracts,32.655733029092985,1
2015,01,031,race-ethnicity,Mixed Race and Ethnicity Tracts,28,1
2015,01,033,race-ethnicity,All,32.95347685101783,1
2015,01,033,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,033,race-ethnicity,Majority White-NH Tracts,33.20731592787378,1
2015,01,033,race-ethnicity,Mixed Race and Ethnicity Tracts,27,1
2015,01,035,race-ethnicity,All,54.23548761609907,1
2015,01,035,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,035,race-ethnicity,Majority White-NH Tracts,57,1
2015,01,035,race-ethnicity,Mixed Race and Ethnicity Tracts,53.8419540229885,1
2015,01,037,race-ethnicity,All,43.30606741573034,1
2015,01,037,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,037,race-ethnicity,Majority White-NH Tracts,43.982264665757164,1
2015,01,037,race-ethnicity,Mixed Race and Ethnicity Tracts,42,1
2015,01,039,race-ethnicity,All,40.51548598568466,1
2015,01,039,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,039,race-ethnicity,Majority White-NH Tracts,40.875875802050295,1
2015,01,039,race-ethnicity,Mixed Race and Ethnicity Tracts,37,1
2015,01,041,race-ethnicity,All,41.977521827976965,1
2015,01,041,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,041,race-ethnicity,Majority White-NH Tracts,41.76249039200615,1
2015,01,041,race-ethnicity,Mixed Race and Ethnicity Tracts,42.54459459459459,1
2015,01,043,race-ethnicity,All,37.57266596349922,1
2015,01,043,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,043,race-ethnicity,Majority White-NH Tracts,37.57266596349922,1
2015,01,043,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,045,race-ethnicity,All,32.04422126406562,1
2015,01,045,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,045,race-ethnicity,Majority White-NH Tracts,32.279984136876095,1
2015,01,045,race-ethnicity,Mixed Race and Ethnicity Tracts,29,1
2015,01,047,race-ethnicity,All,46.352951928349476,1
2015,01,047,race-ethnicity,Majority Non-White Tracts,44.54638786851276,1
2015,01,047,race-ethnicity,Majority White-NH Tracts,50.925361766945926,1
2015,01,047,race-ethnicity,Mixed Race and Ethnicity Tracts,48.61577287066246,1
2015,01,049,race-ethnicity,All,39.644384919841684,1
2015,01,049,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,049,race-ethnicity,Majority White-NH Tracts,39.644384919841684,1
2015,01,049,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,051,race-ethnicity,All,32.38044047328191,1
2015,01,051,race-ethnicity,Majority Non-White Tracts,32,1
2015,01,051,race-ethnicity,Majority White-NH Tracts,32.388980087074444,1
2015,01,051,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,053,race-ethnicity,All,42.99956072918955,1
2015,01,053,race-ethnicity,Majority Non-White Tracts,40.31994328922495,1
2015,01,053,race-ethnicity,Majority White-NH Tracts,43.25875449555177,1
2015,01,053,race-ethnicity,Mixed Race and Ethnicity Tracts,46,1
2015,01,055,race-ethnicity,All,35.693225394120155,1
2015,01,055,race-ethnicity,Majority Non-White Tracts,31.21345444223673,1
2015,01,055,race-ethnicity,Majority White-NH Tracts,36.633239385398674,1
2015,01,055,race-ethnicity,Mixed Race and Ethnicity Tracts,31.18437407517017,1
2015,01,057,race-ethnicity,All,42.394628392781016,1
2015,01,057,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,057,race-ethnicity,Majority White-NH Tracts,42.394628392781016,1
2015,01,057,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,059,race-ethnicity,All,40.881051752921536,1
2015,01,059,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,059,race-ethnicity,Majority White-NH Tracts,40.881051752921536,1
2015,01,059,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,061,race-ethnicity,All,37.30686256276734,1
2015,01,061,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,061,race-ethnicity,Majority White-NH Tracts,37.30686256276734,1
2015,01,061,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,063,race-ethnicity,All,63.14651671352702,1
2015,01,063,race-ethnicity,Majority Non-White Tracts,63.14651671352702,1
2015,01,063,race-ethnicity,Majority White-NH Tracts,NA,1
2015,01,063,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,065,race-ethnicity,All,35.984815252235535,1
2015,01,065,race-ethnicity,Majority Non-White Tracts,34.8039156626506,1
2015,01,065,race-ethnicity,Majority White-NH Tracts,37,1
2015,01,065,race-ethnicity,Mixed Race and Ethnicity Tracts,37.98606811145511,1
2015,01,067,race-ethnicity,All,38.676530316217,1
2015,01,067,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,067,race-ethnicity,Majority White-NH Tracts,38.63870581186339,1
2015,01,067,race-ethnicity,Mixed Race and Ethnicity Tracts,38.77689454160043,1
2015,01,069,race-ethnicity,All,34.00186238742761,1
2015,01,069,race-ethnicity,Majority Non-White Tracts,31.27924647775843,1
2015,01,069,race-ethnicity,Majority White-NH Tracts,34.97652435857484,1
2015,01,069,race-ethnicity,Mixed Race and Ethnicity Tracts,31.26356589147287,1
2015,01,071,race-ethnicity,All,39.00836963437913,1
2015,01,071,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,071,race-ethnicity,Majority White-NH Tracts,39.00836963437913,1
2015,01,071,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,073,race-ethnicity,All,26.614439176940852,1
2015,01,073,race-ethnicity,Majority Non-White Tracts,24.978751478306766,1
2015,01,073,race-ethnicity,Majority White-NH Tracts,27.80539792176969,1
2015,01,073,race-ethnicity,Mixed Race and Ethnicity Tracts,27.01178290006628,1
2015,01,075,race-ethnicity,All,40.90860215053763,1
2015,01,075,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,075,race-ethnicity,Majority White-NH Tracts,40.90860215053763,1
2015,01,075,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,077,race-ethnicity,All,33.163679685072,1
2015,01,077,race-ethnicity,Majority Non-White Tracts,28,1
2015,01,077,race-ethnicity,Majority White-NH Tracts,33.23252152005039,1
2015,01,077,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,079,race-ethnicity,All,35.08118490064268,1
2015,01,079,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,079,race-ethnicity,Majority White-NH Tracts,35.0314843967034,1
2015,01,079,race-ethnicity,Mixed Race and Ethnicity Tracts,35.27720964207451,1
2015,01,081,race-ethnicity,All,31.70509524059401,1
2015,01,081,race-ethnicity,Majority Non-White Tracts,29,1
2015,01,081,race-ethnicity,Majority White-NH Tracts,32.16848357791754,1
2015,01,081,race-ethnicity,Mixed Race and Ethnicity Tracts,30.635071090047393,1
2015,01,083,race-ethnicity,All,29.579114022289136,1
2015,01,083,race-ethnicity,Majority Non-White Tracts,NA,1
2015,01,083,race-ethnicity,Majority White-NH Tracts,29.641114982578397,1
2015,01,083,race-ethnicity,Mixed Race and Ethnicity Tracts,28,1
2015,01,085,race-ethnicity,All,34.103689864549274,1
2015,01,085,race-ethnicity,Majority Non-White Tracts,34.103689864549274,1
2015,01,085,race-ethnicity,Majority White-NH Tracts,NA,1
2015,01,085,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,1
2015,01,087,race-ethnicity,All,43.972031464602324,1
2015,01,087,race-ethnicity,Majority Non-White Tracts,43.186605981794536,1
2015,01,087,race-ethnicity,Majority White-NH Tracts,NA,1
2015,01,087,race-ethnicity,Mixed Race and Ethnicity Tracts,46.57404415724287,1
2015,01,089,race-ethnicity,All,26.460785238845297,1
2015,01,089,race-ethnicity,Majority Non-White Tracts,25.259494878809086,1
