year,state,place,subgroup_type,subgroup,index_transit_trips,index_transit_trips_quality
2015,01,03076,race-ethnicity,All,10.55,1
2015,01,03076,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,03076,race-ethnicity,Majority White-NH Tracts,21.26,1
2015,01,03076,race-ethnicity,Mixed Race and Ethnicity Tracts,4.62,1
2015,01,07000,race-ethnicity,All,75.61,1
2015,01,07000,race-ethnicity,Majority Non-White Tracts,31.75,1
2015,01,07000,race-ethnicity,Majority White-NH Tracts,56.67,2
2015,01,07000,race-ethnicity,Mixed Race and Ethnicity Tracts,16.18,2
2015,01,35896,race-ethnicity,All,20.59,1
2015,01,35896,race-ethnicity,Majority Non-White Tracts,15.26,1
2015,01,35896,race-ethnicity,Majority White-NH Tracts,22.19,1
2015,01,35896,race-ethnicity,Mixed Race and Ethnicity Tracts,16.48,1
2015,01,37000,race-ethnicity,All,65.22,1
2015,01,37000,race-ethnicity,Majority Non-White Tracts,25.14,1
2015,01,37000,race-ethnicity,Majority White-NH Tracts,56.42,1
2015,01,37000,race-ethnicity,Mixed Race and Ethnicity Tracts,41.01,1
2015,01,50000,race-ethnicity,All,99.13,1
2015,01,50000,race-ethnicity,Majority Non-White Tracts,48.54,1
2015,01,50000,race-ethnicity,Majority White-NH Tracts,86.82,1
2015,01,50000,race-ethnicity,Mixed Race and Ethnicity Tracts,65.21,1
2015,01,51000,race-ethnicity,All,85.99,1
2015,01,51000,race-ethnicity,Majority Non-White Tracts,40.2,1
2015,01,51000,race-ethnicity,Majority White-NH Tracts,56.93,1
2015,01,51000,race-ethnicity,Mixed Race and Ethnicity Tracts,35.73,1
2015,01,77256,race-ethnicity,All,53.81,1
2015,01,77256,race-ethnicity,Majority Non-White Tracts,20.3,1
2015,01,77256,race-ethnicity,Majority White-NH Tracts,43,1
2015,01,77256,race-ethnicity,Mixed Race and Ethnicity Tracts,35.51,1
2015,02,03000,race-ethnicity,All,17.38,1
2015,02,03000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,02,03000,race-ethnicity,Majority White-NH Tracts,91.24,1
2015,02,03000,race-ethnicity,Mixed Race and Ethnicity Tracts,80.94,1
2015,04,04720,race-ethnicity,All,32.52,1
2015,04,04720,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,04720,race-ethnicity,Majority White-NH Tracts,51.91,1
2015,04,04720,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,07940,race-ethnicity,All,11.58,1
2015,04,07940,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,07940,race-ethnicity,Majority White-NH Tracts,20.67,1
2015,04,07940,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,12000,race-ethnicity,All,38.75,1
2015,04,12000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,12000,race-ethnicity,Majority White-NH Tracts,59.3,1
2015,04,12000,race-ethnicity,Mixed Race and Ethnicity Tracts,50.72,1
2015,04,23620,race-ethnicity,All,95.32,1
2015,04,23620,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,23620,race-ethnicity,Majority White-NH Tracts,91.64,1
2015,04,23620,race-ethnicity,Mixed Race and Ethnicity Tracts,67.1,1
2015,04,27400,race-ethnicity,All,30.96,1
2015,04,27400,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,27400,race-ethnicity,Majority White-NH Tracts,48.81,1
2015,04,27400,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,27820,race-ethnicity,All,54.79,1
2015,04,27820,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,27820,race-ethnicity,Majority White-NH Tracts,74.53,1
2015,04,27820,race-ethnicity,Mixed Race and Ethnicity Tracts,55.63,1
2015,04,28380,race-ethnicity,All,14.25,1
2015,04,28380,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,28380,race-ethnicity,Majority White-NH Tracts,30.23,1
2015,04,28380,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,46000,race-ethnicity,All,58.8,1
2015,04,46000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,46000,race-ethnicity,Majority White-NH Tracts,77.2,1
2015,04,46000,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,54050,race-ethnicity,All,33.41,1
2015,04,54050,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,54050,race-ethnicity,Majority White-NH Tracts,54.09,1
2015,04,54050,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,55000,race-ethnicity,All,56.57,1
2015,04,55000,race-ethnicity,Majority Non-White Tracts,40.05,1
2015,04,55000,race-ethnicity,Majority White-NH Tracts,75.82,1
2015,04,55000,race-ethnicity,Mixed Race and Ethnicity Tracts,56.96,1
2015,04,65000,race-ethnicity,All,44.1,1
2015,04,65000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,65000,race-ethnicity,Majority White-NH Tracts,65.65,1
2015,04,65000,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,71510,race-ethnicity,All,25.39,1
2015,04,71510,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,71510,race-ethnicity,Majority White-NH Tracts,46.1,1
2015,04,71510,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,04,73000,race-ethnicity,All,73.27,1
2015,04,73000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,73000,race-ethnicity,Majority White-NH Tracts,84.93,1
2015,04,73000,race-ethnicity,Mixed Race and Ethnicity Tracts,69.15,1
2015,04,77000,race-ethnicity,All,99.78,1
2015,04,77000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,77000,race-ethnicity,Majority White-NH Tracts,97.69,1
2015,04,77000,race-ethnicity,Mixed Race and Ethnicity Tracts,83.79,1
2015,04,85540,race-ethnicity,All,32.07,1
2015,04,85540,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,04,85540,race-ethnicity,Majority White-NH Tracts,48.84,1
2015,04,85540,race-ethnicity,Mixed Race and Ethnicity Tracts,45.36,2
2015,05,23290,race-ethnicity,All,100,1
2015,05,23290,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,05,23290,race-ethnicity,Majority White-NH Tracts,95.8,1
2015,05,23290,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,05,24550,race-ethnicity,All,37.15,1
2015,05,24550,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,05,24550,race-ethnicity,Majority White-NH Tracts,56.33,1
2015,05,24550,race-ethnicity,Mixed Race and Ethnicity Tracts,35.76,1
2015,05,35710,race-ethnicity,All,23.29,1
2015,05,35710,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,05,35710,race-ethnicity,Majority White-NH Tracts,42.58,1
2015,05,35710,race-ethnicity,Mixed Race and Ethnicity Tracts,53.29,1
2015,05,41000,race-ethnicity,All,96.49,1
2015,05,41000,race-ethnicity,Majority Non-White Tracts,45.73,1
2015,05,41000,race-ethnicity,Majority White-NH Tracts,82.07,1
2015,05,41000,race-ethnicity,Mixed Race and Ethnicity Tracts,62.74,1
2015,05,66080,race-ethnicity,All,98.34,1
2015,05,66080,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,05,66080,race-ethnicity,Majority White-NH Tracts,72.77,1
2015,05,66080,race-ethnicity,Mixed Race and Ethnicity Tracts,71.18,1
2015,06,00562,race-ethnicity,All,93.21,1
2015,06,00562,race-ethnicity,Majority Non-White Tracts,86.42,1
2015,06,00562,race-ethnicity,Majority White-NH Tracts,99.3,1
2015,06,00562,race-ethnicity,Mixed Race and Ethnicity Tracts,90.42,1
2015,06,00884,race-ethnicity,All,98.15,1
2015,06,00884,race-ethnicity,Majority Non-White Tracts,97.73,1
2015,06,00884,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,06,00884,race-ethnicity,Mixed Race and Ethnicity Tracts,98.29,1
2015,06,02000,race-ethnicity,All,90.57,1
2015,06,02000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,02000,race-ethnicity,Majority White-NH Tracts,97.69,1
2015,06,02000,race-ethnicity,Mixed Race and Ethnicity Tracts,92.82,1
2015,06,02252,race-ethnicity,All,58.34,1
2015,06,02252,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,02252,race-ethnicity,Majority White-NH Tracts,81.3,1
2015,06,02252,race-ethnicity,Mixed Race and Ethnicity Tracts,49.92,1
2015,06,02364,race-ethnicity,All,68.47,1
2015,06,02364,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,02364,race-ethnicity,Majority White-NH Tracts,84.28,1
2015,06,02364,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,03526,race-ethnicity,All,77.31,1
2015,06,03526,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,03526,race-ethnicity,Majority White-NH Tracts,92.18,1
2015,06,03526,race-ethnicity,Mixed Race and Ethnicity Tracts,69.83,1
2015,06,04982,race-ethnicity,All,97.43,1
2015,06,04982,race-ethnicity,Majority Non-White Tracts,97.43,1
2015,06,04982,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,06,04982,race-ethnicity,Mixed Race and Ethnicity Tracts,97.66,1
2015,06,06000,race-ethnicity,All,97.23,1
2015,06,06000,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,06000,race-ethnicity,Majority White-NH Tracts,99.57,1
2015,06,06000,race-ethnicity,Mixed Race and Ethnicity Tracts,98.59,1
2015,06,08786,race-ethnicity,All,91.69,1
2015,06,08786,race-ethnicity,Majority Non-White Tracts,83.93,1
2015,06,08786,race-ethnicity,Majority White-NH Tracts,98.49,1
2015,06,08786,race-ethnicity,Mixed Race and Ethnicity Tracts,89.4,1
2015,06,08954,race-ethnicity,All,95.78,1
2015,06,08954,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,08954,race-ethnicity,Majority White-NH Tracts,99.53,1
2015,06,08954,race-ethnicity,Mixed Race and Ethnicity Tracts,89.18,1
2015,06,11194,race-ethnicity,All,82.65,1
2015,06,11194,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,11194,race-ethnicity,Majority White-NH Tracts,95.14,1
2015,06,11194,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,11530,race-ethnicity,All,92.81,1
2015,06,11530,race-ethnicity,Majority Non-White Tracts,81.83,1
2015,06,11530,race-ethnicity,Majority White-NH Tracts,99.72,1
2015,06,11530,race-ethnicity,Mixed Race and Ethnicity Tracts,91.74,1
2015,06,13014,race-ethnicity,All,79.82,1
2015,06,13014,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,13014,race-ethnicity,Majority White-NH Tracts,93.82,1
2015,06,13014,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,13210,race-ethnicity,All,61.68,1
2015,06,13210,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,13210,race-ethnicity,Majority White-NH Tracts,78.19,1
2015,06,13210,race-ethnicity,Mixed Race and Ethnicity Tracts,55.45,1
2015,06,13214,race-ethnicity,All,59.1,1
2015,06,13214,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,13214,race-ethnicity,Majority White-NH Tracts,78.34,1
2015,06,13214,race-ethnicity,Mixed Race and Ethnicity Tracts,51.46,1
2015,06,13392,race-ethnicity,All,96.37,1
2015,06,13392,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,13392,race-ethnicity,Majority White-NH Tracts,99.65,1
2015,06,13392,race-ethnicity,Mixed Race and Ethnicity Tracts,92.49,1
2015,06,13588,race-ethnicity,All,89.12,1
2015,06,13588,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,13588,race-ethnicity,Majority White-NH Tracts,97.85,1
2015,06,13588,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,14218,race-ethnicity,All,71.17,1
2015,06,14218,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,14218,race-ethnicity,Majority White-NH Tracts,86.75,1
2015,06,14218,race-ethnicity,Mixed Race and Ethnicity Tracts,70.71,1
2015,06,15044,race-ethnicity,All,98.09,1
2015,06,15044,race-ethnicity,Majority Non-White Tracts,91.95,1
2015,06,15044,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,06,15044,race-ethnicity,Mixed Race and Ethnicity Tracts,98.68,1
2015,06,16000,race-ethnicity,All,77.44,1
2015,06,16000,race-ethnicity,Majority Non-White Tracts,59.33,2
2015,06,16000,race-ethnicity,Majority White-NH Tracts,90.47,1
2015,06,16000,race-ethnicity,Mixed Race and Ethnicity Tracts,80.64,1
2015,06,16350,race-ethnicity,All,70.84,1
2015,06,16350,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,16350,race-ethnicity,Majority White-NH Tracts,86.91,1
2015,06,16350,race-ethnicity,Mixed Race and Ethnicity Tracts,65.3,1
2015,06,16532,race-ethnicity,All,92.94,1
2015,06,16532,race-ethnicity,Majority Non-White Tracts,90.57,1
2015,06,16532,race-ethnicity,Majority White-NH Tracts,98.2,1
2015,06,16532,race-ethnicity,Mixed Race and Ethnicity Tracts,95.44,1
2015,06,17918,race-ethnicity,All,97.1,1
2015,06,17918,race-ethnicity,Majority Non-White Tracts,94.81,1
2015,06,17918,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,06,17918,race-ethnicity,Mixed Race and Ethnicity Tracts,97.12,1
2015,06,19766,race-ethnicity,All,96.04,1
2015,06,19766,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,19766,race-ethnicity,Majority White-NH Tracts,99.45,1
2015,06,19766,race-ethnicity,Mixed Race and Ethnicity Tracts,97.6,1
2015,06,21712,race-ethnicity,All,97.82,1
2015,06,21712,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,21712,race-ethnicity,Majority White-NH Tracts,99.76,1
2015,06,21712,race-ethnicity,Mixed Race and Ethnicity Tracts,99.79,1
2015,06,22020,race-ethnicity,All,74.01,1
2015,06,22020,race-ethnicity,Majority Non-White Tracts,64.1,1
2015,06,22020,race-ethnicity,Majority White-NH Tracts,83.74,1
2015,06,22020,race-ethnicity,Mixed Race and Ethnicity Tracts,69.32,1
2015,06,22230,race-ethnicity,All,95.38,1
2015,06,22230,race-ethnicity,Majority Non-White Tracts,83.11,2
2015,06,22230,race-ethnicity,Majority White-NH Tracts,98.91,1
2015,06,22230,race-ethnicity,Mixed Race and Ethnicity Tracts,97.03,1
2015,06,22804,race-ethnicity,All,91.42,1
2015,06,22804,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,06,22804,race-ethnicity,Majority White-NH Tracts,98.51,1
2015,06,22804,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,06,23182,race-ethnicity,All,61.87,1
