year,state,county,subgroup_type,subgroup,index_transit_trips,index_transit_trips_quality
2015,01,001,race-ethnicity,All,25.75,1
2015,01,001,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,001,race-ethnicity,Majority White-NH Tracts,24.43,1
2015,01,001,race-ethnicity,Mixed Race and Ethnicity Tracts,36.91,1
2015,01,003,race-ethnicity,All,57.61,1
2015,01,003,race-ethnicity,Majority Non-White Tracts,66.3,1
2015,01,003,race-ethnicity,Majority White-NH Tracts,58.15,1
2015,01,003,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,01,005,race-ethnicity,All,65.31,1
2015,01,005,race-ethnicity,Majority Non-White Tracts,38.71,1
2015,01,005,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,01,005,race-ethnicity,Mixed Race and Ethnicity Tracts,53.4,1
2015,01,007,race-ethnicity,All,34.95,1
2015,01,007,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,007,race-ethnicity,Majority White-NH Tracts,38.83,1
2015,01,007,race-ethnicity,Mixed Race and Ethnicity Tracts,24.04,1
2015,01,009,race-ethnicity,All,28.17,1
2015,01,009,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,009,race-ethnicity,Majority White-NH Tracts,29.8,1
2015,01,009,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,01,011,race-ethnicity,All,58.31,1
2015,01,011,race-ethnicity,Majority Non-White Tracts,35.14,1
2015,01,011,race-ethnicity,Majority White-NH Tracts,NA,NA
2015,01,011,race-ethnicity,Mixed Race and Ethnicity Tracts,45.59,1
2015,01,013,race-ethnicity,All,57,1
2015,01,013,race-ethnicity,Majority Non-White Tracts,30.56,1
2015,01,013,race-ethnicity,Majority White-NH Tracts,61.82,1
2015,01,013,race-ethnicity,Mixed Race and Ethnicity Tracts,43.09,1
2015,01,015,race-ethnicity,All,62.86,1
2015,01,015,race-ethnicity,Majority Non-White Tracts,76.06,1
2015,01,015,race-ethnicity,Majority White-NH Tracts,42.31,1
2015,01,015,race-ethnicity,Mixed Race and Ethnicity Tracts,79.04,1
2015,01,017,race-ethnicity,All,34.66,1
2015,01,017,race-ethnicity,Majority Non-White Tracts,29.37,1
2015,01,017,race-ethnicity,Majority White-NH Tracts,24.59,1
2015,01,017,race-ethnicity,Mixed Race and Ethnicity Tracts,32.98,1
2015,01,019,race-ethnicity,All,30.14,1
2015,01,019,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,019,race-ethnicity,Majority White-NH Tracts,31.73,1
2015,01,019,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,01,021,race-ethnicity,All,29.79,1
2015,01,021,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,021,race-ethnicity,Majority White-NH Tracts,31.4,1
2015,01,021,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,01,023,race-ethnicity,All,67.63,1
2015,01,023,race-ethnicity,Majority Non-White Tracts,41.77,1
2015,01,023,race-ethnicity,Majority White-NH Tracts,72.59,1
2015,01,023,race-ethnicity,Mixed Race and Ethnicity Tracts,41.76,1
2015,01,025,race-ethnicity,All,74.98,1
2015,01,025,race-ethnicity,Majority Non-White Tracts,54.33,1
2015,01,025,race-ethnicity,Majority White-NH Tracts,77.7,1
2015,01,025,race-ethnicity,Mixed Race and Ethnicity Tracts,60.85,1
2015,01,027,race-ethnicity,All,47.87,1
2015,01,027,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,027,race-ethnicity,Majority White-NH Tracts,49.93,1
2015,01,027,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,01,029,race-ethnicity,All,28.55,1
2015,01,029,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,029,race-ethnicity,Majority White-NH Tracts,30.22,1
2015,01,029,race-ethnicity,Mixed Race and Ethnicity Tracts,NA,NA
2015,01,031,race-ethnicity,All,37.05,1
2015,01,031,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,031,race-ethnicity,Majority White-NH Tracts,39.59,1
2015,01,031,race-ethnicity,Mixed Race and Ethnicity Tracts,20.85,1
2015,01,033,race-ethnicity,All,24.25,1
2015,01,033,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,033,race-ethnicity,Majority White-NH Tracts,24.46,1
2015,01,033,race-ethnicity,Mixed Race and Ethnicity Tracts,38.14,1
2015,01,035,race-ethnicity,All,74.25,1
2015,01,035,race-ethnicity,Majority Non-White Tracts,NA,NA
2015,01,035,race-ethnicity,Majority White-NH Tracts,68.57,1
