year,state,county,subgroup_type,subgroup,score_transit_trips,score_transit_trips_quality,share_transportation_cost,share_transportation_cost_quality
2015,01,001,all,All,0,1,0.3183153559521475,1
2015,01,001,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,01,001,race-ethnicity,White neighborhoods,0,1,0.3179476172363202,1
2015,01,001,race-ethnicity,Mixed neighborhoods,1,1,0.32171098845960866,1
2015,01,003,all,All,1,1,0.30894013818417354,1
2015,01,003,race-ethnicity,Neighborhoods of color,4,1,0.28,1
2015,01,003,race-ethnicity,White neighborhoods,1,1,0.3094419351738718,1
2015,01,003,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,01,005,all,All,2,1,0.42037193667317285,1
2015,01,005,race-ethnicity,Neighborhoods of color,1,1,0.4009120329508679,1
2015,01,005,race-ethnicity,White neighborhoods,NA,NA,NA,NA
2015,01,005,race-ethnicity,Mixed neighborhoods,2,1,0.4317310664605873,1
2015,01,007,all,All,1,1,0.31679521844314784,1
2015,01,007,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,01,007,race-ethnicity,White neighborhoods,1,1,0.3201703940362087,1
2015,01,007,race-ethnicity,Mixed neighborhoods,0,1,0.31,1
2015,01,009,all,All,0,1,0.3182076287471176,1
2015,01,009,race-ethnicity,Neighborhoods of color,NA,NA,NA,NA
2015,01,009,race-ethnicity,White neighborhoods,0,1,0.3182076287471176,1
2015,01,009,race-ethnicity,Mixed neighborhoods,NA,NA,NA,NA
2015,01,011,all,All,1,2,0.4813114308987239,2
2015,01,011,race-ethnicity,Neighborhoods of color,1,2,0.472740594059406,2
2015,01,011,race-ethnicity,White neighborhoods,NA,NA,NA,NA
2015,01,011,race-ethnicity,Mixed neighborhoods,1,2,0.5,2
2015,01,013,all,All,1,1,0.4500186196623634,1
2015,01,013,race-ethnicity,Neighborhoods of color,1,1,0.43553861451773285,1
2015,01,013,race-ethnicity,White neighborhoods,1,1,0.45724261414503137,1
2015,01,013,race-ethnicity,Mixed neighborhoods,2,1,0.47000000000000003,1
2015,01,015,all,All,1,1,0.33637352172565005,1
2015,01,015,race-ethnicity,Neighborhoods of color,5,1,0.29264397905759165,1
2015,01,015,race-ethnicity,White neighborhoods,1,1,0.34690890145876757,1
2015,01,015,race-ethnicity,Mixed neighborhoods,3,1,0.315651712640194,1
2015,01,017,all,All,1,1,0.4170784071951839,1
2015,01,017,race-ethnicity,Neighborhoods of color,1,1,0.44150995405819304,1
2015,01,017,race-ethnicity,White neighborhoods,0,1,0.42884387006636393,1
2015,01,017,race-ethnicity,Mixed neighborhoods,1,1,0.38639908256880734,1
