year,state,county,subgroup_type,subgroup,mean_tcost,mean_transit,mean_tcost_quality,mean_transit_quality
2016,01,001,All,All,16.4270235818993,18.497981729339283,1,1
2016,01,001,race-ethnicity,No Predominant Racial Group,13,9,1,1
2016,01,001,race-ethnicity,Predominantly People of Color,15.253279515640767,27.710393541876893,1,1
2016,01,001,race-ethnicity,Predominantly White,16.907225189766656,16.35591790834973,1,1
2016,01,003,All,All,27.469650808530584,22.5053316147176,1,1
2016,01,003,race-ethnicity,No Predominant Racial Group,23,18,1,1
2016,01,003,race-ethnicity,Predominantly People of Color,30.146341463414632,14.548780487804878,1,1
2016,01,003,race-ethnicity,Predominantly White,27.390684967150197,23.278215052364533,1,1
2016,01,005,All,All,1.2868940754039497,7.156912028725314,1,1
2016,01,005,race-ethnicity,No Predominant Racial Group,1,6.557777777777778,1,1
2016,01,005,race-ethnicity,Predominantly People of Color,1.3830297219558965,3.485139022051774,1,1
2016,01,005,race-ethnicity,Predominantly White,1,39,1,1
2016,01,007,All,All,21.529491833030853,26.36978221415608,1,1
2016,01,007,race-ethnicity,No Predominant Racial Group,22,16,1,1
2016,01,007,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,007,race-ethnicity,Predominantly White,21.27936066712995,31.882557331480193,1,1
2016,01,009,All,All,20.31153714481342,20.543478260869566,1,1
2016,01,009,race-ethnicity,No Predominant Racial Group,NA,NA,NA,NA
2016,01,009,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,009,race-ethnicity,Predominantly White,20.31153714481342,20.543478260869566,1,1
2016,01,011,All,All,0,9.226749335695306,1,1
2016,01,011,race-ethnicity,No Predominant Racial Group,NA,NA,NA,NA
2016,01,011,race-ethnicity,Predominantly People of Color,0,9.226749335695306,1,1
2016,01,011,race-ethnicity,Predominantly White,NA,NA,NA,NA
2016,01,013,All,All,1.6139159949087825,2.6207042851081885,1,1
2016,01,013,race-ethnicity,No Predominant Racial Group,1.6495327102803738,0,1,1
2016,01,013,race-ethnicity,Predominantly People of Color,1.721728081321474,2.130876747141042,1,1
2016,01,013,race-ethnicity,Predominantly White,1.368,9,1,1
2016,01,015,All,All,13.215210502489814,24.448709823449526,1,1
2016,01,015,race-ethnicity,No Predominant Racial Group,14.510930888575459,11.494358251057827,1,1
2016,01,015,race-ethnicity,Predominantly People of Color,23.052777777777777,20.97546296296296,1,1
2016,01,015,race-ethnicity,Predominantly White,9.09489171763928,31.762440072739295,1,1
2016,01,017,All,All,2.8890150439965936,2.922509225092251,1,1
2016,01,017,race-ethnicity,No Predominant Racial Group,4,10,1,1
2016,01,017,race-ethnicity,Predominantly People of Color,2.9208158368326336,0,1,1
2016,01,017,race-ethnicity,Predominantly White,2.495732574679943,4.122332859174964,1,1
2016,01,019,All,All,4.364219815483353,51.94705174488568,1,1
2016,01,019,race-ethnicity,No Predominant Racial Group,NA,NA,NA,NA
2016,01,019,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,019,race-ethnicity,Predominantly White,4.364219815483353,51.94705174488568,1,1
2016,01,021,All,All,22.54496986555401,25.124478442280946,1,1
2016,01,021,race-ethnicity,No Predominant Racial Group,22.687935034802784,16.182134570765662,1,1
2016,01,021,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,021,race-ethnicity,Predominantly White,22.509269988412516,27.35747392815759,1,1
2016,01,023,All,All,0.7923728813559322,11.800242130750606,1,1
2016,01,023,race-ethnicity,No Predominant Racial Group,1,0,1,1
2016,01,023,race-ethnicity,Predominantly People of Color,0.55627425614489,25.21862871927555,1,1
2016,01,023,race-ethnicity,Predominantly White,1,0,1,1
2016,01,025,All,All,0.6662404092071611,7.523657289002558,1,1
2016,01,025,race-ethnicity,No Predominant Racial Group,0,0,1,1
2016,01,025,race-ethnicity,Predominantly People of Color,0.9283527250459277,7.092467850581752,1,1
2016,01,025,race-ethnicity,Predominantly White,1.5777777777777777,33.2,1,1
2016,01,027,All,All,4.516626115166261,13.751824817518248,1,1
2016,01,027,race-ethnicity,No Predominant Racial Group,NA,NA,NA,NA
2016,01,027,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,027,race-ethnicity,Predominantly White,4.516626115166261,13.751824817518248,3,3
2016,01,029,All,All,2.5317705120296115,7.852560148056755,1,1
2016,01,029,race-ethnicity,No Predominant Racial Group,NA,NA,NA,NA
2016,01,029,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,029,race-ethnicity,Predominantly White,2.5317705120296115,7.852560148056755,1,1
2016,01,031,All,All,18.253891985393043,17.247165097059387,1,1
2016,01,031,race-ethnicity,No Predominant Racial Group,21.769170579029733,8.136150234741784,1,1
2016,01,031,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,031,race-ethnicity,Predominantly White,14.859463543634304,26.0449565545901,1,1
2016,01,033,All,All,17.03865061874894,22.680454314290557,1,1
2016,01,033,race-ethnicity,No Predominant Racial Group,32,25,1,1
2016,01,033,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,033,race-ethnicity,Predominantly White,15.74341499355314,22.479646343709707,1,1
2016,01,035,All,All,0,7.093117408906883,1,1
2016,01,035,race-ethnicity,No Predominant Racial Group,0,9.362725450901804,1,1
2016,01,035,race-ethnicity,Predominantly People of Color,0,0,1,1
2016,01,035,race-ethnicity,Predominantly White,0,0,1,1
2016,01,037,All,All,3.39289055191768,14.425631431244154,1,1
2016,01,037,race-ethnicity,No Predominant Racial Group,3,9,1,1
2016,01,037,race-ethnicity,Predominantly People of Color,4,14,1,1
2016,01,037,race-ethnicity,Predominantly White,3,19,1,1
2016,01,039,All,All,3.090575620767494,8.852990970654627,1,1
2016,01,039,race-ethnicity,No Predominant Racial Group,3,0,1,1
2016,01,039,race-ethnicity,Predominantly People of Color,4,0,1,1
2016,01,039,race-ethnicity,Predominantly White,3.0320796460176993,11.568952802359883,1,1
2016,01,041,All,All,3.31985515992758,10.975859987929994,1,1
2016,01,041,race-ethnicity,No Predominant Racial Group,4,13,1,1
2016,01,041,race-ethnicity,Predominantly People of Color,3,10,1,1
2016,01,041,race-ethnicity,Predominantly White,3.220748829953198,10.683307332293293,1,1
2016,01,043,All,All,5.984738268435316,7.720439309656254,1,1
2016,01,043,race-ethnicity,No Predominant Racial Group,NA,NA,NA,NA
2016,01,043,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,043,race-ethnicity,Predominantly White,5.984738268435316,7.720439309656254,2,2
2016,01,045,All,All,14.0386803185438,14.61111111111111,1,1
2016,01,045,race-ethnicity,No Predominant Racial Group,15.393541876892028,12.708123107971746,2,2
2016,01,045,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,045,race-ethnicity,Predominantly White,9.938931297709924,20.369465648854963,2,2
2016,01,047,All,All,0.30845942228335627,4.492606602475928,1,1
2016,01,047,race-ethnicity,No Predominant Racial Group,0,5.5044136191677175,1,1
2016,01,047,race-ethnicity,Predominantly People of Color,0.3640422077922078,4.416396103896104,1,1
2016,01,047,race-ethnicity,Predominantly White,0,0,1,1
2016,01,049,All,All,3.427266797129811,23.4779843444227,1,1
2016,01,049,race-ethnicity,No Predominant Racial Group,4,90,2,2
2016,01,049,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,049,race-ethnicity,Predominantly White,3.362266206646087,15.928273106954785,2,2
2016,01,051,All,All,17.578187650360867,14.20850040096231,1,1
2016,01,051,race-ethnicity,No Predominant Racial Group,19.088524590163935,2.957377049180328,1,1
2016,01,051,race-ethnicity,Predominantly People of Color,22.806324110671937,13.264822134387352,1,1
2016,01,051,race-ethnicity,Predominantly White,15.524607896160086,19.106544077879935,1,1
2016,01,053,All,All,0.7663043478260869,0.7894021739130435,1,1
2016,01,053,race-ethnicity,No Predominant Racial Group,0.5938009787928222,5.68678629690049,2,2
2016,01,053,race-ethnicity,Predominantly People of Color,1,0,2,2
2016,01,053,race-ethnicity,Predominantly White,0.6354748603351955,0,2,2
2016,01,055,All,All,10.743913435527503,15.815248973048792,1,1
2016,01,055,race-ethnicity,No Predominant Racial Group,17.82955118507312,6.671709531013616,2,2
2016,01,055,race-ethnicity,Predominantly People of Color,15.51407884151247,21.240547063555912,2,2
2016,01,055,race-ethnicity,Predominantly White,7.786084381939304,17.501110288675054,2,2
2016,01,057,All,All,2.60857908847185,3.1849865951742626,1,1
2016,01,057,race-ethnicity,No Predominant Racial Group,3,0,1,1
2016,01,057,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,057,race-ethnicity,Predominantly White,2.404081632653061,4.848979591836735,1,1
2016,01,059,All,All,2.6681346335325573,2.5872916011324314,1,1
2016,01,059,race-ethnicity,No Predominant Racial Group,NA,NA,NA,NA
2016,01,059,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,059,race-ethnicity,Predominantly White,2.6681346335325573,2.5872916011324314,1,1
2016,01,061,All,All,5.908838071693449,19.3831891223733,1,1
2016,01,061,race-ethnicity,No Predominant Racial Group,NA,NA,NA,NA
2016,01,061,race-ethnicity,Predominantly People of Color,NA,NA,NA,NA
2016,01,061,race-ethnicity,Predominantly White,5.908838071693449,19.3831891223733,1,1
