year,state,county,environmental,subgroup_type,subgroup,environmental_quality
2014,01,001,5.738374201973302,All,All,1
2014,01,003,37.74025783844565,All,All,1
2014,01,005,8.555035215162802,All,All,1
2014,01,007,11.901690725290248,All,All,1
2014,01,009,25.647133315985776,All,All,1
2014,01,011,5.955017301038063,All,All,1
2014,01,013,13.952199970764507,All,All,1
2014,01,015,15.323204137012954,All,All,1
2014,01,017,11.415798891202957,All,All,1
2014,01,019,22.985331387758237,All,All,1
2014,01,021,12.598958452296658,All,All,1
2014,01,023,19.656208474826517,All,All,1
2014,01,025,14.202992380877186,All,All,1
2014,01,027,19.125651758830873,All,All,1
2014,01,029,23.53302201467645,All,All,1
2014,01,031,14.605724874817648,All,All,1
2014,01,033,31.889559743810903,All,All,1
2014,01,035,12.78167115902965,All,All,1
2014,01,037,14.749533208855695,All,All,1
2014,01,039,16.491856075605185,All,All,1
2014,01,041,14.944683598794661,All,All,1
2014,01,043,23.07156493281103,All,All,1
2014,01,045,13.21396436926399,All,All,1
2014,01,047,9.516833165664552,All,All,1
2014,01,049,44.06947688324845,All,All,1
2014,01,051,7.553815316044372,All,All,1
2014,01,053,15.894117028547395,All,All,1
2014,01,055,18.041334537003245,All,All,1
2014,01,057,20.951642282155237,All,All,1
2014,01,059,36.08195685816253,All,All,1
2014,01,061,18.847106205250597,All,All,1
2014,01,063,13.242782450556945,All,All,1
2014,01,065,14.13389202884428,All,All,1
2014,01,067,15.24279096699479,All,All,1
2014,01,069,15.58981945886165,All,All,1
2014,01,071,47.86005055459141,All,All,1
2014,01,073,8.237214533554734,All,All,1
2014,01,075,24.842444631342865,All,All,1
2014,01,077,34.90050657469282,All,All,1
2014,01,079,35.267385843061916,All,All,1
2014,01,081,6.879423506326544,All,All,1
2014,01,083,33.693266947353926,All,All,1
2014,01,085,14.59598827624107,All,All,1
2014,01,087,4.701584979273348,All,All,1
2014,01,089,26.93053325913603,All,All,1
2014,01,091,13.701254331592562,All,All,1
2014,01,093,31.56546663609264,All,All,1
2014,01,095,34.24044580911805,All,All,1
2014,01,097,16.044541052301078,All,All,1
2014,01,099,21.45097516548936,All,All,1
2014,01,101,5.568503386497706,All,All,1
2014,01,103,23.415227485301976,All,All,1
2014,01,105,13.373321572086642,All,All,1
2014,01,107,18.615466911202812,All,All,1
2014,01,109,9.112084537572255,All,All,1
2014,01,111,20.04862700228833,All,All,1
2014,01,113,4.526237276237277,All,All,1
2014,01,115,16.03223762933765,All,All,1
2014,01,117,10.67252743975185,All,All,1
2014,01,119,18.131318394997393,All,All,1
2014,01,121,12.929303441773904,All,All,1
2014,01,123,11.204358881220486,All,All,1
2014,01,125,7.1279458398349025,All,All,1
2014,01,127,15.696289136246243,All,All,1
2014,01,129,16.141506681449496,All,All,1
2014,01,131,13.453241840415236,All,All,1
2014,01,133,29.624628957783642,All,All,1
2014,02,013,99,All,All,1
2014,02,016,99,All,All,1
2014,02,020,69.43892909604331,All,All,1
2014,02,050,99,All,All,1
2014,02,060,99,All,All,1
2014,02,068,99,All,All,1
2014,02,070,99,All,All,1
2014,02,090,95.12897834251251,All,All,1
2014,02,100,99,All,All,1
2014,02,105,99,All,All,1
2014,02,110,99,All,All,1
2014,02,122,99,All,All,1
2014,02,130,97.27434922491956,All,All,1
2014,02,150,99,All,All,1
2014,02,164,99,All,All,1
2014,02,170,98.92351054420682,All,All,1
2014,02,180,99,All,All,1
2014,02,185,98.10012476606363,All,All,1
2014,02,188,90.97262773722628,All,All,1
2014,02,195,99,All,All,1
2014,02,198,99,All,All,1
2014,02,220,99,All,All,1
2014,02,230,99,All,All,1
2014,02,240,99,All,All,1
2014,02,261,99,All,All,1
2014,02,270,99,All,All,1
2014,02,275,99,All,All,1
2014,02,282,99,All,All,1
2014,02,290,99,All,All,1
2014,04,001,97.84800809514569,All,All,1
2014,04,003,88.98074262080776,All,All,1
2014,04,005,92.55520295691997,All,All,1
2014,04,007,81.02355283422861,All,All,1
2014,04,009,78.22092680442765,All,All,1
2014,04,011,85.03045454545455,All,All,1
2014,04,012,45.0464419107529,All,All,1
2014,04,013,19.89020480514213,All,All,1
2014,04,015,63.58961784257366,All,All,1
2014,04,017,92.8347086678637,All,All,1
2014,04,019,43.2890114625875,All,All,1
2014,04,021,38.966544494566335,All,All,1
2014,04,023,81.45801058201059,All,All,1
2014,04,025,85.50598767367529,All,All,1
2014,04,027,32.740793137853494,All,All,1
2014,05,001,50.59636286517152,All,All,1
2014,05,003,35.55875355693427,All,All,1
2014,05,005,35.62302570831511,All,All,1
2014,05,007,50.25958789567132,All,All,1
2014,05,009,57.63523366246065,All,All,1
2014,05,011,29.24107458465889,All,All,1
2014,05,013,32.619635396885684,All,All,1
