year,state,county,poverty_type,environmental_quality,quality_flag
2014,01,001,high_poverty,5.75,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,003,high_poverty,39.12903225806452,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,005,high_poverty,8.333333333333334,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,007,high_poverty,12,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,009,high_poverty,26.22222222222222,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,011,high_poverty,5.666666666666667,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,013,high_poverty,14,1
2014,01,013,low_poverty,14,1
2014,NA,NA,NA,NA,1
2014,01,015,high_poverty,14.32,1
2014,01,015,low_poverty,11.75,1
2014,NA,NA,NA,NA,1
2014,01,017,high_poverty,11.11111111111111,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,019,high_poverty,23,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,021,high_poverty,12.555555555555555,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,023,high_poverty,19.5,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,025,high_poverty,14.88888888888889,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,027,high_poverty,19,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,029,high_poverty,23,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,031,high_poverty,15.076923076923077,1
2014,01,031,low_poverty,13,1
2014,NA,NA,NA,NA,1
2014,01,033,high_poverty,31.928571428571427,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,035,high_poverty,14.5,1
2014,01,035,low_poverty,10,1
2014,NA,NA,NA,NA,1
2014,01,037,high_poverty,14.666666666666666,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,039,high_poverty,16.53846153846154,1
2014,01,039,low_poverty,19,1
2014,NA,NA,NA,NA,1
2014,01,041,high_poverty,15.5,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,043,high_poverty,23.11111111111111,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,045,high_poverty,13.357142857142858,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,047,high_poverty,9.818181818181818,1
2014,01,047,low_poverty,9.75,1
2014,NA,NA,NA,NA,1
2014,01,049,high_poverty,43.642857142857146,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,051,high_poverty,7.533333333333333,1
2014,NA,NA,low_poverty,NA,1
2014,NA,NA,NA,NA,1
2014,01,053,high_poverty,16.875,1
2014,01,053,low_poverty,2,1
2014,NA,NA,NA,NA,1
2014,01,055,high_poverty,18.44,1
2014,01,055,low_poverty,12.4,1
2014,NA,NA,NA,NA,1
2014,01,057,high_poverty,21.4,1
