year,state,county,subgroup_type,subgroup,environmental,environmental_quality
2014,01,001,poverty,High Poverty,NA,NA
2014,01,001,poverty,Not High Poverty,6.193874984278707,1
2014,01,001,race-ethnicity,Majority Non-White,8.125854214123008,1
2014,01,001,race-ethnicity,"Majority White, Non-Hispanic",6.059576501358012,1
2014,01,001,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2014,01,001,NA,NA,6.200631166569936,NA
2014,01,003,poverty,High Poverty,NA,NA
2014,01,003,poverty,Not High Poverty,38.293025429147605,1
2014,01,003,race-ethnicity,Majority Non-White,18,1
2014,01,003,race-ethnicity,"Majority White, Non-Hispanic",38.79267667010812,1
2014,01,003,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2014,01,003,NA,NA,38.34818650139902,NA
2014,01,005,poverty,High Poverty,NA,NA
2014,01,005,poverty,Not High Poverty,9.0829026818256,1
2014,01,005,race-ethnicity,Majority Non-White,9,1
2014,01,005,race-ethnicity,"Majority White, Non-Hispanic",9.766712141882675,1
2014,01,005,race-ethnicity,Mixed Race and Ethnicity,8.958795562599049,1
2014,01,005,NA,NA,9.12161215384048,NA
2014,01,007,poverty,High Poverty,NA,NA
2014,01,007,poverty,Not High Poverty,12.334095063985375,1
2014,01,007,race-ethnicity,Majority Non-White,NA,NA
2014,01,007,race-ethnicity,"Majority White, Non-Hispanic",13,1
2014,01,007,race-ethnicity,Mixed Race and Ethnicity,11,1
2014,01,007,NA,NA,12.237628570167306,NA
2014,01,009,poverty,High Poverty,NA,NA
2014,01,009,poverty,Not High Poverty,26.040112671283648,1
2014,01,009,race-ethnicity,Majority Non-White,NA,NA
2014,01,009,race-ethnicity,"Majority White, Non-Hispanic",26.143211334120426,1
2014,01,009,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2014,01,009,NA,NA,26.33643854627461,NA
2014,01,011,poverty,High Poverty,NA,NA
2014,01,011,poverty,Not High Poverty,6.055775904809122,1
2014,01,011,race-ethnicity,Majority Non-White,5.882345871890398,1
2014,01,011,race-ethnicity,"Majority White, Non-Hispanic",NA,NA
2014,01,011,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2014,01,011,NA,NA,6.099597867763958,NA
2014,01,013,poverty,High Poverty,NA,NA
2014,01,013,poverty,Not High Poverty,14.158193600106888,1
2014,01,013,race-ethnicity,Majority Non-White,13.222567535261774,1
2014,01,013,race-ethnicity,"Majority White, Non-Hispanic",13.498116997238263,1
2014,01,013,race-ethnicity,Mixed Race and Ethnicity,15.042118302880148,1
2014,01,013,NA,NA,14.123422501583589,NA
2014,01,015,poverty,High Poverty,12.903788054845457,1
2014,01,015,poverty,Not High Poverty,15.908985879332478,1
2014,01,015,race-ethnicity,Majority Non-White,12.096438356164384,1
2014,01,015,race-ethnicity,"Majority White, Non-Hispanic",16.59669920966992,1
2014,01,015,race-ethnicity,Mixed Race and Ethnicity,15.230042974345618,1
2014,01,015,NA,NA,15.683946887853498,NA
2014,01,017,poverty,High Poverty,NA,NA
2014,01,017,poverty,Not High Poverty,12.317084602765409,1
2014,01,017,race-ethnicity,Majority Non-White,10,1
2014,01,017,race-ethnicity,"Majority White, Non-Hispanic",12.839585666293393,1
2014,01,017,race-ethnicity,Mixed Race and Ethnicity,11.930098551349023,1
2014,01,017,NA,NA,12.301369863013699,NA
2014,01,019,poverty,High Poverty,NA,NA
2014,01,019,poverty,Not High Poverty,23.287108600871978,1
2014,01,019,race-ethnicity,Majority Non-White,NA,NA
2014,01,019,race-ethnicity,"Majority White, Non-Hispanic",23.617994901583852,1
2014,01,019,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2014,01,019,NA,NA,23.52411489132939,NA
2014,01,021,poverty,High Poverty,NA,NA
2014,01,021,poverty,Not High Poverty,12.891018713383767,1
2014,01,021,race-ethnicity,Majority Non-White,NA,NA
2014,01,021,race-ethnicity,"Majority White, Non-Hispanic",12.909512761020881,1
2014,01,021,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2014,01,021,NA,NA,12.85345241086316,NA
2014,01,023,poverty,High Poverty,NA,NA
2014,01,023,poverty,Not High Poverty,19.95358810635662,1
2014,01,023,race-ethnicity,Majority Non-White,19,1
2014,01,023,race-ethnicity,"Majority White, Non-Hispanic",20.510981225646475,1
2014,01,023,race-ethnicity,Mixed Race and Ethnicity,19,1
2014,01,023,NA,NA,19.882400708696295,NA
2014,01,025,poverty,High Poverty,NA,NA
2014,01,025,poverty,Not High Poverty,14.484521396087885,1
2014,01,025,race-ethnicity,Majority Non-White,16,1
2014,01,025,race-ethnicity,"Majority White, Non-Hispanic",15.129182879377431,1
2014,01,025,race-ethnicity,Mixed Race and Ethnicity,14.203245410688554,1
2014,01,025,NA,NA,14.632031897674786,NA
2014,01,027,poverty,High Poverty,NA,NA
2014,01,027,poverty,Not High Poverty,19.202773925104022,1
2014,01,027,race-ethnicity,Majority Non-White,NA,NA
2014,01,027,race-ethnicity,"Majority White, Non-Hispanic",19.097064220183487,1
2014,01,027,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2014,01,027,NA,NA,19.125651758830873,NA
2014,01,029,poverty,High Poverty,NA,NA
2014,01,029,poverty,Not High Poverty,24.2041690697866,1
2014,01,029,race-ethnicity,Majority Non-White,NA,NA
2014,01,029,race-ethnicity,"Majority White, Non-Hispanic",24.301935669568973,1
2014,01,029,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2014,01,029,NA,NA,23.897665110073383,NA
2014,01,031,poverty,High Poverty,NA,NA
2014,01,031,poverty,Not High Poverty,15.119598632596345,1
2014,01,031,race-ethnicity,Majority Non-White,NA,NA
2014,01,031,race-ethnicity,"Majority White, Non-Hispanic",15.352292884352554,1
2014,01,031,race-ethnicity,Mixed Race and Ethnicity,14,1
2014,01,031,NA,NA,15.130603635216653,NA
2014,01,033,poverty,High Poverty,NA,NA
