year,state,place,subgroup_type,subgroup,environmental,environmental_quality
2018,01,03076,all,All,7,1
2018,01,03076,poverty,High Poverty,6,1
2018,01,03076,poverty,Not High Poverty,7,1
2018,01,03076,race-ethnicity,Majority Non-White,NA,NA
2018,01,03076,race-ethnicity,"Majority White, Non-Hispanic",6,1
2018,01,03076,race-ethnicity,Mixed Race and Ethnicity,7,1
2018,01,07000,all,All,6,1
2018,01,07000,poverty,High Poverty,4,1
2018,01,07000,poverty,Not High Poverty,7,1
2018,01,07000,race-ethnicity,Majority Non-White,6,1
2018,01,07000,race-ethnicity,"Majority White, Non-Hispanic",5,1
2018,01,07000,race-ethnicity,Mixed Race and Ethnicity,7,1
2018,01,35896,all,All,8,1
2018,01,35896,poverty,High Poverty,NA,NA
2018,01,35896,poverty,Not High Poverty,8,1
2018,01,35896,race-ethnicity,Majority Non-White,7,1
2018,01,35896,race-ethnicity,"Majority White, Non-Hispanic",8,1
2018,01,35896,race-ethnicity,Mixed Race and Ethnicity,7,1
2018,01,37000,all,All,21,1
2018,01,37000,poverty,High Poverty,15,1
2018,01,37000,poverty,Not High Poverty,22,1
2018,01,37000,race-ethnicity,Majority Non-White,21,1
2018,01,37000,race-ethnicity,"Majority White, Non-Hispanic",22,1
2018,01,37000,race-ethnicity,Mixed Race and Ethnicity,17,1
2018,01,50000,all,All,11,1
2018,01,50000,poverty,High Poverty,9,1
2018,01,50000,poverty,Not High Poverty,11,1
2018,01,50000,race-ethnicity,Majority Non-White,11,1
2018,01,50000,race-ethnicity,"Majority White, Non-Hispanic",11,1
2018,01,50000,race-ethnicity,Mixed Race and Ethnicity,11,1
2018,01,51000,all,All,5,1
2018,01,51000,poverty,High Poverty,5,1
2018,01,51000,poverty,Not High Poverty,6,1
2018,01,51000,race-ethnicity,Majority Non-White,6,1
2018,01,51000,race-ethnicity,"Majority White, Non-Hispanic",5,1
2018,01,51000,race-ethnicity,Mixed Race and Ethnicity,6,1
2018,01,77256,all,All,5,1
2018,01,77256,poverty,High Poverty,4,1
2018,01,77256,poverty,Not High Poverty,6,1
2018,01,77256,race-ethnicity,Majority Non-White,4,1
2018,01,77256,race-ethnicity,"Majority White, Non-Hispanic",6,1
2018,01,77256,race-ethnicity,Mixed Race and Ethnicity,5,1
2018,02,03000,all,All,68,1
2018,02,03000,poverty,High Poverty,NA,NA
2018,02,03000,poverty,Not High Poverty,69,1
2018,02,03000,race-ethnicity,Majority Non-White,61,1
2018,02,03000,race-ethnicity,"Majority White, Non-Hispanic",75,1
2018,02,03000,race-ethnicity,Mixed Race and Ethnicity,62,1
2018,04,04720,all,All,8,1
2018,04,04720,poverty,High Poverty,9,1
2018,04,04720,poverty,Not High Poverty,8,1
2018,04,04720,race-ethnicity,Majority Non-White,7,1
2018,04,04720,race-ethnicity,"Majority White, Non-Hispanic",9,1
2018,04,04720,race-ethnicity,Mixed Race and Ethnicity,9,1
2018,04,07940,all,All,34,1
2018,04,07940,poverty,High Poverty,41,1
2018,04,07940,poverty,Not High Poverty,33,1
2018,04,07940,race-ethnicity,Majority Non-White,30,1
2018,04,07940,race-ethnicity,"Majority White, Non-Hispanic",57,1
2018,04,07940,race-ethnicity,Mixed Race and Ethnicity,31,1
2018,04,12000,all,All,16,1
2018,04,12000,poverty,High Poverty,16,1
2018,04,12000,poverty,Not High Poverty,16,1
2018,04,12000,race-ethnicity,Majority Non-White,16,1
2018,04,12000,race-ethnicity,"Majority White, Non-Hispanic",17,1
2018,04,12000,race-ethnicity,Mixed Race and Ethnicity,15,1
2018,04,23620,all,All,93,1
2018,04,23620,poverty,High Poverty,91,1
2018,04,23620,poverty,Not High Poverty,94,1
2018,04,23620,race-ethnicity,Majority Non-White,NA,NA
2018,04,23620,race-ethnicity,"Majority White, Non-Hispanic",92,1
2018,04,23620,race-ethnicity,Mixed Race and Ethnicity,94,1
2018,04,27400,all,All,16,1
2018,04,27400,poverty,High Poverty,NA,NA
2018,04,27400,poverty,Not High Poverty,17,1
2018,04,27400,race-ethnicity,Majority Non-White,NA,NA
2018,04,27400,race-ethnicity,"Majority White, Non-Hispanic",17,1
2018,04,27400,race-ethnicity,Mixed Race and Ethnicity,15,1
2018,04,27820,all,All,16,1
2018,04,27820,poverty,High Poverty,14,1
2018,04,27820,poverty,Not High Poverty,17,1
2018,04,27820,race-ethnicity,Majority Non-White,14,1
2018,04,27820,race-ethnicity,"Majority White, Non-Hispanic",20,1
2018,04,27820,race-ethnicity,Mixed Race and Ethnicity,15,1
2018,04,28380,all,All,17,1
2018,04,28380,poverty,High Poverty,41,1
2018,04,28380,poverty,Not High Poverty,15,1
2018,04,28380,race-ethnicity,Majority Non-White,15,1
2018,04,28380,race-ethnicity,"Majority White, Non-Hispanic",17,1
2018,04,28380,race-ethnicity,Mixed Race and Ethnicity,17,1
2018,04,46000,all,All,18,1
2018,04,46000,poverty,High Poverty,13,1
2018,04,46000,poverty,Not High Poverty,19,1
2018,04,46000,race-ethnicity,Majority Non-White,15,1
2018,04,46000,race-ethnicity,"Majority White, Non-Hispanic",20,1
2018,04,46000,race-ethnicity,Mixed Race and Ethnicity,15,1
2018,04,54050,all,All,21,1
2018,04,54050,poverty,High Poverty,16,1
2018,04,54050,poverty,Not High Poverty,21,1
2018,04,54050,race-ethnicity,Majority Non-White,16,1
2018,04,54050,race-ethnicity,"Majority White, Non-Hispanic",24,1
2018,04,54050,race-ethnicity,Mixed Race and Ethnicity,15,1
2018,04,55000,all,All,18,1
2018,04,55000,poverty,High Poverty,11,1
2018,04,55000,poverty,Not High Poverty,20,1
2018,04,55000,race-ethnicity,Majority Non-White,12,1
2018,04,55000,race-ethnicity,"Majority White, Non-Hispanic",24,1
2018,04,55000,race-ethnicity,Mixed Race and Ethnicity,16,1
2018,04,65000,all,All,32,1
2018,04,65000,poverty,High Poverty,21,1
2018,04,65000,poverty,Not High Poverty,33,1
2018,04,65000,race-ethnicity,Majority Non-White,NA,NA
2018,04,65000,race-ethnicity,"Majority White, Non-Hispanic",33,1
2018,04,65000,race-ethnicity,Mixed Race and Ethnicity,20,1
2018,04,71510,all,All,29,1
2018,04,71510,poverty,High Poverty,24,1
2018,04,71510,poverty,Not High Poverty,30,1
2018,04,71510,race-ethnicity,Majority Non-White,24,1
2018,04,71510,race-ethnicity,"Majority White, Non-Hispanic",30,1
2018,04,71510,race-ethnicity,Mixed Race and Ethnicity,29,1
2018,04,73000,all,All,14,1
2018,04,73000,poverty,High Poverty,13,1
2018,04,73000,poverty,Not High Poverty,14,1
2018,04,73000,race-ethnicity,Majority Non-White,15,1
2018,04,73000,race-ethnicity,"Majority White, Non-Hispanic",14,1
2018,04,73000,race-ethnicity,Mixed Race and Ethnicity,13,1
2018,04,77000,all,All,29,1
2018,04,77000,poverty,High Poverty,21,1
2018,04,77000,poverty,Not High Poverty,32,1
2018,04,77000,race-ethnicity,Majority Non-White,20,1
2018,04,77000,race-ethnicity,"Majority White, Non-Hispanic",40,1
2018,04,77000,race-ethnicity,Mixed Race and Ethnicity,24,1
2018,04,85540,all,All,23,1
2018,04,85540,poverty,High Poverty,NA,NA
2018,04,85540,poverty,Not High Poverty,23,1
2018,04,85540,race-ethnicity,Majority Non-White,26,1
2018,04,85540,race-ethnicity,"Majority White, Non-Hispanic",25,1
2018,04,85540,race-ethnicity,Mixed Race and Ethnicity,19,1
2018,05,23290,all,All,51,1
2018,05,23290,poverty,High Poverty,NA,NA
2018,05,23290,poverty,Not High Poverty,51,1
2018,05,23290,race-ethnicity,Majority Non-White,NA,NA
2018,05,23290,race-ethnicity,"Majority White, Non-Hispanic",51,1
2018,05,23290,race-ethnicity,Mixed Race and Ethnicity,NA,NA
2018,05,24550,all,All,21,1
2018,05,24550,poverty,High Poverty,22,1
2018,05,24550,poverty,Not High Poverty,20,1
2018,05,24550,race-ethnicity,Majority Non-White,22,1
2018,05,24550,race-ethnicity,"Majority White, Non-Hispanic",20,1
2018,05,24550,race-ethnicity,Mixed Race and Ethnicity,20,1
2018,05,35710,all,All,49,1
2018,05,35710,poverty,High Poverty,47,1
2018,05,35710,poverty,Not High Poverty,49,1
2018,05,35710,race-ethnicity,Majority Non-White,47,1
2018,05,35710,race-ethnicity,"Majority White, Non-Hispanic",49,1
2018,05,35710,race-ethnicity,Mixed Race and Ethnicity,50,1
2018,05,41000,all,All,23,1
2018,05,41000,poverty,High Poverty,21,1
2018,05,41000,poverty,Not High Poverty,23,1
2018,05,41000,race-ethnicity,Majority Non-White,23,1
2018,05,41000,race-ethnicity,"Majority White, Non-Hispanic",24,1
2018,05,41000,race-ethnicity,Mixed Race and Ethnicity,21,1
2018,05,66080,all,All,41,1
2018,05,66080,poverty,High Poverty,NA,NA
2018,05,66080,poverty,Not High Poverty,40,1
2018,05,66080,race-ethnicity,Majority Non-White,NA,NA
2018,05,66080,race-ethnicity,"Majority White, Non-Hispanic",43,1
2018,05,66080,race-ethnicity,Mixed Race and Ethnicity,39,1
2018,06,00562,all,All,55,1
2018,06,00562,poverty,High Poverty,NA,NA
2018,06,00562,poverty,Not High Poverty,55,1
2018,06,00562,race-ethnicity,Majority Non-White,52,1
2018,06,00562,race-ethnicity,"Majority White, Non-Hispanic",56,1
2018,06,00562,race-ethnicity,Mixed Race and Ethnicity,57,1
2018,06,00884,all,All,9,1
