geoid,state,place
0150000,01,50000
0151000,01,51000
0203000,02,03000
0423620,04,23620
0477000,04,77000
0535710,05,35710
0541000,05,41000
0603526,06,03526
0613014,06,13014
0613588,06,13588
0614218,06,14218
0622020,06,22020
0624638,06,24638
0624680,06,24680
0627000,06,27000
0645484,06,45484
0646898,06,46898
0648354,06,48354
0654652,06,54652
0659444,06,59444
0659451,06,59451
0660466,06,60466
0664000,06,64000
0665042,06,65042
0669070,06,69070
0669196,06,69196
0672016,06,72016
0675000,06,75000
0678582,06,78582
0680238,06,80238
0681344,06,81344
0682954,06,82954
0816000,08,16000
0827425,08,27425
0832155,08,32155
0846465,08,46465
0862000,08,62000
1207300,12,07300
1207875,12,07875
1217935,12,17935
1225175,12,25175
1245000,12,45000
1245025,12,45025
1249675,12,49675
1270600,12,70600
1276600,12,76600
1652120,16,52120
1706613,17,06613
1759000,17,59000
1765000,17,65000
1772000,17,72000
1805860,18,05860
1822000,18,22000
1973335,19,73335
2038900,20,38900
2071000,20,71000
2146027,21,46027
2205000,22,05000
2240735,22,40735
2241155,22,41155
2534550,25,34550
2537490,25,37490
2545560,25,45560
2603000,26,03000
2622000,26,22000
2627440,26,27440
2649000,26,49000
2669035,26,69035
2674900,26,74900
2684000,26,84000
2754880,27,54880
2915670,29,15670
2970000,29,70000
3006550,30,06550
3137000,31,37000
3231900,32,31900
3240000,32,40000
3251800,32,51800
3260600,32,60600
3268400,32,68400
3474000,34,74000
3502000,35,02000
3539380,35,39380
3601000,36,01000
3650617,36,50617
3702140,37,02140
3712000,37,12000
3722920,37,22920
3728080,37,28080
3775000,37,75000
4041850,40,41850
4105800,41,05800
4123850,41,23850
4147000,41,47000
4164900,41,64900
4202000,42,02000
4224000,42,24000
4269000,42,69000
4548535,45,48535
4740000,47,40000
4806128,48,06128
4810912,48,10912
4815976,48,15976
4817000,48,17000
4841464,48,41464
4853388,48,53388
4856348,48,56348
4864472,48,64472
4874144,48,74144
4876000,48,76000
4957300,49,57300
4962470,49,62470
5147672,51,47672
5157000,51,57000
5168000,51,68000
5380010,53,80010
5539225,55,39225
5566000,55,66000
