year,state,place,share_poverty_exposure,share_poverty_exposure_quality
2014,01,03076,0.3365817343576895,1
2016,01,03076,0.3297690930437128,1
2018,01,03076,0.4136626343407567,1
2021,01,03076,0.45095418860239755,1
2023,01,03076,0.46678525825176675,1
2014,01,07000,0.3796581467261378,1
2016,01,07000,0.3360961885847657,1
2018,01,07000,0.31203768258421727,1
2021,01,07000,0.34103599964754,1
2023,01,07000,0.19675005788055755,1
2014,01,35896,0,1
2016,01,35896,0,1
2018,01,35896,0,1
2021,01,35896,0,1
2023,01,35896,0,1
2014,01,37000,0.22119494211152543,1
2016,01,37000,0.2913042667723985,1
2018,01,37000,0.29603718187971906,1
2021,01,37000,0.2131821456131633,1
2023,01,37000,0.08087511980233514,1
2014,01,50000,0.24443005681825788,1
2016,01,50000,0.23589078886077458,1
2018,01,50000,0.2560575581961527,1
2021,01,50000,0.15580133160704684,1
2023,01,50000,0.16388491919041281,1
2014,01,51000,0.3414225338224038,1
2016,01,51000,0.2718750762892907,1
2018,01,51000,0.17496717719708402,1
2021,01,51000,0.27052087745298437,1
2023,01,51000,0.18381522565320949,1
2014,01,77256,0.233079311960579,1
2016,01,77256,0.3359361962094264,1
2018,01,77256,0.3820542622518034,1
2021,01,77256,0.260855858015889,1
2023,01,77256,0.29147863804929264,1
2014,02,03000,0,1
2016,02,03000,0,1
2018,02,03000,0,1
2021,02,03000,0.08903063173172408,1
2023,02,03000,0.09631663234957676,1
2014,04,04720,0.2348877627089869,1
2016,04,04720,0.2307682214188281,1
2018,04,04720,0.0668468523571955,1
2021,04,04720,0,1
2023,04,04720,0,1
2014,04,07940,0.0044753997857628885,1
2016,04,07940,0.010407896463340359,1
2018,04,07940,0,1
2021,04,07940,0,2
2023,04,07940,0.0032516483748243597,2
2014,04,12000,0.09189388667882362,1
2016,04,12000,5.388981416452359e-4,1
2018,04,12000,5.700537781608646e-4,1
2021,04,12000,1.953268099778169e-4,1
2023,04,12000,0,1
2014,04,23620,0.4259754260488468,1
2016,04,23620,0.24373413882593478,1
2018,04,23620,0.27988410877208364,1
2021,04,23620,0.36703579985771256,1
2023,04,23620,0.34051221634668255,1
2014,04,27400,0,1
2016,04,27400,0,1
2018,04,27400,0,1
2021,04,27400,0,1
2023,04,27400,0,1
2014,04,27820,0.32562517396185653,1
2016,04,27820,0.3347976656542541,1
2018,04,27820,0.21750989240203783,1
2021,04,27820,0.03328511803046015,1
2023,04,27820,0.12441759335041772,1
2014,04,28380,0,2
2016,04,28380,0,1
2018,04,28380,0,1
2021,04,28380,0,2
2023,04,28380,3.0950107961714096e-6,1
2014,04,46000,0.08918683236085108,1
2016,04,46000,0.052654307521536464,1
2018,04,46000,0.08589638574927562,1
2021,04,46000,0.11436208986077882,1
2023,04,46000,0.005247149793047931,1
2014,04,54050,0.0010419402017799414,1
2016,04,54050,0,1
2018,04,54050,0,1
2021,04,54050,0,1
2023,04,54050,0,1
2014,04,55000,0.40712300879768537,1
2016,04,55000,0.3175707163936845,1
2018,04,55000,0.20450121553551057,1
2021,04,55000,0.08829036991385546,1
2023,04,55000,0.06338406837925528,1
2014,04,65000,0.08330599204244289,1
2016,04,65000,0.07796396150315896,1
2018,04,65000,0,1
2021,04,65000,0,1
2023,04,65000,0,1
2014,04,71510,0.20402635842943634,1
2016,04,71510,0,1
2018,04,71510,0,1
2021,04,71510,0,1
2023,04,71510,0,1
2014,04,73000,0.30759005573287473,1
2016,04,73000,0.3621439180945645,1
2018,04,73000,0.32784504730814634,1
2021,04,73000,0.05725891022837336,1
2023,04,73000,0.13149427641628425,1
2014,04,77000,0.2795118627723483,1
2016,04,77000,0.20948142164614017,1
2018,04,77000,0.14816924067888898,1
2021,04,77000,0.08051017473170434,1
2023,04,77000,0.10295792772083527,1
2014,04,85540,0,1
2016,04,85540,0.36091923712563495,1
2018,04,85540,0.18706102726058718,1
2021,04,85540,0.11709017691495421,1
2023,04,85540,0.1419067441200479,1
2014,05,23290,0.42459516261708125,1
2016,05,23290,0.41936718203368545,1
2018,05,23290,0.30800024275549565,1
2021,05,23290,0.21138409196569077,1
2023,05,23290,0.40653458238969137,1
2014,05,24550,0.352917685740033,1
2016,05,24550,0.2267707857545579,1
2018,05,24550,0.2188841657607142,1
2021,05,24550,0,1
2023,05,24550,0,1
2014,05,35710,0.278050178533063,1
2016,05,35710,0.17639394049487989,1
2018,05,35710,0.1436681118397816,1
2021,05,35710,0.21258457257341565,1
2023,05,35710,0.21259519009354189,1
2014,05,41000,0.13940962600537019,1
2016,05,41000,0.17003338088379638,1
2018,05,41000,0.10011912385766644,1
2021,05,41000,0.09242745898663707,1
2023,05,41000,0.17870907583970766,1
2014,05,66080,0,1
2016,05,66080,0,1
2018,05,66080,0,1
2021,05,66080,0.11540553525391804,1
2023,05,66080,0.14465630244540675,1
2014,06,00562,0,1
2016,06,00562,0,1
2018,06,00562,0,1
2021,06,00562,0,1
2023,06,00562,0,1
2014,06,00884,0,1
2016,06,00884,0,1
2018,06,00884,0,1
2021,06,00884,0,1
2023,06,00884,0,1
2014,06,02000,0,1
2016,06,02000,0,1
2018,06,02000,0,1
2021,06,02000,0,1
2023,06,02000,0,1
2014,06,02252,0,1
2016,06,02252,0,1
2018,06,02252,0,1
2021,06,02252,0,1
2023,06,02252,0,1
2014,06,02364,0.21682613359114766,1
2016,06,02364,0.21174219194570287,1
2018,06,02364,0,1
2021,06,02364,0.18628457914421767,1
2023,06,02364,0,1
2014,06,03526,0.3158343192922242,1
2016,06,03526,0.31119779330703545,1
2018,06,03526,0.2939343209744308,1
2021,06,03526,0.2598131211034019,1
2023,06,03526,0.2562531362119135,1
2014,06,04982,0,1
2016,06,04982,0,1
2018,06,04982,0,1
2021,06,04982,0,1
2023,06,04982,0,1
2014,06,06000,0.29758965935279796,1
2016,06,06000,0.3904080867484881,1
2018,06,06000,0.4258614885922526,1
2021,06,06000,0.4599189851828163,1
2023,06,06000,0.41559441328494445,1
2014,06,08786,0,1
2016,06,08786,0,1
2018,06,08786,0,1
