year,state,county,subgroup_type,subgroup,share_poverty_exposure,share_poverty_exposure_quality
2014,01,001,all,All,0,1
2014,01,001,race-ethnicity,Black,0,1
2014,01,001,race-ethnicity,Hispanic,0,3
2014,01,001,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,001,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,003,all,All,0,1
2014,01,003,race-ethnicity,Black,0,1
2014,01,003,race-ethnicity,Hispanic,0,2
2014,01,003,race-ethnicity,Other Races and Ethnicities,0,1
2014,01,003,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,005,all,All,0,1
2014,01,005,race-ethnicity,Black,0,1
2014,01,005,race-ethnicity,Hispanic,0,3
2014,01,005,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,005,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,007,all,All,0,1
2014,01,007,race-ethnicity,Black,0,2
2014,01,007,race-ethnicity,Hispanic,0,2
2014,01,007,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,007,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,009,all,All,0,1
2014,01,009,race-ethnicity,Black,0,3
2014,01,009,race-ethnicity,Hispanic,0,1
2014,01,009,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,009,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,011,all,All,0,1
2014,01,011,race-ethnicity,Black,0,1
2014,01,011,race-ethnicity,Hispanic,0,3
2014,01,011,race-ethnicity,Other Races and Ethnicities,NA,NA
2014,01,011,race-ethnicity,"White, Non-Hispanic",0,2
2014,01,013,all,All,0,1
2014,01,013,race-ethnicity,Black,0,1
2014,01,013,race-ethnicity,Hispanic,0,3
2014,01,013,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,013,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,015,all,All,0.17355005243204,1
2014,01,015,race-ethnicity,Black,0.3395587592835299,1
2014,01,015,race-ethnicity,Hispanic,0.04162976085031001,2
2014,01,015,race-ethnicity,Other Races and Ethnicities,0.06255585344057193,2
2014,01,015,race-ethnicity,"White, Non-Hispanic",0.07981625035888602,1
2014,01,017,all,All,0,1
2014,01,017,race-ethnicity,Black,0,1
2014,01,017,race-ethnicity,Hispanic,0,3
2014,01,017,race-ethnicity,Other Races and Ethnicities,0,3
2014,01,017,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,019,all,All,0,1
2014,01,019,race-ethnicity,Black,0,2
2014,01,019,race-ethnicity,Hispanic,0,3
2014,01,019,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,019,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,021,all,All,0,1
2014,01,021,race-ethnicity,Black,0,1
2014,01,021,race-ethnicity,Hispanic,0,2
2014,01,021,race-ethnicity,Other Races and Ethnicities,0,2
2014,01,021,race-ethnicity,"White, Non-Hispanic",0,1
2014,01,023,all,All,0,1
2014,01,023,race-ethnicity,Black,0,1
2014,01,023,race-ethnicity,Hispanic,0,3
