year,state,county,black_nh_exposure,black_nh_exposure_quality,hispanic_exposure,hispanic_exposure_quality,other_nh_exposure,other_nh_exposure_quality,white_nh_exposure,white_nh_exposure_quality
2021,01,001,0.7029665287663132,1,0.9296701483752603,2,0.9210578755244199,1,0.24147169464975532,1
2021,01,003,0.8232521250913624,1,0.9127984267450034,1,0.9389681317193729,1,0.16100680630063904,1
2021,01,005,0.4973617992491359,1,0.8989643297457459,1,0.9565955757773006,1,0.5232826925468996,1
2021,01,007,0.6090073525293994,1,0.9400453613943689,1,0.968040373827161,2,0.20612856727899243,1
2021,01,009,0.9704008781460988,1,0.8318055897927565,1,0.9555957492768417,1,0.13268452140627082,1
2021,01,011,0.25811996698002426,1,0.8833542537717224,3,0.9749430915961034,2,0.7062779217192465,1
2021,01,013,0.4853689696765063,1,0.9651401454931567,2,0.9273235383157064,1,0.4327471000777059,1
2021,01,015,0.6156526004171486,1,0.9190393110013961,1,0.9462020332551531,1,0.23116153969082484,1
2021,01,017,0.5352753198260174,1,0.9345579917985789,1,0.9586957199061091,2,0.40342425272355886,1
2021,01,019,0.9212604593659939,2,0.9626720296836093,2,0.9677785776013432,2,0.08912731238646202,1
2021,01,021,0.836606192824756,1,0.8183295436776128,1,0.9302813193148112,1,0.19138807551578954,1
2021,01,023,0.46049704137833974,1,0.9778614503304135,2,0.9819213127439148,2,0.33579976252180593,1
2021,01,025,0.5057839652579212,1,0.967654088842715,2,0.9529586595089842,2,0.45458786614477975,1
2021,01,027,0.8326631187372796,1,0.913080206703686,2,0.9356853969864275,2,0.1817716934477307,1
2021,01,029,0.9549636433938924,2,0.9486227846896933,1,0.9676375780419346,2,0.07484151248854119,1
2021,01,031,0.7358183257528143,1,0.8712267352167358,1,0.9099877082881362,1,0.27241470358323533,1
2021,01,033,0.7548185637040173,1,0.9525302752874296,1,0.9593525953204302,1,0.20613760120679014,1
2021,01,035,0.4796368753019544,1,NA,NA,0.9606437316536689,2,0.4648589732877378,1
2021,01,037,0.4939449410389592,1,0.9655740312713608,2,0.9714528109231428,2,0.2768529411179903,1
2021,01,039,0.7991448058077709,1,0.96447773098208,1,0.9479530231164492,1,0.16109825220014573,1
2021,01,041,0.7203568248346289,1,0.9847349358987106,3,0.9204067748689573,1,0.2890215423651695,1
2021,01,043,0.9329944384419266,1,0.9317753235464109,1,0.951446341963189,1,0.08706878617900357,1
2021,01,045,0.6978587827118363,1,0.8790056522786998,1,0.93452268124387206,1,0.2930226768153496,1
2021,01,047,0.20532178429996392,1,0.9884109814132029,3,0.9613151007356907,2,0.5194232159266474,1
2021,01,049,0.935255821482735,1,0.7255974966326751,1,0.94304251786917,1,0.18084485323701477,1
2021,01,051,0.7363351173087096,1,0.932266493874863,1,0.9280433019390432,1,0.24271504991208084,1
2021,01,053,0.6127364128688755,1,0.9615974758051585,2,0.8821131973746054,1,0.3534070336824047,1
2021,01,055,0.5738106966952063,1,0.9021181598316712,1,0.9487570381358974,1,0.1587234493995638,1
