year,state,county,economic_connectedness,economic_connectedness_se,economic_connectedness_quality
2022,01,001,0.72077,0.0083100004,1
2022,01,003,0.74313003,0.00661,1
2022,01,005,0.41365999,0.00978,1
2022,01,007,0.63151997,0.01175,1
2022,01,009,0.72561997,0.00985,1
2022,01,011,0.35515001,0.01134,1
2022,01,013,0.46026,0.01039,1
2022,01,015,0.60189003,0.0071100001,1
2022,01,017,0.49761,0.0086899996,1
2022,01,019,0.60461003,0.01188,1
2022,01,021,0.63505,0.0099200001,1
2022,01,023,0.67873001,0.01431,1
2022,01,025,0.56535,0.0098700002,1
2022,01,027,0.57560998,0.01343,1
2022,01,029,0.69016999,0.01283,1
2022,01,031,0.68441999,0.00887,1
2022,01,033,0.64434999,0.0081500001,1
2022,01,035,0.44521999,0.01175,1
2022,01,037,0.48805001,0.01392,1
2022,01,039,0.60332,0.0098400004,1
2022,01,041,0.60762,0.01296,1
2022,01,043,0.65998,0.0080300001,1
2022,01,045,0.63924998,0.0082200002,1
2022,01,047,0.45451,0.0085800001,1
2022,01,049,0.59283,0.0087299999,1
2022,01,051,0.69626999,0.0076299999,1
2022,01,053,0.46434,0.0083600003,1
2022,01,055,0.59388,0.0072599999,1
2022,01,057,0.68558002,0.01337,1
2022,01,059,0.57484001,0.01063,1
2022,01,061,0.58556002,0.01094,1
2022,01,063,0.458,0.013,1
2022,01,065,0.58731002,0.0114,1
2022,01,067,0.60405999,0.01168,1
2022,01,069,0.57523,0.0068899998,1
2022,01,071,0.57870001,0.0087400004,1
2022,01,073,0.59913999,0.0050499998,1
2022,01,075,0.71999002,0.01383,1
2022,01,077,0.69683999,0.0077499999,1
2022,01,079,0.63709003,0.01059,1
2022,01,081,0.72622001,0.0065600001,1
2022,01,083,0.70283997,0.0079399999,1
2022,01,085,0.41341001,0.01174,1
2022,01,087,0.45666999,0.00966,1
2022,01,089,0.74789,0.0057299999,1
2022,01,091,0.57516998,0.01052,1
2022,01,093,0.64333999,0.01048,1
2022,01,095,0.56095999,0.0081700003,1
2022,01,097,0.56962001,0.0052999998,1
2022,01,099,0.47554001,0.00997,1
2022,01,101,0.49068999,0.0055399998,1
2022,01,103,0.61510003,0.0072599999,1
NA,01,105,NA,NA,NA
2022,01,107,0.62550998,0.01217,1
2022,01,109,0.59630001,0.0093700001,1
2022,01,111,0.55489999,0.01099,1
2022,01,113,0.56879997,0.0068899998,1
2022,01,115,0.78175998,0.0086399997,1
2022,01,117,0.82049,0.00764,1
2022,01,119,0.54794002,0.0125,1
2022,01,121,0.52474999,0.0071700001,1
2022,01,123,0.51406997,0.0093799997,1
2022,01,125,0.64775002,0.0063700001,1
2022,01,127,0.64082003,0.0091500003,1
2022,01,129,0.70414001,0.01217,1
2022,01,131,0.42162001,0.01182,1
2022,01,133,0.59921002,0.01115,1
2022,02,013,0.91415,0.029829999,1
2022,02,016,0.83311999,0.02726,1
2022,02,020,1.02472,0.0078600002,1
2022,02,050,0.76327002,0.01449,1
NA,02,060,NA,NA,NA
NA,02,063,NA,NA,NA
NA,02,066,NA,NA,NA
2022,02,068,1.16948,0.036600001,1
2022,02,070,0.90030998,0.023010001,1
2022,02,090,1.09859,0.0090300003,1
2022,02,100,1.1621799,0.027380001,1
2022,02,105,1.04737,0.037080001,1
2022,02,110,1.1094,0.0143,1
2022,02,122,1.03391,0.01034,1
2022,02,130,0.98493999,0.01619,1
2022,02,150,1.06233,0.01663,1
2022,02,158,0.64175999,0.017750001,1
NA,02,164,NA,NA,NA
2022,02,170,1.09532,0.0093499999,1
2022,02,180,0.83958,0.020470001,1
2022,02,185,1.08719,0.019269999,1
2022,02,188,0.83544999,0.021290001,1
2022,02,195,1.04632,0.025040001,1
2022,02,198,0.86852002,0.02227,1
2022,02,220,1.1381,0.01922,1
2022,02,230,1.1267101,0.038660001,1
2022,02,240,0.99532002,0.022840001,1
