year,place,socassn,_quality
2020,0103076,3.6,2
2020,0107000,0.8,1
2020,0135896,3.4,2
2020,0137000,1.2,2
2020,0150000,0.9,1
2020,0151000,1.2,1
2020,0177256,2.4,2
2020,0203000,0.7,1
2020,0404720,1,2
2020,0407940,1.1,2
2020,0412000,0.8,2
2020,0423620,5.1,2
2020,0427400,0.6,2
2020,0427820,0.6,2
2020,0428380,1.8,2
2020,0446000,0.3,2
2020,0454050,0.8,2
2020,0455000,0.1,1
2020,0465000,0.9,2
2020,0471510,1.8,2
2020,0473000,1.6,2
2020,0477000,0.4,1
2020,0485540,3.3,2
2020,0523290,3.4,2
2020,0524550,1.9,2
2020,0535710,5.1,2
2020,0541000,1.3,1
2020,0566080,3.2,2
2020,0600562,3.4,2
2020,0600884,2.8,2
2020,0602000,0.7,2
2020,0602252,1.6,2
2020,0602364,1.5,2
2020,0603526,0.6,2
2020,0604982,6.6,2
2020,0606000,1.1,2
2020,0608786,2.6,2
2020,0608954,1.3,2
2020,0611194,1.6,2
2020,0611530,1.5,1
2020,0613014,3,2
2020,0613210,5.3,2
2020,0613214,3.7,2
2020,0613392,0.7,2
2020,0613588,1.6,2
2020,0614218,2.2,2
2020,0615044,0.8,2
2020,0616000,1.5,1
2020,0616350,1.1,2
2020,0616532,4.6,2
2020,0617918,1.3,2
2020,0619766,1.5,2
2020,0621712,2.2,2
2020,0622020,1.2,2
2020,0622230,1.6,2
2020,0622804,1.3,2
2020,0623182,2.8,2
2020,0624638,5.3,2
2020,0624680,0.8,2
2020,0626000,1,2
2020,0627000,0.4,1
2020,0628000,1.7,2
2020,0629000,0.7,2
2020,0630000,0.6,1
2020,0632548,3.1,2
2020,0633000,1.1,2
2020,0633182,1.1,2
2020,0633434,2.3,2
2020,0636000,1.5,2
2020,0636448,1.9,2
2020,0636546,0.8,2
2020,0636770,0.9,2
2020,0637692,0.8,2
2020,0639496,2.9,2
2020,0639892,1.1,2
2020,0640130,1.4,2
2020,0641992,3.2,2
2020,0643000,0.4,2
2020,0644000,0.1,1
2020,0645484,1.9,2
2020,0646842,0.7,2
2020,0646898,2.4,2
2020,0647766,7.8,2
2020,0648256,2.7,2
2020,0648354,1.1,1
2020,0649270,0.5,2
2020,0649670,1.5,1
2020,0650076,2.4,2
2020,0650258,3.9,2
2020,0651182,3.7,2
2020,0652526,3.8,2
2020,0653000,0.6,2
2020,0653322,1.1,2
2020,0653896,1.2,1
2020,0653980,1.5,2
2020,0654652,0.9,2
2020,0655156,1.1,2
2020,0656000,2.2,2
2020,0656700,0.7,2
2020,0657456,2.6,2
2020,0657792,4.5,2
2020,0658072,1.4,2
2020,0659444,2.7,2
2020,0659451,1.3,1
2020,0659920,2.9,2
2020,0660102,2.2,2
2020,0660466,1.1,2
2020,0660620,1.1,2
2020,0662000,0.7,2
2020,0662938,2.2,2
2020,0664000,0.6,1
2020,0664224,0.9,2
2020,0665000,0.4,1
2020,0665042,3.3,2
2020,0666000,0.2,1
2020,0667000,0.3,1
2020,0668000,0.2,1
2020,0668084,2.4,2
2020,0668196,2.6,2
2020,0668252,1.9,1
2020,0668378,2.1,2
2020,0669000,0.6,2
2020,0669070,3.5,1
2020,0669084,2,2
2020,0669088,0.8,2
2020,0669196,1.6,2
2020,0670000,3.1,2
2020,0670098,1.1,2
2020,0672016,2.2,2
