county,county_name,num_below_p50,pop2018,ec_county,ec_se_county,child_ec_county,child_ec_se_county,ec_grp_mem_county,ec_high_county,ec_high_se_county,child_high_ec_county,child_high_ec_se_county,ec_grp_mem_high_county,exposure_grp_mem_county,exposure_grp_mem_high_county,child_exposure_county,child_high_exposure_county,bias_grp_mem_county,bias_grp_mem_high_county,child_bias_county,child_high_bias_county,clustering_county,support_ratio_county,volunteering_rate_county,civic_organizations_county
1001,"Autauga, Alabama",5922.3921,55200,.72077,.0083100004,1.11754,.024669999,.77223003,1.21372,.01019,1.29814,.02417,1.23018,.81739998,1.0022,1.14816,1.19944,.055259999,-.22747999,.02668,-.082290001,.10347,.98275,.04355,.01518
1003,"Baldwin, Alabama",15458.396,208107,.74313003,.00661,.83064002,.01629,.76214999,1.28302,.0075699999,1.0608,.01657,1.3016,.78531998,1.0711,.84587997,1.00797,.0295,-.21518999,.01802,-.052409999,.096239999,.98684001,.061170001,.01526
1005,"Barbour, Alabama",4863.9736,25782,.41365999,.00978,.58541,.027070001,.35927001,.91896999,.021989999,.86154002,.02706,.84568,.41512999,.63069999,.63305998,.71967,.13457,-.34086001,.075280003,-.19713999,.14911,.99910998,.02093,.01474
1007,"Bibb, Alabama",3061.4934,22527,.63151997,.01175,.72264999,.030270001,.68093997,1.06378,.01476,.83973002,.03115,1.08974,.71012002,.85317999,.71433002,.72395003,.041080002,-.27726999,-.01165,-.15993001,.14252,.99716002,.05294,.01439
1009,"Blount, Alabama",6740.9116,57645,.72561997,.00985,.76095998,.024660001,.79584002,1.10569,.01163,.86316001,.02486,1.12798,.79758,.90276998,.74821001,.79374999,.00217,-.24946,-.017039999,-.087449998,.11243,.99068999,.057039998,.017240001
1011,"Bullock, Alabama",2581.3296,10352,.35515001,.01134,,,.24803001,.95595998,.049940001,,,.88681,.26952001,.74261999,,,.079740003,-.19417,,,.18581,1,.017130001,.0097500002
1013,"Butler, Alabama",4092.7781,20025,.46026,.01039,.63507003,.03159,.43619001,.93106002,.019889999,.79860997,.033539999,.89269,.4808,.67765999,.59068,.71077001,.092780001,-.31729999,-.075159997,-.12359,.16094001,1,.038070001,.01286
1015,"Calhoun, Alabama",15036.147,115098,.60189003,.0071100001,.80397999,.01891,.63920999,1.04627,.00973,.98471999,.019640001,1.07068,.67798001,.86505002,.79992998,.89270997,.057190001,-.23771,-.00507,-.10307,.11236,.99700999,.053130001,.01739
1017,"Chambers, Alabama",5885.4712,33826,.49761,.0086899996,.62215,.02561,.54166001,.91306001,.01359,.76905,.026310001,.95060998,.61041999,.76675999,.60909998,.68217999,.11264,-.23977,-.021430001,-.12734,.13574,.99759001,.025660001,.01098
1019,"Cherokee, Alabama",3303.9607,25853,.60461003,.01188,.61975002,.034170002,.67163998,.94985002,.01522,.71521997,.035149999,.98979002,.68746001,.79114002,.60974002,.65038002,.023,-.2511,-.016410001,-.099699996,.12273,.99697,.046659999,.017960001
1021,"Chilton, Alabama",5808.7944,43930,.63505,.0099200001,.69858998,.02589,.65768999,1.04907,.01302,.81274998,.025660001,1.0517,.68048,.81432998,.68160999,.69678003,.033500001,-.29148,-.024909999,-.16644999,.11835,.99571002,.043400001,.01515
1023,"Choctaw, Alabama",2543.9063,13075,.67873001,.01431,.54825997,.038940001,.72215003,1.04441,.01901,.6426,.041480001,1.06279,.72106999,.88454998,.54807001,.64402002,-.0015,-.2015,-.00034999999,.0022,.16136999,.99840999,.029410001,.01217
1025,"Clarke, Alabama",4760.8682,24387,.56535,.0098700002,.68379003,.0274,.57511997,.97135001,.01468,.86173999,.02884,.97194999,.62497002,.76824999,.70068002,.75871003,.07976,-.26514,.0241,-.1358,.16028,.99831003,.029850001,.01082
1027,"Clay, Alabama",2021.0896,13378,.57560998,.01343,.86899,.04518,.59298998,.99426001,.0198,.98464,.04583,.97855997,.58502001,.72069001,.83534998,.84097999,-.01364,-.35780999,-.040259998,-.17083,.13297001,.99790001,.037909999,.01335
1029,"Cleburne, Alabama",2070.2905,14938,.69016999,.01283,.69476002,.036479998,.74342,1.03829,.016249999,.77013999,.036970001,1.0497299,.72794002,.83068001,.69935,.70665002,-.021260001,-.26370001,.0065700002,-.089840002,.11669,.99343997,.05923,.0188
1031,"Coffee, Alabama",5436.501,51288,.68441999,.00887,.99527001,.024119999,.72759002,1.19384,.01017,1.15574,.024329999,1.20016,.80939001,.98044002,1.0168101,1.0598,.10106,-.22409999,.02118,-.090520002,.097510003,.98683,.053630002,.01115
1033,"Colbert, Alabama",6718.7813,54495,.64434999,.0081500001,.77718002,.02385,.68273997,1.12896,.01046,.89332002,.02396,1.14143,.74980998,.91058999,.73895001,.82722002,.08946,-.25351,-.051729999,-.079899997,.11592,.99436003,.054359999,.01223
1035,"Conecuh, Alabama",2657.8438,12514,.44521999,.01175,,,.39958,.8204,.02696,,,.75821,.41286001,.63317001,,,.032170001,-.19749001,,,.15876,.99812001,.021400001,.01334
1037,"Coosa, Alabama",2046.324,10855,.48805001,.01392,,,.51786,.90675998,.02465,,,.94652998,.58919001,.75475001,,,.12106,-.25409999,,,.13034999,.98088002,.030440001,.0142
