zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
1001,25013,995.787467956543,17621,.88156998,.024219999,1.51095,1.1021,1.47136,.01599,1.82494,1.60238,1.12959,1.45669,1.5059,.02434,-.10001,-.00336,-.21186,.10572,.94525999,.056499999,.0108
1002,25015,1312.117076873779,30066,1.18348,.02227,.97759998,1.23333,1.6229,.015,1.4957401,1.6311899,1.36818,1.53277,1.2028199,.098559998,-.064209998,.18724,-.24353001,.1034,.90162998,.14951,.036880001
1003,25015,,11238,1.37536,.05046,,1.44359,1.65159,.02898,,1.65871,1.48032,1.57757,,.02482,-.051430002,,,.1365,.76924002,.10501,.080499999
1005,25027,381.5197448730469,4991,1.15543,.0305,1.46491,1.30756,1.47733,.01664,1.63082,1.54186,1.31876,1.43769,1.4639699,.0085000005,-.072460003,-.00063999998,-.11397,.10554,.95836997,.15862,.02163
1007,25015,915.3966674804688,14967,1.1924,.02046,1.17985,1.32294,1.56812,.01364,1.4931,1.5941499,1.30741,1.43019,1.2310899,-.01188,-.11464,.041620001,-.21283001,.10391,.94872999,.13053,.016899999
1008,25013,90.72176361083984,1197,,,,,,,,,,,,,,,,.12223626,.8760978,.051351864,.021193897
1010,25013,312.54296875,3739,.73856002,.0581,,,1.47973,.02565,,,,,,,,,,.094080001,.89301997,.082330003,.031709999
1011,25013,104.810676574707,1448,,,,,,,,,,,,,,,,.1137775,.94049942,.06918624,.032719631
1013,25013,2616.550354003906,23065,.69744003,.01274,.53930002,.75806999,1.2315201,.017990001,.94888997,1.2895499,.87842,1.17646,.67602003,.13699999,-.096129999,.20223001,-.40364999,.086479999,.89056998,.06191,.0096899997
1020,25013,2002.082486867905,30097,.72701001,.01397,.99817002,.89328998,1.28291,.01443,1.50295,1.42954,1.0203201,1.25649,1.16702,.1245,-.13772,.14469001,-.28784999,.092639998,.93272001,.061530001,.00078
1022,25013,149.9113254547119,2499,.79394001,.04236,,.94845003,1.29843,.026690001,,1.39394,.97487998,1.25414,,.02712,-.11148,,,.086949997,.50189,.057659999,.03283
1026,25015,100.4362411499023,954,,,,,,,,,,,,,,,,.10906969,.86130154,.12126616,.048653323
1027,25015,1205.848129272461,17848,1.1387,.019470001,1.13732,1.22668,1.58017,.01213,1.47235,1.61018,1.2704999,1.47482,1.2768199,.03449,-.091779999,.10926,-.15313999,.097050004,.94487,.16144,.025359999
1028,25013,567.5111236572266,16200,.94024998,.026389999,1.4587801,1.062,1.51818,.01456,1.81884,1.63042,1.11733,1.4919,1.59539,.049520001,-.09285,.08563,-.14005999,.10353,.95671999,.06718,.01216
1030,25013,610.159294128418,11123,.98904997,.03012,1.49931,1.14082,1.48308,.016340001,1.77766,1.62949,1.22648,1.48259,1.58508,.069839999,-.099079996,.054110002,-.12149,.10812,.93594998,.066100001,.0074999998
1031,25027,104.2441711425781,1197,1.15798,.044909999,,,1.41496,.025490001,,,,,,,,,,.10759,.90393001,.057489999,.019330001
1033,25015,402.1314392089844,6333,1.19631,.02792,1.32119,1.30264,1.53943,.01664,1.48963,1.5907,1.29705,1.42372,1.1993999,-.0043100002,-.11729,-.10154,-.24198,.10157,.93900001,.092419997,.02317
1034,25013,145.1756286621094,2179,,,,,,,,,,,,,,,,.10141406,.92683607,.092073552,.033621322
1035,25015,218.2905883789063,5310,1.13185,.0348,,1.30748,1.61351,.016899999,,1.6823601,1.32399,1.54176,,.01246,-.091200002,,,.097290002,.92246002,.11243,.13722999
