state,place,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
01,03076,6.9,1
01,07000,13,1
01,35896,9.1,2
01,37000,9.9,1
01,50000,11.4,1
01,51000,12.3,1
01,77256,8.8,1
02,03000,10.3,1
04,04720,2.3,1
04,07940,1.7,1
04,12000,4.6,1
04,23620,8.8,1
04,27400,3.8,1
04,27820,3.8,1
04,28380,3.3,1
04,46000,3.1,1
04,54050,2.9,1
04,55000,4.8,1
04,65000,8.1,1
04,71510,1.8,1
04,73000,6.2,1
04,77000,5,1
04,85540,4.7,1
05,23290,7.8,1
05,24550,8.8,1
05,35710,8.1,1
05,41000,14.7,1
05,66080,5.1,1
06,00562,6.7,1
06,00884,5.8,1
06,02000,4.8,1
06,02252,3.6,1
06,02364,2.5,1
06,03526,3.8,1
06,04982,5.9,1
06,06000,8.6,1
06,08786,5.6,1
06,08954,6.5,1
06,11194,6.9,1
06,11530,3.6,1
06,13014,7,1
06,13210,4.8,1
06,13214,3,1
06,13392,3.5,1
06,13588,3.6,1
06,14218,4.9,1
06,15044,2,2
06,16000,6.1,1
06,16350,3.5,1
06,16532,9.9,1
06,17918,2.6,1
06,19766,5.1,1
06,21712,3.9,2
06,22020,3.6,1
06,22230,2.9,1
06,22804,4.4,1
06,23182,4.2,1
06,24638,5.4,1
06,24680,1.6,1
06,26000,4.4,1
06,27000,4.8,1
06,28000,7.1,1
06,29000,3.5,1
06,30000,4.7,1
06,32548,2.9,1
06,33000,3.8,1
06,33182,2.6,1
06,33434,3.2,1
06,36000,5.3,1
06,36448,3.9,1
06,36546,3.8,1
06,36770,6.4,1
06,37692,1.4,1
06,39496,5.1,1
06,39892,2.9,1
06,40130,3.4,1
06,41992,7,1
06,43000,5.5,1
06,44000,5,1
06,45484,3.6,1
06,46842,2,1
06,46898,4.1,1
06,47766,6.9,1
06,48256,5.3,1
06,48354,5.1,1
06,49270,1.9,1
06,49670,5,1
06,50076,4.4,1
06,50258,7.1,1
06,51182,11,1
06,52526,4.3,1
06,53000,7.4,1
06,53322,4.3,1
06,53896,3.7,1
06,53980,6.7,1
06,54652,3.8,1
06,55156,2.5,1
06,56000,12.2,1
06,56700,1,1
06,57456,2.1,1
06,57792,8.2,1
06,58072,4.3,1
06,59444,5.5,1
06,59451,4.5,1
06,59920,7.8,1
06,60102,6.2,1
06,60466,2.3,1
06,60620,3.8,1
06,62000,4,1
06,62938,6,1
06,64000,9.7,1
06,64224,3.1,1
06,65000,2.6,2
06,65042,9.5,1
06,66000,6.2,1
06,67000,8.7,1
06,68000,4,1
06,68084,5.5,1
06,68196,5.2,1
06,68252,6.4,1
06,68378,5,1
06,69000,3.3,1
06,69070,10,1
06,69084,5.6,1
06,69088,4.5,1
06,69196,3.6,1
06,70000,13.1,1
06,70098,5.7,1
06,72016,3.9,1
06,73080,1.9,1
06,75000,2.8,1
06,77000,4.1,1
06,78120,4.8,1
06,78582,6.6,1
06,80000,7.1,1
06,80238,3.9,1
06,80854,6.8,1
06,81344,6.4,1
06,81554,4.4,1
06,81666,3.6,1
06,82590,2.7,1
06,82954,5.4,1
06,82996,4.7,1
06,84200,3.9,1
06,84550,3.8,1
06,85292,5.2,1
08,03455,4.3,1
08,04000,3.7,1
08,07850,11.4,1
08,12815,10.2,2
08,16000,8.5,1
08,20000,9.7,1
08,27425,8.1,1
08,32155,6.3,1
08,43000,6.2,1
08,45970,6.1,1
08,46465,7.3,1
08,62000,6.8,1
08,77290,2.9,2
08,83835,5.4,2
09,08000,6.1,1
09,18430,6.6,1
09,37000,10.9,1
09,52000,7.9,1
09,55990,6.7,1
09,73000,8.4,1
09,80000,3.3,1
11,50000,28.1,1
12,07300,7,1
12,07875,5,1
12,10275,2.7,1
12,12875,6.4,1
12,14400,4.3,1
12,16475,5.2,2
12,16725,6.3,1
12,17200,4.1,1
12,17935,5.1,1
12,24000,7.4,1
12,24125,7.5,2
12,25175,7.3,2
12,30000,2.8,1
12,32000,5.3,1
12,32275,2.7,2
12,35000,7.4,1
12,36950,4.4,2
12,38250,7.8,2
12,39425,5.3,2
12,43975,7.7,1
12,45000,5.6,1
12,45025,10,1
12,45060,5.1,1
12,45975,3.3,2
12,49675,2.3,1
12,53000,8.2,2
12,54000,3.1,1
12,54200,3.7,1
12,55775,3.4,2
12,57425,4.5,2
12,58050,5.2,1
12,58715,3.1,1
12,63000,7.3,1
12,69700,3.3,2
12,70600,12.9,2
12,71000,6.9,1
12,76600,7.8,2
13,03440,8.8,1
13,04000,10.1,1
13,04204,8,1
13,19000,8.6,1
13,42425,8.4,2
13,49008,10.9,1
13,67284,8,1
13,68516,8.6,1
13,69000,10.3,2
13,72122,4.8,2
13,80508,5.7,2
15,71550,8.7,1
16,08830,7.9,1
16,52120,5.7,1
16,56260,4.1,1
17,02154,7.3,1
17,03012,6.6,1
17,06613,10.6,1
17,12385,10,1
17,14000,6.4,1
17,14351,1.4,1
17,23074,5.1,1
17,24582,7.3,1
17,38570,6,1
17,51622,6.5,1
17,59000,11.8,1
17,65000,9,1
17,68003,8,1
17,72000,20.1,1
17,79293,5.2,1
18,05860,7.2,2
18,10342,10.8,1
18,22000,12.9,1
18,23278,6.8,1
18,25000,9.9,1
18,31000,7.4,1
18,36003,10.3,1
18,71000,10.4,1
19,12000,9.5,1
19,19000,8.2,1
19,21000,11.4,1
19,73335,9.3,1
20,36000,8.7,1
20,38900,9.8,1
20,52575,5.6,1
20,53775,7.5,1
20,71000,14.1,1
20,79000,8.6,1
21,46027,9.5,1
21,48006,3.5,1
22,05000,12.4,1
22,40735,7.6,1
22,41155,9.5,1
22,55000,8.8,1
22,70000,10,1
24,04000,9.1,1
24,30325,8.9,2
25,07000,9.9,1
25,09000,6.4,1
25,11000,10.6,1
25,23000,4.4,1
25,34550,4.4,1
