year,state,place,count_membership_associations_per_10k,count_membership_associations_per_10k_quality
2020,01,03076,6.8,1
2020,01,07000,13,1
2020,01,35896,8.5,2
2020,01,37000,10.2,1
2020,01,50000,10.7,1
2020,01,51000,12.2,1
2020,01,77256,9.4,1
2020,02,03000,9.7,1
2020,04,04720,2.2,1
2020,04,07940,1.9,1
2020,04,12000,4.4,1
2020,04,23620,8.5,1
2020,04,27400,3.4,1
2020,04,27820,3.9,1
2020,04,28380,3.8,1
2020,04,46000,3.2,1
2020,04,54050,3.1,1
2020,04,55000,4.8,1
2020,04,65000,7.6,1
2020,04,71510,1.9,1
2020,04,73000,6.4,1
2020,04,77000,5.1,1
2020,04,85540,4.4,1
2020,05,23290,8.6,1
2020,05,24550,9.4,1
2020,05,35710,8,1
2020,05,41000,14.6,1
2020,05,66080,5.2,1
2020,06,00562,6.8,1
2020,06,00884,5.5,1
2020,06,02000,4.8,1
2020,06,02252,3.5,1
2020,06,02364,2.6,1
2020,06,03526,3.9,1
2020,06,04982,6.6,1
2020,06,06000,7.8,1
2020,06,08786,5.3,1
2020,06,08954,6.5,1
2020,06,11194,6.5,1
2020,06,11530,3.5,1
2020,06,13014,6.9,1
2020,06,13210,5.1,1
2020,06,13214,3.7,1
2020,06,13392,3.4,1
2020,06,13588,3.1,1
2020,06,14218,5.1,1
2020,06,15044,1.6,2
2020,06,16000,6.4,1
2020,06,16350,3.4,1
2020,06,16532,9.2,1
2020,06,17918,2,1
2020,06,19766,4.5,1
2020,06,21712,3.7,2
2020,06,22020,2.9,1
2020,06,22230,3.5,1
2020,06,22804,4,1
2020,06,23182,4.4,1
2020,06,24638,5.3,1
2020,06,24680,1.6,1
2020,06,26000,4.1,1
2020,06,27000,4.8,1
2020,06,28000,6.9,1
2020,06,29000,3.5,1
2020,06,30000,4.9,1
2020,06,32548,3,1
2020,06,33000,3.6,1
2020,06,33182,2.6,1
2020,06,33434,3.2,1
2020,06,36000,5.9,1
2020,06,36448,3.7,1
2020,06,36546,3.3,1
2020,06,36770,6.1,1
2020,06,37692,1.3,1
2020,06,39496,5.2,1
2020,06,39892,2.2,1
2020,06,40130,3.3,1
2020,06,41992,6.6,1
2020,06,43000,5,1
2020,06,44000,5,1
2020,06,45484,3.7,1
2020,06,46842,2.2,1
2020,06,46898,4.7,1
2020,06,47766,7.8,1
2020,06,48256,5.3,1
2020,06,48354,4.9,1
2020,06,49270,1.9,1
2020,06,49670,4.8,1
2020,06,50076,4.7,1
2020,06,50258,7.3,1
2020,06,51182,10.9,1
2020,06,52526,3.8,1
2020,06,53000,7.6,1
2020,06,53322,3.9,1
2020,06,53896,3.5,1
2020,06,53980,7.3,1
2020,06,54652,3.6,1
2020,06,55156,2.4,1
2020,06,56000,12.6,1
2020,06,56700,1.1,1
2020,06,57456,1.9,1
2020,06,57792,7.9,1
2020,06,58072,4,1
2020,06,59444,6,1
2020,06,59451,4.7,1
2020,06,59920,7.6,1
2020,06,60102,6.4,1
2020,06,60466,2.2,1
2020,06,60620,3.4,1
2020,06,62000,4,1
2020,06,62938,6.1,1
2020,06,64000,9.8,1
2020,06,64224,3.2,1
2020,06,65000,2.6,2
2020,06,65042,9.1,1
2020,06,66000,6.1,1
2020,06,67000,8,1
2020,06,68000,3.9,1
2020,06,68084,5.9,1
2020,06,68196,4.9,1
2020,06,68252,5.6,1
2020,06,68378,5,1
2020,06,69000,3.4,1
2020,06,69070,9.4,1
2020,06,69084,6,1
2020,06,69088,4.4,1
2020,06,69196,3.3,1
2020,06,70000,12.3,1
2020,06,70098,6.2,1
2020,06,72016,3.8,1
2020,06,73080,2.4,1
2020,06,75000,3.1,1
2020,06,77000,4.4,1
2020,06,78120,5,1
2020,06,78582,6.6,1
2020,06,80000,6.4,1
2020,06,80238,3.7,1
2020,06,80854,6.2,1
2020,06,81344,6.6,1
2020,06,81554,4.4,1
2020,06,81666,3.8,1
2020,06,82590,2.8,1
2020,06,82954,5.1,1
2020,06,82996,4.2,1
2020,06,84200,3.8,1
2020,06,84550,3.8,1
2020,06,85292,5.3,1
2020,08,03455,4.1,1
2020,08,04000,4,1
2020,08,07850,11.2,1
2020,08,12815,10.3,2
2020,08,16000,8.5,1
2020,08,20000,9.7,1
2020,08,27425,7.8,1
2020,08,32155,6.8,1
2020,08,43000,6.3,1
2020,08,45970,6.8,1
2020,08,46465,7.4,1
2020,08,62000,6.9,1
2020,08,77290,2.8,2
2020,08,83835,5.3,2
2020,09,08000,6.2,1
2020,09,18430,6.7,1
2020,09,37000,11.1,1
2020,09,52000,8.7,1
2020,09,55990,6.9,1
2020,09,73000,8.9,1
2020,09,80000,3.5,1
2020,11,50000,27.5,1
2020,12,07300,7.8,1
2020,12,07875,4.8,1
2020,12,10275,3,1
2020,12,12875,6.6,1
2020,12,14400,4.3,1
2020,12,16475,4.9,2
2020,12,16725,6.4,1
2020,12,17200,4,1
2020,12,17935,5.1,1
2020,12,24000,7.8,1
2020,12,24125,8.3,2
2020,12,25175,7.3,2
2020,12,30000,2.7,1
2020,12,32000,4.9,1
