cityname,state,population2020,statename,state_abbr,ec_zip,ec_se_zip,data_quality
Abilene city,48,124797,Texas,TX,0.8941240263436279,0.01565014909478168,3
Akron city,39,190534,Ohio,OH,0.6376378652746473,0.01601774202676334,3
Albany city,36,99345,New York,NY,0.7267084372229522,0.016959299459337128,3
Albuquerque city,35,564563,New Mexico,NM,0.7408228862721361,0.01291611798148074,3
Alexandria city,51,159467,Virginia,VA,1.1928506854130172,0.01754601412725399,3
Allen city,48,104786,Texas,TX,1.2075462986003112,0.019762767500777604,3
Allentown city,42,126092,Pennsylvania,PA,0.6352823571423797,0.013456911430481283,3
Amarillo city,48,200904,Texas,TX,0.7722843913399227,0.016941863460362746,3
Ann Arbor city,26,122830,Michigan,MI,1.3067968080473855,0.021619513026143792,3
Appleton city,55,75315,Wisconsin,WI,1.0187229718010076,0.01329789665554156,3
Arlington city,48,394218,Texas,TX,0.7696151366002678,0.012763931201958486,3
Arlington Heights village,17,77595,Illinois,IL,1.059520191538052,0.020624465629058012,3
Asheville city,37,94539,North Carolina,NC,0.8567561243128391,0.013251903254972873,3
Athens-Clarke County unified government (balance),13,127320,Georgia,GA,0.8417464713849868,0.017298861336259876,3
Atlanta city,13,498602,Georgia,GA,0.8905850108182783,0.015000747487227368,3
Auburn city,53,87351,Washington,WA,0.9641434034075341,0.013361284488013698,3
Augusta-Richmond County consolidated government (balance),13,202123,Georgia,GA,0.6435993952914365,0.01611311581430939,3
Aurora city,17,180688,Illinois,IL,0.9382389167446661,0.01797116997705896,3
Austin city,48,959549,Texas,TX,0.9824821634476935,0.01998618891218139,3
Baltimore city,24,585708,Maryland,MD,0.7760999733246388,0.014497527808164224,3
Baton Rouge city,22,225128,Louisiana,LA,0.6885047374235015,0.011559850482548553,3
Baytown city,48,83698,Texas,TX,0.7006769191408592,0.010678371628371628,3
Beaumont city,48,114586,Texas,TX,0.6437702728063766,0.013537108933909,3
Beaverton city,41,97521,Oregon,OR,0.994424378498595,0.015490750632276193,3
Bellevue city,53,152045,Washington,WA,1.2913348267215246,0.03418747490255522,3
Bellingham city,53,91231,Washington,WA,1.1056081368821293,0.012872937262357415,3
Bend city,41,99126,Oregon,OR,1.0054531428019324,0.012670241545893721,2
Bethlehem city,42,75710,Pennsylvania,PA,0.8830772366895762,0.013307875152920963,3
Billings city,30,117077,Montana,MT,0.9222284187370241,0.011475743944636676,3
Bloomington city,17,78273,Illinois,IL,0.9151303307966204,0.013706686783343391,3
Bloomington city,18,79912,Indiana,IN,1.35840927183355,0.03758408365843086,3
Bloomington city,27,90012,Minnesota,MN,0.9913981127308066,0.02312292515976677,3
Boca Raton city,12,96358,Florida,FL,1.0178779193441871,0.02202989201857372,3
Boise City city,16,235670,Idaho,ID,0.9769725040158497,0.013222432780132694,3
Boston city,25,676216,Massachusetts,MA,1.0086768593063207,0.02402438792519896,3
Boynton Beach city,12,80401,Florida,FL,0.7342086105908886,0.013090482634190348,3
Brockton city,25,105652,Massachusetts,MA,0.7844860628742516,0.011525249500998003,3
Broken Arrow city,40,113730,Oklahoma,OK,0.8787591821207266,0.013108899572649574,3
Brooklyn Park city,27,86688,Minnesota,MN,0.8460040441592427,0.017437575445155902,3
Brownsville city,48,186611,Texas,TX,0.5114697603214953,0.013611943925233643,3
Bryan city,48,85461,Texas,TX,0.6895751751087985,0.013727360454115422,3
Buffalo city,36,278302,New York,NY,0.6866649943433193,0.013946671671520666,3
Cambridge city,25,117779,Massachusetts,MA,1.4472519829131651,0.03111946519167667,3
Cape Coral city,12,194979,Florida,FL,0.7618132972156125,0.012712237528699644,3
Carmel city,18,99777,Indiana,IN,1.138629182328581,0.022991476247793616,3
Carrollton city,48,133348,Texas,TX,0.8843086350120316,0.01553904778618082,3
Cary town,37,174754,North Carolina,NC,1.0454860020662866,0.019762099957379594,3
Cedar Park city,48,77646,Texas,TX,1.055737558342923,0.016706708860759496,3
Cedar Rapids city,19,137664,Iowa,IA,1.001675587065527,0.01959176119036519,3
Champaign city,17,88421,Illinois,IL,0.8742602447616498,0.01389936261381896,3
Charleston city,45,150522,South Carolina,SC,0.9327797257704918,0.01661794880286885,3
Charlotte city,37,874541,North Carolina,NC,0.7919868571938411,0.015308705971667539,3
Chattanooga city,47,181234,Tennessee,TN,0.6857864668951382,0.018570485343756663,3
Chesapeake city,51,249422,Virginia,VA,0.8603863044958403,0.010745489084858569,3
Chicago city,17,2747231,Illinois,IL,0.8568539060980082,0.014292090217174336,3
Cicero town,17,85180,Illinois,IL,0.55676001,0.01062,3
Cincinnati city,39,310242,Ohio,OH,0.6614307462468864,0.015588295559949224,3
Clarksville city,47,166634,Tennessee,TN,0.8694897894397394,0.008905166236416939,3
Clearwater city,12,117227,Florida,FL,0.7739258522881658,0.016431371419556667,3
Cleveland city,39,373091,Ohio,OH,0.6430276597405146,0.011569991699924568,3
Clifton city,34,90222,New Jersey,NJ,0.8702929298822055,0.02995064361203008,3
College Station city,48,118180,Texas,TX,0.9452777552260537,0.012971854406130268,3
Columbia city,29,125691,Missouri,MO,0.9580344946685879,0.011826311239193085,3
Columbia city,45,137300,South Carolina,SC,0.6741379040197729,0.011293224557614641,3
Columbus city,13,206922,Georgia,GA,0.6494837367194769,0.014151236025524958,3
Columbus city,39,905672,Ohio,OH,0.8124747524865624,0.014085045678455676,3
Concord city,37,105186,North Carolina,NC,0.7451149829822485,0.01153852069633136,3
Conroe city,48,89148,Texas,TX,0.8283834319671403,0.014061878305062166,3
Coral Springs city,12,134366,Florida,FL,0.8996967670654629,0.014384563581640333,3
Corpus Christi city,48,317929,Texas,TX,0.713873852544479,0.01623005369161254,3
Cranston city,44,82935,Rhode Island,RI,0.9495729271370024,0.01730021399180328,3
Dallas city,48,1304442,Texas,TX,0.6961865177712516,0.015183052526334898,3
Davenport city,19,101728,Iowa,IA,0.7688770113381674,0.017452366203471768,3
Davie town,12,105719,Florida,FL,0.9511940303865132,0.01610964668969298,3
Dayton city,39,138310,Ohio,OH,0.5899269193405837,0.012423489779859583,3
Dearborn city,26,109910,Michigan,MI,0.9257719606061361,0.020513811673035665,3
Deerfield Beach city,12,86873,Florida,FL,0.7656388476135391,0.013217660667952014,3
Deltona city,12,94158,Florida,FL,0.7238597360204082,0.010225416156514913,3
Denton city,48,141123,Texas,TX,1.047601055645858,0.013227866227915193,3
Des Moines city,19,214137,Iowa,IA,0.7831145697461929,0.016073824470761423,3
Detroit city,26,639614,Michigan,MI,0.5370489533342465,0.010218772235870841,3
Doral city,12,75803,Florida,FL,0.6827753736548223,0.017815076131979694,3
Duluth city,27,86645,Minnesota,MN,0.9789070658431254,0.020769215631466505,3
Durham city,37,283547,North Carolina,NC,0.7500672781184144,0.01265458103361766,3
Edinburg city,48,99678,Texas,TX,0.6298674056684492,0.011691390392424244,3
