year,statefips,place,socassn,data_quality
2020,06,562,NA,NA
2020,06,884,NA,NA
2020,36,1000,NA,NA
2020,39,1000,NA,NA
2020,48,1000,NA,NA
2020,51,1000,NA,NA
2020,48,1924,NA,NA
2020,06,2000,NA,NA
2020,35,2000,NA,NA
2020,42,2000,NA,NA
2020,37,2140,NA,NA
2020,17,2154,NA,NA
2020,06,2252,NA,NA
2020,06,2364,NA,NA
2020,55,2375,NA,NA
2020,02,3000,NA,NA
2020,26,3000,NA,NA
2020,48,3000,NA,NA
2020,17,3012,NA,NA
2020,01,3076,NA,NA
2020,53,3180,NA,NA
2020,13,3440,NA,NA
2020,08,3455,NA,NA
2020,06,3526,NA,NA
2020,08,4000,NA,NA
2020,13,4000,NA,NA
2020,24,4000,NA,NA
2020,48,4000,NA,NA
2020,13,4204,NA,NA
2020,04,4720,NA,NA
2020,06,4982,NA,NA
2020,22,5000,NA,NA
2020,48,5000,NA,NA
2020,53,5210,NA,NA
2020,53,5280,NA,NA
2020,41,5350,NA,NA
2020,41,5800,NA,NA
2020,18,5860,NA,NA
2020,06,6000,NA,NA
2020,42,6088,NA,NA
2020,48,6128,NA,NA
2020,30,6550,NA,NA
2020,17,6613,NA,NA
2020,27,6616,NA,NA
2020,01,7000,NA,NA
2020,25,7000,NA,NA
2020,48,7000,NA,NA
2020,12,7300,NA,NA
2020,08,7850,NA,NA
2020,12,7875,NA,NA
2020,04,7940,NA,NA
2020,27,7966,NA,NA
2020,09,8000,NA,NA
2020,06,8786,NA,NA
2020,16,8830,NA,NA
2020,06,8954,NA,NA
2020,25,9000,NA,NA
2020,40,9050,NA,NA
2020,12,10275,0.6,2
2020,18,10342,3.4,2
2020,37,10740,1.7,2
2020,48,10768,1.1,2
2020,48,10912,2.4,2
2020,25,11000,NA,NA
2020,36,11000,0.5,1
2020,06,11194,1.6,2
2020,06,11530,1.5,1
2020,04,12000,0.8,2
2020,19,12000,1.9,1
2020,37,12000,0.4,1
2020,17,12385,4.5,2
2020,08,12815,3.4,2
2020,12,12875,1.1,2
2020,06,13014,3,2
2020,48,13024,2.8,2
2020,06,13210,5.3,2
2020,06,13214,3.7,2
2020,45,13330,2.3,1
2020,06,13392,0.7,2
2020,48,13552,6.2,2
2020,06,13588,1.6,2
2020,34,13690,NA,NA
2020,17,14000,0.1,1
2020,47,14000,1.1,1
2020,37,14100,5.8,2
2020,06,14218,2.2,2
2020,17,14351,2,2
2020,12,14400,1.5,2
2020,39,15000,0.5,1
2020,06,15044,0.8,2
2020,47,15160,2.2,2
2020,29,15670,4,2
2020,48,15976,3.1,2
2020,06,16000,1.5,1
2020,08,16000,0.6,1
2020,39,16000,0.6,2
2020,45,16000,2.6,2
