year,state,place,rate_juv_arrest_quality,subgroup,rate_juv_arrest,subgroup_type
2021,01,03076,1,all,1013.9603232916973,NA
2021,01,03076,1,white,405.43279951348063,race-ethnicity
2021,01,03076,1,black,4725.168756027001,race-ethnicity
2021,01,03076,1,asian_other,0,race-ethnicity
2021,01,03076,1,hispanic,1937.984496124031,race-ethnicity
2021,01,03076,1,male,1416.692331382815,sex
2021,01,03076,1,female,534.0078695896572,sex
2021,01,03076,1,1014,154.6961325966851,age
2021,01,03076,1,1517,2719.2982456140353,age
2021,01,07000,1,all,1154.493241283286,NA
2021,01,07000,1,white,520.8333333333333,race-ethnicity
2021,01,07000,1,black,1351.448493997556,race-ethnicity
2021,01,07000,1,asian_other,0,race-ethnicity
2021,01,07000,1,hispanic,389.10505836575874,race-ethnicity
2021,01,07000,1,male,1697.343767221426,sex
2021,01,07000,1,female,306.22243998040176,sex
2021,01,07000,1,1014,274.55495527411216,age
2021,01,07000,1,1517,2825.4288597376385,age
2021,01,35896,1,all,816.164029063402,NA
2021,01,35896,1,white,719.6401799100449,race-ethnicity
2021,01,35896,1,black,1536.983669548511,race-ethnicity
2021,01,35896,1,asian_other,0,race-ethnicity
2021,01,35896,1,hispanic,1035.1966873706003,race-ethnicity
2021,01,35896,1,male,1003.8926449498053,sex
2021,01,35896,1,female,542.0054200542005,sex
2021,01,35896,1,1014,129.32428063368897,age
2021,01,35896,1,1517,1916.6019166019166,age
2021,01,37000,1,all,62.817657472445894,NA
2021,01,37000,1,white,75.3336203185536,race-ethnicity
2021,01,37000,1,black,66.64445184938354,race-ethnicity
2021,01,37000,1,asian_other,0,race-ethnicity
2021,01,37000,1,hispanic,174.0139211136891,race-ethnicity
2021,01,37000,1,male,95.62514941429596,sex
2021,01,37000,1,female,0,sex
2021,01,37000,1,1014,26.452693765981834,age
2021,01,37000,1,1517,129.65964343598054,age
2021,01,50000,1,all,3980.8408728046834,NA
2021,01,50000,1,white,2211.5064848686397,race-ethnicity
2021,01,50000,1,black,4764.735858671649,race-ethnicity
2021,01,50000,1,asian_other,499.001996007984,race-ethnicity
2021,01,50000,1,hispanic,3155.339805825243,race-ethnicity
2021,01,50000,1,male,6102.591221575885,sex
2021,01,50000,1,female,1296.1971076593466,sex
