year,state,county,rate_juv_arrest,rate_juv_arrest_quality
2021,01,001,41.43775058025206,1
2021,01,003,435.4538616840188,2
2021,01,005,896.2868117797696,3
2021,01,007,704.5272487532393,1
2021,01,009,497.13769207592645,2
2021,01,011,445.2359750667854,3
2021,01,013,0,3
2021,01,015,196.4479489029002,2
2021,01,017,559.6465390279824,1
2021,01,019,821.4440121054907,1
2021,01,021,0,3
2021,01,023,73.80073800738008,3
2021,01,025,672.4683544303798,1
2021,01,027,190.59720457433292,1
2021,01,029,130.20833333333331,1
2021,01,031,303.61676213425505,1
2021,01,033,71.72314864622557,2
2021,01,035,149.81273408239701,3
2021,01,037,0,3
2021,01,039,790.8163265306122,2
2021,01,041,201.74848688634836,3
2021,01,043,166.88133351701296,3
2021,01,045,567.8619359556272,2
2021,01,047,271.985494106981,3
2021,01,049,90.27307605506658,3
2021,01,051,165.85797225752393,2
2021,01,053,72.4287783679382,3
2021,01,055,48.02612621265968,2
2021,01,057,267.8718731798035,1
2021,01,059,205.8672156459084,3
2021,01,061,176.3668430335097,2
2021,01,063,0,3
2021,01,065,0,3
2021,01,067,403.4857923294162,2
2021,01,069,77.65237621755438,2
2021,01,071,0,3
2021,01,073,193.3677087345787,2
2021,01,075,127.14558169103624,2
2021,01,077,406.0795915999536,2
2021,01,079,88.54800873766214,3
2021,01,081,305.4277135466129,2
2021,01,083,70.46591271295597,3
2021,01,085,0,3
2021,01,087,180.18018018018017,2
2021,01,089,12.697767732432638,3
2021,01,091,302.571860816944,3
2021,01,093,161.42174341201056,2
2021,01,095,49.473670052612114,3
2021,01,097,1003.8454659273832,2
2021,01,099,176.444640494045,2
2021,01,101,28.977108084613157,3
2021,01,103,91.47860303089575,2
2021,01,105,0,1
2021,01,107,58.651026392961874,3
2021,01,109,337.07865168539325,3
2021,01,111,46.04051565377532,3
2021,01,113,67.95218342794125,3
2021,01,115,58.629278912734264,3
2021,01,117,217.95192052522168,2
2021,01,119,0,3
2021,01,121,78.87964860880034,2
2021,01,123,525.2972076306331,3
2021,01,125,233.6567281277738,2
2021,01,127,168.1074804013655,3
2021,01,129,60.60606060606061,1
2021,01,131,74.12898443291327,3
2021,01,133,107.6528645118325,2
2021,02,013,NA,NA
2021,02,016,775.1937984496124,3
2021,02,020,3.3388981636060104,3
2021,02,050,293.6857562408223,1
2021,02,060,3921.5686274509803,1
2021,02,063,NA,NA
2021,02,066,NA,NA
2021,02,068,NA,NA
2021,02,070,0,3
2021,02,090,181.4264655856673,1
2021,02,100,0,1
2021,02,105,NA,NA
2021,02,110,NA,NA
2021,02,122,846.4730290456432,2
2021,02,130,0,1
2021,02,150,82.37232289950576,1
2021,02,158,NA,NA
2021,02,164,NA,NA
2021,02,170,89.57229230424721,3
2021,02,180,833.3333333333334,1
2021,02,185,1030.1692420897718,1
2021,02,188,0,1
2021,02,195,0,1
2021,02,198,167.22408026755852,3
2021,02,220,NA,NA
2021,02,230,0,1
2021,02,240,NA,NA
2021,02,275,0,1
2021,02,282,NA,NA
2021,02,290,NA,NA
2021,04,001,424.36059181098744,3
2021,04,003,3390.5506458191708,2
2021,04,005,1058.1292816930068,2
2021,04,007,5431.897079844804,3
2021,04,009,NA,NA
2021,04,011,NA,NA
2021,04,012,2439.0243902439024,2
2021,04,013,704.2481717512827,3
2021,04,015,2034.5821325648415,3
2021,04,017,1595.3536244669904,3
2021,04,019,885.2655796739022,3
2021,04,021,1708.3366647120251,2
2021,04,023,NA,NA
2021,04,025,2933.17370483239,2
2021,04,027,1641.966992253284,2
2021,05,001,2102.2727272727275,1
2021,05,003,435.20309477756285,3
2021,05,005,3655.497092218222,1
2021,05,007,2793.1619779503235,2
2021,05,009,788.8040712468193,3
2021,05,011,564.516129032258,3
2021,05,013,202.83975659229208,1
2021,05,015,863.5004981733643,1
2021,05,017,0,3
2021,05,019,855.9919436052367,1
2021,05,021,1399.4910941475828,1
2021,05,023,1569.4947395293937,2
2021,05,025,230.4147465437788,3
2021,05,027,4079.9333888426313,1
2021,05,029,909.090909090909,2
2021,05,031,1832.3967749816761,1
2021,05,033,2912.621359223301,3
2021,05,035,4642.982764685192,2
2021,05,037,539.6654074473827,3
2021,05,039,1465.6144306651634,3
2021,05,041,847.457627118644,3
2021,05,043,1960.7843137254902,1
2021,05,045,2484.7558133500697,1
2021,05,047,7127.312295973885,3
2021,05,049,1110.308384538908,2
2021,05,051,1492.0311970159378,2
2021,05,053,484.73097430925833,1
2021,05,055,2144.469525959368,3
2021,05,057,2944.8885149347916,1
2021,05,059,1584.9282296650717,3
2021,05,061,464.8460197559558,3
2021,05,063,746.4374575887808,3
2021,05,065,0,3
2021,05,067,267.022696929239,2
2021,05,069,3539.559785841761,2
2021,05,071,512,1
2021,05,073,164.20361247947454,3
2021,05,075,586.1664712778429,2
2021,05,077,1130.6532663316584,1
2021,05,079,673.4006734006733,3
2021,05,081,75.642965204236,3
2021,05,083,346.47033347769593,1
2021,05,085,950.9875640087785,1
2021,05,087,129.11555842479018,3
2021,05,089,847.457627118644,3
2021,05,091,4094.4223939837057,1
2021,05,093,1158.7721081520635,3
2021,05,095,1512.6050420168067,3
2021,05,097,60.271688510823374,3
2021,05,099,602.4096385542169,1
2021,05,101,131.75230566534916,3
2021,05,103,2507.836990595611,3
2021,05,105,0,1
2021,05,107,2081.316553727009,3
2021,05,109,55.329763552575216,1
2021,05,111,786.222388618495,2
2021,05,113,941.1764705882352,1
2021,05,115,754.4264819091609,2
2021,05,117,106.60980810234541,3
2021,05,119,2773.7241812620473,2
2021,05,121,614.0765233821445,1
2021,05,123,1453.3520862634787,3
2021,05,125,1377.813452353376,1
2021,05,127,412.02358949402156,1
2021,05,129,485.43689320388347,1
2021,05,131,3278.4064831619226,2
2021,05,133,661.0009442870632,1
2021,05,135,80.4557836213259,3
2021,05,137,176.3668430335097,1
2021,05,139,2292.6500337154416,3
2021,05,141,173.40123575639075,1
2021,05,143,1576.4600680281478,2
2021,05,145,365.7487091222031,3
2021,05,147,568.9900426742532,3
2021,05,149,345.8711629917855,2
2021,06,001,NA,NA
2021,06,003,NA,NA
2021,06,005,NA,NA
2021,06,007,NA,NA
2021,06,009,NA,NA
2021,06,011,NA,NA
2021,06,013,NA,NA
2021,06,015,0,3
2021,06,017,NA,NA
2021,06,019,NA,NA
2021,06,021,NA,NA
2021,06,023,NA,NA
2021,06,025,NA,NA
2021,06,027,NA,NA
2021,06,029,NA,NA
2021,06,031,NA,NA
2021,06,033,NA,NA
2021,06,035,NA,NA
2021,06,037,NA,NA
2021,06,039,NA,NA
2021,06,041,NA,NA
2021,06,043,NA,NA
2021,06,045,NA,NA
2021,06,047,NA,NA
2021,06,049,NA,NA
2021,06,051,NA,NA
2021,06,053,NA,NA
2021,06,055,NA,NA
2021,06,057,NA,NA
2021,06,059,NA,NA
2021,06,061,NA,NA
2021,06,063,NA,NA
2021,06,065,NA,NA
2021,06,067,NA,NA
2021,06,069,NA,NA
2021,06,071,NA,NA
2021,06,073,1586.654057495349,3
2021,06,075,NA,NA
2021,06,077,NA,NA
2021,06,079,NA,NA
2021,06,081,NA,NA
2021,06,083,NA,NA
2021,06,085,NA,NA
2021,06,087,NA,NA
2021,06,089,NA,NA
2021,06,091,NA,NA
2021,06,093,NA,NA
2021,06,095,NA,NA
2021,06,097,NA,NA
2021,06,099,NA,NA
2021,06,101,NA,NA
2021,06,103,NA,NA
2021,06,105,NA,NA
2021,06,107,NA,NA
2021,06,109,NA,NA
2021,06,111,NA,NA
2021,06,113,NA,NA
2021,06,115,NA,NA
2021,08,001,2016.7052136505617,2
2021,08,003,1812.5323666494046,1
2021,08,005,615.1327406134553,2
2021,08,007,2332.657200811359,1
2021,08,009,900.9009009009009,3
2021,08,011,1278.772378516624,3
2021,08,013,1348.8265677528934,2
2021,08,014,1059.5861381201696,1
2021,08,015,2447.257383966245,1
2021,08,017,1675.977653631285,3
2021,08,019,927.3570324574961,1
2021,08,021,0,3
2021,08,023,NA,NA
2021,08,025,681.8181818181818,3
2021,08,027,2385.3211009174315,3
2021,08,029,1618.1229773462783,2
2021,08,031,1150.2307297897794,2
2021,08,033,0,3
2021,08,035,1807.2524599436538,1
2021,08,037,1148.3402821049563,2
2021,08,039,1047.2972972972973,3
2021,08,041,1282.6098098508535,2
2021,08,043,1232.7044025157234,1
2021,08,045,1371.0747456877489,2
2021,08,047,1948.051948051948,3
2021,08,049,447.5703324808184,2
2021,08,051,2355.460385438972,1
2021,08,053,0,1
2021,08,055,744.8789571694599,3
2021,08,057,0,1
2021,08,059,2122.6075416346966,1
2021,08,061,0,3
2021,08,063,1599.0159901599015,3
2021,08,065,549.4505494505495,1
2021,08,067,926.858754785412,1
2021,08,069,1911.9156027822874,2
2021,08,071,2566.158781074579,1
2021,08,073,683.7606837606837,1
2021,08,075,1460.6155451225873,3
2021,08,077,3550.179797319385,2
2021,08,079,NA,NA
2021,08,081,484.26150121065376,1
2021,08,083,2303.1203566121844,3
2021,08,085,2304.964539007092,3
2021,08,087,2003.1796502384739,1
2021,08,089,1547.842401500938,2
2021,08,091,1005.0251256281407,3
2021,08,093,64.55777921239509,3
2021,08,095,0,1
2021,08,097,427.928611428485,1
2021,08,099,2659.1458501208704,3
2021,08,101,200.22246941045606,2
2021,08,103,336.70033670033666,1
2021,08,105,1923.326958448868,1
2021,08,107,1169.5906432748538,2
2021,08,109,300.9331336877373,3
2021,08,111,0,3
2021,08,113,1223.2415902140674,3
2021,08,115,NA,NA
2021,08,117,559.3803786574871,1
2021,08,119,2699.841185812599,3
2021,08,121,0,3
2021,08,123,2228.4388014637047,2
2021,08,125,1008.4033613445379,1
2021,09,001,678.5818486414246,1
2021,09,003,737.5323215902769,2
2021,09,005,393.044306812768,1
2021,09,007,512.9935875801552,1
2021,09,009,1422.0631687993691,2
2021,09,011,804.5292014302742,2
2021,09,013,430.31858674316777,3
2021,09,015,505.63292823560715,2
2021,10,001,973.1894140114272,2
2021,10,003,1526.2186386049455,2
2021,10,005,1078.0405444314547,2
2021,11,001,1046.9198850941589,2
2021,12,001,NA,NA
2021,12,003,NA,NA
2021,12,005,NA,NA
2021,12,007,NA,NA
2021,12,009,NA,NA
2021,12,011,8.750167282609814,3
2021,12,013,NA,NA
2021,12,015,NA,NA
2021,12,017,NA,NA
2021,12,019,NA,NA
2021,12,021,NA,NA
2021,12,023,NA,NA
2021,12,027,NA,NA
2021,12,029,NA,NA
2021,12,031,NA,NA
2021,12,033,NA,NA
2021,12,035,NA,NA
2021,12,037,NA,NA
2021,12,039,NA,NA
2021,12,041,NA,NA
2021,12,043,NA,NA
2021,12,045,NA,NA
2021,12,047,NA,NA
2021,12,049,NA,NA
2021,12,051,NA,NA
2021,12,053,NA,NA
2021,12,055,NA,NA
2021,12,057,NA,NA
2021,12,059,NA,NA
2021,12,061,NA,NA
2021,12,063,NA,NA
2021,12,065,NA,NA
2021,12,067,NA,NA
2021,12,069,NA,NA
2021,12,071,NA,NA
2021,12,073,NA,NA
2021,12,075,NA,NA
2021,12,077,NA,NA
2021,12,079,NA,NA
2021,12,081,NA,NA
2021,12,083,NA,NA
2021,12,085,NA,NA
2021,12,086,0.3986779838057003,3
2021,12,087,NA,NA
2021,12,089,NA,NA
2021,12,091,NA,NA
2021,12,093,NA,NA
2021,12,095,NA,NA
2021,12,097,NA,NA
2021,12,099,NA,NA
2021,12,101,NA,NA
2021,12,103,NA,NA
2021,12,105,NA,NA
2021,12,107,NA,NA
2021,12,109,NA,NA
2021,12,111,NA,NA
2021,12,113,NA,NA
2021,12,115,NA,NA
2021,12,117,NA,NA
2021,12,119,NA,NA
2021,12,121,NA,NA
2021,12,123,NA,NA
2021,12,125,NA,NA
2021,12,127,NA,NA
2021,12,129,NA,NA
2021,12,131,NA,NA
2021,12,133,NA,NA
2021,13,001,250,3
2021,13,003,193.61084220716361,3
2021,13,005,576.1316872427984,3
2021,13,007,NA,NA
2021,13,009,1765.0025214321734,3
2021,13,011,589.6805896805897,3
2021,13,013,796.0786520066822,3
2021,13,015,637.5838926174497,3
2021,13,017,2266.172229089411,1
2021,13,019,919.4159004867496,2
2021,13,021,771.8363040701871,3
2021,13,023,680.2721088435374,1
2021,13,025,330.9692671394799,3
2021,13,027,1456.8764568764568,3
2021,13,029,1320.590790616855,1
2021,13,031,2597.90120296903,3
2021,13,033,317.05770450221945,3
2021,13,035,1512.6737530662306,3
2021,13,037,202.02020202020202,3
2021,13,039,243.98745207389337,3
2021,13,043,328.9473684210526,1
2021,13,045,794.7916456641509,1
2021,13,047,328.32428336911227,3
2021,13,049,880,3
2021,13,051,235.61822597600317,3
2021,13,053,NA,NA
2021,13,055,120.91898428053204,3
2021,13,057,818.7721554725978,3
2021,13,059,431.0344827586207,2
2021,13,061,531.9148936170212,3
2021,13,063,559.8284409499665,3
2021,13,065,376.88442211055275,1
2021,13,067,1145.1388555806034,2
2021,13,069,121.62490878131842,3
2021,13,071,727.4290737769651,3
2021,13,073,31.100974497200912,3
2021,13,075,319.4888178913738,3
2021,13,077,446.9873055605221,2
2021,13,079,70.77140835102618,3
2021,13,081,6047.879042419151,3
2021,13,083,NA,NA
