year,state,county,juvenile_arrest_rate,juvenile_arrest_rate_quality
2016,01,001,2363.0354,2
2016,01,003,2066.0569,1
2016,01,005,1681.2625,2
2016,01,007,194.11369,1
2016,01,009,283.30939,2
2016,01,011,187.30449,1
2016,01,013,3154.3328,1
2016,01,015,1415.608,2
2016,01,017,1037.1406,1
2016,01,019,547.34998,1
2016,01,021,919.85498,1
2016,01,023,237.33989,1
2016,01,025,3623.8372,1
2016,01,027,235.20004,1
2016,01,029,1668.9282,1
2016,01,031,1221.8842,1
2016,01,033,587.6947,2
2016,01,035,1251.1991,1
2016,01,037,1052.3419,1
2016,01,039,1698.2029,2
2016,01,041,216.97151,2
2016,01,043,246.11235,1
2016,01,045,712.2558,2
2016,01,047,952.24969,2
2016,01,049,180.36496,2
2016,01,051,297.82361,2
2016,01,053,1092.1799,1
2016,01,055,135.67294,2
2016,01,057,285.6441,1
2016,01,059,NA,NA
2016,01,061,634.66193,1
2016,01,063,294.70126,1
2016,01,065,281.88705,1
2016,01,067,988.0498,2
2016,01,069,3074.395,2
2016,01,071,516.53247,2
2016,01,073,721.797,2
2016,01,075,202.80685,1
2016,01,077,418.52783,2
2016,01,079,64.503853,2
2016,01,081,1461.5159,1
2016,01,083,906.85767,1
2016,01,085,81.092476,2
2016,01,087,621.16547,2
2016,01,089,1604.8883,1
2016,01,091,1515.598,2
2016,01,093,1727.9226,1
2016,01,095,646.99994,1
2016,01,097,1742.1064,2
2016,01,099,762.6347,2
2016,01,101,294.71042,2
2016,01,103,1869.7816,2
2016,01,105,252.59967,1
2016,01,107,254.60323,1
2016,01,109,1429.6548,1
2016,01,111,763.16943,2
2016,01,113,77.398933,2
2016,01,115,476.3942,1
2016,01,117,781.4967,1
2016,01,119,192.57681,2
2016,01,121,278.67166,1
2016,01,123,2150.499,2
2016,01,125,1963.873,1
2016,01,127,663.73151,2
2016,01,129,754.82141,1
2016,01,131,189.48186,1
2016,01,133,81.016273,1
2016,02,013,NA,NA
2016,02,016,137.0507,2
2016,02,020,3844.9146,1
2016,02,050,1037.1619,1
2016,02,060,NA,NA
2016,02,068,NA,NA
2016,02,070,2859.376,1
2016,02,090,1932.1311,1
2016,02,100,1261.1931,2
2016,02,105,NA,NA
2016,02,110,4812.4473,1
2016,02,122,1704.1904,1
2016,02,130,5998.3389,1
2016,02,150,281.83783,1
2016,02,158,NA,NA
2016,02,164,NA,NA
2016,02,170,3608.6169,1
2016,02,180,482.04001,1
2016,02,185,2925.8777,1
2016,02,188,11345.414,1
2016,02,195,NA,NA
