year,state,county,total_people,crime_violent_rate,crime_property_rate,crime_rate_quality,agencies_reporting,core_reporting
2021,01,001,58239,1047.7042412965461,1361.590201621663,1,1,NA
2021,01,003,227131,412.09698367902223,1086.5976022647724,2,0.7857142857142857,1
2021,01,005,25259,1805.297121817966,3412.644997822558,3,0.6666666666666666,NA
2021,01,007,22412,1364.550353034441,1687.8459062879956,1,1,NA
2021,01,009,58884,764.7951028447811,1585.685439660923,2,0.8888888888888888,NA
2021,01,011,10386,1136.1448103215869,982.0912767186596,1,1,NA
2021,01,013,19181,125.12382044731767,119.91032792867942,3,0.25,NA
2021,01,015,116425,1728.1762913114742,2514.1186842799834,2,0.8181818181818182,1
2021,01,017,34834,1512.8897054601825,3146.351266004478,1,1,NA
2021,01,019,24975,1885.6317391265438,3477.9097177754575,1,1,NA
2021,01,021,44857,193.9496622600709,532.8042445995051,3,0.5,NA
2021,01,023,12792,320.5128205128205,711.3821138211382,3,0.5,NA
2021,01,025,23346,1182.2153687997943,1773.3230531996915,1,1,NA
2021,01,027,14184,831.9232938522279,1261.9853355893965,1,1,NA
2021,01,029,15046,2153.396251495414,2359.4310780273827,1,1,NA
2021,01,031,53043,891.4678253750058,1556.6068650921927,1,1,NA
2021,01,033,56789,1007.2373170860554,2269.805772244625,2,0.875,1
2021,01,035,11778,849.0405841399219,1485.8210222448633,2,0.8,NA
2021,01,037,10442,95.7670944263551,124.49722275426163,3,0.6666666666666666,NA
2021,01,039,37490,1821.8191517738062,2523.3395572152576,2,0.8888888888888888,NA
2021,01,041,13300,1000,2105.2631578947367,3,0.6,NA
2021,01,043,87129,1305.068261969887,2971.648742889583,3,0.7142857142857143,NA
2021,01,045,49443,1768.583558127537,3194.893722770697,2,0.8333333333333334,1
2021,01,047,39162,1289.5153465093713,1764.4655533425257,3,0.6666666666666666,NA
2021,01,049,71554,711.4395745215442,808.3294406819737,2,0.9285714285714286,NA
2021,01,051,87146,520.8866851287212,1270.221333030144,2,0.875,NA
2021,01,053,36879,753.8165351555085,1269.014886520784,3,0.6666666666666666,NA
2021,01,055,103468,2960.3786149262683,5173.0227614952155,2,0.9166666666666666,1
2021,01,057,16365,691.2041980877998,1245.7896965385785,1,1,NA
2021,01,059,32034,383.96703502528567,939.626646687894,3,0.6666666666666666,NA
2021,01,061,26604,1228.3898128795872,2607.127782562128,2,0.8571428571428571,NA
2021,01,063,7851,229.27015666794037,369.37969685390397,3,0.6666666666666666,NA
2021,01,065,14819,114.71759228018085,60.73284297186045,3,0.3333333333333333,NA
2021,01,067,17165,1603.3452911510471,2156.177932776232,2,0.8,1
2021,01,069,106355,118.17301273731852,347.8628177008731,2,0.7272727272727273,1
2021,01,071,52548,298.77445383268633,443.4041257516937,3,0.5,NA
2021,01,073,672550,1117.4768973909283,2803.786364267468,2,0.6153846153846154,1
2021,01,075,13929,610.2376337138345,1299.447196496518,2,0.8,NA
2021,01,077,93342,1075.6144072336142,3312.5495489704526,2,0.7777777777777778,1
2021,01,079,33089,603.8680957573662,1027.0840085472519,3,0.75,NA
2021,01,081,172223,1734.91180163939,3434.225484043614,2,0.8333333333333334,1
2021,01,083,101217,279.516850244156,725.9579345590016,3,0.42857142857142855,0.5
2021,01,085,10334,2467.582736597639,4228.759434875169,3,0.6666666666666666,NA
2021,01,087,19490,887.1983654526218,1373.3188594503022,2,0.8333333333333334,NA
2021,01,089,382149,25.121091511426172,52.59728535204855,3,0.6363636363636364,0
2021,01,091,19397,747.5382791153271,1196.0612465845234,3,0.75,NA
2021,01,093,29392,798.4258208468738,1608.9244587800436,2,0.8,NA
2021,01,095,97179,314.9308210504987,758.7990783600725,3,0.7777777777777778,NA
2021,01,097,414620,6845.545318604988,10790.362259418262,2,0.9285714285714286,1
2021,01,099,20115,919.7116579666915,1352.224707929406,2,0.8,NA
2021,01,101,229072,83.37989802332892,102.58783264650417,3,0.2857142857142857,0
2021,01,103,122608,213.0917358436788,395.85942988158627,2,0.5555555555555556,1
2021,01,105,8702,241.32383360147094,298.7818892208688,1,1,NA
2021,01,107,19240,296.25779625779626,545.7380457380458,3,0.7142857142857143,NA
2021,01,109,33176,1172.5343621895345,1718.1094767301663,1,1,NA
2021,01,111,21984,1082.6055312954877,1951.419213973799,3,0.5,NA
2021,01,113,58695,538.6623842505795,1047.4725256132608,3,0.6666666666666666,NA
2021,01,115,90412,476.7615658937866,813.2519792464542,3,0.7692307692307693,NA
2021,01,117,220780,873.8287459778043,2353.9498731947147,2,0.625,1
2021,01,119,12482,96.13843935266785,136.19612241627945,3,0.5,NA
2021,01,121,81850,1189.3032506159764,2240.974865145293,2,0.5555555555555556,1
2021,01,123,41284,990.4457327028124,1509.244258296459,2,0.875,NA
2021,01,125,223945,429.870809105499,809.6700479828539,2,0.8,1
2021,01,127,65194,905.9470897601572,1876.4169772234882,3,0.6363636363636364,NA
2021,01,129,15574,969.5646590471299,1573.1347116989855,1,1,NA
2021,01,131,10686,421.1117349803481,439.82781209058584,3,0.6666666666666666,NA
2021,01,133,23650,694.3387556854901,1265.2492145320557,2,0.8571428571428571,NA
2021,02,013,3409,NA,NA,NA,0,NA
2021,02,016,5251,666.539706722529,1390.2113883069892,3,0.5,NA
2021,02,020,292545,9.57117708386744,32.13180878155498,3,0.5,0
2021,02,050,18514,2176.731122393864,853.4082316085126,1,1,NA
2021,02,060,849,3180.2120141342753,2709.0694935217907,1,1,NA
2021,02,063,7015,NA,NA,NA,NA,NA
2021,02,066,2635,NA,NA,NA,NA,NA
2021,02,068,2187,NA,NA,NA,NA,NA
2021,02,070,4899,571.5452133088385,142.88630332720962,3,0.5,NA
2021,02,090,97149,221.30953483823816,734.953524997684,1,1,1
2021,02,100,2098,476.6444232602479,2526.2154432793136,1,1,NA
2021,02,105,2327,NA,NA,NA,0,NA
2021,02,110,32240,NA,NA,NA,0,NA
2021,02,122,58711,492.2416582923132,933.3855665888846,2,0.8,NA
2021,02,130,13939,645.6704211205969,1033.0726737929551,1,1,NA
2021,02,150,13218,1157.5124829777576,1270.994098955969,1,1,NA
2021,02,158,8354,NA,NA,NA,0,NA
2021,02,164,986,NA,NA,NA,NA,NA
2021,02,170,106807,172.27335287013022,446.5999419513702,3,0.6666666666666666,NA
2021,02,180,10070,2740.814299900695,893.743793445879,1,1,NA
2021,02,185,10865,2291.762540266912,1537.0455591348366,1,1,NA
2021,02,188,7776,2057.61316872428,681.5843621399177,1,1,NA
2021,02,195,3368,1217.3396674584324,2494.061757719715,1,1,NA
2021,02,198,5886,305.81039755351685,67.95786612300374,3,0.25,NA
2021,02,220,8518,NA,NA,NA,0,NA
2021,02,230,1329,NA,NA,NA,0,NA
2021,02,240,6849,NA,NA,NA,NA,NA
2021,02,275,2162,416.28122109158187,370.0277520814061,1,1,NA
2021,02,282,562,NA,NA,NA,NA,NA
2021,02,290,5433,NA,NA,NA,0,NA
2021,04,001,66473,266.27352458893085,1123.7645359770133,3,0.6,NA
2021,04,003,125092,757.0428164870655,1540.466216864388,2,0.75,1
2021,04,005,144942,745.1256364614811,1648.245505098591,2,0.75,1
2021,04,007,53211,2879.103944673094,2240.138317265227,3,0.2222222222222222,NA
2021,04,009,38145,NA,NA,NA,0,NA
2021,04,011,9542,NA,NA,NA,0,NA
2021,04,012,16845,1252.5972098545562,2885.1291184327692,2,0.8,NA
2021,04,013,4367186,426.64760050752693,1329.9959578392325,3,0.6666666666666666,0.8
2021,04,015,211274,957.5243522629381,2070.7706580080844,3,0.5,0.5
2021,04,017,106609,1539.2696676640808,1044.0019135345046,3,0.3333333333333333,NA
2021,04,019,1035063,349.7371657570602,1388.9975779252084,3,0.6363636363636364,0
2021,04,021,420625,871.4426677680494,1768.9397274720093,2,0.6923076923076923,1
2021,04,023,47463,NA,NA,NA,0,NA
2021,04,025,233789,1149.754693334588,2029.1801581768177,2,0.6666666666666666,1
2021,04,027,202944,920.9437086092715,3155.5502995900347,2,0.875,1
2021,05,001,17273,2790.4822555433334,3965.726856944364,1,1,NA
2021,05,003,19362,614.6059291395517,2096.8908170643526,3,0.75,NA
2021,05,005,41476,937.8917928440544,3107.8213906837686,1,1,NA
2021,05,007,278774,1169.757906954885,3020.945843143697,2,0.7894736842105263,1
2021,05,009,37445,1041.5275737748698,1775.938042462278,1,1,NA
2021,05,011,10597,1132.395961121072,2283.6651882608285,3,0.6666666666666666,NA
2021,05,013,4811,789.8565786738724,2452.7125337767616,1,1,NA
2021,05,015,28154,887.9732897634439,1626.7670668466294,1,1,NA
2021,05,017,10405,999.5194617972129,2114.368092263335,3,0.75,NA
2021,05,019,21569,1312.068246093931,2197.5984051184573,1,1,NA
2021,05,021,14661,422.8906623013437,845.7813246026874,1,1,NA
2021,05,023,24848,2205.82969953999,3493.676966316257,2,0.8333333333333334,NA
2021,05,025,7632,720.6498951781971,2279.874213836478,3,0.5,NA
2021,05,027,22947,662.3959558983745,2845.687889484464,1,1,NA
2021,05,029,20687,1851.404263547155,4804.949968579301,1,1,NA
2021,05,031,109875,1896.7007963594992,4687.144482366325,1,1,1
2021,05,033,60483,2886.761569366599,3434.0227832614123,3,0.7142857142857143,NA
2021,05,035,48338,3398.9821672390253,5496.710662418801,2,0.8333333333333334,NA
2021,05,037,16935,1505.7573073516387,3283.1414230882788,3,0.5,NA
2021,05,039,6645,2167.042889390519,3611.7381489841982,3,0.5,NA
2021,05,041,11530,1422.376409366869,2298.352124891587,3,0.5,NA
2021,05,043,17511,1062.1894808977215,2815.3731939923478,1,1,NA
2021,05,045,123191,1985.9641087741675,4390.392739271418,1,1,1
2021,05,047,17159,1474.4448977213126,2436.039396235212,1,1,NA
2021,05,049,12072,1471.580150118675,1831.7085943037548,2,0.8571428571428571,NA
2021,05,051,99694,1170.581980861436,4840.8128874355525,2,0.6666666666666666,1
2021,05,053,17912,1049.5757034390354,2400.6252791424745,1,1,NA
2021,05,055,45665,2174.531917223256,4276.798423300121,3,0.6666666666666666,NA
2021,05,057,20352,1759.0408805031445,3144.6540880503144,1,1,NA
2021,05,059,33096,688.9050036258158,3266.25574087503,3,0.6666666666666666,NA
2021,05,061,12894,845.3544284163175,2365.4412905227236,3,0.75,NA
2021,05,063,37796,1608.6358344798389,2862.7367975447137,3,0.5,NA
2021,05,065,13653,1010.766864425401,1091.3352376767011,3,0.5,NA
2021,05,067,16878,2423.2728996326578,4911.719398032942,1,1,NA
2021,05,069,68199,3397.4105192158245,7244.974266484845,2,0.8333333333333334,1
2021,05,071,25853,1446.640621978107,2104.204541059065,1,1,NA
2021,05,073,6373,109.838380668445,423.66232543543066,3,0.6666666666666666,NA
2021,05,075,16292,834.7655290940338,1792.2906948195434,2,0.8,NA
2021,05,077,8832,2230.5253623188405,3951.539855072464,1,1,NA
2021,05,079,13092,412.4656278643446,908.9520317751297,3,0.5,NA
2021,05,081,12104,917.0522141440846,1974.5538664904163,3,0.6666666666666666,NA
2021,05,083,21299,1267.6651485985258,2220.76153810038,1,1,NA
2021,05,085,73824,1503.5760728218465,2656.317728651929,1,1,NA
2021,05,087,16496,866.8768186226964,1303.3462657613968,3,0.5,NA
2021,05,089,16750,614.9253731343283,1647.761194029851,3,0.75,NA
2021,05,091,42875,3125.36443148688,3832.069970845481,1,1,NA
2021,05,093,41061,2418.3531818513916,4369.109373858406,2,0.8,NA
2021,05,095,6903,1912.212081703607,3273.938867159206,3,0.75,NA
2021,05,097,8525,101.28471666933204,282.53105176182095,3,0.5,NA
2021,05,099,8340,623.5011990407673,1522.7817745803359,1,1,NA
2021,05,101,7343,585.5917200054473,1157.5650279177448,3,0.5,NA
2021,05,103,22858,1404.3223379123283,2830.518855542917,3,0.4,NA
2021,05,105,10056,517.104216388226,2108.194112967383,1,1,NA
2021,05,107,16923,2540.920640548366,4266.3830290137685,3,0.25,NA
2021,05,109,10234,306.4830750824647,849.2693749980924,1,1,NA
2021,05,111,23212,1382.9053937618473,2804.583835946924,2,0.8571428571428571,NA
2021,05,113,19476,939.6179913739987,1971.6574245224892,1,1,NA
2021,05,115,63234,1175.0007907138565,2332.6058765853813,2,0.875,NA
2021,05,117,8306,758.487840115579,1613.2915964363112,3,0.75,NA
2021,05,119,397931,3567.574964035849,7496.104715803485,1,1,1
2021,05,121,18442,1035.679427393992,2217.7638000216893,1,1,NA
2021,05,123,23623,2916.6490284891843,5359.183846251535,3,0.75,NA
2021,05,125,122308,1078.0270054800221,3435.3235629362225,1,1,NA
2021,05,127,9928,983.5625854154175,2673.6523744301785,1,1,NA
2021,05,129,7872,685.9756097560976,622.459349593496,1,1,NA
2021,05,131,127941,2420.9220707356963,6257.227778637475,1,1,1
2021,05,133,16074,802.5382605449796,1903.6954087346026,1,1,NA
2021,05,135,17243,222.4139898954564,724.2135272032169,3,0.5714285714285714,NA
2021,05,137,12364,792.6237463604012,1463.9275315431898,1,1,NA
2021,05,139,39262,1635.1688655697621,3094.5952829708112,3,0.6666666666666666,NA
2021,05,141,15851,1182.047763663608,2052.3779444444112,1,1,NA
2021,05,143,242793,1311.4130524626285,4343.777800527442,1,1,1
2021,05,145,77075,1860.525462212131,4042.8154395069737,2,0.8333333333333334,NA
2021,05,147,6333,315.80609505763465,994.7891994315489,3,0.75,NA
2021,05,149,20489,1063.985553223681,1791.205036849041,2,0.8,NA
2021,06,001,1673133,NA,NA,NA,0,0
2021,06,003,1344,NA,NA,NA,0,NA
2021,06,005,40095,NA,NA,NA,0,NA
2021,06,007,217884,NA,NA,NA,0,0
2021,06,009,45349,NA,NA,NA,0,NA
2021,06,011,21780,NA,NA,NA,0,NA
2021,06,013,1161643,NA,NA,NA,0,0
2021,06,015,27655,10.847947929849937,119.32742722834931,3,0.3333333333333333,NA
2021,06,017,190568,NA,NA,NA,0,NA
2021,06,019,1003150,NA,NA,NA,0,0
2021,06,021,28675,NA,NA,NA,0,NA
