year,state,place,juv_arrest_rate,juv_arrest_rate_violent,juv_arrest_rate_property,juv_arrest_rate_quality
2021,01,03076,308.5966201322557,44.0852314474651,102.86554004408524,2
2021,01,07000,487.323780240181,46.411788594302955,156.63978650577246,2
2021,01,35896,328.45625559868614,59.719319199761124,139.34507813277594,1
2021,01,37000,0,0,0,3
2021,01,50000,1958.4885577434804,399.1484832357637,936.6684406599254,2
2021,01,51000,0,0,0,3
2021,01,77256,564.4402634054563,94.07337723424271,201.58580835909152,1
2021,02,03000,0,0,0,3
2021,04,04720,1930.5019305019305,827.357970215113,376.90751976466265,1
2021,04,07940,1241.486335028882,560.3931373394257,267.2644193464954,1
2021,04,12000,1330.5120066685904,362.28399217723063,285.3387195024206,1
2021,04,23620,944.7111661762428,108.40947808579836,696.9180734087037,1
2021,04,27400,1293.5634158402956,348.7676010515083,260.2743291429166,1
2021,04,27820,NA,NA,NA,NA
2021,04,28380,654.9846886696156,127.59441987070433,212.65736645117386,1
2021,04,46000,1309.2986165201587,378.32424613330363,213.27102110455846,2
2021,04,54050,2283.9741149600304,504.37761705367336,333.0795584316711,1
2021,04,55000,NA,NA,NA,NA
2021,04,65000,1891.9659994516041,323.55360570331777,471.62051000822595,1
2021,04,71510,2215.315060751625,745.9734388245266,350.381463690308,1
2021,04,73000,NA,NA,NA,NA
2021,04,77000,10.112654976437515,6.067592985862508,2.022530995287503,3
2021,04,85540,1927.2148938160726,608.1017868837122,598.7463747778089,2
2021,05,23290,1116.1767017764503,534.5071529633706,282.974375098255,1
2021,05,24550,4469.6889266376475,976.7491241108398,403.439855610999,1
2021,05,35710,2233.192289609779,869.7696285848614,622.943112364833,1
2021,05,41000,2642.09057221233,938.4474710043795,442.7547042687329,1
2021,05,66080,3746.7152665932012,873.1033313554293,678.1385097906248,1
2021,06,00562,NA,NA,NA,NA
2021,06,00884,NA,NA,NA,NA
2021,06,02000,NA,NA,NA,NA
2021,06,02252,NA,NA,NA,NA
2021,06,02364,NA,NA,NA,NA
2021,06,03526,NA,NA,NA,NA
2021,06,04982,NA,NA,NA,NA
2021,06,06000,NA,NA,NA,NA
2021,06,08786,NA,NA,NA,NA
2021,06,08954,NA,NA,NA,NA
2021,06,11194,2255.123723353211,61.69031462060457,123.38062924120914,1
2021,06,11530,NA,NA,NA,NA
2021,06,13014,NA,NA,NA,NA
2021,06,13210,NA,NA,NA,NA
2021,06,13214,NA,NA,NA,NA
2021,06,13392,1418.0461789820895,107.89481796602855,89.39856345756651,1
2021,06,13588,NA,NA,NA,NA
2021,06,14218,NA,NA,NA,NA
2021,06,15044,NA,NA,NA,NA
2021,06,16000,NA,NA,NA,NA
2021,06,16350,NA,NA,NA,NA
2021,06,16532,NA,NA,NA,NA
2021,06,17918,NA,NA,NA,NA
2021,06,19766,NA,NA,NA,NA
2021,06,21712,1478.7581699346404,155.22875816993462,106.20915032679737,1
2021,06,22020,NA,NA,NA,NA
2021,06,22230,NA,NA,NA,NA
2021,06,22804,1361.68625256482,292.2340359385687,261.1453087110614,1
2021,06,23182,NA,NA,NA,NA
2021,06,24638,NA,NA,NA,NA
2021,06,24680,NA,NA,NA,NA
2021,06,26000,NA,NA,NA,NA
2021,06,27000,NA,NA,NA,NA
2021,06,28000,NA,NA,NA,NA
2021,06,29000,NA,NA,NA,NA
2021,06,30000,NA,NA,NA,NA
2021,06,32548,NA,NA,NA,NA
2021,06,33000,NA,NA,NA,NA
2021,06,33182,NA,NA,NA,NA
2021,06,33434,NA,NA,NA,NA
2021,06,36000,NA,NA,NA,NA
